Temperature [K],Pressure [Pa],Height [m],Kzz [cm2/s],MMW [g/mol],Density [kg/m3],OH [VMR],H2 [VMR],H2O [VMR],H [VMR],O [VMR],CH [VMR],C [VMR],CH2 [VMR],CH3 [VMR],CH4 [VMR],C2 [VMR],C2H2 [VMR],C2H [VMR],C2H3 [VMR],C2H4 [VMR],C2H5 [VMR],C2H6 [VMR],CO [VMR],CO2 [VMR],CH2OH [VMR],H2CO [VMR],HCO [VMR],CH3O [VMR],CH3OH [VMR],CH3CO [VMR],O2 [VMR],H2CCO [VMR],HCCO [VMR],N [VMR],NH [VMR],CN [VMR],HCN [VMR],NO [VMR],NH2 [VMR],N2 [VMR],NH3 [VMR],N2H2 [VMR],N2H [VMR],N2H3 [VMR],N2H4 [VMR],HNO [VMR],H2CN [VMR],HNCO [VMR],NO2 [VMR],N2O [VMR],C4H2 [VMR],CH2NH2 [VMR],CH2NH [VMR],CH3NH2 [VMR],CH3CHO [VMR],HNO2 [VMR],NCO [VMR],HO2 [VMR],H2O2 [VMR],HC3N [VMR],CH3CN [VMR],CH2CN [VMR],C2H3CN [VMR],SH [VMR],HSO [VMR],H2S [VMR],C3H3 [VMR],C3H2 [VMR],C3H4 [VMR],C6H5 [VMR],C6H6 [VMR],S [VMR],S2 [VMR],SO [VMR],CS [VMR],COS [VMR],CS2 [VMR],NS [VMR],HS2 [VMR],SO2 [VMR],S4 [VMR],S8 [VMR],HCS [VMR],S3 [VMR],C4H3 [VMR],C4H5 [VMR],S2O [VMR],CH3SH [VMR],CH3S [VMR],He [VMR]
180,1.00E-05,2884821.88,17396896500000,5.547249506,3.71E-11,1.84E-06,0.775741967,0.0214930633,5.46E-05,1.01E-07,1.44E-07,5.45E-08,1.75E-07,3.89E-06,0.178334207,2.42E-15,1.67E-10,7.78E-15,1.77E-12,4.52E-07,5.55E-12,6.67E-06,0.0164671627,0.000588404036,3.90E-12,2.19E-08,1.89E-11,1.48E-11,1.67E-07,3.38E-15,1.07E-11,1.66E-11,1.48E-21,1.45E-11,1.13E-09,7.97E-10,1.03E-06,5.89E-14,5.48E-10,9.42E-05,0.000104824081,4.57E-16,1.04E-19,5.09E-22,2.16E-20,4.85E-13,1.18E-12,1.49E-09,4.78E-27,1.06E-16,2.01E-21,7.35E-18,2.12E-09,1.82E-11,5.50E-11,3.46E-23,6.08E-12,6.60E-21,4.81E-17,1.50E-17,9.72E-09,1.19E-14,5.61E-14,3.53E-05,2.21E-13,0.00700010222,1.59E-15,1.41E-15,4.89E-15,1.77E-14,1.54E-12,3.56E-05,2.73E-05,1.13E-07,6.22E-09,7.94E-06,1.25E-08,5.47E-11,3.94E-11,7.52E-10,6.00E-13,2.42E-07,3.31E-10,1.76E-11,1.09E-20,4.52E-23,5.51E-16,9.65E-10,3.15E-11,0
180,1.81E-05,2851133.12,13719090900000,5.547924221,6.70E-11,1.80E-06,0.775703875,0.0214969102,5.38E-05,8.92E-08,1.16E-07,4.34E-08,1.67E-07,3.72E-06,0.178361619,2.22E-15,1.61E-10,7.39E-15,1.73E-12,4.45E-07,5.52E-12,6.67E-06,0.0164721598,0.000588700505,3.90E-12,2.16E-08,1.86E-11,1.45E-11,1.67E-07,3.38E-15,1.07E-11,1.66E-11,1.48E-21,5.34E-12,1.05E-09,6.98E-10,1.03E-06,5.89E-14,3.51E-10,9.42E-05,0.000104841592,4.56E-16,1.04E-19,5.09E-22,2.17E-20,4.85E-13,1.18E-12,1.50E-09,4.79E-27,1.06E-16,2.01E-21,7.36E-18,2.12E-09,1.82E-11,5.50E-11,3.46E-23,6.07E-12,6.60E-21,4.81E-17,1.50E-17,9.72E-09,1.18E-14,5.59E-14,3.51E-05,2.22E-13,0.00700296839,1.58E-15,1.38E-15,4.89E-15,1.76E-14,1.54E-12,3.55E-05,2.74E-05,1.13E-07,6.17E-09,7.94E-06,1.25E-08,5.47E-11,3.94E-11,7.52E-10,6.30E-13,2.43E-07,3.30E-10,1.76E-11,1.07E-20,4.52E-23,5.51E-16,9.65E-10,3.15E-11,0
180,3.27E-05,2817692.69,10816672700000,5.548402924,1.21E-10,1.72E-06,0.775677805,0.0214996795,5.24E-05,7.17E-08,7.76E-08,2.80E-08,1.48E-07,3.38E-06,0.178381332,1.79E-15,1.51E-10,6.68E-15,1.64E-12,4.26E-07,5.46E-12,6.67E-06,0.016475686,0.000588909286,3.90E-12,2.08E-08,1.80E-11,1.41E-11,1.67E-07,3.38E-15,1.07E-11,1.66E-11,1.47E-21,1.38E-12,9.18E-10,5.45E-10,1.03E-06,5.88E-14,2.20E-10,9.42E-05,0.00010485403,4.56E-16,1.04E-19,5.07E-22,2.17E-20,4.84E-13,1.18E-12,1.50E-09,4.81E-27,1.07E-16,2.01E-21,7.36E-18,2.12E-09,1.82E-11,5.50E-11,3.47E-23,6.03E-12,6.60E-21,4.82E-17,1.48E-17,9.72E-09,1.17E-14,5.54E-14,3.47E-05,2.22E-13,0.00700524957,1.54E-15,1.30E-15,4.90E-15,1.74E-14,1.54E-12,3.54E-05,2.75E-05,1.13E-07,5.93E-09,7.95E-06,1.25E-08,5.47E-11,3.95E-11,7.52E-10,6.90E-13,2.43E-07,3.25E-10,1.76E-11,1.02E-20,4.52E-23,5.52E-16,9.66E-10,3.14E-11,0
180,5.92E-05,2784497.04,8526654010000,5.548743463,2.19E-10,1.60E-06,0.77566017,0.0215017,5.06E-05,5.41E-08,4.20E-08,1.41E-08,1.16E-07,2.90E-06,0.17839563,1.23E-15,1.36E-10,5.72E-15,1.52E-12,3.93E-07,5.36E-12,6.67E-06,0.0164781774,0.000589056416,3.90E-12,1.93E-08,1.69E-11,1.35E-11,1.67E-07,3.38E-15,1.06E-11,1.66E-11,1.47E-21,2.50E-13,7.56E-10,3.92E-10,1.03E-06,5.87E-14,1.52E-10,9.42E-05,0.000104862885,4.55E-16,1.04E-19,5.06E-22,2.17E-20,4.84E-13,1.18E-12,1.50E-09,4.84E-27,1.07E-16,2.01E-21,7.36E-18,2.12E-09,1.82E-11,5.51E-11,3.47E-23,5.97E-12,6.59E-21,4.82E-17,1.46E-17,9.73E-09,1.14E-14,5.43E-14,3.42E-05,2.22E-13,0.00700718159,1.48E-15,1.17E-15,4.90E-15,1.71E-14,1.55E-12,3.51E-05,2.75E-05,1.13E-07,5.40E-09,7.95E-06,1.26E-08,5.47E-11,3.95E-11,7.52E-10,7.83E-13,2.44E-07,3.15E-10,1.76E-11,9.34E-21,4.51E-23,5.52E-16,9.66E-10,3.14E-11,0
180,0.000106979972,2751542.92,6720257580000,5.548986826,3.97E-10,1.46E-06,0.775648459,0.0215031971,4.86E-05,3.94E-08,1.78E-08,4.92E-09,7.85E-08,2.33E-06,0.178406086,6.99E-16,1.20E-10,4.61E-15,1.36E-12,3.45E-07,5.24E-12,6.68E-06,0.0164799408,0.000589160175,3.90E-12,1.72E-08,1.54E-11,1.28E-11,1.67E-07,3.38E-15,1.04E-11,1.66E-11,1.45E-21,2.74E-14,5.90E-10,2.67E-10,1.03E-06,5.85E-14,1.22E-10,9.42E-05,0.000104869222,4.54E-16,1.04E-19,5.03E-22,2.17E-20,4.82E-13,1.18E-12,1.50E-09,4.87E-27,1.07E-16,2.01E-21,7.36E-18,2.12E-09,1.82E-11,5.51E-11,3.48E-23,5.85E-12,6.57E-21,4.82E-17,1.41E-17,9.73E-09,1.09E-14,5.24E-14,3.35E-05,2.22E-13,0.00700894284,1.41E-15,9.89E-16,4.90E-15,1.67E-14,1.55E-12,3.48E-05,2.76E-05,1.13E-07,4.58E-09,7.95E-06,1.26E-08,5.46E-11,3.95E-11,7.52E-10,9.23E-13,2.44E-07,2.95E-10,1.76E-11,8.11E-21,4.50E-23,5.52E-16,9.67E-10,3.12E-11,0
180,0.000193476445,2718827.31,5295620240000,5.549162126,7.17E-10,1.31E-06,0.775640909,0.0215043243,4.63E-05,2.82E-08,5.79E-09,9.49E-10,4.30E-08,1.77E-06,0.178413768,3.30E-16,1.02E-10,3.49E-15,1.19E-12,2.87E-07,5.13E-12,6.68E-06,0.0164811925,0.000589233405,3.88E-12,1.47E-08,1.37E-11,1.20E-11,1.67E-07,3.38E-15,1.01E-11,1.66E-11,1.44E-21,1.44E-15,4.38E-10,1.76E-10,1.03E-06,5.82E-14,1.21E-10,9.43E-05,0.000104873774,4.53E-16,1.04E-19,5.00E-22,2.17E-20,4.80E-13,1.18E-12,1.50E-09,4.91E-27,1.07E-16,2.00E-21,7.36E-18,2.12E-09,1.82E-11,5.51E-11,3.49E-23,5.68E-12,6.51E-21,4.82E-17,1.34E-17,9.73E-09,1.03E-14,4.97E-14,3.26E-05,2.22E-13,0.00701067417,1.33E-15,7.93E-16,4.89E-15,1.62E-14,1.55E-12,3.44E-05,2.78E-05,1.13E-07,3.64E-09,7.95E-06,1.26E-08,5.44E-11,3.95E-11,7.50E-10,1.13E-12,2.44E-07,2.63E-10,1.76E-11,6.69E-21,4.48E-23,5.52E-16,9.67E-10,3.11E-11,0
182.928531,0.000349907878,2685822.79,4172279880000,5.549291989,1.28E-09,1.14E-06,0.775636251,0.0215052019,4.38E-05,2.00E-08,1.61E-09,1.12E-10,1.72E-08,1.29E-06,0.178419502,1.25E-16,8.56E-11,2.43E-15,1.00E-12,2.29E-07,5.01E-12,6.68E-06,0.0164820998,0.000589285936,3.86E-12,1.21E-08,1.18E-11,1.12E-11,1.67E-07,3.38E-15,9.74E-12,1.66E-11,1.41E-21,2.76E-16,3.13E-10,1.11E-10,1.03E-06,5.78E-14,2.20E-10,9.43E-05,0.00010487703,4.50E-16,1.03E-19,4.95E-22,2.17E-20,4.76E-13,1.18E-12,1.50E-09,4.96E-27,1.07E-16,1.99E-21,7.35E-18,2.12E-09,1.83E-11,5.51E-11,3.50E-23,5.40E-12,6.40E-21,4.81E-17,1.25E-17,9.73E-09,9.52E-15,4.59E-14,3.15E-05,2.22E-13,0.00701253001,1.25E-15,6.09E-16,4.89E-15,1.55E-14,1.55E-12,3.38E-05,2.79E-05,1.12E-07,2.80E-09,7.95E-06,1.26E-08,5.41E-11,3.95E-11,7.46E-10,1.45E-12,2.44E-07,2.17E-10,1.76E-11,5.27E-21,4.44E-23,5.52E-16,9.67E-10,3.09E-11,0
188.594329,0.000632818752,2652051.59,3286692100000,5.549393106,2.24E-09,9.66E-07,0.775633687,0.021505925,4.10E-05,1.39E-08,4.33E-10,1.17E-11,4.16E-09,9.17E-07,0.178423929,3.37E-17,6.99E-11,1.51E-15,8.19E-13,1.75E-07,4.88E-12,6.68E-06,0.0164827824,0.000589324571,3.80E-12,9.67E-09,9.96E-12,1.03E-11,1.67E-07,3.38E-15,9.16E-12,1.66E-11,1.37E-21,4.26E-16,2.16E-10,6.53E-11,1.03E-06,5.73E-14,5.89E-10,9.43E-05,0.000104879237,4.45E-16,1.02E-19,4.89E-22,2.17E-20,4.70E-13,1.18E-12,1.50E-09,5.02E-27,1.07E-16,1.98E-21,7.34E-18,2.12E-09,1.83E-11,5.51E-11,3.51E-23,5.01E-12,6.19E-21,4.79E-17,1.12E-17,9.73E-09,8.55E-15,4.09E-14,3.00E-05,2.22E-13,0.00701469324,1.16E-15,4.53E-16,4.89E-15,1.46E-14,1.55E-12,3.31E-05,2.81E-05,1.11E-07,2.13E-09,7.95E-06,1.26E-08,5.36E-11,3.95E-11,7.38E-10,1.97E-12,2.44E-07,1.61E-10,1.77E-11,3.99E-21,4.37E-23,5.52E-16,9.68E-10,3.06E-11,0
192.411746,0.00114447144,2617859.68,2588659580000,5.549474889,3.97E-09,7.77E-07,0.775632825,0.021506548,3.76E-05,9.36E-09,6.12E-11,9.91E-13,6.57E-10,6.41E-07,0.178427431,5.60E-18,5.54E-11,7.92E-16,6.40E-13,1.28E-07,4.69E-12,6.68E-06,0.0164833063,0.000589352736,3.70E-12,7.61E-09,8.20E-12,9.35E-12,1.67E-07,3.39E-15,8.33E-12,1.66E-11,1.30E-21,5.24E-16,1.45E-10,3.46E-11,1.03E-06,5.67E-14,7.58E-10,9.43E-05,0.000104881103,4.25E-16,1.00E-19,4.82E-22,2.17E-20,4.61E-13,1.18E-12,1.50E-09,5.08E-27,1.07E-16,1.96E-21,7.28E-18,2.13E-09,1.83E-11,5.51E-11,3.52E-23,4.49E-12,5.82E-21,4.75E-17,9.64E-18,9.73E-09,7.46E-15,3.51E-14,2.81E-05,2.22E-13,0.00701731089,1.05E-15,3.28E-16,4.88E-15,1.35E-14,1.55E-12,3.22E-05,2.84E-05,1.09E-07,1.61E-09,7.96E-06,1.27E-08,5.27E-11,3.96E-11,7.22E-10,2.85E-12,2.45E-07,1.10E-10,1.77E-11,2.92E-21,4.27E-23,5.52E-16,9.68E-10,3.02E-11,0
195.459095,0.00206981047,2583394.28,2038560370000,5.549543532,7.07E-09,5.78E-07,0.775633427,0.0215071017,3.38E-05,6.13E-09,4.65E-12,6.64E-14,9.70E-11,4.43E-07,0.178430271,4.99E-19,4.28E-11,3.33E-16,4.79E-13,9.23E-08,4.39E-12,6.68E-06,0.0164837152,0.000589372312,3.51E-12,6.04E-09,6.67E-12,8.22E-12,1.67E-07,3.39E-15,7.25E-12,1.66E-11,1.18E-21,5.46E-16,9.31E-11,1.57E-11,1.03E-06,5.58E-14,5.07E-10,9.43E-05,0.000104883006,3.78E-16,9.66E-20,4.72E-22,2.17E-20,4.48E-13,1.18E-12,1.50E-09,5.11E-27,1.07E-16,1.93E-21,7.06E-18,2.13E-09,1.83E-11,5.52E-11,3.52E-23,3.86E-12,5.23E-21,4.63E-17,7.90E-18,9.73E-09,6.33E-15,2.88E-14,2.57E-05,2.22E-13,0.0070205104,9.28E-16,2.35E-16,4.88E-15,1.21E-14,1.55E-12,3.09E-05,2.87E-05,1.06E-07,1.21E-09,7.96E-06,1.27E-08,5.10E-11,3.97E-11,6.93E-10,4.43E-12,2.45E-07,7.05E-11,1.78E-11,2.10E-21,4.13E-23,5.52E-16,9.68E-10,2.97E-11,0
