Filename,Element,Planet mass,Earth Flux,Planet radius,Planet mass [kg],Atmospheric mass [kg],Height [m],Density [kg/m^3],Temperature [K],MMW [g/mol],Effective scale height h [m]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,0.0,24.40173397306975,1940.81,5.357136710727961,301049.9120059066
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,178493.975,14.978827697469775,1753.69699,5.373868334878231,286733.66210493963
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,348499.781,9.26099665572168,1577.82021,5.406242256336853,270042.7780632249
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,508609.483,5.794032397058716,1411.41816,5.471954794349126,250275.09208919533
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,656998.835,3.6377019026740967,1259.96419,5.5464718003803615,230113.05008098358
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,793434.019,2.2607343975425565,1121.75456,5.550147257105436,212830.82312532506
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,919622.487,1.408414997096877,995.621825,5.550189215804879,195667.57967663422
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1035634.78,0.880361689457454,880.718758,5.55017584284543,178684.58767993186
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1141577.78,0.5521978574175244,776.385552,5.550168168277199,162092.5197523439
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1237683.25,0.3475646283862919,682.041272,5.55016414412745,146091.4969040451
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1324301.64,0.2195104386877372,597.125005,5.550161939310244,130854.56821102831
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1401885.97,0.1390925344175954,521.063794,5.550160684496165,116518.61999611996
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1470970.45,0.0884120321447749,453.270727,5.550160028269598,103182.69466749851
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1532147.99,0.0563609486954702,393.15618,5.550159726024789,90910.79219338512
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1586049.46,0.0360203653367764,340.149352,5.550159465508662,79738.56702919444
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1633326.86,0.0230003316400892,294.549319,5.55015921759798,69878.07033198324
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1674757.92,0.0143735723442173,260.616415,5.550159011050276,62474.44122537007
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1711799.33,0.0085574475815191,242.045273,5.550158849420326,58562.080174006245
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1746521.08,0.0048788325004293,234.7466,5.550158674162331,57288.831336955205
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1780487.92,0.0027204109887165,232.785036,5.550158423483604,57290.06656654871
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1814455.49,0.0014944586030741,234.304181,5.550158014756228,58149.061212027016
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1848932.36,0.0008132521369124,238.074584,5.550157249621519,59587.225792945865
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1884261.93,0.0004413636029859,242.558218,5.550155727068415,61236.24005489956
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1920569.2,0.0002377412338345,248.990143,5.550152890241076,63418.24168390987
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1958170.2,0.000127269901307,257.178688,5.55014825104751,66103.68580263603
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,1997363.41,6.958154957455291e-05,260.100046,5.550141363215801,67489.85009782304
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2037378.48,3.910398153704962e-05,255.909956,5.550131879210782,67043.84843304672
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2077129.11,2.2212945213446484e-05,249.100975,5.550119487770866,65883.0649145628
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2116191.52,1.26366775610759e-05,242.115069,5.550103786422307,64633.34462443022
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2154512.95,7.161818512046207e-06,236.21325,5.550084138583212,63632.81538110449
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2192241.17,4.042865836042234e-06,231.371956,5.550059875494358,62885.66410695851
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2229526.4,2.2781964169728616e-06,227.028809,5.550030569559602,62247.82817379006
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2266433.45,1.2843938629599743e-06,222.661744,5.549996235312705,61579.574930028226
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2302944.29,7.255688003977557e-07,217.939808,5.549957314791203,60788.27560955684
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2338985.97,4.106556494938818e-07,212.916044,5.54991447388016,59885.46498501459
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2374492.36,2.3225174538123334e-07,208.160334,5.549868363997352,59029.953854664935
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2409491.52,1.3056748646546784e-07,204.73519,5.549819770884325,58527.98297811581
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2444193.05,7.275210979020577e-08,203.166616,5.5497689174296605,58543.22805071272
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2478903.63,4.0371322789773693e-08,202.439474,5.549716000146888,58797.67972834836
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2513765.07,2.2478472138817933e-08,201.034914,5.549661286563918,58854.3532206085
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2548660.11,1.2585647935861525e-08,198.532965,5.549604416938015,58583.01996189771
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2583394.28,7.068413345538136e-09,195.459095,5.549543532349781,58129.71159019017
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2617859.68,3.970226184565383e-09,192.411746,5.549474888848176,57668.44510306086
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2652051.59,2.239681076508421e-09,188.594329,5.549393105565606,56958.85557873733
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2685822.79,1.2767322548813862e-09,182.928531,5.5492919889846215,55665.77986946621
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2718827.31,7.174191864437872e-10,180.0,5.549162126153686,55178.495556135735
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2751542.92,3.9667392036129256e-10,180.0,5.548986826235864,55580.777864408374
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2784497.04,2.193254259442768e-10,180.0,5.548743463031545,55988.156919055866
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2817692.69,1.21265345154884e-10,180.0,5.548402924379122,56401.013542803215
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2851133.12,6.704611480450724e-11,180.0,5.547924221270207,56819.863094787936
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,6311626.9462,5.9720425295e+24,4.62168341290125e+21,2884821.88,3.706766034783567e-11,180.0,5.547249506374302,57245.41281578263
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,0.0,23.654659586849853,1940.6005067,5.192564057462681,10947146.89469635
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,6505780.434513601,15.27551464468466,1693.4035791488575,5.291891901212223,10430843.738656843
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,12191720.064218756,9.7170257429527,1478.7289906614117,5.316210887805118,9910420.720329134
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,17222667.47842996,6.250252048753697,1285.1506073117664,5.3747397091714,9187783.893808197
