species,Mdot_kg_s,lambda_j,n_exo_m3,v_th_m_s,effusion_velocity_m_s
H2,124.36433462493765,1.4620982721953106,237595504.41260913,5756.547900990428,926.5766733034451
N,54.32896019649618,10.234687905367174,55495322832.77488,2175.7705937502205,0.24757153074166782
H,26.638381325221204,0.7310491360976553,49279986.44660336,8140.988114031036,1913.7754468379824
O,0.014167965989253118,11.696786177562485,51687430.074932255,2035.247028507759,0.06065356192989105
N2,0.013249951263678363,20.46937581073435,139487197121.42157,1538.5021411470616,1.2010902140627265e-05
CO,2.1512954700018664e-06,20.46937581073435,22647492.758193426,1538.5021411470616,1.2010902140627265e-05
OH,1.8826102656453122e-07,12.427835313660141,1308.735226813225,1974.479640649875,0.02995804269816606
C,1.6805360507047092e-07,8.772589633171863,49.39879504389148,2350.1008395526815,1.0037000790855775
O2,2.9706126055799447e-10,23.39357235512497,47937.62882032402,1439.136975247607,6.856038055979943e-07
S,1.6991970832862935e-10,23.39357235512497,27420.431367641497,1439.136975247607,6.856038055979943e-07
NO,1.8386657354438675e-11,21.93147408292966,755.4572522109902,1486.3342768120795,2.872270647376848e-06
H2O,1.1623804198636078e-11,13.158884449757796,0.1547018253968673,1918.8493003301428,0.014778626354420359
NH3,1.0155937862858618e-11,12.427835313660141,0.07060108980067267,1974.479640649875,0.02995804269816606
CO2,1.003859950431356e-11,32.16616198829684,6558730.195651567,1227.300136226545,1.2315567034179122e-10
N2O,1.828695259878119e-14,32.16616198829684,11947.800900368378,1227.300136226545,1.2315567034179122e-10
CH4,5.708562292159204e-16,11.696786177562485,2.0825919156510365e-06,2035.247028507759,0.06065356192989105
SO2,6.769493556755635e-33,46.78714471024994,5.695546733741764e-09,1017.6235142538795,6.574981150756167e-17
NO2,5.852467548576859e-34,33.62826026049215,1.545534950467845e-15,1200.3232125665027,2.9144464407017834e-11
H2S,2.0354541761283367e-38,24.855670627320283,1.2972635027969325e-23,1396.1679432183041,1.6338340373161265e-07
S2,0.0,46.78714471024994,0.0,1017.6235142538795,6.574981150756167e-17
