species,Mdot_kg_s,lambda_j,n_exo_m3,v_th_m_s,effusion_velocity_m_s
N,190.58739203661102,9.902589321530716,135092588389.30212,2177.71072407684,0.335185337419219
H,123.2067409003764,0.7073278086807654,211834771.03620866,8148.247416998936,1934.5841510561943
C,0.055177139866362315,8.487933704169185,11796436.081039403,2352.1964198140045,1.296514933955075
O,0.014643912221168405,11.317244938892246,35366469.09703299,2037.061854249734,0.08607872682861098
S,1.5133696159006804e-10,22.634489877784493,11075.133520547211,1440.4202508364294,1.420353562390585e-06
NO2,0.0,32.537079199315215,0.0,1201.393538396411,8.412627178397403e-11
SO2,0.0,45.268979755568985,0.0,1018.530927124867,2.9079779069118485e-16
OH,0.0,12.024572747573012,0.0,1976.2402802325228,0.04353040514409538
CO,0.0,19.80517864306143,0.0,1539.8740204574,2.2634552434345414e-05
CH4,0.0,11.317244938892246,0.0,2037.061854249734,0.08607872682861098
NO,0.0,21.21983426042296,0.0,1487.6596381411737,5.675217851917038e-06
H2O,0.0,12.731900556253775,0.0,1920.5603344485726,0.021986672984322667
H2S,0.0,24.049145495146025,0.0,1397.4129034064197,3.548963635660602e-07
N2O,0.0,31.12242358195368,0.0,1228.3945173258194,3.3903490815855474e-10
S2,0.0,45.268979755568985,0.0,1018.530927124867,2.9079779069118485e-16
H2,0.0,1.4146556173615308,0.0,5761.681003345718,953.7232037743065
N2,0.0,19.80517864306143,0.0,1539.8740204574,2.2634552434345414e-05
NH3,0.0,12.024572747573012,0.0,1976.2402802325228,0.04353040514409538
CO2,0.0,31.12242358195368,0.0,1228.3945173258194,3.3903490815855474e-10
O2,0.0,22.634489877784493,0.0,1440.4202508364294,1.420353562390585e-06
