file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,M_total_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index,unphysical_extension
H2_atmosphere_1_M_earth_1_F_earth.csv,200,H2,1_M_earth,1_F_earth,3.208783220084817e-06,3.543057492657206e-06,H,25.07713021352359,3.543057492657206e-06,True,199.77270369451278,3257.679190437926,9569306.136637926,420.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,300,H2,1_M_earth,1_F_earth,0.009237659650272685,0.010199990773340759,H,16.511894221887843,0.010199990773340759,True,298.66883112826645,3409.2989133702927,9720925.859570293,422.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,500,H2,1_M_earth,1_F_earth,4.252354103423225,4.695342138808313,H,9.624072985635047,4.695342138808313,True,496.61794287755237,3718.654432187764,10030281.378387764,426.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,H2,1_M_earth,1_F_earth,272.93720129722806,301.3703730523343,H,4.459471450796313,301.3703730523343,True,992.2277335400906,4522.6437228900395,10834270.66909004,435.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,H2,1_M_earth,1_F_earth,1302.2084931589707,1437.8657731877204,H,1.9169452952975414,1437.86577078871,True,1986.2925800749954,6278.8299701945425,12590456.916394543,454.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,3000,H2,1_M_earth,1_F_earth,1718.2540042333292,1897.2705909530139,H,1.1063956920682596,1897.251094536954,False,2982.9179819937585,8214.259425921682,14525886.372121682,472.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,4000,H2,1_M_earth,1_F_earth,1800.3741307763025,1988.9703315123093,H,0.725221824807758,1987.8333165527379,False,3980.9335586879797,10293.363739562006,16604990.685762007,488.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,5000,H2,1_M_earth,1_F_earth,1739.225523437416,1929.562794512845,H,0.5107096283419571,1919.5957595191683,False,4980.176993316986,12536.821567678435,18848448.513878435,504.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,6000,H2,1_M_earth,1_F_earth,1647.8844238642153,1852.2771068932495,H,0.37768561045565213,1816.7081886331455,False,5980.037408412508,14913.978708829736,21225605.655029736,519.0,False
H2_atmosphere_1_M_earth_1_F_earth.csv,7000,H2,1_M_earth,1_F_earth,1577.1909837528742,1814.3403865911769,H,0.2899760009998017,1735.2966913153807,False,6980.012419164133,17373.525223349476,23685152.169549473,532.0,False
H2_atmosphere_1_M_earth_1000_F_earth.csv,200,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,300,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,500,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,1000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,2000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,3000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,4000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,5000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,6000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_1_M_earth_1000_F_earth.csv,7000,H2,1_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1_F_earth.csv,200,H2,10_M_earth,1_F_earth,88.68689637562638,88.68689637855526,H,8.809624988285664,88.68689637855526,True,199.98723010012938,153603.28595096947,272103885.95096946,728.0,False
H2_atmosphere_10_M_earth_1_F_earth.csv,300,H2,10_M_earth,1_F_earth,1825.5299124674946,1825.5299125277827,H,5.104297885504343,1825.5299125277827,True,299.9735434759134,194593.91964079428,313094519.6407943,745.0,False
H2_atmosphere_10_M_earth_1_F_earth.csv,500,H2,10_M_earth,1_F_earth,11842.510555665698,11842.510556056797,H,2.3976031843625916,11842.510556056797,True,499.9591781513258,281428.10667896585,399928706.67896587,774.0,False
H2_atmosphere_10_M_earth_1_F_earth.csv,1000,H2,10_M_earth,1_F_earth,22380.6848530054,22380.68485374543,H,0.7507325104320777,22380.684853744515,False,999.9519997944567,520101.07638447784,638601676.3844779,830.0,False
H2_atmosphere_10_M_earth_1_F_earth.csv,2000,H2,10_M_earth,1_F_earth,18696.205227180195,18696.20522825029,H,0.2044067156127909,18696.205227797633,False,1999.958556271883,1054176.0417966298,1172676641.7966297,903.0,False
H2_atmosphere_10_M_earth_1_F_earth.csv,3000,H2,10_M_earth,1_F_earth,15479.853539783133,15479.85354142975,H,0.09123611000841397,15479.853540294353,False,2999.9651288178675,1633004.7336341527,1751505333.6341527,951.0,False
H2_atmosphere_10_M_earth_1_F_earth.csv,4000,H2,10_M_earth,1_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1_F_earth.csv,5000,H2,10_M_earth,1_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1_F_earth.csv,6000,H2,10_M_earth,1_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1_F_earth.csv,7000,H2,10_M_earth,1_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1000_F_earth.csv,200,H2,10_M_earth,1000_F_earth,154.5151590300892,154.51515957348772,H,8.18066177687477,154.51515957348772,True,199.98510416466013,174526.87639682973,293027476.3968297,717.0,False
