Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
180.0	1e-05	491644.335	1340854480000.0	26.720610136490702	1.7855164071640007e-10	4.52858369e-09	0.0549110998	0.000125550262	2.9010329e-05	6.60394975e-10	4.21932525e-10	2.25253884e-10	4.14265546e-12	1.75310585e-09	8.00653164e-05	6.89256885e-20	1.46808302e-14	6.76778553e-19	2.33298464e-16	5.42449683e-11	4.17325798e-16	3.32422033e-11	0.000121403675	3.02624624e-07	1.3687634999999999e-18	5.38627156e-11	3.11435294e-14	2.78750828e-16	6.53740084e-12	4.3900450800000004e-20	4.59060163e-16	3.38288491e-15	6.47263253e-27	3.87652176e-06	3.29394483e-09	2.58011675e-08	6.76207411e-06	9.90374645e-13	1.13343767e-08	0.921338089	0.000296377036	1.5244158600000002e-15	1.71360369e-19	5.0605408500000005e-20	1.9293010999999997e-18	7.004180620000001e-15	9.23187112e-13	9.78482671e-11	2.00053081e-27	1.13118427e-16	0.0	3.49848492e-21	8.02117918e-10	4.02278488e-13	2.2057392300000004e-15	1.381594e-23	5.02935006e-10	1.1019089200000001e-26	4.97360585e-21	2.206067e-18	4.74582088e-10	3.53255701e-15	1.28047178e-14	3.63035032e-05	3.65205656e-16	0.0230289012	0.0	2.53639363e-20	1.5880666899999999e-19	0.0	0.0	8.41405533e-06	7.26995307e-06	1.72403581e-10	2.29281422e-13	2.56404238e-06	3.74168477e-06	4.92064391e-08	4.45100851e-12	7.647213130000001e-15	4.62742832e-11	1.68143663e-07	2.06607721e-12	1.17759026e-10	0.0	0.0	3.1711538500000004e-15	2.68911953e-10	1.61745706e-11	0.0
180.0	1.86356612e-05	487594.632	1044714070000.0	26.72149113699469	3.327537591130328e-10	4.48839914e-09	0.0548780064	0.000125541621	2.88456423e-05	6.41109369e-10	4.18633131e-10	2.07514877e-10	4.20364212e-12	1.74340006e-09	8.00578229e-05	6.846467780000001e-20	1.46276606e-14	6.70485984e-19	2.32346913e-16	5.42451159e-11	4.1733202e-16	3.32439648e-11	0.000121407821	3.0267526e-07	1.36884013e-18	5.38648017e-11	3.10961369e-14	2.7681764e-16	6.53786016e-12	4.39074627e-20	4.59034629e-16	3.3833983000000004e-15	6.4734216e-27	3.65498384e-06	3.24738962e-09	2.56235073e-08	6.7622453e-06	9.90142074e-13	1.04314703e-08	0.921369591	0.0002963539	1.5217543200000001e-15	1.71346458e-19	5.0597539500000004e-20	1.9294468899999998e-18	7.0042446e-15	9.23007922e-13	9.786595e-11	2.00151007e-27	1.13137316e-16	0.0	3.498606060000001e-21	8.02152741e-10	4.0230315e-13	2.2061193e-15	1.38196238e-23	5.03009216e-10	1.10205756e-26	4.974036910000001e-21	2.20652418e-18	4.74650429e-10	3.5328827400000002e-15	1.28075806e-14	3.61820492e-05	3.65280813e-16	0.0230310383	0.0	2.5365400100000003e-20	1.58828293e-19	0.0	0.0	8.40680005e-06	7.2735358e-06	1.72437523e-10	1.30730467e-13	2.56478507e-06	3.74336365e-06	4.92106001e-08	4.45244871e-12	7.649620290000001e-15	4.67956979e-11	1.68414481e-07	2.06644517e-12	1.17822631e-10	0.0	0.0	3.1725143500000004e-15	2.6896748e-10	1.61759686e-11	0.0
180.0	3.47287868e-05	483549.841	813805705000.0	26.722105789218638	6.201228949835751e-10	4.41028549e-09	0.0548552361	0.000125535761	2.85547176e-05	6.04916003e-10	4.12124546e-10	1.75055276e-10	4.37550644e-12	1.72404258e-09	8.00527215e-05	6.714200360000001e-20	1.45228479e-14	6.58134381e-19	2.30468762e-16	5.42411102e-11	4.17308145e-16	3.32452041e-11	0.000121410727	3.02710294e-07	1.36887674e-18	5.38642191e-11	3.10009429e-14	2.73044197e-16	6.53818173e-12	4.39123137e-20	4.5889437000000005e-16	3.3837529500000005e-15	6.47364069e-27	3.25769689e-06	3.15835434e-09	2.52729044e-08	6.76236837e-06	9.89348159e-13	8.83164118e-09	0.921391681	0.000296339086	1.51398519e-15	1.71289694e-19	5.05781018e-20	1.9295618699999997e-18	7.003483100000001e-15	9.22413009e-13	9.7882952e-11	2.00297801e-27	1.1315031100000001e-16	0.0	3.49855348e-21	8.02176963e-10	4.02320256e-13	2.20639539e-15	1.38235168e-23	5.03055723e-10	1.1022847000000001e-26	4.97433496e-21	2.20676988e-18	4.74697645e-10	3.5327446800000002e-15	1.280919e-14	3.59392484e-05	3.65332701e-16	0.0230326827	0.0	2.53627374e-20	1.58843234e-19	0.0	0.0	8.39176036e-06	7.27764692e-06	1.72458341e-10	7.87882722e-14	2.56530394e-06	3.74474579e-06	4.9202619e-08	4.45344448e-12	7.651224650000001e-15	4.7784753e-11	1.686013e-07	2.06670867e-12	1.17866562e-10	0.0	0.0	3.1734526800000002e-15	2.69008562e-10	1.61747739e-11	0.0
180.0	6.47193904e-05	479509.928	633804403000.0	26.722538515134094	1.1556587300136314e-09	4.29302317e-09	0.0548395735	0.000125531837	2.81283735e-05	5.54017514e-10	4.0186603e-10	1.31621939e-10	4.74065855e-12	1.69348603e-09	8.00492795e-05	6.42389151e-20	1.43637126e-14	6.39471498e-19	2.27615918e-16	5.42286206e-11	4.172257e-16	3.32460897e-11	0.000121412787	3.02734607e-07	1.36886364e-18	5.3858659e-11	3.08549048e-14	2.67427308e-16	6.53840955e-12	4.39156898e-20	4.58536893e-16	3.3839984600000004e-15	6.47306914e-27	2.73834349e-06	3.02839327e-09	2.4739236e-08	6.76245919e-06	9.87476082e-13	6.79147806e-09	0.921407342	0.00029632999	1.4969691300000001e-15	1.71153446e-19	5.0546775000000004e-20	1.92965956e-18	7.0012727100000006e-15	9.21011359e-13	9.79058177e-11	2.00501971e-27	1.13159186e-16	0.0	3.498240470000001e-21	8.0219393e-10	4.02332179e-13	2.20660382e-15	1.38279328e-23	5.03076805e-10	1.1027059900000001e-26	4.974540560000001e-21	2.2067766199999998e-18	4.74730339e-10	3.5318079400000005e-15	1.28094406e-14	3.55683372e-05	3.65368591e-16	0.0230340353	0.0	2.53525382e-20	1.58853584e-19	0.0	0.0	8.36854831e-06	7.2825728e-06	1.72464241e-10	5.03114608e-14	2.56567057e-06	3.74598632e-06	4.91741897e-08	4.45413743e-12	7.65215121e-15	4.9289558e-11	1.6873017e-07	2.06691278e-12	1.17897042e-10	0.0	0.0	3.1741003400000004e-15	2.69040483e-10	1.61711875e-11	0.0
180.0	0.000120608863	475474.863	493518254000.0	26.72284717377128	2.1536713266453624e-09	4.13309275e-09	0.0548288066	0.000125529267	2.75477806e-05	4.9157623e-10	3.86225878e-10	8.33872762e-11	5.41321514e-12	1.64848126e-09	8.00469928e-05	5.87530111e-20	1.41434682e-14	6.138375739999999e-19	2.23666539e-16	5.41972673e-11	4.17015983e-16	3.32467383e-11	0.000121414266	3.02751554e-07	1.36876525e-18	5.38423023e-11	3.06505316e-14	2.59885557e-16	6.53857401e-12	4.39180774e-20	4.577477930000001e-16	3.38416896e-15	6.47112787e-27	2.16622695e-06	2.85857512e-09	2.39980796e-08	6.76252839e-06	9.83597022e-13	4.66096929e-09	0.921418602	0.000296324645	1.46471655e-15	1.7087519599999999e-19	5.05022469e-20	1.92975021e-18	6.99641916e-15	9.18091077e-13	9.79474009e-11	2.00777904e-27	1.13165079e-16	0.0	3.49751194e-21	8.02205941e-10	4.02340554e-13	2.20677065e-15	1.3833192700000002e-23	5.03065603e-10	1.1035831700000001e-26	4.97467802e-21	2.20640469e-18	4.74753054e-10	3.5292365200000004e-15	1.28076028e-14	3.50523397e-05	3.65393496e-16	0.0230352473	0.0	2.53268949e-20	1.58860777e-19	0.0	0.0	8.33609353e-06	7.28862394e-06	1.72446359e-10	3.40558159e-14	2.5659347e-06	3.7472093e-06	4.91090514e-08	4.45462917e-12	7.65230885e-15	5.14141121e-11	1.68819086e-07	2.06710346e-12	1.17918487e-10	0.0	0.0	3.1745479200000003e-15	2.69067096e-10	1.61651764e-11	0.0
180.0	0.000224762591	471444.625	384209334000.0	26.723071749541845	4.013542649550911e-09	3.92517967e-09	0.0548214127	0.000125527655	2.67845481e-05	4.22220235e-10	3.61510064e-10	3.99212385e-11	6.50436344e-12	1.58359393e-09	8.00455151e-05	4.99066307e-20	1.3851427e-14	5.80259097e-19	2.18429074e-16	5.41233416e-11	4.16521627e-16	3.32472312e-11	0.000121415346	3.02763437e-07	1.3684919399999998e-18	5.38016496e-11	3.03756118e-14	2.50283968e-16	6.53869612e-12	4.39198452e-20	4.56111163e-16	3.3842879700000004e-15	6.4666131e-27	1.61644121e-06	2.65039029e-09	2.30116676e-08	6.76258245e-06	9.76214096e-13	2.83114928e-09	0.921426849	0.000296321545	1.4107427600000002e-15	1.70363596e-19	5.0442238400000005e-20	1.9298421e-18	6.986787070000001e-15	9.12486498e-13	9.80356287e-11	2.01148532e-27	1.13168591e-16	0.0	3.496156290000001e-21	8.02214583e-10	4.02346503e-13	2.20691519e-15	1.38396486e-23	5.02998136e-10	1.1055174400000001e-26	4.9747495400000006e-21	2.2052885499999998e-18	4.7476892e-10	3.5231352200000004e-15	1.28016767e-14	3.43642279e-05	3.65410886e-16	0.0230364388	0.0	2.52688397e-20	1.58865802e-19	0.0	0.0	8.29258644e-06	7.2961407e-06	1.72382539e-10	2.43142865e-14	2.56613122e-06	3.74852184e-06	4.89793654e-08	4.45499922e-12	7.65123121e-15	5.43316541e-11	1.68880463e-07	2.0673416e-12	1.1793425e-10	0.0	0.0	3.17485781e-15	2.69091329e-10	1.61564986e-11	0.0
180.0	0.000418859949	467419.199	299055364000.0	26.72324012323614	7.479549217607143e-09	3.66261409e-09	0.0548163438	0.000125526736	2.58001312e-05	3.51418133e-10	3.22351249e-10	1.18200095e-11	8.02219051e-12	1.49116913e-09	8.00446101e-05	3.8391994100000004e-20	1.34731926e-14	5.37603776e-19	2.11646902e-16	5.39553025e-11	4.15392695e-16	3.32476259e-11	0.000121416151	3.02771841e-07	1.36783743e-18	5.37071926e-11	3.00125965e-14	2.38434081e-16	6.5387906e-12	4.3921324600000005e-20	4.52870607e-16	3.3843717300000003e-15	6.45727167e-27	1.14718796e-06	2.40549826e-09	2.1730483e-08	6.76262372e-06	9.63151717e-13	1.55663486e-09	0.921433047	0.000296319673	1.33085144e-15	1.6950218399999999e-19	5.03634742e-20	1.92994258e-18	6.968564070000001e-15	9.02478672e-13	9.82326789e-11	2.0165038400000002e-27	1.13169752e-16	0.0	3.4939470200000005e-21	8.02220972e-10	4.02350809e-13	2.20705253e-15	1.3847697800000002e-23	5.02814544e-10	1.10987658e-26	4.97469934e-21	2.20258988e-18	4.74780097e-10	3.5094338100000004e-15	1.27869303e-14	3.34666958e-05	3.65423188e-16	0.0230377131	0.0	2.51439063e-20	1.58869334e-19	0.0	0.0	8.23529666e-06	7.3054765e-06	1.72224797e-10	1.81151695e-14	2.56628491e-06	3.75002439e-06	4.87418271e-08	4.45532434e-12	7.64769898e-15	5.83106509e-11	1.68922867e-07	2.06771649e-12	1.17947376e-10	0.0	0.0	3.1750730500000004e-15	2.69115551e-10	1.61447072e-11	0.0
180.0	0.00078057321	463398.568	232732808000.0	26.723372425979594	1.393870352322213e-08	3.3381452e-09	0.0548128784	0.000125526331	2.4545237e-05	2.83873904e-10	2.68110193e-10	1.73522613e-12	9.77919691e-12	1.3629684e-09	8.00441178e-05	2.70465721e-20	1.29913284e-14	4.84888846e-19	2.0301348400000001e-16	5.35899436e-11	4.12874012e-16	3.32479642e-11	0.000121416767	3.02777861e-07	1.3663451e-18	5.34997174e-11	2.95379376e-14	2.24092821e-16	6.53886796e-12	4.39229201e-20	4.46736588e-16	3.38443153e-15	6.43920236e-27	7.83626629e-07	2.12492571e-09	2.00961996e-08	6.76264884e-06	9.41527693e-13	8.15691664e-10	0.9214379	0.000296318537	1.22490555e-15	1.68145864e-19	5.02616407e-20	1.9300590099999997e-18	6.93478412e-15	8.85782163e-13	9.86761178e-11	2.0234186600000002e-27	1.1316780200000001e-16	0.0	3.49065445e-21	8.02225915e-10	4.02354021e-13	2.2071953e-15	1.38577587e-23	5.02377995e-10	1.11967894e-26	4.97427232e-21	2.19649537e-18	4.7478809e-10	3.4798821800000005e-15	1.27527845e-14	3.23119613e-05	3.65432148e-16	0.0230391658	0.0	2.4886917e-20	1.58871811e-19	0.0	0.0	8.16018504e-06	7.31692975e-06	1.71875326e-10	1.39047776e-14	2.56641384e-06	3.75181789e-06	4.83334791e-08	4.45570724e-12	7.638930470000001e-15	6.37608708e-11	1.68952209e-07	2.06833769e-12	1.17961679e-10	0.0	0.0	3.17522337e-15	2.69141828e-10	1.61291378e-11	0.0
180.0	0.00145464979	459382.722	181087472000.0	26.723483514707155	2.5975803652966364e-08	2.94610367e-09	0.0548105181	0.000125526324	2.29610711e-05	2.22117977e-10	2.08061714e-10	1.65250326e-13	1.15576433e-11	1.19454372e-09	8.00439308e-05	1.8244590200000002e-20	1.23873618e-14	4.21868881e-19	1.92214722e-16	5.28421108e-11	4.0740185e-16	3.32482768e-11	0.000121417261	3.02782268e-07	1.36303508e-18	5.3072894e-11	2.89222149e-14	2.07022615e-16	6.53893578e-12	4.3925300300000003e-20	4.35669381e-16	3.3844753e-15	6.40617476e-27	5.20561865e-07	1.80996479e-09	1.80464617e-08	6.76264431e-06	9.07835258e-13	4.2157421e-10	0.921441938	0.000296317979	1.0956162500000001e-15	1.66091266e-19	5.0131417600000005e-20	1.93019917e-18	6.8730642900000005e-15	8.59682493e-13	9.96641695e-11	2.03312902e-27	1.13160729e-16	0.0	3.4859440900000005e-21	8.0223004e-10	4.02356534e-13	2.20735503e-15	1.38700984e-23	5.01388941e-10	1.14118947e-26	4.972519260000001e-21	2.1832722599999997e-18	4.74793954e-10	3.41906589e-15	1.2676615e-14	3.08424976e-05	3.65439095e-16	0.0230408921	0.0	2.4386342800000002e-20	1.58873412e-19	0.0	0.0	8.06115151e-06	7.33056055e-06	1.71143121e-10	1.08220423e-14	2.56653157e-06	3.75400655e-06	4.76665153e-08	4.45632954e-12	7.618975520000001e-15	7.13138047e-11	1.6897257e-07	2.06924334e-12	1.17983788e-10	0.0	0.0	3.1753293800000004e-15	2.69172085e-10	1.61088824e-11	0.0
180.0	0.00271083606	455371.651	140878721000.0	26.72358465268976	4.8407810740233334e-08	2.4874935e-09	0.0548089142	0.000125526634	2.09853333e-05	1.66694738e-10	1.49862521e-10	2.45544495e-14	1.33144115e-11	9.90844835e-10	8.00439732e-05	1.2021419e-20	1.16463212e-14	3.4996671999999997e-19	1.79017473e-16	5.1406743e-11	3.9593718e-16	3.32485852e-11	0.000121417681	3.02785607e-07	1.3558772599999999e-18	5.22514463e-11	2.81325996e-14	1.87178946e-16	6.5389994e-12	4.3929770100000004e-20	4.16781096e-16	3.38450861e-15	6.34937351e-27	3.37721369e-07	1.46678431e-09	1.55300365e-08	6.76257747e-06	8.58260201e-13	2.14234355e-10	0.92144557	0.000296317929	9.47314345e-16	1.63033015e-19	4.9966749700000004e-20	1.9303712999999997e-18	6.763681470000001e-15	8.21446497e-13	1.01823808e-10	2.0468222e-27	1.13144547e-16	0.0	3.479186050000001e-21	8.02233889e-10	4.02358635e-13	2.2075430900000002e-15	1.38841347e-23	4.99215837e-10	1.1859482700000001e-26	4.966243230000001e-21	2.15569638e-18	4.7479843e-10	3.3015184300000003e-15	1.25127407e-14	2.89947184e-05	3.65445149e-16	0.023042989	0.0	2.34707451e-20	1.58873874e-19	0.0	0.0	7.92867302e-06	7.3457613e-06	1.69673409e-10	8.374740980000001e-15	2.56664863e-06	3.75669288e-06	4.66225609e-08	4.4575567e-12	7.575835260000001e-15	8.19651806e-11	1.68986768e-07	2.07003851e-12	1.18027516e-10	0.0	0.0	3.17540541e-15	2.69208116e-10	1.60827532e-11	0.0
