Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
1734.873283	825629962.489999	0.0	243491.09301633167	42.38486189809305	2426.154415678283	2.7681189868754586e-07	0.0002708949120969	0.0098947360742722	1.1652123260494217e-07	8.14123724511709e-11	3.1890841195711055e-19	4.000282119620182e-20	2.1834107611765526e-16	4.1208805652192033e-13	4.69570164703436e-11	8.834884601708737e-25	1.7098992124086147e-14	4.844742470890978e-20	3.3513891141158424e-19	1.4487401222766862e-16	4.6820370832365675e-21	6.062792477586339e-20	0.0875655582651453	0.8989100641894413	6.053894425798397e-14	8.345409613134079e-09	5.928672145971281e-09	4.071894889895002e-15	6.151934494181805e-13	3.145547622306545e-16	1.327999139405062e-09	5.181818665693997e-12	5.171046679375491e-15	8.602236958772386e-15	7.299880182964688e-14	7.206908778365267e-15	1.4841798240554492e-09	6.659625635187617e-09	3.765584715207643e-12	0.000506723100942	2.8017155185037283e-09	4.803757902965183e-17	7.358860752085062e-14	2.3764922524324116e-20	2.930056970298417e-20	1.007514358177439e-12	1.1632088453992141e-15	1.5672371230983392e-08	4.4313129918121786e-14	2.8267920719511944e-13	1.8640908930729103e-25	7.354200651470009e-20	2.069438624022879e-15	2.877091088731331e-19	5.068590217785067e-16	9.172303321331193e-14	2.3864341725620337e-12	1.0125964758389354e-12	7.077205243215804e-12	8.019226581189468e-21	4.047831748587132e-17	9.269816372396507e-18	6.354696851256081e-23	2.349215381242256e-06	1.366180676558034e-07	5.0436506694641976e-05	1.616017317022411e-22	2.0687247890701972e-24	1.2305720683192736e-22	0.0	0.0	6.821939108320607e-08	2.102448735155067e-05	1.8907360847437224e-05	2.2640265304133493e-09	0.000686335560255	7.646465676781252e-08	3.811653059869573e-10	3.554783906159814e-07	0.0020683145756331	9.057188026089368e-12	1.2881101532136076e-21	4.1092653632642766e-12	3.1493434378909166e-08	1.8422386927184118e-30	5.523180011807623e-31	3.54911598118413e-06	4.580350729167778e-14	8.196328446962358e-15	9.237156656481722e-17	6.909596447474572e-18	1.8122080569643452e-17	0.0	0.0
1367.9713531084149	434960417.0534191	770687.6875344984	735400.9286820522	42.47029294497781	1624.2316538754362	1.4459856475386796e-09	0.0004205482248237	0.009518454160458	3.049324202515703e-09	8.068754899949272e-15	8.474232967719468e-23	1.1672988813094516e-24	2.6567775080861734e-18	4.5320706092458733e-13	3.089889565125897e-09	3.189070576097179e-29	3.998960751724901e-14	2.2180336813311235e-22	2.2009559324977496e-19	8.967544019146611e-15	8.092637917549391e-20	4.3324778203000986e-17	0.0815680429309798	0.9051248100344242	8.407823647990482e-15	6.934088346177156e-09	3.036730265740764e-10	2.8166991958282143e-16	2.646443734041689e-12	3.549865204894422e-16	8.777115164581543e-14	1.3078110475073479e-11	1.9972462008944275e-16	1.7321924607284156e-18	1.2760971535394463e-16	3.150146626729401e-17	1.709996712968614e-09	1.0568607158769849e-11	1.488554236737377e-13	0.0005077469557133	8.691217414195261e-09	8.325011867057283e-19	6.513835672269686e-16	3.1052777760635865e-22	4.4785035560236605e-21	1.25826251152659e-15	1.876053572638188e-16	1.1632500538580688e-08	1.1939252461481122e-18	3.375856191279878e-16	5.781244292979842e-25	5.510006354891115e-20	5.336051447562609e-15	4.946736879735113e-18	1.0699235746922392e-14	1.799826902557985e-17	1.708827261776629e-14	5.204362919698021e-17	5.337648608310527e-15	1.0673511530367658e-20	1.3038567568328833e-15	9.55392347203077e-18	2.8259227336103445e-21	6.871493440767034e-07	5.143221877852761e-09	0.0002986665445541	3.454762690660118e-22	3.6773200625058143e-25	5.31854170826346e-21	2.4876573379153526e-25	9.905352841010862e-21	1.61650542219395e-09	1.999845764408561e-05	4.556466298878695e-07	5.933536243682354e-10	0.0024580377323495	8.708196269708725e-07	8.944642371689046e-12	5.0712457527886e-07	8.046385816075179e-05	3.6576817769390365e-11	1.353962044400745e-19	9.623206614689265e-13	5.105447388208513e-08	1.2639051346407968e-30	1.293340057630713e-28	6.150203044146798e-07	2.5733817707371808e-12	3.2236841761946275e-14	2.7238844085919323e-22	4.2356623338287465e-20	3.7850201277470563e-23	0.0	0.0
1127.622283812033	229146921.742894	1378642.5709981727	671297.4019551369	42.47458269631617	1038.1723986437196	6.853774642440215e-12	0.000726821716603	0.0090251317985034	8.370879076537351e-11	7.006296851192865e-19	2.654619593631249e-26	3.645579399589954e-29	4.1225594780768836e-20	6.942746392856933e-13	3.181666402864113e-07	1.4903855308219979e-33	1.517788498512304e-13	1.4834672450694867e-24	2.4215053692507063e-19	1.0354354321361777e-12	2.7322512479032694e-18	6.667888146921725e-14	0.0809876623862373	0.9058713928927846	1.4605987693585213e-15	6.952326471455338e-09	1.721900150801778e-11	2.515339911960061e-17	1.5604072849638836e-11	6.363498243113064e-16	4.6498026062613135e-18	4.8906280370235134e-11	1.0455984974919844e-17	1.6582083853670307e-22	1.1165316711379357e-19	7.808899789343323e-20	1.2564706279265076e-09	7.225959393310524e-15	3.1639508871029946e-15	0.0005077982360879	1.5831556889593626e-08	1.5917719349521267e-20	5.878085014644995e-18	4.4932923926430556e-24	2.147361897756627e-22	7.212596974009373e-19	2.0043414990366048e-17	4.968341111871801e-09	1.2781833758819464e-23	3.6966274691257775e-19	1.0486420973721732e-24	3.126809825570807e-20	9.905744994134904e-15	7.03848537867479e-17	3.8485341478923923e-13	1.4708554504561153e-21	6.504261601010622e-17	2.1989654795599306e-21	3.4806993943702195e-18	1.3320402964915115e-20	3.754259518727503e-14	8.077537108459904e-18	1.3305516783281325e-19	5.106053882307796e-08	4.579945590664421e-11	0.0004866655240269	1.5305744348921432e-21	1.2278206854425935e-25	5.196707680622666e-19	1.8845146676045815e-31	9.066572056351926e-25	9.165753107151928e-12	1.136377048865038e-06	2.4457059080915703e-09	4.290011550930264e-11	0.0023915883686633	7.093261435874821e-07	2.647381605080457e-14	4.591686600701235e-08	6.3934935821887e-07	5.502457638291831e-13	2.4139297371588025e-22	6.543807790720579e-14	1.2141152878560002e-09	5.249674575270247e-31	1.971610922788327e-27	5.88406663000077e-09	5.4677166237164254e-11	4.500533665635228e-14	6.837006098375653e-28	3.272478201596225e-22	3.882698648884572e-29	0.0	0.0
959.4554327214342	120719747.55761562	1880695.3921001405	379093.745104979	42.474686889416745	642.7967587304234	3.2118270351784495e-14	0.0012410578773653	0.0082852742448973	2.3549356349762364e-12	1.0596317380623974e-22	8.436432491324356e-30	1.424685831183645e-33	6.252281413035134e-22	2.1388519309780202e-14	6.529330745516361e-07	6.029994650643827e-41	4.871689113154011e-16	8.535748267692323e-30	1.6276059143495434e-22	6.611392375029341e-14	5.0691541037258166e-20	5.5729251015157156e-14	0.0804681199351232	0.9066149690435208	2.402675213107666e-16	6.857861363984438e-09	9.795480216602832e-13	4.1553859373812665e-19	7.8977487643604e-11	2.3789361142126937e-17	7.597228633359839e-22	3.8092887884982975e-12	5.509501984425435e-19	1.4476293622437953e-26	7.098975437664233e-23	1.4331416212970597e-22	1.1045249846930995e-09	4.331531945931717e-18	4.634922655705216e-17	0.000507799474652	1.9445799686667336e-08	2.9619659561038254e-22	5.331954429136018e-20	4.865089035675535e-26	4.970788734551986e-24	3.010111701140753e-22	2.5473765207119336e-18	1.5064130658963435e-09	2.4173298270847738e-28	2.0845167228327456e-19	6.98710910032004e-23	2.6099421779796667e-22	2.1051772128055092e-14	1.4148932758508058e-17	2.820931517654309e-13	1.0531907900191569e-25	1.8333272772981032e-19	1.8557148705048815e-25	2.2147085999453977e-21	6.511938878897216e-23	2.6789145295650333e-14	1.7179832791953214e-19	3.982425659688789e-21	3.463855109177009e-09	7.40103973090961e-13	0.000711683958673	1.0672076953614655e-24	1.565685477364071e-29	7.872456336971607e-21	2.380074194754542e-35	1.3632880575997962e-26	4.8625131817113526e-14	5.44212261605809e-08	2.399192559591989e-11	3.4645865514019164e-12	0.0021697455581712	5.970471646410436e-07	3.776490060501888e-16	3.4805088001911193e-09	9.404675883382836e-09	5.977772102493059e-15	2.5261146086835567e-25	4.919182423896391e-15	2.2336815535443084e-11	7.925307261969625e-30	1.0710305126443706e-31	8.406329094097677e-11	2.120735495011504e-11	1.1762737603831245e-15	2.9739109102883658e-33	2.3259074234761342e-24	3.1503341098155884e-35	0.0	0.0
835.9378568642411	63597875.71890598	2308552.6003634827	152075.5721349977	42.47468991676093	388.6769741597556	1.445568731593368e-16	0.0013411428078901	0.0081879810249863	5.5633833171760846e-14	2.2427495457709834e-25	2.3539826889622042e-33	6.177169065516624e-38	6.664488220988354e-24	4.234654317212054e-16	6.578531366692331e-07	6.685072713485635e-47	2.789745059250928e-17	1.025478909405328e-33	5.331386855439068e-25	1.4622277178811138e-14	2.5874895687603517e-21	9.824723645635697e-14	0.0803678951697779	0.9067123429854852	1.9902778075149146e-17	4.290485429860877e-09	4.5697083724405073e-14	1.7178442953551784e-20	1.6321349548166567e-10	5.832702992057796e-19	4.296198701226321e-24	3.304889977744542e-13	2.607730273959103e-20	2.48151340042769e-27	4.8617961722599e-23	6.026547288203861e-25	1.1041777549133504e-09	4.888386307483181e-18	7.529727517549742e-19	0.0005077995144495	2.0084945391283564e-08	7.019566513719261e-24	4.008305019314397e-22	2.744765113449523e-28	1.333215930597392e-25	2.3197330376294708e-22	2.9629078721076323e-19	8.677940968810517e-10	1.073094751355553e-28	4.0711995273954965e-16	4.980356458750812e-27	3.950043250159709e-24	2.4357684198189997e-14	4.011282097005431e-18	1.0719086017043412e-13	1.331329950791186e-26	1.1772521374545434e-21	2.914310586180748e-28	1.2560674598586763e-24	2.3866999705497548e-23	2.4589036964395343e-14	5.818127767709376e-21	1.6540164967537698e-21	2.0825454688383062e-10	1.3218472848244971e-13	0.0007088883973018	6.328635413919526e-26	1.2894063683130814e-31	7.790812207282229e-21	7.020574961973199e-33	3.6334515483063535e-22	2.973412505905165e-16	3.1651229109679302e-09	3.2818081816046518e-12	3.088906266209989e-13	0.0021726649276008	5.951879621611785e-07	2.3230728214857842e-14	2.533445244177841e-10	1.973674540989277e-09	9.545897609623172e-17	6.0447397604176645e-28	3.2328893142010436e-16	5.468674783228846e-13	1.02218086596152e-34	4.9854312502235594e-34	1.0957483251796832e-11	4.443637056740834e-12	2.1658573769168893e-17	1.861548094850553e-37	1.225444162805325e-26	2.8470889889627767e-38	0.0	0.0
737.4757155735028	33504790.04296303	2681832.7134991456	39493.17243986149	42.47468985069183	232.10226201288526	5.605704738454496e-19	0.0013617282579908	0.0081870442242044	1.1007981745875456e-15	5.178037942169525e-27	4.789197371409392e-37	1.8175376735312312e-42	4.589274501021057e-26	7.308064363214901e-18	6.579245485413307e-07	9.645365685225104e-52	2.841245548360868e-17	1.8785195067716283e-36	8.126738322547093e-27	3.136285783676265e-15	7.502919834217656e-23	1.109081372812415e-13	0.0803473133116283	0.9067132750319992	8.578503032894364e-19	2.0036631504645714e-09	1.848232491887748e-15	4.689400964908914e-22	1.6683122623606057e-10	1.3068805437439916e-20	2.9228935823904706e-22	2.0723976689640187e-13	1.3448590585590934e-21	2.1467581822053895e-26	2.020277756584969e-21	3.8224483236743644e-27	1.1041877216345106e-09	2.9360591735615166e-16	1.0315755528276247e-20	0.0005077995317583	2.0109016346091515e-08	5.070410766201754e-24	2.4365080940324108e-24	2.897919261468828e-29	1.0837971845344018e-24	1.1921000029141076e-20	3.074030358771145e-20	8.437264233749674e-10	1.6535245930979163e-26	1.6485273665042162e-14	3.140453895585185e-25	1.8243106300268443e-25	2.4678726446929024e-14	3.9779886616821526e-18	7.044944484084678e-14	8.966011384633921e-26	1.1606444442248697e-23	2.6838632067803223e-30	6.7159480601303385e-28	4.994754755881598e-23	2.4538143478311082e-14	2.1185414270126525e-22	6.3838735983057115e-21	1.1169210613764888e-11	1.59266311024762e-13	0.0006892430189047	8.800067220261114e-27	9.101791628582343e-29	1.9745136369986662e-20	9.888920901869087e-35	5.360466264821997e-22	1.5044665019110646e-18	1.6725576931422276e-10	2.887990275427571e-12	2.5095791185886668e-14	0.0021923164085623	5.950039435276965e-07	3.0424349447082254e-13	1.6520757666591335e-11	2.8489363920542966e-09	1.3839701994305691e-18	3.5445429559875927e-29	1.8909506497127896e-17	1.1782573700308061e-14	1.0541523197990728e-33	2.5276123437561073e-34	1.0430154057110989e-11	8.73467234227989e-13	3.478313849641127e-19	1.1336736852365782e-40	4.0624358053714304e-29	1.3917771963212228e-39	0.0	0.0
651.5251282703966	17651076.284130063	3011533.686597215	126963.51697187302	42.47468786605496	138.40768265162788	7.249130777999142e-20	0.0013939160217838	0.0081867404007732	7.930237859343944e-16	2.1301295296162e-28	2.2196489833421875e-39	1.543109375064805e-47	4.967105546620873e-29	4.485999537553258e-18	6.579336097888407e-07	4.1178808445187236e-53	9.322857594541304e-17	3.167422715311791e-37	4.1347664667049117e-26	2.5130078296990336e-15	7.63548482342835e-23	1.1824375527553924e-13	0.0803152212640263	0.906713511908144	9.15283520807442e-19	2.420133831272049e-10	3.1491367334674037e-15	1.2376927247519892e-22	1.6678913203841832e-10	1.1719206920701706e-20	2.709635303611654e-20	1.3779290019355912e-13	1.9516495748348465e-23	2.8928340322686235e-27	4.7733144250642793e-20	8.066411182766152e-28	1.1042174098763191e-09	3.4162334330736187e-16	4.876029334315664e-21	0.0005077996147399	2.0130529095846654e-08	2.998710339074056e-23	4.9664928355361255e-25	5.1609830921806375e-28	1.9902289432544647e-24	3.5842863623810407e-19	1.49700468206473e-19	8.21605354549806e-10	6.293448528357896e-27	1.226153049134513e-13	1.902168179322264e-24	3.441759846183918e-25	2.5363489359623037e-14	3.980827407763296e-18	2.1619224341863994e-14	5.918522537756219e-25	4.0242418452271786e-24	2.598414034002321e-31	3.775393698655549e-24	1.9628671776068921e-22	2.4500478037643962e-14	3.0178150489659444e-22	3.504788537081997e-20	2.398665704321636e-11	1.0597664841935957e-12	0.0006573659027224	8.835488207824038e-26	1.2861837288738537e-25	8.824786487701885e-20	1.7335144964654113e-35	2.981459766535612e-22	1.058404925574047e-17	2.6904886697091967e-08	1.894436044265676e-12	1.5020195375863296e-15	0.0022241320356387	5.948328300883262e-07	2.013986710878701e-12	4.395771130194047e-11	1.0617888762947676e-08	2.478195778176274e-13	8.917541863558484e-18	1.8646050008674696e-20	6.934146187367585e-13	5.16264601546098e-32	8.829313849911714e-31	2.334823062943071e-11	1.4110177910809281e-13	1.9697881947440618e-19	7.954595792491708e-44	1.9329083618366548e-32	7.199219658613673e-40	0.0	0.0
570.0988848049443	9298983.625585085	3303112.082557214	171549.4317304789	42.47463870620663	83.33068747238214	2.5382908534626776e-21	0.0013965825879032	0.008186725570805	1.8867833932702426e-16	1.1613305492885833e-30	1.2609358498593342e-42	2.7343509954413404e-53	2.4361111624087768e-32	8.898368386029013e-19	6.579325199666454e-07	4.0712842781091107e-56	1.3879692814370162e-16	4.6525034911027924e-39	4.123622798350424e-26	5.183943964923872e-15	2.5906027219163637e-23	1.186277987828132e-13	0.0803148825612819	0.9067124568031872	5.051845171770244e-19	3.781242588915656e-11	2.4353875999572804e-15	1.4414026235468637e-23	1.6678824675172882e-10	4.3023492287203625e-21	1.4065829464308477e-19	1.3638513974583934e-13	6.1042007150873035e-24	4.694070171996125e-28	9.70721045097001e-19	4.5910327111496215e-29	1.104224370264594e-09	7.657496591649682e-16	6.969551610594413e-22	0.0005077990775385	2.0131278231828037e-08	5.348652439043236e-23	2.842756827202914e-26	1.4764210767686898e-27	2.0477292105714542e-24	1.0146180522013372e-17	4.163616282873781e-19	8.202858810926219e-10	9.011795813080828e-28	1.713718153321771e-13	2.5649911720831736e-24	2.800348509372759e-25	2.5406596534777122e-14	3.981496144328514e-18	9.32535515903346e-15	2.893689764017054e-25	4.221444897425467e-25	6.272167448683739e-31	6.944466675393744e-21	2.635016258793689e-22	2.4499956529414122e-14	1.6856771270093985e-22	4.8463356467102147e-20	2.3164863033257e-11	1.127194866443746e-12	0.0006547051978764	1.1654151054296628e-25	5.087506111454604e-24	1.1963227197696496e-19	9.451741731780606e-34	2.4764573897001257e-22	2.1091027461039452e-17	1.1543020052715135e-06	1.5253480076857889e-12	4.849749039929658e-17	0.0022243833793718	5.947859099434892e-07	2.7991057244550388e-12	5.364775189843097e-11	1.4114845637923045e-08	5.719786751677239e-09	1.5591685327370816e-08	3.733827858847005e-23	8.490183151405569e-12	3.593620347943942e-31	4.40945282193247e-29	2.362965355325144e-11	1.491923122528723e-14	3.4543851744288024e-20	2.958500955002648e-48	3.475429332148025e-36	8.323357488490456e-41	0.0	0.0
503.1039281479969	4898913.532351845	3558484.579373099	222233.83683300333	42.47464724772408	49.74641933369364	5.9587557307997446e-24	0.0013977048632238	0.0081867231458942	2.7965550317538815e-18	7.028376632277608e-33	3.1891277331352597e-47	4.755621136902825e-56	7.823348895797774e-36	1.0880422613103136e-20	6.579324318581164e-07	1.0815573921093549e-61	1.896990218989041e-16	3.2308188073609803e-42	2.400243047157812e-27	8.430772980593485e-15	5.5342711966804685e-25	1.1869230697303554e-13	0.080317377151285	0.906712631281605	1.8666840039864587e-20	5.457228654481567e-12	1.2929399050141762e-16	7.505158630640028e-26	1.6678769237714407e-10	1.0578900792693184e-22	3.7867081973906154e-19	1.3636583293683233e-13	6.965840853332358e-24	7.825079388158756e-29	1.761150391209355e-17	7.410532083718977e-31	1.1042300289629971e-09	2.067042963022473e-15	6.0494483212667685e-24	0.0005077992362906	2.013145241323481e-08	7.573922060461541e-23	9.41051750889423e-29	3.1214124754107867e-27	2.0365002376884003e-24	2.638854658001689e-16	8.583319327795229e-20	8.193401328923528e-10	6.527007431207597e-28	2.242790593101151e-13	3.2307153532985352e-24	1.595426173096896e-26	2.539802490785717e-14	3.982201737510266e-18	3.175279860489827e-15	1.996342910900641e-27	1.3119662920260666e-26	8.756915599691268e-32	4.5330160231533744e-20	3.364436589118036e-22	2.4500042987911702e-14	7.465083079696329e-24	6.293287436199706e-20	1.5185514488176789e-12	1.1673406272595857e-12	0.0006535904820063	9.945118055068774e-27	2.3927052859360002e-23	1.536520062945597e-19	0.0	2.247344619076422e-22	2.0796123518242812e-19	2.776483838446936e-07	5.276468191270048e-12	1.2507653083130404e-18	0.0022219158158131	5.947546233389111e-07	3.651363553688448e-12	4.4616437155782025e-12	1.7826574355104244e-08	5.1689200942844574e-09	6.824246559101678e-07	1.7691860763520409e-25	5.352869906117548e-13	1.8105251277233435e-31	9.18503410476143e-29	2.3868310460843206e-11	2.205406016691198e-15	3.706487376390084e-22	8.806111230276891e-53	3.763482413081012e-40	5.0774091523230456e-43	0.0	0.0
462.59187299741046	2580857.732820238	3784028.478506488	287845.3633122138	42.47463124446919	28.50267779797669	4.6082867456873455e-25	0.0013990179251371	0.0081867151447483	3.382102978501619e-19	4.158501681141392e-33	5.068123724133872e-50	1.9968746836222024e-56	3.054046934959873e-38	1.1466674675568457e-21	6.579320899667827e-07	6.803671567245351e-65	2.4988717602907193e-16	4.659410363726771e-44	8.158352561488715e-28	1.227169136022859e-14	8.704552507879441e-26	1.1876622231908476e-13	0.0803202910583744	0.9067122804609202	4.501290974285019e-21	7.678167204454119e-13	3.3960044648254175e-17	2.067877601956168e-27	1.6678667943820728e-10	1.5901886471927326e-23	6.657364310033408e-19	1.3634802895675792e-13	7.801847264816807e-24	1.7471069935915377e-29	1.9398853044489844e-16	1.3840030383975575e-30	1.1042336192509311e-09	3.6280484612148605e-15	6.178570925993885e-25	0.0005077991137297	2.013148881372688e-08	1.0184233601457512e-22	3.1209874160979432e-30	1.3830573066519772e-26	2.0498962671453314e-24	3.8110106140192616e-15	6.437700074190651e-20	8.182489590969676e-10	8.115231961976398e-29	2.868360742582645e-13	3.962059058248738e-24	6.103014791028804e-27	2.538710089724869e-14	3.983019632901367e-18	8.523513924696346e-16	2.8137901280331367e-28	4.000996929611708e-26	4.0345400646244655e-32	9.108222800234728e-20	4.2270869542654394e-22	2.4500088237957295e-14	2.2353259453443195e-24	8.00375270363707e-20	5.504739671299613e-13	1.2014335854710345e-12	0.000652285245229	4.622763142689876e-27	4.655013921367402e-23	1.9387224009946248e-19	5.084224574278293e-35	2.133286974209533e-22	1.1255739042287597e-19	6.208449396503226e-08	1.3768555413123958e-11	8.186509155360291e-20	0.0022189830786853	5.947301270325206e-07	4.6596032454068756e-12	1.9194126153966642e-12	2.215681864311052e-08	1.7123813677373423e-09	1.2670889565125785e-06	2.9014373130871462e-27	4.4316138045116617e-14	2.050084578371169e-29	1.4826263478893915e-28	2.402448984121871e-11	1.0131364951625757e-15	3.611336556698006e-23	9.916965462579471e-55	6.5711682803868696e-43	9.511443833575332e-44	0.0	0.0
