Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
180.0	1e-05	311842.274	345401414000.0	42.34304622862865	2.8294340355376913e-10	1.2159424e-06	0.0116274023	0.0270505549	4.03797589e-05	1.73096947e-05	1.08594924e-08	4.38997834e-08	2.75267352e-11	1.21701843e-11	5.01292533e-07	2.91675371e-16	7.64874641e-17	4.9356142e-19	9.811162149999999e-19	4.57650599e-13	4.4038558999999995e-22	1.59601036e-20	0.0374220094	0.887805586	4.64350328e-18	9.45949016e-09	3.08681492e-09	4.1761434099999995e-24	5.4747127e-20	3.2979738299999997e-24	5.15627816e-06	3.3215894300000004e-20	4.67957721e-25	3.30898743e-11	4.39710975e-11	1.02533322e-09	2.06357014e-14	9.76059715e-13	1.9165287e-10	0.000416964796	3.72781118e-06	3.74270875e-19	3.83170044e-22	3.89377598e-29	2.3661421e-26	8.389937e-14	4.53064446e-22	8.59540867e-16	3.3964555599999998e-22	1.98359961e-20	3.07116965e-31	1.912598e-30	5.97261124e-31	1.06862708e-23	1.08407711e-22	7.72698395e-22	7.07387756e-10	1.56899423e-13	8.749026919999999e-17	1.7787293699999997e-24	3.05666778e-34	1.28414241e-20	1.64844509e-20	3.95818626e-05	2.89203888e-14	0.0196560852	2.57859131e-26	2.33343029e-22	5.98307889e-26	3.76711005e-44	1.4262103500000002e-41	1.82068619e-05	1.67830744e-05	3.07380177e-05	7.68866048e-09	5.63441817e-11	4.42098047e-13	2.09933665e-12	1.15171072e-12	0.0157957785	9.62916038e-10	5.15192394e-05	2.13224749e-13	1.3330845e-09	6.76056336e-32	1.35223558e-35	9.143511810000001e-15	2.86994794e-14	2.56649269e-16	0.0
180.0	1.89817264e-05	309348.551	267131407000.0	42.34579072441869	5.371102382344194e-10	1.19924968e-06	0.0115909471	0.0270220105	4.00111225e-05	1.71579634e-05	1.08448343e-08	3.93066781e-08	2.74899269e-11	1.2060046e-11	5.00891883e-07	2.88205459e-16	7.578698349999999e-17	4.9334949e-19	9.6880575e-19	4.571582e-13	4.40359079e-22	1.59612514e-20	0.0374092408	0.887879106	4.6419065299999995e-18	9.44693004e-09	3.09470146e-09	4.15288763e-24	5.4727889e-20	3.2988603799999997e-24	5.12713876e-06	3.32274817e-20	4.68088692e-25	1.88368086e-11	4.32367919e-11	9.54820599e-10	2.05464372e-14	9.75812469e-13	1.74544249e-10	0.000416824123	3.72503047e-06	3.73281388e-19	3.82731882e-22	3.87271817e-29	2.3651013100000002e-26	8.37511559e-14	4.34756339e-22	8.59623128e-16	3.3983388199999997e-22	1.98419386e-20	3.0734523400000003e-31	1.91058348e-30	5.98361317e-31	1.06840541e-23	1.08449173e-22	7.72871097e-22	7.0461525e-10	1.56867862e-13	8.74349185e-17	1.77068308e-24	3.06546129e-34	1.27788125e-20	1.64166299e-20	3.94158607e-05	2.89328166e-14	0.0196530284	2.5788804800000001e-26	2.32745891e-22	5.986150160000001e-26	3.76643939e-44	1.43567796e-41	1.81574593e-05	1.67931415e-05	3.06583773e-05	7.67148725e-09	5.63695687e-11	4.42460113e-13	2.09958911e-12	1.15206701e-12	0.0158039742	9.72116931e-10	5.17207655e-05	2.1325055e-13	1.33409398e-09	6.7591634e-32	1.35322353e-35	9.17071058e-15	2.87084129e-14	2.56465403e-16	0.0
180.0	3.60305937e-05	306856.835	206551582000.0	42.347982691238116	1.0195807328753597e-09	1.16567251e-06	0.0115662819	0.0269906736	3.95189608e-05	1.68484532e-05	1.07956255e-08	3.11724546e-08	2.7426716e-11	1.18417293e-11	5.00625682e-07	2.78517246e-16	7.43974631e-17	4.93213911e-19	9.45056266e-19	4.55914115e-13	4.40491283e-22	1.5969403300000002e-20	0.0374008652	0.887940709	4.6401204499999995e-18	9.41622278e-09	3.10690077e-09	4.10894181e-24	5.47061515e-20	3.3003562099999997e-24	5.07124325e-06	3.32477093e-20	4.68313468e-25	8.6202321e-12	4.18657381e-11	8.11647384e-10	2.02996709e-14	9.75625343e-13	1.44701915e-10	0.000416733649	3.72320288e-06	3.70655742e-19	3.8169325e-22	3.8324885500000004e-29	2.3623841400000002e-26	8.33716962e-14	3.9717719199999997e-22	8.59522639e-16	3.40154184e-22	1.98513393e-20	3.0770985000000004e-31	1.9055207e-30	6.00778494e-31	1.06830614e-23	1.08520081e-22	7.73070574e-22	6.96350758e-10	1.56802775e-13	8.734555789999999e-17	1.74563692e-24	3.0828306399999998e-34	1.25950919e-20	1.6202485e-20	3.90989542e-05	2.89503458e-14	0.0196514126	2.57913291e-26	2.30934817e-22	5.992275540000001e-26	3.76121215e-44	1.45299731e-41	1.80654345e-05	1.68020915e-05	3.04946516e-05	7.56215663e-09	5.63866452e-11	4.42734938e-13	2.09969516e-12	1.15199302e-12	0.0158099096	9.88269867e-10	5.18599615e-05	2.13234885e-13	1.33417139e-09	6.74697225e-32	1.3546919799999999e-35	9.214834990000001e-15	2.87198909e-14	2.5605432900000003e-16	0.0
180.0	6.8392287e-05	304367.106	159674963000.0	42.34988966723823	1.935427397255026e-09	1.11333408e-06	0.0115496746	0.0269539836	3.88727315e-05	1.63553927e-05	1.05805698e-08	2.09025952e-08	2.72613744e-11	1.14898125e-11	5.00452949e-07	2.57719761e-16	7.21777569e-17	4.93132875e-19	9.09181821e-19	4.52732717e-13	4.40789646e-22	1.59844639e-20	0.0373956177	0.887997474	4.6371231e-18	9.34378442e-09	3.11276371e-09	4.0438306399999995e-24	5.46801331e-20	3.30243237e-24	4.98676746e-06	3.3273978e-20	4.685673470000001e-25	3.4894089e-12	3.98658204e-11	6.15131594e-10	1.97441145e-14	9.75341285e-13	1.07529383e-10	0.00041667891	3.72203684e-06	3.65011959e-19	3.79446965e-22	3.7717112300000003e-29	2.3540274600000002e-26	8.25584429e-14	3.43919182e-22	8.588436480000001e-16	3.40622131e-22	1.98635869e-20	3.0822152700000002e-31	1.89414666e-30	6.0458661800000005e-31	1.06824367e-23	1.08622124e-22	7.73311842e-22	6.77429971e-10	1.56595887e-13	8.72179296e-17	1.68811171e-24	3.10943772e-34	1.21812549e-20	1.57045238e-20	3.86204938e-05	2.89734034e-14	0.019650914	2.5784931400000002e-26	2.26651536e-22	6.001222950000001e-26	3.7509245500000003e-44	1.47899202e-41	1.79275595e-05	1.68108573e-05	3.02417084e-05	7.21260771e-09	5.63927645e-11	4.42918174e-13	2.09956852e-12	1.15153635e-12	0.0158144048	1.01225039e-09	5.19568987e-05	2.13086425e-13	1.33343885e-09	6.706123979999999e-32	1.35671638e-35	9.27809102e-15	2.87346705e-14	2.55403287e-16	0.0
180.0	0.000129820368	301879.357	123411220000.0	42.35171891066767	3.6739340165286374e-09	1.04235697e-06	0.0115386024	0.0269091973	3.80332529e-05	1.5684324e-05	9.82544526e-09	1.07531387e-08	2.67798454e-11	1.09720462e-11	5.00346307e-07	2.2065725e-16	6.885113879999999e-17	4.93090843e-19	8.59661954e-19	4.44811213e-13	4.412979959999999e-22	1.60069743e-20	0.0373926997	0.888055106	4.62872667e-18	9.17388964e-09	3.08685119e-09	3.95609611e-24	5.46476635e-20	3.3049904e-24	4.86963145e-06	3.33003711e-20	4.687046540000001e-25	1.2422208e-12	3.72355603e-11	3.99665138e-10	1.86457246e-14	9.7467354e-13	7.03337773e-11	0.000416650476	3.72133411e-06	3.54465602e-19	3.75077658e-22	3.6874016800000004e-29	2.331541e-26	8.10225119e-14	2.8100167899999998e-22	8.56860351e-16	3.41267472e-22	1.98770324e-20	3.08894206e-31	1.87155855e-30	6.099875970000001e-31	1.06801476e-23	1.08757838e-22	7.73611401e-22	6.39836807e-10	1.55991652e-13	8.704441059999999e-17	1.5755735999999998e-24	3.14680382e-34	1.13787946e-20	1.47127181e-20	3.79567861e-05	2.89999896e-14	0.0196513497	2.5755769200000002e-26	2.17741529e-22	6.011625480000001e-26	3.73411635e-44	1.5153457000000002e-41	1.77369288e-05	1.68201986e-05	2.98867585e-05	6.44374484e-09	5.63784536e-11	4.42948894e-13	2.0989865e-12	1.15070737e-12	0.0158180471	1.04575649e-09	5.20254874e-05	2.12579481e-13	1.33193423e-09	6.59370443e-32	1.35940992e-35	9.36432963e-15	2.87537217e-14	2.5447636e-16	0.0
180.0	0.00024642147	299393.591	95364295300.0	42.35364469692166	6.974078118617286e-09	9.55341402e-07	0.0115313646	0.0268531625	3.69509802e-05	1.48764885e-05	7.87113582e-09	3.50154748e-09	2.54603408e-11	1.02521242e-11	5.00287787e-07	1.68587178e-16	6.3985457e-17	4.93071942e-19	7.94425508e-19	4.26142893e-13	4.42118839e-22	1.603806e-20	0.0373916365	0.888118652	4.59752813e-18	8.78764168e-09	2.97316472e-09	3.84353919e-24	5.46054231e-20	3.3077134699999998e-24	4.71357307e-06	3.33130017e-20	4.68397485e-25	3.75522001e-13	3.39801803e-11	2.09328157e-10	1.67503984e-14	9.73067136e-13	4.04917132e-11	0.000416642469	3.7209623e-06	3.37231531e-19	3.6751059899999998e-22	3.57518605e-29	2.28272346e-26	7.84605175e-14	2.15934988e-22	8.52356933e-16	3.42137693e-22	1.98873233e-20	3.09734366e-31	1.83204984e-30	6.173173690000001e-31	1.0671111300000001e-23	1.08928341e-22	7.739870559999999e-22	5.74857643e-10	1.54397575e-13	8.681267059999999e-17	1.38713577e-24	3.19739863e-34	1.004009e-20	1.3013291700000001e-20	3.70712702e-05	2.90178484e-14	0.019652644	2.5685530600000002e-26	2.01153539e-22	6.01687171e-26	3.70801092e-44	1.56475649e-41	1.74828685e-05	1.68307309e-05	2.94091462e-05	5.19894857e-09	5.63231713e-11	4.42674445e-13	2.0974453e-12	1.14948987e-12	0.015821273	1.09150753e-09	5.20754122e-05	2.11176299e-13	1.32963086e-09	6.31731259e-32	1.36292204e-35	9.47929298e-15	2.87782848e-14	2.53211241e-16	0.0
180.0	0.000467750492	296909.821	73677033100.0	42.35582944803445	1.323868712973178e-08	8.54227891e-07	0.0115268229	0.0267820895	3.55624018e-05	1.39609463e-05	4.61417915e-09	5.17290209e-10	2.24191935e-11	9.29140728e-12	5.00266035e-07	1.15985725e-16	5.71200736e-17	4.93047018e-19	7.1159547999999995e-19	3.87196019e-13	4.43449286e-22	1.60793983e-20	0.037392167	0.888193102	4.4832413399999994e-18	7.99737382e-09	2.68123933e-09	3.70323816e-24	5.454648530000001e-20	3.30981923e-24	4.51022404e-06	3.3281246400000004e-20	4.669540060000001e-25	8.8434558e-14	3.01122095e-11	8.0626945e-11	1.39855778e-14	9.69440288e-13	2.13377248e-11	0.000416651608	3.72083943e-06	3.12537836e-19	3.55830132e-22	3.42973007e-29	2.19774701e-26	7.46700436e-14	1.56232263e-22	8.43472944e-16	3.43305575e-22	1.98839809e-20	3.10718729e-31	1.77090761e-30	6.270637820000001e-31	1.06442356e-23	1.09128113e-22	7.74453223e-22	4.80005023e-10	1.50540235e-13	8.650116059999999e-17	1.12525462e-24	3.26484212e-34	8.177444760000001e-21	1.05948757e-20	3.59144305e-05	2.89818409e-14	0.0196548078	2.55576282e-26	1.74098002e-22	5.99237828e-26	3.66786635e-44	1.6312404100000002e-41	1.71505944e-05	1.68428547e-05	2.87795093e-05	3.7579921e-09	5.61931561e-11	4.41827262e-13	2.09386907e-12	1.1478547e-12	0.0158244255	1.15362165e-09	5.21134956e-05	2.0768318e-13	1.32645674e-09	5.7307911e-32	1.36742908e-35	9.631064910000001e-15	2.8809926e-14	2.51510988e-16	0.0
180.0	0.000887871187	294428.07	56911011800.0	42.358439617951014	2.5130862309262817e-08	7.38512131e-07	0.011524225	0.0266912964	3.37871131e-05	1.29207091e-05	1.72911326e-09	2.59836067e-11	1.72017351e-11	8.06905399e-12	5.00274445e-07	7.657887149999999e-17	4.8358506499999995e-17	4.9294108e-19	6.11350762e-19	3.22884626e-13	4.45613998e-22	1.61331335e-20	0.0373941784	0.888283862	4.15356709e-18	6.70453353e-09	2.16229823e-09	3.53200129e-24	5.44521024e-20	3.3098748e-24	4.24952419e-06	3.3142863e-20	4.630531660000001e-25	1.30305719e-14	2.56546256e-11	2.00195314e-11	1.07093744e-14	9.61725262e-13	1.08703741e-11	0.000416676594	3.72092225e-06	2.80878924e-19	3.3937389e-22	3.2454455000000003e-29	2.07297232e-26	6.95743697e-14	1.07527074e-22	8.27825677e-16	3.44883587e-22	1.98438524e-20	3.11752518e-31	1.6850835200000002e-30	6.39895056e-31	1.05778683e-23	1.09332893e-22	7.7499795099999995e-22	3.67574865e-10	1.42119167e-13	8.606441289999999e-17	8.34473409e-25	3.3542498399999997e-34	6.0946827500000004e-21	7.866492480000001e-21	3.44247918e-05	2.87591097e-14	0.0196579274	2.5365662400000002e-26	1.37765726e-22	5.87051181e-26	3.60592043e-44	1.7206494400000002e-41	1.67208059e-05	1.68564921e-05	2.79584011e-05	2.5634532e-09	5.59443437e-11	4.40038357e-13	2.08604919e-12	1.14578534e-12	0.0158277951	1.23827728e-09	5.21446533e-05	1.99828991e-13	1.32232313e-09	4.75855366e-32	1.37310028e-35	9.830784500000002e-15	2.88505296e-14	2.4922767e-16	0.0
180.0	0.00168533279	291948.371	43952334100.0	42.36165889887324	4.7706340564153086e-08	6.07890433e-07	0.0115230828	0.0265749159	3.15323659e-05	1.17117837e-05	4.00667455e-10	4.45303396e-13	1.0966374e-11	6.61536293e-12	5.00309896e-07	4.9663453999999996e-17	3.88577188e-17	4.92523723e-19	4.98624591e-19	2.44411549e-13	4.49022622e-22	1.62015649e-20	0.0373976863	0.888397145	3.49318225e-18	5.13177019e-09	1.52258839e-09	3.32819463e-24	5.42666174e-20	3.30626922e-24	3.92103385e-06	3.27836308e-20	4.5449136500000005e-25	8.28435701e-16	2.06883634e-11	2.73465337e-12	7.62852654e-15	9.46221563e-13	5.46853817e-12	0.000416717725	3.72119405e-06	2.43518375e-19	3.17451335e-22	3.0175052e-29	1.90712899e-26	6.31408423e-14	7.18617085e-23	8.0363993300000005e-16	3.47053265e-22	1.9720167800000002e-20	3.12601534e-31	1.57197419e-30	6.5669775800000005e-31	1.0431520900000001e-23	1.09472583e-22	7.75491153e-22	2.61834321e-10	1.26219857e-13	8.538843439999999e-17	5.78968991e-25	3.47277961e-34	4.24583679e-21	5.4624273400000006e-21	3.25332775e-05	2.80279769e-14	0.0196621587	2.5110117500000003e-26	9.97073976e-23	5.53298151e-26	3.50983397e-44	1.8415268200000002e-41	1.61695017e-05	1.68704255e-05	2.68948365e-05	1.72532253e-09	5.55195695e-11	4.36800097e-13	2.06973087e-12	1.14333261e-12	0.0158316464	1.35486353e-09	5.21725649e-05	1.84412339e-13	1.31717931e-09	3.57621436e-32	1.3799964e-35	1.0093727e-14	2.89020142e-14	2.46132789e-16	0.0
180.0	0.00319905259	289470.769	33938353100.0	42.36569980354417	9.056350846209238e-08	4.66193695e-07	0.0115230868	0.0264255514	2.87035127e-05	1.02920175e-05	5.28671994e-11	4.39689919e-15	5.65901047e-12	5.03488793e-12	5.00371937e-07	3.1457055199999995e-17	2.9954631199999996e-17	4.91100139e-19	3.83568932e-19	1.71424201e-13	4.53913549e-22	1.62862058e-20	0.0374028296	0.888540339	2.58030698e-18	3.66625066e-09	9.46031579e-10	3.09523611e-24	5.38337099e-20	3.29881563e-24	3.51675059e-06	3.20197194e-20	4.38097593e-25	2.4755987599999998e-17	1.54718151e-11	1.81584522e-13	5.2444313200000005e-15	9.17110015e-13	2.68702557e-12	0.00041677669	3.72165643e-06	2.0235568899999999e-19	2.89218084e-22	2.7434587100000003e-29	1.69886511e-26	5.53704152e-14	4.73168273e-23	7.71324114e-16	3.5013389899999997e-22	1.94289165e-20	3.1278289500000003e-31	1.42896181e-30	6.786259730000001e-31	1.0135289100000001e-23	1.0937388e-22	7.75361182e-22	1.80003165e-10	1.01332657e-13	8.417591239999999e-17	3.9019355200000004e-25	3.6304833199999997e-34	2.86942225e-21	3.6914202100000006e-21	3.01739163e-05	2.61928689e-14	0.0196677237	2.47770197e-26	6.79093707e-23	4.88237505e-26	3.36076763e-44	2.00652395e-41	1.54682033e-05	1.68808476e-05	2.55258776e-05	1.15352551e-09	5.48382554e-11	4.31353461e-13	2.03755637e-12	1.1407288e-12	0.015836234	1.51802307e-09	5.2200149e-05	1.58892557e-13	1.31111959e-09	2.48467326e-32	1.38779385e-35	1.04409324e-14	2.89651312e-14	2.41868372e-16	0.0
