Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
126.80164609163631	1.8478633105506312e-05	23188537.913281266	591102979.9081092	9.406069701253404	1.6487056401835528e-10	0.0015325633811179	0.2683803969925714	0.4763416712681076	0.25365098247988	6.206537359154427e-05	1.4268571265802963e-10	2.1396515852999704e-18	5.064337828744696e-17	9.836246671593849e-13	3.57452280028851e-10	6.6509410583929805e-28	1.4531188784683212e-19	2.656776657507746e-22	2.3806626903588223e-22	9.076196014899817e-18	5.759323482252295e-28	2.7362409330650496e-26	3.6440257037157055e-06	0.0	4.287138920029109e-22	3.013490346263271e-09	1.5010468111218021e-12	9.452467025754648e-25	2.410860831361015e-21	0.0	5.987165562313404e-06	0.0	1.7051774988677494e-32	7.162856510652593e-08	2.6714404944006166e-10	1.9437291635053968e-13	4.599042066924471e-15	7.550395682465396e-09	2.828508858230061e-09	7.163919800690306e-06	8.828024765058117e-07	1.616817586191939e-17	3.92096432631359e-18	2.9754460646697924e-28	3.530130016276084e-26	6.016972072747139e-12	3.643932705461803e-19	0.0	0.0	0.0	0.0	1.8110043618166624e-35	4.6197535137492845e-34	7.851514537865708e-26	0.0	0.0	0.0	1.647777541803354e-15	2.796058429333867e-13	0.0	0.0	3.6841545313698896e-26	1.7637493065017506e-29	1.3259337193073208e-07	0.0	1.2646459271343845e-05	7.181868505686985e-33	1.3914533605736369e-27	0.0	0.0	0.0	1.1223780761011388e-06	0.0	0.0	2.904212965271804e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.773661542901565e-23	0.0	0.0	7.502739289183498e-49	0.0	0.0	0.0	6.553632422502027e-07	2.745470352278356e-15	1.0029973916520964e-37	0.0	0.0
126.80167561691154	3.41459881447911e-05	22993474.8149616	462122992.07812846	12.596308171716966	4.0798852623182786e-10	0.0020393898109941	0.1751094255568783	0.6688340060766897	0.1538354739287883	8.168436444378216e-05	1.4502602901228928e-10	2.0029522595505312e-18	3.342041361736632e-17	1.2390035426761676e-12	4.732605246024211e-10	1.0688584828135218e-27	2.8180265904045363e-19	4.6986248724337795e-22	4.5916655944413735e-22	1.9687590447508082e-17	1.6890488168718262e-27	7.151571578904733e-26	8.060446746028799e-06	7.505748957808703e-07	1.4991822739463573e-21	7.496134235687046e-09	3.349944919719053e-12	2.534259626947085e-24	7.502783808555496e-21	9.878683942163897e-30	1.837445130203029e-05	3.595192926681438e-24	9.676714288002175e-32	8.949668532956145e-08	3.2944417911561536e-10	3.830736229049247e-13	9.599578172046714e-15	1.9181149566364133e-08	2.925496072130429e-09	1.5849145269745676e-05	1.2035723502680386e-06	3.286374787356692e-17	8.091996476816628e-18	7.1426753315389085e-28	8.784311782724761e-26	1.5576063744955287e-11	8.247704928856503e-19	2.528102692242876e-19	1.2369546043692906e-21	1.9931549986451908e-17	5.572823522561646e-40	4.888522195504186e-35	1.1043243416791345e-33	2.1518263504128566e-25	3.352676791802805e-27	1.9179229084582498e-18	2.763926941032492e-14	6.0282266962316426e-15	1.1199203961784853e-12	4.2007515618515634e-31	2.1576993670265914e-24	3.0011667628036647e-25	0.0	4.5792055024262697e-07	1.404677518225383e-20	5.120545345076674e-05	1.6694738424365963e-31	1.1029060012613031e-26	1.916379142588104e-33	5.536046118352284e-66	5.008732473617261e-65	3.4757568596357026e-06	8.427773312887313e-13	1.8762265317539352e-08	7.316974071582542e-23	3.3380578275373924e-25	2.890075196422817e-32	1.689994126931465e-12	6.370953967257879e-25	1.5380104910424175e-10	2.410369075626092e-25	9.714092031205933e-22	3.5867486318137043e-22	6.83428996719258e-27	1.968742357171353e-40	0.0	1.860333009091505e-63	7.114323443716331e-22	1.3599718395447762e-20	5.039532731006747e-07	1.7283582363290025e-15	1.2159617213269035e-37	0.0	0.0
126.80170699366047	6.309711869525603e-05	22824872.47355744	361211622.4963442	14.565678693975746	8.717764506023576e-10	0.0022766347775042	0.1151654082540118	0.7877003100903571	0.0945332107747953	9.092008253719208e-05	1.23078503014769e-10	1.5470993726471782e-18	2.446281845815464e-17	1.3195436910764886e-12	5.298640675968256e-10	1.3965151095567663e-27	4.419025339460455e-19	6.766008877858934e-22	7.122532920468101e-22	3.390530703984928e-17	3.679624833958841e-27	1.4270701320962719e-25	1.4134734709678135e-05	5.298246831575046e-06	3.636022401798216e-21	1.4394469878080196e-08	5.824697250757691e-12	5.1195254254165484e-24	1.6880914085583347e-20	6.302941826785378e-29	4.095567344314598e-05	1.9961414905907946e-23	3.3381999410718318e-31	9.532015532936144e-08	3.4234217515757077e-10	6.098276240750033e-13	1.6044137198520372e-14	3.742875701262508e-08	2.295199298800325e-09	2.7796934439961843e-05	1.381815921296688e-06	5.2348492586486405e-17	1.2003798761251222e-17	1.3301953878789278e-27	1.6131291543696364e-25	3.074859223471317e-11	1.4527061612549428e-18	1.524749069835638e-18	1.3907219717403622e-20	1.3596572201031866e-16	1.5053034204829327e-38	9.663638003502835e-35	2.058654455002811e-33	4.406407435004134e-25	2.393198354485228e-26	2.26263208254418e-17	1.5260729761087232e-13	1.5007405387420522e-14	2.921641255441852e-12	4.522504006269352e-29	1.1058566850090429e-23	1.0764258945319456e-24	3.4033686875435405e-27	1.0927331205762331e-06	1.3663608950263746e-19	0.0001343904654742	7.045832566448562e-31	3.843559022192521e-26	9.111422168323194e-33	0.0	0.0	7.794234193220103e-06	0.0	2.137678468502886e-07	1.3076706932603707e-22	0.0	1.5058954396609197e-32	1.592217402865697e-11	0.0	0.0	0.0	9.534331032421286e-23	1.899027367432024e-21	0.0	1.9399818377924491e-38	6.6963394308888664e-46	0.0	1.1072799859309275e-20	1.6318136543787492e-19	3.069234161226027e-07	9.88394202969751e-16	1.2363485624982825e-37	0.0	0.0
126.80173576041064	0.0001165948506384	22669231.75041688	282279070.5565464	15.771185552942509	1.744249041829838e-09	0.0023350480958139	0.0774579878916837	0.8603123865430176	0.0593346207186944	9.442748169899136e-05	9.418186415250452e-11	1.0573004106426849e-18	2.3446280491368896e-17	1.2984510292877545e-12	5.533487127535274e-10	1.6090738741294984e-27	6.212566771505293e-19	8.694602950629332e-22	9.685010596752056e-22	5.147341500708581e-17	7.18343646077373e-27	2.469051245524226e-25	2.1965018147474555e-05	2.064843035560364e-05	7.511972951980649e-21	2.3866036544168963e-08	8.657720821867881e-12	8.737891818917025e-24	3.18630978014749e-20	2.3793396407486606e-28	7.65871339205811e-05	6.706224804378524e-23	8.539880693933923e-31	9.488229983543085e-08	3.253391802543336e-10	8.7331819272757e-13	2.395590380198904e-14	6.312086522618564e-08	1.2745794430702615e-09	4.320069136533671e-05	1.475458877121023e-06	6.907922726751025e-17	1.2066961065463264e-17	2.0829290928960182e-27	2.2728198900267265e-25	5.144010822812504e-11	2.224444058726832e-18	5.137110348373508e-18	7.63446819396396e-20	5.147017039603137e-16	9.531595586555485e-38	1.5372511556581255e-34	3.363133525665837e-33	7.557251345443953e-25	9.431532877089743e-26	1.1280994058375304e-16	5.099301385517224e-13	3.092289736301513e-14	6.1263364459430086e-12	3.386552000413031e-28	3.523831510983589e-23	2.6332347663279764e-24	3.296728203997736e-26	2.127475062098292e-06	6.267938499877007e-19	0.0002833138295367	2.0142126050882552e-30	9.607136060898558e-26	2.78301683210263e-32	4.0949384482101437e-63	3.362703515991506e-62	1.4666180974684975e-05	2.9038472887208776e-10	1.008943207956617e-06	1.892258871115872e-22	9.653809152257485e-22	1.1056627616017553e-30	7.131384550641242e-11	2.183544290455093e-21	1.812572960569788e-07	1.5655879302214833e-23	3.6318895081853554e-22	7.597726409625935e-21	9.47742977247266e-25	1.4223200880558271e-37	6.758773002282193e-45	1.0611027345853786e-60	6.068709058643985e-20	8.159873154805846e-19	1.70303036143622e-07	5.87034310629266e-16	1.1300788115680651e-37	0.0	0.0
126.80176963147308	0.0002154513466938	22520627.512385093	220552221.32419044	16.510454886449473	3.3742162851822062e-09	0.0022566234948077	0.0538959587765374	0.9044971566675576	0.0384102964282319	9.527176035187404e-05	6.71970103309117e-11	6.4868251910505695e-19	3.524198899056557e-17	1.2100736074577497e-12	5.588984740434683e-10	1.66335355260171e-27	8.132375653862326e-19	1.0236996403559409e-21	1.1792046313110813e-21	7.170798442371018e-17	1.3645488469328764e-26	3.9197710664778207e-25	3.167575973072008e-05	6.090773303796075e-05	1.4165846008432047e-20	3.577757734044897e-08	1.1324431764315009e-11	1.3173119411275357e-23	5.382572015595928e-20	7.082481249136636e-28	0.0001278738202513	1.7614448395988546e-22	1.8278812351157694e-30	9.088513018763797e-08	2.8774078340834187e-10	1.1728933289833722e-12	3.3378228459489385e-14	9.657158873297189e-08	4.355921193166145e-10	6.230568862582084e-05	1.5197105104407191e-06	7.701514976592398e-17	7.051516818025869e-18	2.8222723634738777e-27	2.516211198008493e-25	7.604036917690867e-11	3.064320925746148e-18	1.2579644893898376e-17	3.134019781046104e-19	1.4634941352257326e-15	3.838407553222217e-37	1.9537837234943166e-34	5.058484938543335e-33	1.1320473565440882e-24	2.825187726709534e-25	3.955213257361903e-16	1.329413602217481e-12	5.741443233233675e-14	1.123644177258789e-11	1.522831337308628e-27	8.865804570393364e-23	5.027721548192335e-24	1.7214879355752828e-25	3.616787645031323e-06	2.16107417656455e-18	0.0005235408215361	4.778897360740839e-30	1.9732962877444733e-25	6.894351662915454e-32	0.0	0.0	2.477443624419035e-05	7.686953325614407e-09	3.23663706709036e-06	2.382492603250584e-22	1.2035034935061031e-20	8.022160740871972e-30	2.2903754811322968e-10	1.677240742758027e-19	4.917605116029633e-06	0.0	1.842235838840824e-21	2.797143183365296e-20	0.0	6.258147402712159e-37	3.631543999683449e-44	0.0	2.256674334082618e-19	2.85449023761482e-18	9.127062604041597e-08	3.6351592878626456e-16	9.312286366381648e-38	0.0	0.0
126.8018043700962	0.0003981246387643	22376114.987365168	172291093.06358674	16.97043029862511	6.40879612677601e-09	0.0020486822902189	0.0391586879752427	0.9313404227287848	0.0259080753572856	9.640560394543705e-05	4.472420938035048e-11	3.5267754496465763e-19	6.206615469564581e-17	1.0665392783589345e-12	5.553054032281291e-10	1.5228687326134868e-27	1.0023336749098237e-18	1.1038883153493209e-21	1.2719931338125305e-21	9.273915732625044e-17	2.611312188573812e-26	5.865309082924101e-25	4.323855335360523e-05	0.0001494977329651	2.454729357405017e-20	4.9193864537747886e-08	1.3035268382392155e-11	1.7669666024210126e-23	8.338332165761101e-20	1.8062568815826262e-27	0.0001949701212599	3.909528022556234e-22	3.4777313097573474e-30	8.434935558054595e-08	2.3499102524167115e-10	1.502659875619927e-12	4.4129825381284e-14	1.3606630046119718e-07	1.2226810154711183e-10	8.505754471757307e-05	1.5357331824231055e-06	7.534169987210607e-17	3.1012864845050083e-18	3.3332646710591155e-27	2.432193531638764e-25	9.988028728037076e-11	3.775455892587292e-18	2.495888702746032e-17	1.0417998477212921e-18	3.402637822630341e-15	1.1683549446441613e-36	2.0628694271709704e-34	7.159158410810869e-33	1.5224450142008924e-24	7.100663696433969e-25	1.1069403234788032e-15	2.913420859136972e-12	9.960532244866504e-14	1.8574479421113883e-11	5.107564197391831e-27	1.885516850505936e-22	7.864648241623806e-24	6.402360775474484e-25	5.485974190378494e-06	6.218694350463348e-18	0.0008788540832028	1.0236398304308404e-29	3.4704268387272504e-25	1.496341211643787e-31	1.442617013447518e-58	8.709212998373218e-58	3.900028618068329e-05	6.683649265210854e-08	8.041779728657857e-06	2.6931832186719472e-22	7.692194362321424e-20	1.596434212502031e-28	5.86868802350425e-10	2.1444908690178694e-18	4.1658819444022064e-05	1.0576775257685391e-20	0.0	9.684727124254228e-20	1.7887153186668017e-21	2.0476713400300372e-36	1.3912145207516637e-43	1.749391846124036e-56	6.612684377328657e-19	7.940351620474657e-18	4.728900514308975e-08	2.262292032679449e-16	6.747452036223113e-38	0.0	0.0
126.80182985677834	0.0007356799129988	22234163.732021447	134566067.85654926	17.26913626961572	1.2051024620954804e-08	0.0016977974688369	0.0298861595029526	0.9475490453516447	0.0183589122114076	0.0001027670231926	2.704981051897271e-11	1.64637067716823e-19	8.630741694988913e-17	8.692277351010864e-13	5.476120511988051e-10	1.1922275592597157e-27	1.1591314095354776e-18	1.0803897248022302e-21	1.1809490117304768e-21	1.1086862070896232e-16	5.036092331793493e-26	8.392960843599183e-25	5.631666545076168e-05	0.0003163688003602	3.782884787496734e-20	6.184367291444549e-08	1.3071249565869194e-11	2.074842180547297e-23	1.1855625933068017e-19	3.947349315306179e-27	0.0002715650117758	7.530108901291327e-22	6.2967903688661124e-30	7.564484667337675e-08	1.7344481017563916e-10	1.857407432043549e-12	5.5502487695678033e-14	1.7567121866409697e-07	4.0559845150107045e-11	0.0001107988507517	1.5365647700537327e-06	6.668856051173003e-17	1.5916608100437507e-18	3.412107638482784e-27	2.186226231895047e-25	1.1335958725033707e-10	4.014289842968706e-18	4.258590257026127e-17	2.720786328310329e-18	6.614030022396796e-15	2.833516674226654e-36	2.06981080224044e-34	9.63509421145668e-33	1.87265573778726e-24	1.5605882848473655e-24	2.563303929153404e-15	5.477668310899395e-12	1.6265926273274856e-13	2.7645068896779343e-11	1.3677351922277004e-26	3.4433050544581482e-22	1.030639978200426e-23	1.845677848791812e-24	7.414557978246892e-06	1.4732442139438232e-17	0.0013593837277992	2.1174813321519533e-29	5.239926589804121e-25	2.947635231755805e-31	3.531194603037624e-57	2.9009301554658083e-56	5.963465020936032e-05	3.455992308269599e-07	1.6885832183659705e-05	2.7851156545796493e-22	3.3513793862796663e-19	1.6910631046556665e-27	1.2325781758983702e-09	1.6759250936667828e-17	0.0002047295915669	0.0	2.623347443711925e-21	2.856641252450576e-19	0.0	5.3278176077229695e-36	4.162162962155384e-43	1.8853768476782075e-54	1.615162467630902e-18	1.8285889063488256e-17	2.3246397556902116e-08	1.3162776091448495e-16	4.102166051414024e-38	0.0	0.0
128.81011212899196	0.0013594359195395	22091795.77525585	105082945.74028727	17.483684873976475	2.2193803295222084e-08	0.0011930656856446	0.0240176779517834	0.9570371865026956	0.0137130113960275	0.0001252986992115	1.4674991813574356e-11	1.4390129146289662e-19	1.2759733690566766e-16	6.198533469233084e-13	5.385572559919923e-10	7.59808831091337e-28	1.2405756270590837e-18	9.646808843733098e-22	9.118373151397537e-22	1.2066538318663083e-16	9.645646364422028e-26	1.1619438570248883e-24	7.024741815373104e-05	0.0005873998664472	4.96332703347968e-20	7.00508454526032e-08	1.142628355115524e-11	2.0630567653647576e-23	1.5142382046954325e-19	6.749995663290374e-27	0.0003386788741135	1.2688065349583478e-21	1.4385793305207752e-29	6.567704701992633e-08	1.1245739312703648e-10	2.2751110385300174e-12	6.602034874841818e-14	2.035295143810958e-07	1.7772263243261063e-11	0.0001382363889283	1.5296141160378265e-06	5.4160694450388404e-17	1.2981845956905265e-18	2.9825181867829903e-27	1.8615420768395199e-25	1.0378404786117235e-10	3.476454283161055e-18	6.314241010456567e-17	5.086693942657544e-18	1.0727520936222328e-14	5.5660869706802666e-36	2.353049645159429e-34	1.2404923360122462e-32	2.09490556966468e-24	3.0785167275450663e-24	4.855225434704209e-15	8.80434058275393e-12	2.470905684312664e-13	3.5868654509332513e-11	3.0013677325591237e-26	5.350667308999076e-22	1.127353120971603e-23	4.2612830074751055e-24	8.843426306821558e-06	3.114013098015278e-17	0.001950369824179	4.6018782895756783e-29	6.67321870622651e-25	5.402348889453133e-31	2.771068208528725e-56	2.5740113067245035e-55	9.558549004796513e-05	1.260021481623732e-06	3.486847201890216e-05	4.729599379449177e-22	1.1146777168116813e-18	9.50331981008866e-27	2.102707666850102e-09	1.0460156599102048e-16	0.0006863874393455	1.2209629600648149e-17	4.217174361030546e-22	8.515735319161598e-19	1.4602123145798084e-16	1.1302971831806259e-35	1.011735540584127e-42	2.1934659283295176e-53	3.3735692532927947e-18	3.509626598146993e-17	1.0722814590791892e-08	6.569230681121355e-17	4.846121271014453e-38	0.0	0.0
131.3828181009456	0.0025120517587618	21948160.71339036	82045608.34682555	17.667810026193663	4.0631486482573534e-08	0.000590086584332	0.020236979918874	0.962149632835026	0.0106592137043501	0.0001874488107672	6.418421734533033e-12	1.1712982454640094e-19	1.3826470377004515e-16	3.4197977052746174e-13	5.29613671391858e-10	3.146251205510365e-28	1.2016522448990791e-18	8.150495804466069e-22	5.554538117779275e-22	1.167576975899609e-16	1.7292246373954377e-25	1.5761132204516547e-24	8.415750086255122e-05	0.0009718880670712	5.0397061497672915e-20	6.98465915548797e-08	8.61853214468205e-12	1.5137670702814673e-23	1.6429744508451486e-19	7.493564300949466e-27	0.0003559434367733	1.865326095440035e-21	3.711379713337277e-29	5.636394683674431e-08	6.159341535086287e-11	2.8276103168590093e-12	7.34551482341596e-14	2.0456973284035146e-07	8.695046245475973e-12	0.0001656650676362	1.5190763684155072e-06	4.077201628764532e-17	1.4925679867352822e-18	2.1820448439990283e-27	1.502947584444594e-25	6.745644675275223e-11	2.212189233208067e-18	8.063558029283813e-17	5.587702114707868e-18	1.4343650923883437e-14	8.916544589379674e-36	2.8424800392986188e-34	1.5256532049986542e-32	2.0700289958230584e-24	5.5986757355818885e-24	7.125757921990243e-15	1.1885229362620044e-11	3.4121226471061657e-13	3.8189720491897135e-11	5.442140935405646e-26	6.863431851445777e-22	9.498014962212206e-24	7.983024648975388e-24	8.900866266393293e-06	4.7634458659240026e-17	0.0026101064240683	1.127884706813688e-28	6.97538797672521e-25	9.421882628358383e-31	1.324711854301209e-55	1.3938614030812012e-54	0.0001773451543077	3.5721029098133773e-06	8.69441071722068e-05	8.712493119618714e-22	3.0807844800772043e-18	3.250716477213173e-26	2.796121691669473e-09	5.640673314071631e-16	0.0017102577173475	9.748240496250234e-16	2.7239216864865847e-21	2.1238302931410442e-18	2.2132392518637413e-15	1.9574013313765888e-35	2.0457778004061642e-42	1.512601591937028e-52	6.273020824690327e-18	5.572718006556124e-17	4.313392789205582e-09	2.164516482399713e-17	4.343849636788098e-38	0.0	0.0
132.0317539312873	0.0046419282792201	21805333.46032578	64048246.344419904	17.84770794072193	7.547314782421104e-08	0.0001303920260475	0.017776456634486	0.9642679837336884	0.0083382545817814	0.0003199461942899	1.910633790934945e-12	3.071950476540337e-20	6.98327382417369e-17	1.1343637027966621e-13	5.2158165725972e-10	4.4208617382289987e-29	1.0248867488907344e-18	6.464533929576732e-22	2.390704364973217e-22	9.781129349973396e-17	2.6289322923775056e-25	2.1127667349952017e-24	9.689727351514877e-05	0.0014426886381201	3.517777609388992e-20	5.97171158188448e-08	5.474733529236312e-12	6.206189981210183e-24	1.4273354930241457e-19	3.628884624718695e-27	0.000265633558591	2.307804366876204e-21	7.483206247611124e-29	4.7672278928467774e-08	2.7976033383560807e-11	3.1453221877084348e-12	7.492099674759041e-14	1.7303123324993137e-07	3.879115479891374e-12	0.0001908445032916	1.5073975441682677e-06	2.883261209918936e-17	2.5052097561912533e-18	1.3242066953375507e-27	1.1508030734305606e-25	2.5328123367399623e-11	8.245345814243713e-19	8.702132387140443e-17	3.1016223876846543e-18	1.5582186752977512e-14	1.1378521722759742e-35	2.684463400617798e-34	1.7526869609481736e-32	1.7325007922170988e-24	9.520972698462804e-24	7.335124573076301e-15	1.309628646041879e-11	3.841193576186198e-13	3.2408625577383347e-11	7.786729515784208e-26	6.789803696276733e-22	4.3944595953576555e-24	1.1650452320968745e-23	7.030075344423489e-06	4.2769957211016083e-17	0.0032617600062646	2.923898198566354e-28	5.828549983758983e-25	1.5854642189465663e-30	4.6037210825052226e-55	5.707934533670721e-54	0.000379294538745	8.082931266214e-06	0.0002736721568429	8.417989608154189e-22	7.458059203037965e-18	6.876777975459486e-26	2.600856265751682e-09	2.4428482270875758e-15	0.0032392707304735	1.891514494013928e-14	0.0	2.9378945116748544e-18	1.571119596251674e-14	2.600367283345601e-35	3.380776726251806e-42	8.162285170066023e-52	1.0474932213756708e-17	7.182060420843079e-17	1.3627900621434831e-09	3.9420258666183534e-18	5.8675575898313226e-39	0.0	0.0
