Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
2460.1129873	81786118.01299995	0.0	553664.9459941301	6.412933958520021	25.64314502208661	8.730814936240274e-08	0.8200475779705201	0.000155509592519	0.0021102226062589	1.34180402667024e-10	2.069399596777449e-08	1.8989714037325e-09	3.2429609317702748e-06	0.0006836962290895	0.0148663124955839	7.729215483765923e-10	0.0199728976208245	3.4188530109002592e-06	2.410187996944039e-05	0.0011432099714349	2.351263490982249e-06	8.221445838440423e-06	0.1404147571973071	4.378531958517008e-06	3.0411188838454852e-09	3.833515837159926e-06	3.630074980990717e-06	4.773452895239714e-10	1.1540253764321086e-08	4.1757720433769866e-08	1.0469189571198834e-14	1.739500591957944e-05	1.0806884496270869e-07	5.917050388963594e-11	7.043129395612917e-10	3.8353335645493233e-08	0.0002777345325988	1.4369344703615027e-11	1.8361909160121057e-08	7.1179244789491e-06	1.7702506333249938e-06	1.6101901726763435e-14	2.933690075028735e-12	1.5880417778334902e-16	2.3911447770949743e-16	4.6847830998535486e-14	2.94077127492029e-08	1.4981746267047363e-08	2.71512425295242e-20	2.1753317587749066e-17	0.0001092227225633	8.849016148275249e-11	3.9866831362439785e-08	1.7590913865211166e-10	4.163849624680217e-08	1.00965975889224e-19	2.4266915258396357e-11	1.6378821236678422e-16	9.373474454058252e-16	7.783519602030223e-07	1.2048711133913509e-06	7.605725009357401e-07	3.1209845580254474e-08	1.1949432533921486e-06	2.0890990147137998e-12	1.4805621707665157e-05	8.03986799128196e-05	9.698767865315882e-07	3.607845891302233e-05	4.387619462078611e-09	1.4933600710856512e-07	3.627443319571686e-08	7.99607309886333e-11	3.0419540582179366e-11	1.9588764871019886e-06	1.1091331361648027e-07	4.62141802330268e-10	5.686396866503893e-12	1.3492222447843004e-11	6.195899442439971e-15	1.2766372644241526e-24	8.320824212791077e-38	6.247176428336424e-08	2.7427014058535636e-17	8.781927898837996e-08	8.027600005760966e-08	2.716127747967262e-16	6.8526062615474625e-09	1.4858597175595867e-09	7.246403195669811e-15	2.1608642452643378e-07	2.1597038777491438e-11	0.0	0.0
2120.323075285228	45125913.12251975	6701904.210201376	2301430.2681713863	6.514472774513974	16.676051068068265	1.015686141881931e-08	0.8116212041625087	0.0001259322784373	0.00047417291702	3.735236509261869e-12	5.136283292985437e-10	2.412317867489373e-11	3.131761598338592e-07	0.0003360622665734	0.0297880749919038	8.175200066692247e-12	0.0128107451719317	2.070761200675671e-07	7.043769505372009e-06	0.0017042939119308	1.5696277537800326e-06	1.9838210508360986e-05	0.1426810737302604	4.420193287900006e-06	6.21921568425768e-10	2.144806281969317e-06	8.304734859959625e-07	6.958067255301152e-11	7.517760487302339e-09	1.4652794926001349e-08	2.463314709135333e-16	1.144044534505381e-05	1.6065828112253413e-08	2.574000992340439e-12	5.956824755462956e-11	4.687696588784651e-09	0.0002685538398902	1.5046182090592666e-12	4.440563541291962e-09	1.3885730914535753e-05	2.06096314485005e-06	3.122922585406969e-15	5.976135813695259e-13	2.1804728112779802e-17	6.687326256565525e-17	3.283815883903651e-15	9.553221582994478e-09	1.1915873790681528e-08	4.982518341085399e-22	2.376073386178131e-18	4.11091092864313e-05	3.142035285311664e-11	3.146926244180525e-08	1.7781112473392037e-10	3.8708939074322585e-08	3.2489267398016778e-21	3.52770994461422e-12	2.6640377094563643e-18	3.623676729543411e-17	4.357061124990191e-07	2.0286737900928278e-06	3.961129799238229e-07	4.558612298849717e-08	5.061451453558618e-07	3.6820322652202266e-13	1.7014989071797368e-05	2.8135266324654205e-05	1.5888428889047236e-07	3.386088166440256e-05	6.865316609853376e-09	1.2708785435046338e-06	6.824690399944079e-09	4.7617409464025146e-11	5.7608356638729246e-12	7.812382724609631e-07	1.2801582235830218e-07	5.827911397675886e-10	1.242264238044936e-12	7.330005251699871e-12	1.4192494457210682e-15	6.057880757588564e-25	3.4734726094546207e-37	1.830001445989445e-08	1.3729302049607278e-17	1.349198600730132e-08	3.8641339335892656e-08	7.882502528154432e-17	8.810290343500539e-09	8.041987146771403e-10	4.5886164769226784e-17	1.5699558912672604e-08	1.2732848983880985e-13	0.0	0.0
1827.2350078240363	24898455.68678936	12509509.092357002	3989150.247169528	6.645874497091949	10.89231316587044	1.3094459939064686e-09	0.7980397378651839	0.0001618111201073	8.041665394427275e-05	8.819067206975284e-14	4.501717800752249e-12	9.262775676840144e-14	1.3853836937027414e-08	0.0001035957960997	0.050832784340079	1.6944703551147104e-14	0.0034967417956412	3.467584356733232e-09	8.041075551588225e-07	0.0013694707175305	5.209234910615566e-07	3.1026318706662926e-05	0.1455277530093858	7.516375557349785e-06	1.1424120610745769e-10	1.216542860569199e-06	1.576094296704971e-07	8.819786754369698e-12	5.6394805909939125e-09	3.483217989542075e-09	7.877792237643686e-18	5.3101340905557646e-06	1.2574272806834203e-09	1.0879025420478673e-13	5.667859822287645e-12	4.3800050300072784e-10	0.0002927363398697	2.893783695144735e-13	1.5022889100686507e-09	3.3128540669969782e-06	4.545514905149554e-06	2.968038420855136e-16	1.085870228608279e-14	3.248326365495036e-18	5.2770947237908145e-17	4.252547962659526e-16	3.07435697863006e-09	1.712099477044118e-08	2.1146267753522601e-23	1.1324477503753072e-19	2.768946658463681e-06	1.2531891193278198e-11	3.0067834355730976e-08	2.5183742198222425e-10	2.9877455238370655e-08	2.790492197741633e-22	6.745460440786979e-13	5.824514924985904e-20	2.2716535125144374e-18	1.1550838941858277e-07	3.167523260547978e-06	1.497787888557112e-07	4.0377417307268906e-08	1.6294989762998812e-07	7.094990372323535e-14	1.8372401396571505e-05	2.696199104656148e-06	5.939141933229564e-09	1.0800300570866244e-05	1.3135851690332755e-09	1.8412462035088e-06	8.231742383235616e-10	2.0099594882841178e-11	1.15443263900738e-12	1.495501928979715e-07	1.4140305850620638e-07	3.963356928117511e-10	3.119352812133472e-13	2.9132757271785678e-12	5.870297125974534e-16	1.6739210009818688e-25	7.750175503441e-39	2.5642265111858196e-09	4.327247327037432e-18	3.362428188238025e-10	4.051389379482795e-09	2.3763400777182597e-17	8.099689968739602e-09	2.5898040827662806e-10	1.940582502272905e-19	4.984324305377559e-10	5.474581036778182e-16	0.0	0.0
1566.5746201598113	13737851.551144328	17505123.794450708	4879786.770652771	6.7023473513073695	7.0694339986757715	2.2428966425929346e-10	0.7916534508187248	0.0004708053388683	9.106111730419329e-06	1.850475359881685e-15	7.466557856192113e-15	5.321617958427287e-17	1.7181930447100204e-10	1.4286976239346435e-05	0.0605057829794825	2.407155700103832e-18	0.000206573924675	6.635250150076414e-12	1.7699975240619477e-08	0.0003420694881531	4.812063341034944e-08	2.0035478938401952e-05	0.1464158754791262	3.038176172723152e-05	1.802825605079965e-11	7.002864161177054e-07	2.2493836917271894e-08	9.1144787732825e-13	5.247121250466038e-09	4.038555297528836e-10	5.0590608678872535e-19	1.2696569373612456e-06	3.2767149244528175e-11	3.782707926120231e-15	5.554013482523908e-13	2.0454875594371092e-11	0.0002843769620718	1.3207482204819318e-13	7.25515740495679e-10	8.240251385883612e-08	2.2487120058247517e-05	2.1173729076843159e-16	1.3062976411913337e-17	2.087560813135779e-18	1.454564591748419e-16	1.314154344649638e-16	7.360215890381914e-10	4.960861266474295e-08	3.372012703673545e-24	6.929625974859232e-20	8.461801405445384e-09	4.5251558791718496e-12	2.8804936156240652e-08	4.501436643392301e-10	1.527846776099178e-08	1.1201860434661085e-22	1.617249125517426e-13	2.5329136806768957e-21	3.7654948570277454e-19	5.704538069545486e-09	2.897887750143952e-06	2.3059264335889343e-08	9.726786958667873e-09	3.6187733874579025e-08	1.8199121659276382e-14	1.8803326773982767e-05	2.555069849134409e-08	1.6702647752190057e-11	4.700190630180056e-07	4.951514476190096e-12	8.583407603934294e-08	5.279691284448565e-11	5.336419707907426e-12	2.9027740957022e-13	8.639892893111537e-09	1.4626655025800036e-07	9.826878083088914e-11	8.438555141505595e-14	7.701257131497139e-13	7.562117321907813e-16	2.277535815001549e-26	1.9401015581056916e-40	1.0883669697451669e-10	7.392128541752076e-19	3.318308511253898e-13	2.6272531062291128e-11	8.962901977679591e-18	4.1460187112200976e-09	3.517821061274808e-11	5.13720458099765e-22	4.135467084489756e-12	1.2643693969566708e-18	0.0	0.0
1337.123351701144	7579930.563380859	21818187.56560577	5185655.860154198	6.756820299998019	4.607083700611763	5.440213409444268e-11	0.7860622190277051	0.0036476094061828	6.338317043207921e-07	3.418220919240176e-17	2.4155638632208066e-18	4.5328825119027256e-21	6.632113414351873e-13	1.0671396139125803e-06	0.0657534368348159	2.871381086826378e-23	4.0235747097012335e-06	1.9585074719377986e-15	1.1116281879168564e-10	4.296831018427348e-05	1.9471171674464477e-09	9.037175974308567e-06	0.1437980474763848	0.0003486436403032	2.427305832179166e-12	4.025399654856217e-07	2.2521943820290032e-09	7.970404812068864e-14	6.496472435264553e-09	2.794946642657021e-11	7.61791676116719e-20	1.9452507313661975e-07	3.262106661022591e-13	8.297302768106587e-17	4.5637803477885644e-14	1.3471257646717936e-13	7.759323635277768e-05	1.368598011026971e-13	4.314926922395493e-10	2.6091906612282073e-08	0.0002339966435009	4.964294098444807e-16	1.1607719937560744e-19	4.1277556389727234e-18	1.1600510219972509e-15	9.391815188820211e-17	3.9638672025691726e-11	2.6724245634786094e-07	2.0811661026540763e-24	1.8670763938533464e-19	2.743170903293849e-12	1.6534236863800737e-12	1.0089241707643557e-08	1.2148839684722443e-09	6.6880497541032354e-09	2.3196793811705507e-22	4.0031057300876345e-14	2.5580982375477024e-22	2.0307059583025496e-19	2.5349022205653475e-11	6.434828829329484e-07	5.610622863104649e-10	3.2739378674588e-10	5.454780998289403e-09	7.06316746914369e-15	1.8998315132304946e-05	4.4946450582991645e-11	6.310957850115681e-15	5.5472082676096125e-09	1.505258530755711e-15	5.774639144310071e-10	1.6922918576747652e-12	9.204397941472797e-13	1.0327634911681221e-13	1.2388700525143426e-10	1.4788624148556132e-07	8.08305966551043e-12	2.1636081913252953e-14	1.407945967755446e-13	4.157585722411853e-15	1.7074886948431248e-27	6.962367392112449e-54	1.1451298276951744e-12	7.322302809762648e-20	2.931766044279447e-17	2.5767513796018272e-14	5.0840089293294285e-18	1.5812270138218191e-09	2.570237735576497e-12	7.865535627169225e-25	9.807381428391512e-15	1.1320978991404277e-21	0.0	0.0
1135.1341296641492	4182265.846429924	25518572.990867637	5107518.046533069	6.759660203991877	2.9955688016298883	7.417046512307103e-13	0.7859553555519287	0.0035372744220522	2.3924468975211383e-08	1.943640647004518e-20	1.0327957030470376e-22	3.63997263362008e-26	6.080984893798305e-16	3.8223340521494733e-08	0.0660699940058817	1.6007424905046965e-29	2.080428063079956e-08	5.840688951917815e-20	1.5473944486515085e-13	2.4543531537863045e-06	3.0179176757430955e-11	2.8192279906587826e-06	0.1435314592856064	0.0005684538635176	2.311755546131024e-13	2.418278862307572e-07	1.5121306394747144e-10	3.4432363181499494e-15	9.441721020187958e-09	1.0985041705649304e-12	5.793182152234722e-23	1.846256121458337e-08	1.0447710286030477e-15	9.767096351777248e-20	2.7668474696003943e-16	1.0311090970588793e-17	5.444254261307195e-07	1.4113664574168148e-15	1.6674706753143955e-11	2.4480915742668633e-08	0.000311934393536	1.4314747072036405e-17	1.5061014596026647e-21	8.608139832959858e-20	8.890424643189476e-17	6.4299342263653935e-19	4.15552978427896e-14	1.654853867092857e-07	1.333074711271239e-27	7.084760979750722e-22	7.802936997187223e-17	3.2761293417636246e-14	1.0984824020104982e-10	2.891060477682078e-10	2.616290936538925e-09	4.902749646680042e-25	5.513900560644514e-16	1.1533780328567056e-25	6.396009600598952e-22	8.117870520805306e-16	3.159615979539161e-09	1.7555383269471588e-13	1.339431711463315e-13	5.067472812838608e-10	5.464160472973232e-16	1.900764728726672e-05	1.052307218669944e-14	2.0992134485563985e-19	1.4122681508336186e-11	4.9332275109472224e-20	8.757798307345454e-13	2.3102361886959623e-14	9.423250949016645e-14	6.650871630427625e-15	8.791997855430353e-12	1.528254697686938e-07	4.781032371570556e-12	2.657959214334776e-16	1.6301662386745412e-14	5.7243022101358576e-15	6.358731646927734e-29	5.300110332459556e-56	5.953756259074476e-14	3.750501660003823e-21	1.8372949870535208e-22	2.725688671070637e-18	6.1513436770886684e-18	4.3641672493475636e-10	8.961122337228894e-14	2.167550852544933e-29	4.955174083142445e-18	2.802697434555685e-26	0.0	0.0
957.7122090539724	2307586.7864431483	28694338.388242643	4776499.179265462	6.75961819121977	1.959003290313921	1.5011896476775077e-14	0.785546557389781	0.003945992607797	1.5117617999512103e-09	3.924196426431014e-23	6.785749267265646e-27	2.0569507238300203e-31	1.3483135265813264e-18	2.191496996217588e-09	0.0660670383173323	1.891607130330721e-35	1.535278414682533e-10	2.668308637066568e-24	8.928506547463349e-16	3.932619505289851e-07	3.843268847727427e-12	4.155052344341886e-06	0.1439488047896185	0.0001550659649223	5.869059365880605e-14	1.3479374735134193e-07	2.185461284215266e-11	4.019300064788485e-16	2.0319423670408668e-08	8.42234963675159e-14	4.90703213076994e-21	1.0496027128447296e-09	3.2189020081770225e-18	1.2063754364736236e-19	7.766600679459401e-16	1.20488842965606e-20	2.8117233716824835e-09	2.855299165336787e-15	7.525968636738593e-13	2.4478865056085923e-08	0.0003125768320101	4.45036215688542e-18	3.16041371577872e-23	1.6372944863877008e-20	2.6558803168222176e-17	2.477791976406228e-18	8.239464118453502e-17	6.582654851371562e-08	2.9412653565780595e-25	3.3302877566818263e-19	9.807454657512161e-20	8.704891800538817e-15	5.790233119569264e-12	4.74286737220509e-10	8.156555615177457e-10	6.5402150181193e-25	7.298812710896348e-18	1.8932826931877973e-23	6.116483565488741e-23	4.713162228191145e-19	8.61151712779382e-12	5.578487192194645e-17	8.649732449346376e-16	9.494269564757902e-11	1.1951748797401402e-11	1.8992983516305097e-05	3.047126389007691e-18	1.2687887876193061e-23	4.276381631010567e-14	1.5634125394631984e-24	8.903491981274652e-16	2.793907025738177e-15	1.1723888148508648e-13	3.0800518534767446e-11	3.5835157443825265e-15	1.6772074305909822e-07	2.7489358959374206e-14	7.231563446576103e-17	4.132221644387784e-15	1.2988768753440615e-10	5.4477482927237165e-28	1.9807525407261708e-50	1.2235155014340876e-17	4.574578032190848e-21	1.4110507193335766e-25	3.7038720366225405e-21	7.6742936814401e-14	3.444560942159549e-10	5.535769291965895e-15	7.489701447672243e-34	5.257764614756168e-21	3.387291029617068e-28	0.0	0.0
802.7449018080617	1273222.9304630428	31399724.69759984	4283031.391781343	6.759619308958407	1.289552753704527	2.725093644415839e-15	0.7855158564458707	0.0039748917460653	1.2547280100556855e-09	5.584009408552002e-24	1.2264512931500414e-27	3.431189789432837e-34	4.2995524802159594e-19	1.5827356113148891e-09	0.0660704890344253	1.839257557284878e-40	1.208934789652738e-13	9.690608143379435e-29	1.3652198572361829e-17	1.4846133316823906e-08	3.068893967018092e-12	2.76994071509814e-06	0.1439779648127749	0.0001260775685479	2.1112946646478825e-13	6.031439244050458e-08	5.632864042109397e-11	6.44822880265257e-16	4.036685749610737e-08	1.0326351708570857e-13	7.201461085228122e-20	3.140743734293401e-11	6.446062141691501e-20	3.721983241500058e-18	4.0103781323529006e-15	1.3473698031719154e-21	1.2271983389131375e-10	1.8814630876015722e-14	4.057442557102893e-13	2.4479349317603456e-08	0.0003126226589053	5.1016706217031817e-17	1.2151435515518673e-23	1.7092050534250524e-17	3.621440203923233e-15	1.700252370305541e-17	1.0234209555257947e-16	2.083391031882205e-08	4.4347554242348515e-26	3.696386006855807e-17	1.5458953933488422e-22	1.121774534342651e-13	3.5573671022903894e-11	2.360053796439817e-09	1.9166385967173895e-10	5.503580009500504e-23	8.582559760120402e-19	3.522501255537887e-25	4.106022224430573e-23	4.46611862483096e-22	9.032119914779886e-14	9.891979259506429e-19	1.099905179298576e-17	2.9693592191531565e-10	1.0365756952206364e-12	1.8948013665239054e-05	4.136561916124928e-21	2.6022269962621567e-27	4.4560008255019625e-17	4.670803294247471e-28	7.825541592247778e-19	6.987298700533216e-14	7.2878193650195e-12	1.6657654295738157e-13	7.894951322115725e-18	2.1147631204003949e-07	1.7854668780113037e-15	1.0800184149899616e-14	2.081412139256692e-14	1.7732991617462664e-10	2.055206121658988e-23	7.119423955226629e-38	1.7399654582724092e-20	5.273405677178265e-20	3.36849775887437e-27	3.821140824807999e-24	3.698608806929764e-15	1.3398507330167226e-09	6.984774710027029e-15	1.2973628930683566e-36	6.763508877348171e-22	5.503565625426734e-29	0.0	0.0
668.5507513652974	702507.3293800632	33685984.464194976	3701218.1133151	6.759618124004489	0.8543358287461633	2.7992679427824037e-16	0.7855105833286388	0.0039783058828324	8.645432891670391e-10	8.638292482819775e-25	2.1080167563096955e-28	5.428231699389456e-35	7.74606324502684e-20	9.12038013869407e-10	0.0660748102743584	1.0723252293120182e-46	2.266820832239338e-17	3.406017725780937e-34	2.079649725050117e-20	8.120141636187627e-11	7.104314122680604e-13	5.993230475697207e-07	0.143981221499488	0.0001226252746181	6.204650163014555e-14	1.5316529416049507e-08	1.7653473644550508e-10	3.839063312445735e-16	5.374118713163437e-09	1.359456843988264e-13	4.210176274196468e-22	4.2860703082543307e-13	4.583866360936512e-22	4.3674459787956464e-17	1.6457530110365995e-14	6.008985534424469e-23	2.7052515156799768e-12	5.922061540927754e-14	1.6229739842489106e-13	2.447971479847491e-08	0.0003126416447143	1.7293843841275404e-16	3.144192823759796e-23	6.183225803563554e-17	1.5255881228109474e-15	1.0069267057121448e-16	3.8028492389377556e-16	3.966078618158943e-09	7.659861541228485e-27	2.636891689119983e-16	1.9090723014979515e-25	4.3773062388549555e-14	6.1314472469699576e-12	3.3636907707372366e-10	2.5116824148672588e-11	6.675854854794677e-23	4.148911848022881e-20	5.2145170013198825e-27	7.653303791519057e-23	5.73780915281106e-25	2.467341492751425e-16	3.748491847898382e-21	1.4908113586965265e-20	1.0375429971117306e-09	7.483460370379374e-13	1.863872559750292e-05	5.537955701089984e-24	5.870647378610771e-32	5.275321878670118e-20	8.745383941255736e-32	6.521955888179325e-22	1.8859920064393733e-12	8.683492618939613e-11	1.3377013263004536e-14	2.0129378772846842e-19	5.162771048042451e-07	3.733182156173285e-15	1.3674788712868268e-13	2.359283673234374e-13	1.779164135859386e-10	5.846869765356584e-20	4.405723773164291e-27	3.646781614162865e-22	3.7274009953993796e-18	1.1545947456157783e-28	3.7220220093929136e-27	2.104033198365196e-17	4.921555116001013e-09	2.2295434582234217e-14	3.728756031509732e-40	3.917162559148129e-23	2.8253751681041373e-30	0.0	0.0
553.5113503920593	387612.04815344367	35603215.43661114	3098261.115301661	6.759617916441496	0.5693546408581405	1.5367787913618334e-17	0.7855147172027079	0.0039784969511655	5.170845681781429e-10	2.4009357557537657e-25	1.923452046421221e-29	4.224211280424284e-36	8.324198915668583e-21	4.4042050611909135e-10	0.0660758140768126	4.256757673022021e-53	1.3406192515516746e-20	1.3428460420113218e-39	1.0047125677107432e-23	2.035246948794561e-13	1.1075787199916488e-13	9.104573207305129e-08	0.1439766142299182	0.0001224306514419	1.012895691940388e-14	3.1229436026016392e-09	7.631860640329908e-10	1.5212120426977855e-16	1.6350429391732114e-10	2.1512556771040043e-13	1.1190390914299128e-23	2.4442404166780748e-15	9.943097174210796e-25	1.1101920531949081e-16	3.293040197711291e-14	7.520366785246817e-25	8.576345138025556e-14	2.1958652053023335e-14	4.9273841624098183e-14	2.447906034521149e-08	0.0003126456711516	1.8565296578616e-16	3.663503798391656e-23	1.5795724997383886e-17	9.397963220887721e-17	3.2559473007577696e-16	4.634959057447016e-16	2.4453593857623297e-10	1.616730181551006e-29	9.979246212363406e-17	2.0321343451850587e-28	1.1150569285630022e-14	5.492569033832337e-13	3.012876664521177e-11	1.6693694551867398e-12	9.169630707687922e-25	6.286526323352104e-22	4.0779294298692657e-25	5.03317658221332e-19	6.663434880064001e-28	5.063905032285716e-19	5.509164658259253e-24	1.9644336059048488e-23	3.5225095742769204e-09	6.750524219298582e-13	1.3804802497651542e-05	5.1578093976669686e-27	2.2983508442854948e-36	5.735629423956758e-23	1.0658960095766049e-35	5.378518839945561e-25	5.2030574545577e-11	8.973290639327981e-10	1.1038871083708377e-13	1.9646574095288404e-20	5.337752611415644e-06	4.9545239420697896e-15	1.56209665150749e-12	1.1532344243280187e-11	1.7790825401009178e-10	3.08302177376007e-16	1.8066158706191717e-18	1.484815528130918e-22	1.0758521118331136e-14	7.888201317061353e-30	3.9014373740076286e-30	5.72401995646382e-20	1.3188328233761593e-08	1.3220883074928497e-13	1.3029161896767386e-44	1.020680586231939e-24	2.4485764560964058e-32	0.0	0.0
