Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
137.96375416606338	1.8764342480807083e-05	10506848.080157029	371689001.5783208	40.430475107614114	6.614045406439888e-10	0.0010137350836687	0.0006605558657563	0.0151610736631709	1.603715221527002e-07	0.0206010664432032	0.0007646081970428	0.0019585644115048	2.52876166990964e-13	3.434578627064527e-13	2.020811969264308e-11	6.055290140578823e-08	1.2449959427253358e-15	2.2291401831247054e-17	1.234511912902445e-17	1.5726742162647893e-14	1.5078890588152155e-31	2.0898953291526175e-32	0.1333034969982598	0.8159938706939253	2.0139061606941002e-17	3.741192792165432e-06	1.4966079895207084e-08	3.6269941672924e-27	2.4841885600809697e-25	2.95988723688817e-28	0.0002725294090169	9.299093818043352e-20	1.1721906982678405e-25	2.163796620250109e-05	2.379899557702717e-08	3.827642243769811e-06	7.360445194648815e-12	3.8601852388937055e-09	5.703765302959507e-07	0.0006422152354964	9.935120213264948e-07	1.1590855817110562e-14	4.2208165151854686e-17	4.4157030660834573e-23	1.4388347798397977e-22	3.0872499992220983e-09	1.9876426403947853e-18	5.137398952871544e-13	7.381079531252201e-24	2.665817421640763e-18	6.223157032796266e-28	4.917397568087921e-30	2.7728968687610904e-36	5.992683432624466e-26	3.141511313601641e-33	5.029723965821096e-23	1.462764009403608e-07	1.3178344229417286e-13	4.798499607298709e-17	1.7923801558292702e-20	5.838411640472426e-25	5.938069446073891e-20	1.9615621150625242e-19	1.3956922978773166e-06	3.5934752246219636e-21	3.033235127930165e-05	1.1722349960295284e-28	3.798949192193701e-18	2.3212865028042644e-30	1.6960986064966928e-57	7.870820708072094e-61	0.0008991944374841	2.1826549276320668e-11	0.00031664041649	1.0952169548687568e-14	1.1436042967966242e-17	2.7454062832653203e-24	4.7041483905412986e-11	3.474950563538707e-23	0.0008988722693915	1.720291038276036e-33	9.43765030999e-52	3.626399464480578e-16	7.120389795701264e-23	9.55893615110873e-32	1.0316036299483945e-43	2.969384703388055e-68	1.958629703598248e-24	8.235521583789895e-25	0.0074506651305925	5.753127677119686e-13	6.29197548409378e-34	0.0	0.0
139.97075063848817	3.521005487370228e-05	10441719.510900753	288797547.3135039	40.98687101536223	1.2401212664003252e-09	0.0008220478471705	0.0004151446766189	0.0119857415708388	9.761468436316038e-08	0.0182193477683203	0.000585107023947	0.001509088657033	2.6811905250226773e-13	2.744589063118518e-13	1.5639277668857025e-11	6.47538178907445e-08	1.4204778822948513e-15	2.7105656993255563e-17	1.3108500592241294e-17	1.6935480932516115e-14	4.093088357543421e-31	3.499501807599156e-32	0.1176924648232645	0.8406602981583814	3.06071949053794e-17	4.119823309833514e-06	2.0847321119719813e-08	5.7235401777344376e-27	4.248568162349141e-25	7.000322980732024e-28	0.0002680955410195	1.5893531742232317e-19	2.447776416258876e-25	1.6550862928751136e-05	1.818712706078756e-08	1.332733118176204e-05	2.8022758133165823e-11	4.421869330625132e-09	4.418139892229105e-07	0.0005639271311589	7.776562882628695e-07	1.2674424250234291e-14	6.298317239412043e-17	6.653476256417783e-23	2.346119090650889e-22	3.779772822195372e-09	2.2330303136312885e-18	1.230031316965358e-12	2.6423407697170245e-23	4.4400881567744034e-18	3.947235809769577e-27	9.86094821883476e-30	8.763249165693561e-36	9.482203394405952e-26	1.2009162829807096e-32	1.3258242600130972e-22	6.847993858986782e-07	2.407366331349236e-13	8.016668976730096e-17	1.0612425459383952e-19	2.4895514431090923e-24	2.757320135785924e-19	1.1699807918525393e-18	1.2979364576284708e-06	7.745826818848249e-21	2.827517718721952e-05	1.8732647843407947e-28	6.174485544263707e-18	5.487972557705333e-30	9.585783475315153e-57	4.429593430718866e-60	0.0008777130201207	3.626371091573195e-11	0.0003600737606054	1.7606303239003546e-14	2.309720159785436e-17	7.365602164033023e-24	6.198092021695535e-11	5.776065509718903e-23	0.001143869626196	1.4818791342473926e-32	0.0	5.714824064483e-16	1.9151500749319137e-22	2.222472192472478e-31	3.3890595626828288e-43	9.33943851376513e-68	3.4280420248994786e-24	1.3505705127258834e-24	0.0048313952456074	4.26101423699499e-13	8.876295573007728e-34	0.0	0.0
141.9838878057318	6.606935284181629e-05	10376126.25371606	224343148.4886184	41.3058001420961	2.31186254109882e-09	0.0007224352579633	0.0002878198230827	0.0102221223754633	5.904615111793994e-08	0.0177409122304649	0.0004948906295235	0.0012668178994143	3.136133067509824e-13	2.416790392716816e-13	1.314049261000452e-11	8.271879296054423e-08	1.9776384017157265e-15	4.486075841674778e-17	1.6370995524473986e-17	2.1623025668556536e-14	1.5679669541110608e-30	7.412282619381116e-32	0.1082973950664359	0.8545459203209061	5.835239923832349e-17	5.355507141744948e-06	3.2677720958781336e-08	1.1268796862956811e-26	9.096393158519994e-25	2.1292398941885928e-27	0.000274435261955	3.3627044067842096e-19	6.486946629592358e-25	1.347902043632817e-05	1.5137323662638307e-08	7.383205946142876e-05	1.6674185691137167e-10	5.898639941205404e-09	3.7014142091883177e-07	0.000516446265777	6.592540218143166e-07	1.62669177698705e-14	1.167571621576708e-16	1.247930703949627e-22	4.746649152863728e-22	5.463044607544772e-09	2.947249547175337e-18	2.2977035526619773e-12	1.2768928985398976e-22	9.087094543270879e-18	3.6179896387457726e-26	2.594231871254548e-29	3.641169518809488e-35	1.8675146636035216e-25	6.305803178365115e-32	4.349800278202321e-22	4.8011548186329785e-06	5.475779166098248e-13	1.643002454668653e-16	9.046199865360066e-19	1.3729342888729068e-23	1.9229197268444002e-18	1.0078844016002648e-17	1.2317404545766632e-06	1.9490582706202787e-20	2.690105481831186e-05	3.796030522540861e-28	1.2854266770899882e-17	1.7110162581544193e-29	7.224101236240431e-56	3.106359289269763e-59	0.0009287073852273	6.7122557254735e-11	0.0003980412828278	3.008311326522859e-14	1.9696062518935182e-16	1.5019827979378774e-22	9.284905336931847e-11	1.0397370952273062e-22	0.0013376961656671	1.604611659730431e-31	1.5525125288169886e-49	1.1194772414906313e-15	5.199791407270564e-22	6.861845322523596e-31	1.468283474503171e-42	3.5251247111872464e-67	7.100663730060069e-24	2.6226884174124523e-24	0.0028395288173822	3.3543343935165883e-13	1.6616644519368228e-33	0.0	0.0
144.1653695574406	0.0001239747964209	10309740.34111194	174237235.59799612	41.45237509131441	4.2875762181563926e-09	0.000673260415536	0.0002265298394808	0.0094460756189272	3.99209194016309e-08	0.0177585656072546	0.0004654581350246	0.0011142694254109	4.2297561416263997e-13	2.3151661360125015e-13	1.2040804314158878e-11	1.203202628518738e-07	3.259872153121864e-15	1.1028823042050052e-16	2.333262384367888e-17	3.2037843403228264e-14	7.786878538143794e-30	1.862510184752394e-31	0.1037983716737036	0.8602535316065221	1.3266791939298307e-16	8.090669654502654e-06	5.7404398152531314e-08	2.5888715393567557e-26	2.283166033307617e-24	7.932860503420108e-27	0.0002840372862033	8.186698966950507e-19	2.053054385389228e-24	1.1235411657336975e-05	1.4487653582997785e-08	0.0006030676221981	1.3986876060171208e-09	8.587070179920854e-09	3.3448210458793173e-07	0.0004943158827143	6.080313814763855e-07	2.4347245633792825e-14	2.4843976180537513e-16	2.7417114337914023e-22	1.1241384407167516e-21	8.730379019892476e-09	4.2820351145163814e-18	2.981604317306111e-12	7.5449099240479935e-22	2.1873583465107442e-17	4.692268430172424e-25	8.467442646012514e-29	1.8758668239844887e-34	4.310589932707236e-25	4.236790664980671e-31	1.639494950304743e-21	4.671759436533097e-05	1.460535028304948e-12	3.854402387878964e-16	1.0858539584282108e-17	9.328737676030636e-23	1.8697600627578322e-17	1.2057771794482838e-16	1.1941337853077785e-06	5.802546668167547e-20	2.6199601367918053e-05	9.405559588570394e-28	3.267779421337864e-17	6.805038535722447e-29	7.112914190397479e-55	2.590372774500128e-58	0.0014102683511593	1.8405171388664926e-10	0.0004202962349927	7.149204847922201e-14	2.089577152597235e-14	2.2025908817906606e-20	1.78526064511891e-10	2.035953387017385e-22	0.0014394518277581	4.3644419754699376e-30	2.1572167729617384e-48	3.240408957204834e-15	1.4451228426343809e-21	2.7498488130085847e-30	8.070678729668156e-42	1.5756861209091384e-66	1.6679383912490834e-23	5.793369959134917e-24	0.0015178693192783	2.766733727410784e-13	3.868693267124216e-33	0.0	0.0
146.2948067515766	0.000232630553903	10242242.083315896	135294817.83799464	41.374701846154736	7.913392411711281e-09	0.0006221135794024	0.0001942086170545	0.0090667549787498	4.0172242505204366e-08	0.0170654850810448	0.0004967712487403	0.0008989367954818	6.735776316836853e-13	2.288163758658407e-13	1.1501449354180872e-11	1.769871756464851e-07	5.953253326584995e-15	4.153370731682828e-16	3.5117992410106455e-17	5.058096157485688e-14	4.396307904744109e-29	5.018862247071479e-31	0.1010108197164394	0.8517729012925767	3.376892915309491e-16	1.3464722572100024e-05	1.1258303687476365e-07	6.343188215800529e-26	6.0894825992900694e-24	3.271218131556533e-26	0.0002888966472744	2.051010406473413e-18	6.974274740967365e-24	8.353931526204832e-06	2.2566620467025384e-08	0.0071317467328147	1.46135479782963e-08	1.1394180415617705e-08	3.0491617082371295e-07	0.000475444119108	5.817445747542908e-07	4.3010594686894415e-14	5.181279644252795e-16	6.485127676271234e-22	2.8332203170523488e-21	1.3920377307650781e-08	5.594768296440836e-18	3.261842449637719e-12	4.3495714748380704e-21	5.854785524463416e-17	7.700433850214224e-24	3.104864042429012e-28	1.0699395322522445e-33	1.0652092621662926e-24	3.1512296355430903e-30	5.8441530209726274e-21	0.0005687305185328	4.288455423525901e-12	9.346693106317577e-16	1.721751450182309e-16	7.420502160373536e-22	2.2930685202606257e-16	1.8357287876112844e-15	1.1560118817674735e-06	1.9771299680333409e-19	2.5594112777582272e-05	2.6647364714818623e-27	9.324819992182348e-17	3.245769448987696e-28	8.366111722776517e-54	2.2807817257808275e-57	0.0077068262425337	1.5367288171249723e-09	0.0004260034734905	1.217582318089889e-12	3.603559778479045e-12	4.547990148043003e-18	8.030103575426397e-10	4.2185326143433767e-22	0.0014546792901361	1.0745526275194091e-27	0.0	2.232626147247628e-14	4.013945213908491e-21	1.3607260096996257e-29	5.050401755113941e-41	7.68469827677492e-66	4.133243477408316e-23	1.3583583630608506e-23	0.000769831625071	2.227925190217192e-13	1.0974700678758428e-32	0.0	0.0
148.56016761520746	0.0004365159384936	10168703.555003691	105035574.01829876	38.5619872364692	1.362847027779099e-08	0.0003591628883635	0.0001327265138548	0.0068088418343289	2.8587764923650465e-05	0.0118850801654107	0.0007007324519643	1.5995814742128035e-06	2.109520702307178e-12	1.7536146582682892e-13	8.582601432298052e-12	1.1696259673435757e-07	8.864693887655215e-15	2.5651772848344426e-15	3.965017896885425e-17	4.777887625726247e-14	2.5107551623037676e-28	9.120311017129989e-31	0.0825008899501184	0.6491505284754501	7.446425649184333e-16	1.9875972339313373e-05	2.244142594355553e-07	1.1668697920563913e-25	1.1667305519282341e-23	9.922789947422276e-26	0.0002221985112848	3.534250068084766e-18	1.744832170685827e-23	3.7739311415843456e-10	8.481964427427557e-08	0.1176755063752379	1.3540071589560754e-07	6.17441172004876e-10	1.7180376713403184e-07	0.0002857639196327	4.054410976601423e-07	8.854046403204412e-14	4.957046590418043e-16	1.1645867020878084e-21	5.025942006862949e-21	1.5137084165043902e-08	3.96628840027674e-20	1.6208803341164697e-12	2.275927311015664e-21	8.103241222789184e-17	1.0413337225177748e-22	8.616205285234209e-28	5.8338501690157244e-33	1.910283541018377e-24	1.7484324086976847e-29	6.029089804094631e-21	0.0070062981927635	1.0726968247110759e-11	1.5501899995775909e-15	3.0719243431048106e-15	1.3716277606886463e-20	2.8734306686537115e-15	2.802541048709605e-14	8.468248708613741e-07	6.201826998126289e-19	1.951479645505944e-05	6.902514440664723e-27	2.196089021397964e-16	1.5318874563859242e-27	8.776374384008891e-53	1.515857936683983e-56	0.1213356157945788	2.5537920729566773e-08	0.0003699628907403	6.03535325457734e-06	8.06580230563194e-10	1.221749039505441e-15	1.2059967897799516e-08	6.953812895071252e-22	0.0011315590440222	6.658195299282985e-25	4.4496711978481344e-43	3.9353801095430723e-13	9.452576026174075e-21	6.70201458653954e-29	2.4464478383419e-40	2.8546581683264044e-65	7.603254950281417e-23	2.441574484590381e-23	0.0003574792965363	1.3108490296345894e-13	3.5971662706851714e-32	0.0	0.0
150.8688322305166	0.0008190934568225	10069559.522523426	81528531.59990412	29.045172983081518	1.8966966408300092e-08	1.705323227092616e-07	1.1591771512995749e-07	3.4585007374074847e-06	5.773087762490613e-06	6.082417673694601e-06	1.0138169411908909e-07	0.0	9.429032405323153e-16	9.115689550539751e-17	4.426698915393622e-15	5.187951577048071e-11	3.786914441878703e-18	1.5308859034806973e-18	1.9372593152799446e-20	1.953708293066368e-17	1.3907607584805386e-31	4.194559937674758e-34	4.1314123626119525e-05	0.0003116479798733	3.5778559641396425e-19	9.538978483404145e-09	6.640549128574844e-11	5.659629970983112e-29	5.6118869285239236e-27	4.733087787064802e-29	1.0671903053571237e-07	1.6784054669817057e-21	8.29726438331633e-27	0.0	4.013088248225475e-11	0.4999350414793383	7.126978482659419e-11	0.0	9.584051404301127e-11	0.0	2.0167751428544728e-10	4.188967866166955e-17	2.411570576440408e-19	5.648790335224731e-25	2.4207428644253032e-24	7.290573620071104e-12	0.0	2.131206817627042e-19	1.0592778703906134e-24	3.887588080039672e-20	4.803833615197181e-26	4.149707209536978e-31	2.9846248758325295e-36	9.20848941549617e-28	8.310949241911566e-33	2.8951248555473964e-24	4.46855163067918e-06	5.099178490589159e-15	7.446847965097001e-19	1.949349882913976e-18	9.560553367033176e-24	1.906241854276377e-18	1.696445199977991e-17	4.014078004970879e-10	2.9923827572437404e-22	9.423532447401973e-09	3.482175581198881e-30	1.041951406058686e-19	7.247990503243772e-31	4.260551735687155e-56	7.554653498023346e-60	0.4996907555922844	2.0552962318042984e-11	1.855950725554817e-07	0.0	0.0	0.0	8.433231290674086e-12	3.411528964775305e-25	5.548255390164902e-07	1.240438133662706e-28	3.0499866545324748e-46	2.5709686462735483e-16	6.79265029368153e-24	3.167705644771761e-32	1.1674017295275993e-43	1.4342830961957403e-68	3.651480627071924e-26	1.178716135896173e-26	2.0336828925269774e-07	6.930329301767239e-17	1.8437066516755732e-35	0.0	0.0
153.2472705823626	0.0015369750147606	9968867.542028204	63270832.75521568	29.04039715402514	3.5032133779255295e-08	1.3737776603185116e-11	1.5340661920910437e-11	2.8660100906779984e-10	1.5021323981358416e-06	5.088624484920211e-10	0.0	0.0	7.608182373096667e-20	7.704421715604624e-21	3.713592997102828e-19	3.997272222034587e-15	2.870277506113609e-22	1.3071668641546753e-22	1.5581500042144692e-24	1.4452239653806285e-21	1.1600498519475726e-35	3.2849783463889396e-38	3.3574766354245983e-09	2.4870999456339293e-08	2.8561215944178535e-23	7.616872444849674e-13	4.558748522684145e-15	4.529209582640647e-33	4.479026288496472e-31	3.7715925858364406e-33	8.503165939673547e-12	1.3353720343393663e-25	6.601600727976111e-31	0.0	2.535071543651139e-15	0.5001747097605522	6.010122987888183e-15	0.0	8.273706503317543e-15	0.0	1.6600057187285142e-14	3.3321354053937613e-21	1.93399576677717e-23	4.5205821813688176e-29	1.9327616971917246e-28	5.823677469287915e-16	0.0	4.052576351964104e-27	8.40195117449427e-29	3.104131337419399e-24	3.808324906270352e-30	3.3165944731711967e-35	2.4298806898328157e-40	7.357197403654065e-32	6.619717021960264e-37	2.315790075141822e-28	3.9600973665306924e-10	4.0556979586438826e-19	5.938000402194316e-23	1.72818998807704e-22	8.348254710960592e-28	1.7173435440250528e-22	1.4817888082732637e-21	3.1774782973963996e-14	2.3996290569064e-26	7.524470684560849e-13	2.822013041063282e-34	8.279728352878555e-24	5.75747912475658e-35	3.5151182270854153e-60	6.284144450302045e-64	0.4998237585699719	1.0328032118628208e-13	1.5130567578399304e-11	0.0	0.0	0.0	7.364941670807606e-16	2.8446482823675976e-29	4.5256127972205305e-11	7.439991578357435e-33	3.430694308726381e-50	0.0	7.985631493675027e-27	2.529788298339581e-36	9.360927779728715e-48	1.1983967555002231e-72	2.9226978682498616e-30	9.441865404657156e-31	1.7467574493024642e-11	5.916410473040765e-21	1.5612753366963206e-39	0.0	0.0
155.72025233255675	0.0028840325561413	9866575.603845237	49093144.38942959	29.03820618672115	6.468667440138547e-08	2.8582131227334033e-16	0.0	6.080288450991235e-15	7.322975572350465e-05	1.0887415048229963e-14	0.0	0.0	0.0	1.6618918513241791e-25	7.958409739186956e-24	1.1358041240920353e-19	5.70250004564778e-27	1.0240588937036756e-26	3.2258112957258725e-29	2.817766445168177e-26	4.2728363190659595e-40	6.6785295207533865e-43	7.00047759730524e-14	5.117010441243208e-13	5.882470829963123e-28	1.5696737402019485e-17	8.87062802559879e-20	9.338059907030888e-38	9.221148956127364e-36	7.758070647176888e-38	1.7475145939849214e-16	2.7447343403476677e-30	1.3566759206555083e-35	0.0	0.0	0.5001685987706409	5.312041975821455e-15	0.0	1.80446835331789e-19	0.0	3.5074941493229484e-19	6.857246452651091e-26	3.994026936547395e-28	9.319264899308124e-34	3.9795652863353866e-33	1.1997652302998415e-20	0.0	2.3011807231113244e-35	1.726815047773894e-33	6.39131813116885e-29	7.835958517151836e-35	6.837025846511649e-40	5.718242176908746e-45	1.5157794982011507e-36	1.3617633640201908e-41	4.775333144925611e-33	8.727764125859838e-15	8.336624325372977e-24	1.2214228157526615e-27	3.808848488000024e-27	3.2528278998922395e-32	3.8368469564750766e-27	3.234483690529895e-26	6.360603034700932e-19	4.976091093390977e-31	1.5485085692909837e-17	8.009746255312713e-39	1.700351175500512e-28	1.1823801266337206e-39	7.4573507964887335e-65	1.3381555640507464e-68	0.499758171472862	1.585639560011695e-13	3.1618439397592177e-16	0.0	0.0	0.0	0.0	1.0564993346699816e-28	9.478092336251532e-16	1.5547942274106932e-34	9.419349492486263e-55	0.0	2.172363776829012e-26	5.22381670518352e-41	1.9366889313972172e-52	2.5597576232330067e-77	6.03046903415216e-35	1.948033308876736e-35	3.7745534217771775e-16	1.2856299177374423e-25	3.382930877254422e-44	0.0	0.0
158.2879652243048	0.0054116974609233	9762628.090435855	38085884.64479245	29.037486555926687	1.1940832732210466e-07	1.3319268975929136e-21	0.0	2.869524525788279e-20	7.7414403962861e-05	5.1746882748409976e-20	0.0	0.0	0.0	7.972363771873264e-31	3.786377105401601e-29	7.414588939606353e-20	2.567776613889867e-32	4.681141655696099e-27	1.4932633529721023e-34	1.250529031897738e-31	3.069124585459977e-45	3.0532882551418296e-48	3.255577611026064e-19	2.356872551031649e-18	2.712109327286102e-33	7.241959820637639e-23	4.008396128675402e-25	4.308171617243912e-43	4.25004698668976e-41	3.5738852326642866e-43	8.042739493504341e-22	1.2638796445865316e-35	6.245938063173507e-41	0.0	0.0	0.5002661129377447	4.454604516832639e-15	0.0	8.68036239194748e-25	0.0	1.6516275814433435e-24	3.162272396645525e-31	1.844874349853712e-33	4.298534415398125e-39	1.834267228416561e-38	5.532767537873941e-26	0.0	5.605727606383151e-44	7.95830997005993e-39	2.945768030506844e-34	3.616732955480235e-40	3.1547333881191145e-45	2.864579026237133e-50	6.990110668650836e-42	6.274564690733788e-47	2.2036473925112363e-38	4.206890097599656e-20	3.839446891413617e-29	5.6254912598162964e-33	1.836286565412925e-32	2.04484198748692e-37	1.871128383611389e-32	1.549202585777778e-31	0.0	2.3113887004039746e-36	7.133041619036003e-23	4.994864299358506e-44	7.824478293723996e-34	5.4417271080626346e-45	3.524211854965202e-70	6.335596251467657e-74	0.499656472658128	1.5993759558516034e-13	1.4726602376852397e-21	0.0	0.0	0.0	0.0	1.270168843886464e-28	4.427427979964703e-21	2.331618847663119e-34	5.491890794525702e-60	0.0	2.7631722717333964e-26	2.4156118238056383e-46	8.965061541261297e-58	1.2146670068705363e-82	2.7842720713929283e-40	8.991300285228251e-41	1.800838070008474e-21	6.183889934699987e-31	1.6257520203639898e-49	0.0	0.0
