Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
180.0	1e-05	2884821.88	17396896500000.0	5.547249506374302	3.7067660347835665e-11	1.8434238e-06	0.775741967	0.0214930633	5.45810717e-05	1.01280812e-07	1.438836e-07	5.44509539e-08	1.74877467e-07	3.88801307e-06	0.178334207	2.41562207e-15	1.66847243e-10	7.775330330000001e-15	1.7700208e-12	4.51739327e-07	5.54898919e-12	6.66939414e-06	0.0164671627	0.000588404036	3.90252025e-12	2.19007119e-08	1.88870114e-11	1.47689622e-11	1.66776922e-07	3.37700734e-15	1.07292396e-11	1.66198683e-11	1.4783957500000002e-21	1.45305788e-11	1.13323323e-09	7.97375585e-10	1.03230046e-06	5.88695201e-14	5.48137705e-10	9.41763208e-05	0.000104824081	4.56520222e-16	1.03790833e-19	5.09141783e-22	2.16443266e-20	4.84606485e-13	1.18360663e-12	1.4949795e-09	4.78104634e-27	1.06446088e-16	2.01131338e-21	7.35412051e-18	2.12284363e-09	1.82322278e-11	5.49913916e-11	3.45776096e-23	6.08019472e-12	6.6013144200000005e-21	4.81248807e-17	1.5028698099999998e-17	9.71659222e-09	1.18685796e-14	5.61159527e-14	3.52535364e-05	2.21438741e-13	0.00700010222	1.5921310600000001e-15	1.41028596e-15	4.8913829700000005e-15	1.77038606e-14	1.54129519e-12	3.55878355e-05	2.73477206e-05	1.13126652e-07	6.22420036e-09	7.93524117e-06	1.25157366e-08	5.46683479e-11	3.94077167e-11	7.51688489e-10	6.00437619e-13	2.42087652e-07	3.30971711e-10	1.75706298e-11	1.0897071000000001e-20	4.51756307e-23	5.50718949e-16	9.64806564e-10	3.15008135e-11	0.0
180.0	1.8085296e-05	2851133.12	13719090900000.0	5.547924221270207	6.704611480450724e-11	1.80054436e-06	0.775703875	0.0214969102	5.37879602e-05	8.92059695e-08	1.16296748e-07	4.33649295e-08	1.66946446e-07	3.72005674e-06	0.178361619	2.21600908e-15	1.61130495e-10	7.389341510000001e-15	1.72568e-12	4.44522889e-07	5.52062484e-12	6.67159921e-06	0.0164721598	0.000588700505	3.90343743e-12	2.15836381e-08	1.85973735e-11	1.45174061e-11	1.66836197e-07	3.3786753200000004e-15	1.07116424e-11	1.66278192e-11	1.4776141600000002e-21	5.33758421e-12	1.05205825e-09	6.97711074e-10	1.03260234e-06	5.88601055e-14	3.50634765e-10	9.42048946e-05	0.000104841592	4.56420127e-16	1.03816931e-19	5.0864764e-22	2.16526432e-20	4.84632982e-13	1.18395434e-12	1.49572771e-09	4.79229614e-27	1.06499639e-16	2.0121398e-21	7.35633648e-18	2.1235139e-09	1.82384452e-11	5.50207024e-11	3.46125787e-23	6.06778189e-12	6.602477700000001e-21	4.8143003599999997e-17	1.4980613699999998e-17	9.72112105e-09	1.18154148e-14	5.59324254e-14	3.50847999e-05	2.2156546e-13	0.00700296839	1.5754711900000001e-15	1.37910025e-15	4.8935865200000005e-15	1.76182493e-14	1.54283259e-12	3.55189049e-05	2.7392697e-05	1.13187145e-07	6.16882627e-09	7.94091795e-06	1.25302783e-08	5.46891842e-11	3.94380826e-11	7.52210746e-10	6.30449036e-13	2.42851678e-07	3.29506981e-10	1.75910097e-11	1.0705824100000001e-20	4.519377e-23	5.51244233e-16	9.65381898e-10	3.14860914e-11	0.0
180.0	3.2707793e-05	2817692.69	10816672700000.0	5.548402924379122	1.21265345154884e-10	1.71835134e-06	0.775677805	0.0214996795	5.24252831e-05	7.17281987e-08	7.76298683e-08	2.80303528e-08	1.47592878e-07	3.38265351e-06	0.178381332	1.7896685e-15	1.50633579e-10	6.678583660000001e-15	1.64034147e-12	4.26021634e-07	5.45541432e-12	6.67316556e-06	0.016475686	0.000588909286	3.90317369e-12	2.07680136e-08	1.79503615e-11	1.40684144e-11	1.66878275e-07	3.3798700600000002e-15	1.06611957e-11	1.66334101e-11	1.4742502400000002e-21	1.37570781e-12	9.17723635e-10	5.45405589e-10	1.03281706e-06	5.88032626e-14	2.19541327e-10	9.42250523e-05	0.00010485403	4.56015051e-16	1.0382080199999999e-19	5.07470643e-22	2.1659325300000002e-20	4.84373985e-13	1.18418841e-12	1.49627409e-09	4.81091611e-27	1.06537287e-16	2.0120256600000003e-21	7.35762299e-18	2.1239858e-09	1.82428211e-11	5.50433192e-11	3.4657298900000003e-23	6.03291095e-12	6.5998618000000005e-21	4.8155478099999997e-17	1.4838024799999998e-17	9.72430581e-09	1.16672533e-14	5.53789857e-14	3.47425251e-05	2.21657189e-13	0.00700524957	1.5387822500000001e-15	1.3012272900000001e-15	4.8950769800000004e-15	1.74310876e-14	1.54404478e-12	3.53688853e-05	2.7454639e-05	1.13218287e-07	5.93029707e-09	7.94500935e-06	1.25444921e-08	5.46872934e-11	3.94597565e-11	7.52461311e-10	6.89645936e-13	2.43388943e-07	3.24953696e-10	1.76055529e-11	1.02141311e-20	4.51858992e-23	5.51613281e-16	9.65836826e-10	3.14360817e-11	0.0
180.0	5.91530116e-05	2784497.04	8526654010000.0	5.548743463031545	2.193254259442768e-10	1.60227581e-06	0.77566017	0.0215017	5.06496731e-05	5.41439716e-08	4.20282568e-08	1.40958235e-08	1.16393608e-07	2.89732679e-06	0.17839563	1.22657039e-15	1.36390492e-10	5.71952855e-15	1.51749011e-12	3.92805895e-07	5.3586361e-12	6.67428407e-06	0.0164781774	0.000589056416	3.90103789e-12	1.93021486e-08	1.68904038e-11	1.34741313e-11	1.66908307e-07	3.3807589200000003e-15	1.05629154e-11	1.66373458e-11	1.4671552800000001e-21	2.50250785e-13	7.56000219e-10	3.92109963e-10	1.03297056e-06	5.86859579e-14	1.52042844e-10	9.42392925e-05	0.000104862885	4.55318502e-16	1.03792513e-19	5.056156029999999e-22	2.16650613e-20	4.83677786e-13	1.18434262e-12	1.49668706e-09	4.8369996300000005e-27	1.06563777e-16	2.01062418e-21	7.35817717e-18	2.12431864e-09	1.82459059e-11	5.50617214e-11	3.47134964e-23	5.96593364e-12	6.589867980000001e-21	4.8163240399999994e-17	1.4558476299999998e-17	9.7265481e-09	1.13854088e-14	5.42726914e-14	3.42278417e-05	2.21726544e-13	0.00700718159	1.4827581700000002e-15	1.1681244800000001e-15	4.895930200000001e-15	1.71415883e-14	1.54506111e-12	3.51371604e-05	2.75358551e-05	1.1320848e-07	5.39990323e-09	7.94801058e-06	1.25594452e-08	5.46539565e-11	3.94757402e-11	7.5236431e-10	7.83212111e-13	2.43766607e-07	3.14754637e-10	1.76162806e-11	9.343419580000001e-21	4.51386132e-23	5.51872698e-16	9.6621915e-10	3.13514916e-11	0.0
180.0	0.000106979972	2751542.92	6720257580000.0	5.548986826235864	3.9667392036129256e-10	1.46110148e-06	0.775648459	0.0215031971	4.85755843e-05	3.94168617e-08	1.78140817e-08	4.9174399e-09	7.85117801e-08	2.32767442e-06	0.178406086	6.98616327e-16	1.19744077e-10	4.61386202e-15	1.3631841e-12	3.44785563e-07	5.24414947e-12	6.675087e-06	0.0164799408	0.000589160175	3.89545278e-12	1.71819207e-08	1.54265063e-11	1.27801457e-11	1.66929894e-07	3.3814887100000003e-15	1.0396834e-11	1.6640121e-11	1.45498479e-21	2.73724654e-14	5.89667317e-10	2.66889486e-10	1.03308067e-06	5.84954447e-14	1.22381171e-10	9.42493708e-05	0.000104869222	4.54298407e-16	1.03707296e-19	5.03040129e-22	2.16703796e-20	4.8230274e-13	1.18443519e-12	1.49701757e-09	4.8708334200000004e-27	1.06582435e-16	2.0073283700000003e-21	7.358075839999999e-18	2.12455406e-09	1.82480856e-11	5.50777572e-11	3.47831834e-23	5.85320832e-12	6.5650715300000006e-21	4.8165070899999995e-17	1.4098482e-17	9.72812953e-09	1.09401086e-14	5.24217543e-14	3.35312148e-05	2.2178361e-13	0.00700894284	1.41247119e-15	9.8880881e-16	4.89597716e-15	1.6741744e-14	1.54598008e-12	3.48171525e-05	2.76396559e-05	1.13127478e-07	4.580902e-09	7.9502729e-06	1.25761199e-08	5.45716239e-11	3.948862e-11	7.51694588e-10	9.22655753e-13	2.44032056e-07	2.95214984e-10	1.76249608e-11	8.11390495e-21	4.50258154e-23	5.52055204e-16	9.66564252e-10	3.12302584e-11	0.0
180.0	0.000193476445	2718827.31	5295620240000.0	5.549162126153686	7.174191864437872e-10	1.30574732e-06	0.775640909	0.0215043243	4.62914412e-05	2.82438718e-08	5.7873203e-09	9.48885413e-10	4.2966356e-08	1.76788543e-06	0.178413768	3.29872644e-16	1.02399402e-10	3.4853813600000004e-15	1.18865495e-12	2.87481416e-07	5.12581309e-12	6.67566537e-06	0.0164811925	0.000589233405	3.88318697e-12	1.46511964e-08	1.36818077e-11	1.2026459e-11	1.66945553e-07	3.3822241000000004e-15	1.01373647e-11	1.66420822e-11	1.4363420300000002e-21	1.4387016700000002e-15	4.38237111e-10	1.7550427e-10	1.03315946e-06	5.8221445e-14	1.21200349e-10	9.42565252e-05	0.000104873774	4.52827923e-16	1.03512153e-19	4.99659519e-22	2.16757063e-20	4.79916957e-13	1.1844678e-12	1.49730544e-09	4.91254905e-27	1.06595588e-16	2.0013167100000002e-21	7.35718836e-18	2.12472129e-09	1.82496309e-11	5.50928582e-11	3.4868259000000003e-23	5.6761032e-12	6.5115349800000006e-21	4.8153963499999994e-17	1.34195367e-17	9.72924761e-09	1.03213792e-14	4.96726842e-14	3.26339711e-05	2.2183737e-13	0.00701067417	1.3344382400000002e-15	7.92565838e-16	4.8947393600000004e-15	1.6217225e-14	1.5468799e-12	3.43966304e-05	2.77702151e-05	1.12911185e-07	3.64224772e-09	7.95204693e-06	1.25954816e-08	5.44108047e-11	3.9501244e-11	7.49954038e-10	1.12912164e-12	2.44218665e-07	2.62847198e-10	1.76336091e-11	6.688530840000001e-21	4.48043472e-23	5.52183757e-16	9.66897298e-10	3.10676113e-11	0.0
182.928531	0.000349907878	2685822.79	4172279880000.0	5.5492919889846215	1.2767322548813864e-09	1.14159632e-06	0.775636251	0.0215052019	4.37921956e-05	1.99929034e-08	1.61274649e-09	1.12241208e-10	1.71965689e-08	1.29001064e-06	0.178419502	1.24882455e-16	8.56208169e-11	2.42944779e-15	1.00482349e-12	2.28892091e-07	5.00777242e-12	6.67608909e-06	0.0164820998	0.000589285936	3.85737992e-12	1.20634446e-08	1.18230181e-11	1.12233517e-11	1.66957247e-07	3.3832295400000004e-15	9.74316544e-12	1.66434953e-11	1.4093634e-21	2.75855824e-16	3.13134525e-10	1.10890134e-10	1.03321607e-06	5.78481562e-14	2.19733815e-10	9.42617111e-05	0.00010487703	4.50490127e-16	1.03090656e-19	4.95259448e-22	2.1681514400000002e-20	4.7602934e-13	1.18441896e-12	1.49758981e-09	4.96249333e-27	1.0660501000000001e-16	1.99149766e-21	7.35469685e-18	2.1248429e-09	1.82507491e-11	5.5108499e-11	3.49713524e-23	5.40340888e-12	6.4028721400000005e-21	4.8104519999999995e-17	1.2471373599999998e-17	9.73005375e-09	9.524438070000001e-15	4.5870491e-14	3.14854958e-05	2.21898367e-13	0.00701253001	1.25055388e-15	6.09349395e-16	4.8915800000000005e-15	1.55347432e-14	1.54784367e-12	3.38465452e-05	2.79355016e-05	1.12422919e-07	2.80283311e-09	7.95353963e-06	1.26189814e-08	5.41196839e-11	3.95181542e-11	7.46052048e-10	1.44649372e-12	2.44352085e-07	2.16533754e-10	1.76455931e-11	5.2731504300000005e-21	4.4402832100000004e-23	5.52275961e-16	9.67237536e-10	3.08513894e-11	0.0
188.594329	0.000632818752	2652051.59	3286692100000.0	5.549393105565606	2.239681076508421e-09	9.65836392e-07	0.775633687	0.021505925	4.09519176e-05	1.38632188e-08	4.3305947e-10	1.16879212e-11	4.15842587e-09	9.17087828e-07	0.178423929	3.37325239e-17	6.98521903e-11	1.50686613e-15	8.18972641e-13	1.74578853e-07	4.87601328e-12	6.6764093e-06	0.0164827824	0.000589324571	3.80431515e-12	9.6660352e-09	9.95989e-12	1.03414265e-11	1.66966432e-07	3.3849428000000004e-15	9.15551685e-12	1.66445478e-11	1.3672480800000001e-21	4.25893988e-16	2.16212781e-10	6.53047448e-11	1.03325701e-06	5.73489018e-14	5.88750496e-10	9.42656115e-05	0.000104879237	4.44893251e-16	1.02188961e-19	4.89460272e-22	2.16882621e-20	4.69942868e-13	1.18422239e-12	1.49789248e-09	5.0195747500000005e-27	1.06611935e-16	1.97675147e-21	7.34370348e-18	2.12493528e-09	1.82515879e-11	5.51263208e-11	3.5089622000000004e-23	5.00750104e-12	6.1931661900000004e-21	4.794242699999999e-17	1.12023928e-17	9.73065486e-09	8.552537090000001e-15	4.09141707e-14	2.99945115e-05	2.21976328e-13	0.00701469324	1.15707225e-15	4.52777977e-16	4.88662113e-15	1.46385396e-14	1.5489632e-12	3.31156246e-05	2.81476287e-05	1.11385779e-07	2.12963383e-09	7.9549186e-06	1.26486834e-08	5.36040022e-11	3.95474414e-11	7.37852551e-10	1.96501391e-12	2.4445016e-07	1.61466103e-10	1.76677287e-11	3.9928878e-21	4.3720277600000003e-23	5.52344124e-16	9.67592537e-10	3.05593985e-11	0.0
192.411746	0.00114447144	2617859.68	2588659580000.0	5.5494748888481755	3.970226184565383e-09	7.7657073e-07	0.775632825	0.021506548	3.76412506e-05	9.36387255e-09	6.1195253e-11	9.91170613e-13	6.56999423e-10	6.41378604e-07	0.178427431	5.60054303e-18	5.54475287e-11	7.92188184e-16	6.40449286e-13	1.28022603e-07	4.69070773e-12	6.6766549e-06	0.0164833063	0.000589352736	3.70119126e-12	7.6138151e-09	8.19980564e-12	9.34839464e-12	1.66973946e-07	3.3879046400000004e-15	8.33006909e-12	1.66453418e-11	1.2950716000000002e-21	5.24176246e-16	1.44528575e-10	3.45778555e-11	1.03328589e-06	5.66851012e-14	7.57698286e-10	9.42686015e-05	0.000104881103	4.2457078800000003e-16	1.00297949e-19	4.8193413e-22	2.1692865800000002e-20	4.60907999e-13	1.18373245e-12	1.49820503e-09	5.07555181e-27	1.0661700700000001e-16	1.95718502e-21	7.2757036e-18	2.1250081e-09	1.82522272e-11	5.51476331e-11	3.5189694600000003e-23	4.4886553e-12	5.8230443500000006e-21	4.7493391799999994e-17	9.640878699999999e-18	9.73110898e-09	7.459472220000001e-15	3.50507585e-14	2.80846773e-05	2.22075868e-13	0.00701731089	1.0501179400000002e-15	3.27543754e-16	4.881418280000001e-15	1.34876551e-14	1.55029913e-12	3.21551441e-05	2.84133881e-05	1.09332691e-07	1.60899872e-09	7.95628184e-06	1.26861133e-08	5.26699515e-11	3.96021891e-11	7.21967325e-10	2.84949851e-12	2.44522404e-07	1.10293414e-10	1.77138501e-11	2.91816813e-21	4.26831027e-23	5.52394856e-16	9.67937062e-10	3.0168743e-11	0.0
195.459095	0.00206981047	2583394.28	2038560370000.0	5.549543532349781	7.068413345538136e-09	5.77841004e-07	0.775633427	0.0215071017	3.3755546e-05	6.12916854e-09	4.6530854e-12	6.63950406e-14	9.70326144e-11	4.42593561e-07	0.178430271	4.99136224e-19	4.27759059e-11	3.33263418e-16	4.79271876e-13	9.22606107e-08	4.38707095e-12	6.67684555e-06	0.0164837152	0.000589372312	3.51178361e-12	6.038922e-09	6.67419969e-12	8.22157447e-12	1.66980375e-07	3.3929696200000005e-15	7.24719327e-12	1.66459452e-11	1.1818916e-21	5.45784714e-16	9.3136246e-11	1.57297178e-11	1.03330529e-06	5.58164746e-14	5.07095014e-10	9.42709269e-05	0.000104883006	3.78115809e-16	9.65713775e-20	4.72423931e-22	2.1675585000000002e-20	4.48468491e-13	1.18264396e-12	1.49852118e-09	5.1131427100000004e-27	1.06620626e-16	1.93463031e-21	7.05572015e-18	2.12506894e-09	1.82527184e-11	5.51736569e-11	3.51785878e-23	3.85594025e-12	5.2315083400000006e-21	4.6349497699999993e-17	7.90240446e-18	9.7314544e-09	6.326814080000001e-15	2.88228851e-14	2.57057326e-05	2.22205027e-13	0.0070205104	9.27684457e-16	2.3450727700000003e-16	4.8770992500000004e-15	1.20646377e-14	1.55188134e-12	3.09159931e-05	2.87306807e-05	1.05524126e-07	1.21104207e-09	7.95769328e-06	1.27320903e-08	5.10006223e-11	3.97073555e-11	6.92997889e-10	4.42747443e-12	2.44575151e-07	7.05227857e-11	1.78137578e-11	2.10223212e-21	4.13095729e-23	5.52432538e-16	9.68158053e-10	2.9653554e-11	0.0
