Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
127.17696907956586	1.86041001692716e-05	10378110.004776752	8384400950.682011	23.993604978537142	4.2216836158846076e-10	6.6992304691374116e-09	0.00121621777261	7.918967573398833e-13	0.0002522572785984	0.0002645806419321	1.8535045293792125e-05	2.528654429991445e-10	2.2091295214938816e-10	2.743544448980332e-16	1.0660493375792497e-17	9.057369705271732e-15	6.219676745816378e-12	9.245731109432452e-12	1.3697235254968484e-19	1.6690117633071128e-19	1.4099341852116476e-27	8.923085778376438e-26	0.0001159293113128	3.357321195712813e-05	3.017607154532919e-23	1.3512700905396227e-16	7.512471197739552e-15	3.7170611784649336e-22	2.843479935282879e-22	1.0050477688706756e-23	2.453859398232171e-07	6.867443566185219e-18	2.377476175055416e-19	0.2840727062273844	5.4584047570726845e-09	9.481032448313162e-06	2.395487960731184e-08	3.867078793673341e-09	2.079313992874833e-15	0.7140152277293014	3.613969902060815e-13	4.810813233842063e-16	7.584006010015519e-18	1.4150208794418756e-29	2.2026171913702783e-36	3.009986990157152e-15	8.218307326729471e-12	2.0366740818626128e-21	7.911374752632539e-27	6.115910246095808e-08	3.8508927215812e-19	3.2815289191088657e-24	2.3659917612435606e-20	1.2161769026316139e-15	6.1728194565863744e-30	4.915902659475417e-28	1.613460103158669e-07	8.384019610992203e-21	1.771859238276344e-10	4.4024069048816885e-13	1.0666747550041812e-16	9.906635549785652e-17	3.431392455035168e-20	2.019396117523029e-27	1.1112528288001475e-31	6.640508336891751e-35	9.055202258015739e-22	2.482415180190708e-12	6.142970259808775e-17	2.5429801064162693e-28	8.474034907471861e-41	1.4036130878993382e-07	0.0	1.6345869737675315e-14	1.3668861053880762e-25	1.1657897251688301e-23	3.3487882925405027e-41	7.486191186420095e-15	4.2352120547097e-27	2.9154697936868673e-20	0.0	4.983168395791285e-09	4.1797373528875394e-13	7.481299037096234e-30	2.1012711561815065e-19	4.0576190366037106e-33	2.682452785151262e-68	3.3605101073359755e-41	3.4218342142636854e-18	8.37854823700144e-07	2.448524728100804e-14	1.1613656896409262e-35	0.0	0.0
128.8054234361366	3.461125431082915e-05	10278093.332451796	6537087364.135661	24.259927217703293	7.840841271528271e-10	6.2373692311945675e-09	0.0009814477036289	7.739407651789727e-13	0.0001914760100769	0.0002533371144356	1.7283685552253807e-05	2.920951011094836e-10	2.2097285427938942e-10	2.9111729425345643e-16	1.029841341333089e-17	9.126624255398107e-15	6.357509159249015e-12	9.273192441383179e-12	1.4124915159072458e-19	1.7393876471033388e-19	1.4507564080313788e-27	9.295215462216116e-26	0.0001189194643852	3.712490669870461e-05	3.134970129741273e-23	1.6192994668719106e-16	1.4611179746784803e-14	3.844415184461019e-22	2.9909246525441104e-22	1.103000841683698e-23	2.567024402843615e-07	7.503013304571132e-18	2.5860568767804e-19	0.2656276158238218	5.212359555634789e-09	9.414888792862508e-06	2.459319648872944e-08	3.954368163139838e-09	1.5826056893206796e-15	0.7327619495623234	3.5023944795746253e-13	4.973713131711775e-16	7.80280260896958e-18	1.470001334239185e-29	2.618650732953736e-36	3.12500927685154e-15	8.414860790489428e-12	2.377573130455167e-21	2.46003191418976e-26	6.740736007625459e-08	4.365950569097179e-19	3.393002603301912e-24	2.4344671653826166e-20	1.2635508092059484e-15	7.67216114206704e-30	1.114861838275886e-27	1.7626067448360274e-07	1.1970363762287323e-20	1.8666407567136079e-10	5.003812136080529e-13	1.1602868058365146e-16	1.0727374894580851e-16	3.934470569176872e-20	3.770519595403852e-27	1.5125885815437298e-31	7.934313729786685e-35	9.916381973909692e-22	2.663888613157833e-12	6.652552868962221e-17	3.2332979895368507e-28	1.315731269769024e-40	1.4652244897710209e-07	1.1517153502751487e-25	2.2416994704644452e-14	2.1744851821570832e-25	1.4376778709563282e-23	7.758251374415896e-41	8.337080391832869e-15	5.11509443584998e-27	3.8430389847455863e-20	1.2823717610219533e-27	1.621742954085691e-08	4.630656591548807e-13	1.0430432407667841e-29	2.388595815240375e-19	4.6529577220680436e-33	3.4551965288760613e-68	4.4771153479521047e-41	3.822903706815649e-18	7.270040233026832e-07	2.3150817727014064e-14	1.0990560095891792e-35	0.0	0.0
130.6100779053419	6.439112421827962e-05	10177658.784285458	5095706566.144582	24.48980281481888	1.4521938300918644e-09	5.648400312069264e-09	0.000827791136254	7.658210709912603e-13	0.0001517722792559	0.0002450079612719	1.6261722677043823e-05	3.482703529253411e-10	2.3010959733648543e-10	3.3329432947426523e-16	1.0105676849313442e-17	9.230809597040724e-15	6.511734104642382e-12	9.251701007283726e-12	1.4760750675893952e-19	1.8216257692816288e-19	1.4824115968128818e-27	9.648296420681612e-26	0.0001214561477335	4.011123722322457e-05	3.2269258193448863e-23	2.055084984610892e-16	2.8110960972877514e-14	3.928202731943147e-22	3.1275378419784995e-22	1.181805400365784e-23	2.66127003305282e-07	8.01272822146729e-18	2.753144366715456e-19	0.2495901762936548	5.055617464046337e-09	9.205926642842622e-06	2.5260471954597883e-08	3.948225178034771e-09	1.1974497669050737e-15	0.7489968750860415	3.4329212368394374e-13	5.100969045055755e-16	7.973892273297378e-18	1.5129771353547384e-29	3.287229021568474e-36	3.2123369625341042e-15	8.569052976456025e-12	2.956814770893727e-21	7.715745240845794e-26	7.244759866671927e-08	4.796945630105898e-19	3.480129041694523e-24	2.4879843669092886e-20	1.3005782832959877e-15	9.825939393657332e-30	2.585763038455175e-27	1.8821660824794653e-07	1.8271097754149902e-20	1.941070939462153e-10	5.499213869079662e-13	1.2351454200672898e-16	1.1381622966626826e-16	4.3516518871282624e-20	7.00692064968895e-27	2.346156921638541e-31	9.965540385242703e-35	1.0886111552234096e-21	2.807551156239228e-12	7.058906797729865e-17	3.851751752819209e-28	2.0821173671449398e-40	1.513437294615648e-07	0.0	3.2135596951591134e-14	3.5497618835041114e-25	1.735870732988645e-23	1.9872671311917795e-40	9.061780490262438e-15	5.8735708230835655e-27	5.0508217220423344e-20	0.0	3.5451825006497966e-08	4.995907570621502e-13	1.309084604020848e-29	2.6254362259702143e-19	5.146798537677686e-33	4.154343686094773e-68	6.265392296926177e-41	4.149466542557455e-18	5.879078720159861e-07	2.2187043266168312e-14	1.0550680644288384e-35	0.0	0.0
132.3500011645095	0.0001197938924968	10076809.090554597	3971326678.828836	24.70611775397446	2.6897084922931547e-09	4.853022283586994e-09	0.0007266207028292	7.67132096821454e-13	0.0001250799118509	0.0002388596702338	1.5340333188822285e-05	3.8501001589939256e-10	2.4748571318735035e-10	4.131439080632083e-16	1.0066080901342737e-17	9.370713972779616e-15	6.698325240486092e-12	9.183489965048584e-12	1.5898050131771832e-19	1.923975737846529e-19	1.5075905383963968e-27	1.0014888018367106e-25	0.0001237823805882	4.265423115180474e-05	3.300993976292201e-23	2.752088883340703e-16	5.3346114165612985e-14	3.974352401387012e-22	3.2648827102391607e-22	1.2443899426187581e-23	2.7439622173849814e-07	8.416885932965183e-18	2.886104711779306e-19	0.2343960296736466	4.984297544375776e-09	8.865435236874345e-06	2.6025543252852124e-08	3.797045052571185e-09	8.670729081717565e-16	0.764321531966374	3.4006071472441673e-13	5.203518001437384e-16	8.113224643863499e-18	1.5473963831019866e-29	4.378506612833996e-36	3.2769055120401204e-15	8.696658344587253e-12	3.834976003239158e-21	2.3787893036148976e-25	7.645287618431134e-08	5.153439443838626e-19	3.5504143988200275e-24	2.5315077044495472e-20	1.3302206925354098e-15	1.3033922763257242e-29	5.798391233578813e-27	1.976840079755821e-07	2.928298692919479e-20	2.0000899157312975e-10	5.896318914558457e-13	1.2944310269215606e-16	1.189907014765884e-16	4.6876121048634096e-20	1.2797950334838264e-26	4.334621894278809e-31	1.323777812453205e-34	1.2306150894593658e-21	2.920579549994107e-12	7.380577662336907e-17	4.375201607818511e-28	3.4313202451652196e-40	1.551862951641649e-07	0.0	4.7995505758177326e-14	5.606514437472505e-25	2.0855978777704185e-23	5.63673302071918e-40	9.732149054726408e-15	6.499669209405301e-27	6.734963875158823e-20	0.0	6.06358888975627e-08	5.287010488552633e-13	1.5235690419505792e-29	2.8156601616851184e-19	5.544841347077397e-33	4.7500398170656735e-68	9.301879514156074e-41	4.410076995597239e-18	4.308173232513089e-07	2.1501068473382732e-14	1.0252649523895089e-35	0.0	0.0
134.1581519986705	0.0002228657575679	9975529.670492943	3094432087.341672	24.929513862387974	4.98115513915186e-09	3.8279095051036495e-09	0.0006603273306998	7.780194959390583e-13	0.0001065200688467	0.000234267205351	1.4396362330599232e-05	4.118342523781931e-10	2.718925310415414e-10	5.551650220198102e-16	1.0173947335879597e-17	9.522576895613687e-15	6.93269653964417e-12	9.064752023292167e-12	1.799724441188496e-19	2.056016439001984e-19	1.5283235895361247e-27	1.0430181178497995e-25	0.0001261149353202	4.491226523080164e-05	3.3641978251471374e-23	3.873950385618711e-16	9.977351246924261e-14	3.986815333537519e-22	3.415598231092809e-22	1.2944614543443224e-23	2.822341542923396e-07	8.740115722926552e-18	2.993781614097168e-19	0.2186143285300394	5.0069383901217454e-09	8.402190931364425e-06	2.6959046939632384e-08	3.4267472293005632e-09	6.232218967659992e-16	0.7801895976689208	3.4016356202839e-13	5.291049034583069e-16	8.234715075130174e-18	1.5763884132784516e-29	6.228485297440212e-36	3.3207871874033655e-15	8.811270319907364e-12	5.281770714776189e-21	6.991117596211823e-25	7.965074065228579e-08	5.452255336445546e-19	3.61055337820665e-24	2.5693453458544006e-20	1.3551580735201224e-15	1.796465008710037e-29	1.1809672294041223e-26	2.0522496598683417e-07	4.9503854805197405e-20	2.0484664645119783e-10	6.211191556923657e-13	1.3418412253476243e-16	1.2313128888690958e-16	4.955069247053882e-20	2.31575982938922e-26	9.68374633835976e-31	1.8734465149729318e-34	1.4880765138076037e-21	3.010262524052845e-12	7.638615560509791e-17	4.802927470444861e-28	5.995685649246588e-40	1.5838399675196645e-07	0.0	7.451574762987309e-14	8.867916935903356e-25	2.530415368754234e-23	1.7748467598587044e-39	1.0487121334881795e-14	7.004756078327852e-27	9.241169560063788e-20	0.0	8.81458346301906e-08	5.51995873525711e-13	1.7989989800451534e-29	2.9674022542046533e-19	5.8625901536957846e-33	5.2387632194316476e-68	1.4817895757236247e-40	4.617897200084561e-18	2.796630885932165e-07	2.1017989812176722e-14	1.0066359756177192e-35	0.0	0.0
136.05999839070574	0.0004146216878093	9873862.177041706	2410701075.228156	25.17842397872008	9.228690382276557e-09	2.6874652763753e-09	0.0006177637871205	7.993272904968961e-13	9.30275342037839e-05	0.0002307100674712	1.3321434559793643e-05	4.2575099785339767e-10	3.0102445733564667e-10	8.046334791754458e-16	1.04351428712811e-17	9.586854098498583e-15	7.227789300351745e-12	8.884783453089005e-12	2.1654660000904992e-19	2.2289417558991285e-19	1.5457807315713792e-27	1.0934113264935426e-25	0.0001286460738219	4.7056098181580336e-05	3.4231105013418164e-23	5.706096854624862e-16	1.8313375382883957e-13	3.966922469322634e-22	3.5938734142881343e-22	1.3358141231094602e-23	2.9034225363373445e-07	9.006989443868528e-18	3.0854104521303103e-19	0.2009563528898925	5.144593993937471e-09	7.809978221398927e-06	2.8132976737588697e-08	2.79295036256471e-09	4.531640666434864e-16	0.7979042515102772	3.434725687451324e-13	5.371872765790295e-16	8.350340235062538e-18	1.6026901660212076e-29	9.539378669209556e-36	3.3421865965090028e-15	8.924684239910197e-12	7.682405436645407e-21	1.879634360265097e-24	8.227643386850765e-08	5.712549652730296e-19	3.6663805783791566e-24	2.605154192470235e-20	1.3777140056686649e-15	2.575009168991705e-29	2.037827521756023e-26	2.113788563771715e-07	9.050881528939328e-20	2.0904771237653359e-10	6.46181784247063e-13	1.3809264077097192e-16	1.265520019850129e-16	5.1694415896597044e-20	4.2349225359958596e-26	2.5589781556609072e-30	2.8490606770651624e-34	2.003936867651289e-21	3.0825394062716228e-12	7.853463655439891e-17	5.1480034838667255e-28	1.1251069455938028e-39	1.612295025555465e-07	5.131310295470055e-26	1.2005115980266466e-13	1.4131629483024662e-24	3.141887903150695e-23	6.166739785752518e-39	1.1567021412339223e-14	7.412195604291571e-27	1.318216846812736e-19	2.215817723136342e-28	1.1474062934740162e-07	5.71160901834125e-13	2.1123172802718215e-29	3.090338656717876e-19	6.119419252209253e-33	5.633735203720253e-68	2.5633214273660597e-40	4.787315890600676e-18	1.6093393223585637e-07	2.0672814745388576e-14	9.971831635778912e-36	0.0	0.0
137.98404514003937	0.0007713663412358	9771958.199181473	1877697479.8780367	25.46711947490593	1.7123857984237864e-08	1.6723472850595687e-09	0.000591806954193	8.326779168392705e-13	8.263240937152561e-05	0.000227772384903	1.2029924097001478e-05	4.0922070093708094e-10	3.310010573989128e-10	1.240924076849123e-15	1.0867325783292445e-17	9.30994419385036e-15	7.586461670963509e-12	8.624168058637081e-12	2.7429011664694905e-19	2.4546602243523843e-19	1.5598263733038548e-27	1.1573080442179083e-25	0.0001315265922806	4.924632987993794e-05	3.483970397803132e-23	8.73867459165176e-16	3.27354340584566e-13	3.9127379453505124e-22	3.815767495035102e-22	1.3717843133841654e-23	2.993733654004499e-07	9.238333673046717e-18	3.1699844370775256e-19	0.1804208307616518	5.424574075789664e-09	7.067269023375398e-06	2.9607453371461628e-08	1.9855284508573096e-09	3.33392063264844e-16	0.8184760601139319	3.500456125904429e-13	5.45247139031301e-16	8.469715735195771e-18	1.6285126307642658e-29	1.586908610168316e-35	3.335643834122496e-15	9.046611433478894e-12	1.195168247898928e-20	4.449950424543288e-24	8.453537354797515e-08	5.95103995804327e-19	3.7226497934365136e-24	2.6417600763497012e-20	1.3997148871591809e-15	3.8307058645771645e-29	2.842899710761714e-26	2.165522055825033e-07	1.8442669023571704e-19	2.1295637210088006e-10	6.661909371864235e-13	1.4144606914141506e-16	1.2947612705346375e-16	5.3439883113641334e-20	7.947207724199733e-26	7.663633298443808e-30	4.697189451217339e-34	3.06735378924405e-21	3.140113997393145e-12	8.042357315328389e-17	5.428466841526107e-28	2.2817640339253414e-39	1.6395472052401418e-07	1.3002544882913763e-25	2.0030416077833293e-13	2.2311097936622443e-24	4.039345750852066e-23	2.327756656048809e-38	1.3356817314464548e-14	7.748288876748645e-27	1.9693093868543121e-19	3.3092577268146014e-29	1.3845076472296498e-07	5.876486136955352e-13	2.4508818889442417e-29	3.1934863834397087e-19	6.333727166366511e-33	5.954696595700532e-68	4.870902248369559e-40	4.931248470819141e-18	8.471974383888371e-08	2.039799542437011e-14	9.959050653169202e-36	0.0	0.0
139.97761842968032	0.0014350576679556	9669954.608675946	1462279566.1990106	25.8016189788752	3.181615478481847e-08	9.57767173943911e-10	0.0005777280185984	8.805235057553713e-13	7.403847815289927e-05	0.0002251157233437	1.0465170264178006e-05	3.6573972476984727e-10	3.5692458289860685e-10	1.993159950639589e-15	1.1499562105859796e-17	8.451095966003247e-15	7.984571941511173e-12	8.251737465267022e-12	3.5647819451264103e-19	2.7428765905797304e-19	1.5682601258339335e-27	1.2402415611038583e-25	0.0001348277687472	5.1613113162737856e-05	3.5530623472417164e-23	1.37956649682593e-15	5.641308304135212e-13	3.818449704513418e-22	4.099669131260811e-22	1.404931286455988e-23	3.0989637044519136e-07	9.44836707805932e-18	3.256257827092448e-19	0.1565898605134689	5.865153266591214e-09	6.152570515385377e-06	3.139675892551178e-08	1.236808728774895e-09	2.53629940117825e-16	0.842329173637049	3.6001360754589254e-13	5.536767358420889e-16	8.599278142663219e-18	1.6553829311583e-29	2.893813060381296e-35	3.294034947896404e-15	9.183545557316132e-12	2.1387116981340668e-20	9.26786912166736e-24	8.657932114532471e-08	6.177081565490552e-19	3.7827164744926796e-24	2.680806518606377e-20	1.4222951583014448e-15	5.88856492283437e-29	3.270459075798857e-26	2.209085524082446e-07	4.190528374245847e-19	2.1679984062429896e-10	6.814866742820603e-13	1.4438230635818726e-16	1.3191084173187547e-16	5.485613091446225e-20	1.5307832900852304e-25	2.5100976533668608e-29	8.469221189097264e-34	5.2788133930527904e-21	3.179725490415024e-12	8.217422266439578e-17	5.661520747722066e-28	5.00348466387584e-39	1.6670715789340657e-07	4.83630718256995e-25	3.45206311008957e-13	3.520016916373849e-24	5.432409163411455e-23	9.367650506693326e-38	1.6444833722429418e-14	8.037133103974161e-27	3.1061458466781586e-19	8.384356001492645e-28	1.5854854416059577e-07	6.023773645434799e-13	3.916779745224842e-29	3.2838701144896087e-19	6.519992076174732e-33	6.221126654373914e-68	1.0278478989813559e-39	5.059481230186699e-18	4.193871173424121e-08	2.0100845082064872e-14	1.0029548974893154e-35	0.0	0.0
142.00107842159778	0.0026697956603327	9567979.249734225	1138571423.539963	26.17350927033369	5.9188633782904745e-08	5.283597810514734e-10	0.0005720747373081	9.461879474397052e-13	6.640319590693687e-05	0.0002224565600043	8.621681772958341e-06	2.9368259488900885e-10	3.735357183637709e-10	3.260615357993706e-15	1.2371436028817321e-17	6.857010347006494e-15	8.34137830363631e-12	7.722367094490158e-12	4.630324290605287e-19	3.0939821800737973e-19	1.566118781376228e-27	1.348901692339545e-25	0.0001384759274096	5.422584194387128e-05	3.637249827693502e-23	2.2208060288071408e-15	9.221023354406676e-13	3.674196872628361e-22	4.466478036546938e-22	1.436768124424022e-23	3.223259860465333e-07	9.640651321176386e-18	3.3526120060038655e-19	0.1300724732930329	6.464349274048717e-09	5.068767652287903e-06	3.339945173152288e-08	7.169857491578461e-10	1.9984802323995231e-16	0.8688591589488612	3.734582029704792e-13	5.624952043829299e-16	8.741001060813596e-18	1.68394612614195e-29	5.837913942023369e-35	3.210547191967921e-15	9.33564479944288e-12	4.4745670546901996e-20	1.7912597459562718e-23	8.848330926170849e-08	6.384400163057758e-19	3.8480910930041954e-24	2.722176562302029e-20	1.445592952227098e-15	9.29852874818428e-29	3.388357908048676e-26	2.2421277208646122e-07	1.0187660862985241e-18	2.2064135190096943e-10	6.905725501805649e-13	1.4680590519335739e-16	1.3335811171285842e-16	5.589363373792362e-20	2.901708576065849e-25	8.69168413228636e-29	1.6834359823404728e-33	9.922971576473124e-21	3.1878513076448468e-12	8.383227538513085e-17	5.859500338992022e-28	1.1812448303146932e-38	1.6951419114570022e-07	1.4029390750735951e-24	6.120576427764395e-13	5.4617699296049696e-24	7.710287073201728e-23	3.918992851080855e-37	2.1745460793194972e-14	8.297771101827607e-27	5.228939699942585e-19	4.262374688150239e-28	1.7507974461825493e-07	6.152131871929205e-13	3.4085529032461564e-29	3.3653885068202296e-19	6.686330920955438e-33	6.447648136184605e-68	2.4315429239714183e-39	5.177193634579775e-18	1.9400291927955952e-08	1.962963978953273e-14	1.0204389360670252e-35	0.0	0.0
144.08686148839297	0.0049669145896316	9466032.428597173	886375356.7917532	26.556938460449157	1.101108961992222e-07	2.8597445738575193e-10	0.000572003898504	1.0341834572242642e-12	5.925276545077268e-05	0.0002196002389619	6.580985995745592e-06	2.0921481280217815e-10	3.7459488943659086e-10	5.283736258651905e-15	1.3535436633486893e-17	4.787299404646388e-15	8.485216855930419e-12	6.980412485692682e-12	5.845105148349488e-19	3.4862223702003585e-19	1.5466264736532914e-27	1.4918395452106972e-25	0.0001421997404611	5.7063567185449146e-05	3.744565780656365e-23	3.5962110951864385e-15	1.398847002902754e-12	3.4674266126189016e-22	4.940841911989905e-22	1.4678081837168188e-23	3.3688574744485066e-07	9.80237340693956e-18	3.465774736276904e-19	0.1027205716209179	7.209419126946936e-09	3.8672286246285625e-06	3.5296192980456904e-08	4.196925870801606e-10	1.6577264552154538e-16	0.8962177941974118	3.902948773101533e-13	5.713001350111535e-16	8.892589664371685e-18	1.7141693970255537e-29	1.315603004674207e-34	3.0817176387733414e-15	9.490186556622426e-12	1.0368438588941554e-19	3.479641917301454e-23	9.023744870991953e-08	6.53735485789538e-19	3.918784669717474e-24	2.763731638992073e-20	1.4686191697215316e-15	1.5000305883494647e-28	3.4826884333476876e-26	2.256617335327758e-07	2.5084281726151135e-18	2.2436128517753527e-10	6.892691816029798e-13	1.4826002840227863e-16	1.322483701268564e-16	5.631586498041387e-20	5.2116760624937195e-25	3.1170893522301635e-28	3.7172027598164536e-33	1.9747218454289262e-20	3.136014603244216e-12	8.534335421339601e-17	6.028114714595935e-28	2.9864755750420113e-38	1.722680483076119e-07	4.565362723302242e-24	1.1109888779955522e-12	8.25787124763665e-24	1.1642168909150986e-22	1.6585817819262687e-36	3.081004615351771e-14	8.545157291546224e-27	9.52435781106026e-19	1.7918999309907203e-28	1.8838877199843495e-07	6.240287120792852e-13	2.3867136858302854e-29	3.4382542660049223e-19	6.833253297739832e-33	6.6423151566433304e-68	6.491118487189913e-39	5.284434944366077e-18	8.261878165112257e-09	1.8730412540985503e-14	1.0550038468166876e-35	0.0	0.0
