Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
153.94719440634057	1.8483576702627265e-05	19786835.01796697	11692717600.299952	16.62151272808736	2.400351050838178e-10	0.0003473709323567	0.0753753589585534	0.9068500762177552	0.0140180208549405	0.0005807007092517	1.589532252274362e-09	7.030984087718777e-12	2.265508540755685e-14	4.4278338066667973e-13	7.520376096566894e-10	7.663837923290773e-21	1.642720957013439e-19	1.5477811752499414e-22	1.0935875903517054e-21	5.080674980048609e-17	6.794614874953985e-26	3.129971691426366e-22	6.993566360258005e-05	0.000464096660596	2.2098182808333896e-19	2.196175933655885e-08	2.146612648876116e-11	8.29563740498358e-25	9.566252479128593e-22	1.5497741000192463e-28	9.106396220131072e-06	2.5938959729273846e-22	6.773693289882553e-28	1.6797552182852541e-07	2.5042453325734147e-10	2.0464127120589755e-10	3.2283325977661337e-13	1.3867435345079448e-08	5.833042292882471e-09	0.0001045576406721	1.4776210928936963e-06	1.299756370179211e-16	5.604009537646403e-16	3.0153276473953563e-23	9.527896215400369e-22	2.6916030837715127e-10	3.1174991416614992e-18	1.4556470525562092e-14	2.3567386422939352e-20	7.903109276913088e-17	1.5927736358744015e-38	1.2655289627606985e-30	4.9010845662828687e-29	3.941294201745748e-24	8.248723558193623e-24	4.762899320213198e-18	3.297963312524961e-11	3.8857184018602025e-15	6.35628265162102e-15	2.216097057610479e-26	7.9715913826639755e-22	2.942635533415643e-22	7.799762815355899e-24	4.635440521951864e-07	1.9909240000124253e-19	6.427059585778551e-05	2.848089555918378e-28	3.1890840167400653e-26	5.758617173826778e-29	1.2004899389430082e-51	4.7982156778076424e-51	0.0017886711797852	2.308594620098932e-07	0.0001669145148274	7.975940653100846e-17	4.151414086287479e-14	1.7483752868348686e-23	2.415559013211531e-10	1.5739559711104526e-16	0.0001575478469362	3.9557584441227203e-22	0.0	2.403792293477599e-15	3.348187308560765e-19	4.3897113891700704e-35	6.554266672811135e-44	1.8065340773235525e-29	9.856347939542411e-21	2.8963756549473675e-19	9.867965870404755e-07	4.8560925115056585e-15	5.7331271312496e-33	0.0	0.0
156.61643016868436	3.4164260772190544e-05	19610361.05128944	9140357019.824818	17.02689080490385	4.467453472863059e-10	0.0003404928882468	0.0564524596708503	0.9283732198880116	0.0100294833500293	0.0005732173440055	1.3534807394553995e-09	7.429336212188891e-12	2.3038275822423147e-14	4.244207965967261e-13	7.43184125244655e-10	8.525283876965802e-21	1.932337536224997e-19	1.7791376070440732e-22	1.2941273915221609e-21	6.214967657483949e-17	8.501770139343216e-26	4.001993831846703e-22	8.598480637658811e-05	0.0007869645472075	2.884434973632277e-19	2.7889146994372872e-08	2.6415886154889344e-11	1.0721267191841682e-24	1.2703260863784517e-21	2.575157753776737e-28	1.2061144494113848e-05	4.214518437261657e-22	1.0814422366366885e-27	1.5940910446663913e-07	2.3665535690431766e-10	2.418027029555332e-10	3.89622595717022e-13	1.7703852494466696e-08	5.611606825691503e-09	0.000128562579357	1.4863812442711564e-06	1.654727523740142e-16	7.0292178281904835e-16	3.911066087640039e-23	1.2655549210047757e-21	3.4999917609061456e-10	3.828834438235888e-18	2.4167822982979572e-14	4.1977776162456766e-20	1.3392343166374124e-16	3.0924043017498823e-38	1.6178389028183646e-30	6.144850299325355e-29	5.1351938507736064e-24	1.4001981370709768e-23	8.637175934740714e-18	5.357551430103424e-11	5.2607796420095225e-15	8.771692447165915e-15	4.402657645600753e-26	1.269083387670569e-21	4.571127465870155e-22	1.625874323093323e-23	6.187486188373315e-07	3.970999078466461e-19	8.88153169696145e-05	4.350459658554568e-28	4.734191232856407e-26	8.98190748100573e-29	5.204356362269778e-51	2.1690824929303134e-50	0.0023760219205866	6.46669011870306e-07	0.0003095801296939	1.5238172649579556e-16	1.0383457292484493e-13	7.328881025592544e-23	4.2815475778192245e-10	4.531902886303773e-16	0.0004394352999462	0.0	5.39065344832713e-13	4.179759246694752e-15	4.709733546437564e-18	8.681077536483552e-35	1.3675189106551818e-43	8.899961955572894e-29	1.830233018885455e-20	5.256782561782421e-19	7.352594137658264e-07	3.2699478393182426e-15	5.713380992887626e-33	0.0	0.0
158.94828521533526	6.314777344713464e-05	19434347.107987743	7143655409.312262	17.316209392208442	8.274561798520571e-10	0.0003245014196133	0.0441291823601997	0.9414857222552724	0.0074993458883053	0.0005641626619702	1.060257759428853e-09	6.407026873618375e-12	2.2302464236947028e-14	4.0189231472415633e-13	7.324701388199412e-10	8.862342496814466e-21	2.1751793973123684e-19	1.958223611324986e-22	1.4459129650683333e-21	7.217442394417394e-17	1.0088324485483138e-25	4.849575116809009e-22	0.000100990276209	0.0011885055721371	3.5599483909353905e-19	3.3365614580462896e-08	3.0490780617269807e-11	1.300896064963282e-24	1.5859593068849256e-21	3.831322058115981e-28	1.4984667496920412e-05	6.155744755381117e-22	1.5651949335958028e-27	1.511675888082948e-07	2.1879063081525783e-10	2.7381958819011034e-10	4.508481809686818e-13	2.1418387564260227e-08	5.268411388971626e-09	0.0001510140973952	1.4862829686735431e-06	1.9891620873322887e-16	8.397352545449263e-16	4.7744615183724523e-23	1.5806480180971849e-21	4.2912159378312714e-10	4.483369657956529e-18	3.5914966313691893e-14	6.619500937986938e-20	2.0194913626854288e-16	5.172949795685748e-38	1.9604076423119182e-30	7.330938616079024e-29	6.315593575483779e-24	2.116563409893419e-23	1.3740754375648088e-17	7.826692765578643e-11	6.670817272032657e-15	1.1286409263380264e-14	7.490948270091947e-26	1.825580965928643e-21	6.422927641180342e-22	2.866567396207764e-23	7.647497913343358e-07	7.255121960878679e-19	0.0001144365932366	6.062066783148058e-28	6.391262799315419e-26	1.2720063679254363e-28	1.5051297835063228e-50	6.4385693657345255e-50	0.0029673314366483	1.412941674095321e-06	0.0005004586675534	2.3509218635241667e-16	2.090680278564327e-13	2.078913388888268e-22	6.682110472245996e-10	1.0073710262926792e-15	0.0009550197183854	1.562729476492258e-18	0.0	6.4297255427727945e-15	2.384302950081288e-17	1.4632621114669192e-34	2.4140835601186816e-43	2.778629887091006e-28	2.962130809533085e-20	8.3610985873686295e-19	4.656921558914671e-07	1.9015602233070643e-15	6.09366277022657e-33	0.0	0.0
161.50115533241373	0.000116719671411	19257842.83014236	5582009737.359359	17.535943787985566	1.524360010960244e-09	0.0002984116655606	0.0360040876258125	0.9492366093581884	0.0058642764379763	0.0005549377429153	7.425287989053285e-10	5.230117816618225e-12	2.1031387352980955e-14	3.745662669776382e-13	7.219891618271939e-10	8.443766946711521e-21	2.354593292611808e-19	2.070283155590924e-22	1.5267587020838053e-21	7.99117221901035e-17	1.144080794905634e-25	5.6242805870162085e-22	0.0001142783612821	0.0016327531465837	4.196538451650012e-19	3.7810211467917124e-08	3.308463553963297e-11	1.494191210984153e-24	1.881910613458745e-21	5.209704559364654e-28	1.7604807274572056e-05	8.233776188383263e-22	2.096182514307944e-27	1.4304420238028064e-07	1.9625071445925846e-10	2.9776133949753827e-10	5.040875183528557e-13	2.4787944016586042e-08	4.796937263784536e-09	0.0001709103273583	1.4820742660482315e-06	2.272039457711826e-16	9.647568311777116e-16	5.535437384481798e-23	1.8769566377405604e-21	5.005865203684513e-10	5.037426652936472e-18	4.873750093333367e-14	9.488625817168696e-20	2.7651424599958883e-16	7.67053124426523e-38	2.2730554868363466e-30	8.398527536916336e-29	7.40757114000884e-24	2.910192969193393e-23	1.9660718616491416e-17	1.0476777876567287e-10	8.009345884382168e-15	1.3701995342069072e-14	1.1245002714752004e-25	2.415702751289308e-21	8.272920815642802e-22	4.417466120275121e-23	8.808780967816612e-07	1.2973938687677221e-18	0.0001392004038557	7.833183983873431e-28	7.926429597061613e-26	1.6640493412764844e-28	3.286469722369007e-50	1.432294984038875e-49	0.0035227208459306	2.556712337794419e-06	0.0007235921404462	3.182734082213102e-16	3.555392016251153e-13	4.488356934161016e-22	9.39264502486395e-10	1.841121987996988e-15	0.0017152219736962	1.292099852537602e-17	1.8892001930541632e-11	8.939319942620899e-15	7.32292358837271e-17	2.158156455404398e-34	3.728092465276236e-43	6.390089132496404e-28	4.2887730586641004e-20	1.19459940101752e-18	2.6149742824131656e-07	1.0360385392831611e-15	7.233760798017629e-33	0.0	0.0
164.09453299153773	0.0002157396999231	19080374.51954709	4360902848.644998	17.711093862327548	2.800730510840356e-09	0.0002611375242702	0.0305683587183163	0.9536357715656274	0.0047797082356929	0.0005459246321896	4.61158810687571e-10	3.864562480229757e-12	1.8944140665648145e-14	3.4133157052467493e-13	7.12715912775247e-10	7.137085592831424e-21	2.457431799722332e-19	2.1029085495735576e-22	1.5178562923390449e-21	8.447732721905861e-17	1.250008780100204e-25	6.295568237921545e-22	0.0001254882008662	0.0020780879486744	4.756380408507439e-19	4.068642357492996e-08	3.36723845867088e-11	1.6347450784177955e-24	2.14198156155718e-21	6.5935140944755325e-28	1.963688337614719e-05	1.0242980095672377e-21	2.6493326020060616e-27	1.3446871332663274e-07	1.6826550903935528e-10	3.0999904028372236e-10	5.479791718643458e-13	2.7657315024750444e-08	4.1902004637001e-09	0.0001877205798189	1.4764776381139826e-06	2.4710063385554983e-16	1.0749360824541928e-15	6.138608764856585e-23	2.1395009435019567e-21	5.591696411196794e-10	5.4462889538468654e-18	6.144881978654223e-14	1.2684535701699706e-19	3.4943087447721313e-16	1.0322358093566368e-37	2.5402028743423743e-30	9.311877394391823e-29	8.358507960871537e-24	3.707235479897369e-23	2.5848179820076917e-17	1.3056837862086238e-10	9.177014570113461e-15	1.584322457045274e-14	1.5257940589042516e-25	2.985264766191741e-21	9.840521143629757e-22	6.108639586075643e-23	9.479767037139908e-07	2.392079556738211e-18	0.0001616051941444	9.523692103446372e-28	9.088734936706944e-26	2.0415846652185523e-28	5.840867719707914e-50	2.584264692209536e-49	0.0040142841939917	4.007170680519461e-06	0.0009564006972553	3.708241104989755e-16	5.300046774450538e-13	7.9320326377229545e-22	1.2112883173821487e-09	2.9002840693586738e-15	0.0026590938801064	5.599154422325812e-17	0.0	1.1426075470533254e-14	1.6405293172891594e-16	2.840383076300727e-34	5.1768271196488686e-43	1.1801170878137694e-27	5.679910300131734e-20	1.5659509359713233e-18	1.3952575025876684e-07	5.584655897033877e-16	9.445551403192348e-33	0.0	0.0
166.84117195919978	0.000398764129133	18901474.71155905	3406283606.4327354	17.853640597346917	5.132507827076321e-09	0.0002127022267354	0.0268839870338773	0.956009408052198	0.0040344781579881	0.0005368202570742	2.593553190151962e-10	2.650852421834984e-12	1.6923192134943056e-14	3.00834788928546e-13	7.04997075851917e-10	5.135957863869778e-21	2.4743058857084246e-19	2.0465291138482e-22	1.407335629381537e-21	8.520809323191245e-17	1.3291253868874052e-25	6.852108746348715e-22	0.0001345546977871	0.0024896173974907	5.1880900251210745e-19	4.1586492162612754e-08	3.192147865533576e-11	1.7122353207917837e-24	2.3549793024896687e-21	7.896450268524374e-28	2.0762309516431503e-05	1.1995925896263673e-21	3.221797559744249e-27	1.246734611792833e-07	1.347025683878051e-10	3.065601879776074e-10	5.81865292279833e-13	2.9937017416556034e-08	3.459207418249101e-09	0.0002013596147066	1.4709662541650352e-06	2.5508339668282863e-16	1.1696391212175961e-15	6.546288923024257e-23	2.3607334013660402e-21	5.999091462801034e-10	5.651255977062638e-18	7.305845940297384e-14	1.6252269662312897e-19	4.124078826415327e-16	1.2851190064647974e-37	2.7464851861429573e-30	1.0060295918978508e-28	9.13770705594322e-24	4.445905112261447e-23	3.180288093677771e-17	1.5348703529790246e-10	1.0062968195418948e-14	1.7542492940005676e-14	1.9074935197730564e-25	3.486276949700224e-21	1.0795427107883981e-21	7.736656814903217e-23	9.51533403515259e-07	4.649599244542038e-18	0.000180800924904	1.1037998303910415e-27	9.670949043537684e-26	2.380465197597219e-28	8.896900883052435e-50	3.9921519431530814e-49	0.0044294425289098	5.635753530234257e-06	0.0011771981810324	3.9585950220459583e-16	7.134593943261755e-13	1.2069803713175268e-21	1.4535207105269891e-09	4.093140313412923e-15	0.0036803857241117	1.8035489491735407e-16	1.4861552009405498e-07	1.3602991536782252e-14	2.9750620693603473e-16	3.383905378553822e-34	6.613118355160983e-43	1.854535418280877e-27	7.012830540194441e-20	1.9178479784077006e-18	7.27199425124704e-08	2.97817564166832e-16	1.2480705264120176e-32	0.0	0.0
169.702981244422	0.0007370587367087	18720780.48320904	2660152192.183665	17.969560894814098	9.387286468145477e-09	0.0001559878836006	0.024356152972963	0.9572284032563152	0.0034926123014753	0.00052682136894	1.3373912538262439e-10	1.6498043526163036e-12	1.5185903343030496e-14	2.5206827846380626e-13	6.988446658271087e-10	2.9556842766316918e-21	2.4000849429638564e-19	1.8957292439567569e-22	1.1960837495611408e-21	8.176157739340535e-17	1.395869994825771e-25	7.298420432850142e-22	0.0001416353524368	0.0028461874434108	5.397518385204778e-19	4.029055281410652e-08	2.7847548243880396e-11	1.7264622432099465e-24	2.5086894533172918e-21	9.084762539893016e-28	2.060862492567913e-05	1.3330520836583877e-21	3.836440241756399e-27	1.128661820819882e-07	9.717456489776772e-11	2.8404770195265006e-10	6.050352993408319e-13	3.1582176520130264e-08	2.651059294157869e-09	0.0002120764897765	1.4662447617023528e-06	2.477569214026455e-16	1.2481192299241356e-15	6.736242021190047e-23	2.539284739191775e-21	6.171270650091066e-10	5.56375994247138e-18	8.29339804017213e-14	2.0620934788315344e-19	4.574350360521461e-16	1.502369849610881e-37	2.8649506691272066e-30	1.0652387970665383e-28	9.722507385362136e-24	5.089050686542595e-23	3.717894223350919e-17	1.718269403245852e-10	1.0502088937205604e-14	1.8567960731820224e-14	2.227518201692131e-25	3.87456709488107e-21	1.076225997249219e-21	9.103347918405676e-23	8.854727559056594e-07	9.420491976174354e-18	0.0001965802502789	1.2339775196518668e-27	9.559139789273806e-26	2.668441761682575e-28	1.2067343090261556e-49	5.497373392865569e-49	0.0047702342939194	7.320820374105901e-06	0.001370491588276	4.0145613356464596e-16	8.885752674627443e-13	1.6421119355393108e-21	1.6377096690503535e-09	5.363305034067937e-15	0.004671426494201	5.075478808921291e-16	8.817740298084253e-07	1.5184804017063208e-14	4.738200935336466e-16	3.68294392000318e-34	7.920898030209214e-43	2.5881761149825027e-27	8.203579718685006e-20	2.2287706507159853e-18	3.6305723618889806e-08	1.5307930163281035e-16	1.446096803625813e-32	0.0	0.0
172.5915223033236	0.0013623481694297	18538060.48890721	2077093510.177676	18.062658954256445	1.7149059808320467e-08	9.84019116724417e-05	0.0226042536378666	0.9578424432687016	0.003061660522749	0.0005146744277013	6.125377270704238e-11	8.847889235489488e-13	1.3094961997154631e-14	1.9557418171689681e-13	6.941081432618957e-10	1.2287116628699501e-21	2.2355413825955983e-19	1.6526083893391874e-22	9.060046258620772e-22	7.417346837390047e-17	1.4815751655811802e-25	7.6483218557427385e-22	0.0001470037419132	0.0031400237559072	5.209045180437304e-19	3.679583033950664e-08	2.198470998560942e-11	1.6944530488263217e-24	2.577468874780856e-21	1.0177174845482284e-27	1.88070604568573e-05	1.4083678761236869e-21	4.52487598014782e-27	9.85036473625948e-08	6.003310180203325e-11	2.4095725122105907e-10	6.155836819266802e-13	3.257160203735715e-08	1.8564073443425567e-09	0.000220290801881	1.4625426306347149e-06	2.236953500996198e-16	1.3050666281055745e-15	6.696994484218718e-23	2.67670609027737e-21	6.039836321492841e-10	5.06760307172571e-18	9.076797677636373e-14	2.6986984853088304e-19	4.764873362842961e-16	1.6650236403006283e-37	2.840944919927382e-30	1.1106380913837752e-28	1.0070540795279104e-23	5.623525046372548e-23	4.174297338978611e-17	1.8409629698963428e-10	1.0249046227998517e-14	1.855535079386793e-14	2.446226059108621e-25	4.094741726521701e-21	9.408814773983089e-22	1.001708743373169e-22	7.574181598412122e-07	1.9396565073257344e-17	0.0002091865274773	1.344403940112826e-27	8.757546858820657e-26	2.9033574026732648e-28	1.4993871720492848e-49	6.956990396385574e-49	0.0050490717371323	8.990442971498907e-06	0.0015279332451462	3.8608902510510576e-16	1.0438539815207285e-12	2.0540292922520424e-21	1.737696151605626e-09	6.773033612079288e-15	0.0055521950952239	1.3685707281447296e-15	2.653839472496913e-06	1.575523220075245e-14	7.215151404985187e-16	3.6728246227359916e-34	9.030661777461556e-43	3.312976213608074e-27	9.209690831206136e-20	2.4890995379817043e-18	1.6688436586646635e-08	7.296217316487948e-17	1.2425325643834212e-32	0.0	0.0
175.6111271574203	0.0025181066885338	18353004.08783497	1621556124.2674024	18.13631266621057	3.1279591329338875e-08	5.0710600276505126e-05	0.0213800850253548	0.9581794354845864	0.002677105884008	0.0004985135951485	2.314151337454636e-11	3.9425404003520853e-13	9.943336855207476e-15	1.3503110653623121e-13	6.905668976299271e-10	3.183615589913972e-22	1.9907874832695849e-19	1.3327543618603685e-22	5.861936728143715e-22	6.307610966540529e-17	1.636472322908434e-25	7.919739501412319e-22	0.0001509762569184	0.0033732351949858	4.390767140693493e-19	3.14237747201032e-08	1.5434742337495712e-11	1.66674181126227e-24	2.514563606540618e-21	1.1244600580198884e-27	1.524952872017027e-05	1.4073674902940439e-21	5.300694613283744e-27	8.169924832991222e-08	2.971574464437836e-11	1.8020401397565536e-10	6.093177512270808e-13	3.2922003864113485e-08	1.1859969007948814e-09	0.0002264753656287	1.4598235743458338e-06	1.862137279171942e-16	1.3258587656137634e-15	6.426640194536162e-23	2.77470980807673e-21	5.546043999129634e-10	4.083822437402556e-18	9.649018442040912e-14	3.8098761311266803e-19	4.631048003942956e-16	1.7553620173811631e-37	2.5954452017837933e-30	1.1442261633390632e-28	1.0093749024538316e-23	6.053865039993305e-23	4.5232028802810277e-17	1.8864648347748567e-10	9.079334470611248e-15	1.7170443307936174e-14	2.5227862305038294e-25	4.068932306314443e-21	6.751476962116608e-22	1.0287944862475204e-22	5.934966510405334e-07	3.994986334532615e-17	0.0002191258302933	1.4397172278060442e-27	7.413249277560809e-26	3.089831781161517e-28	1.742818398340699e-49	8.282394385440389e-49	0.0052831915824152	1.064200233355013e-05	0.0016470135668567	3.548928670869732e-16	1.1743596916064883e-12	2.4110460334873617e-21	1.732014554764876e-09	8.613364873715993e-15	0.0062804598139252	3.728866154917735e-15	5.569629165874874e-06	1.4561354567545368e-14	1.1627174537453544e-15	3.349499614164817e-34	9.912602646341064e-43	3.98809605685809e-27	1.0015311068024364e-19	2.6986993713436658e-18	6.671328526416427e-09	3.0696383385352654e-17	7.045290748954436e-33	0.0	0.0
178.75781824381232	0.0046543618122914	18165336.04835108	1265717174.665486	18.19386527949868	5.6978373746863816e-08	2.0723892774744545e-05	0.0205185984501258	0.9584194035903548	0.0023012109673398	0.0004755479408705	6.389338432446775e-12	1.3100804037257152e-13	5.540100767447183e-15	7.832722897002594e-14	6.879866704398723e-10	4.2660668985997273e-23	1.6888339921437982e-19	9.715743747557904e-23	3.0542924206484333e-22	5.0005001441622004e-17	1.9165497445480924e-25	8.130914609597414e-22	0.0001538643904691	0.0035533592503786	2.904135912171012e-19	2.4970991191145663e-08	9.564261047684825e-12	1.752951627059489e-24	2.279655378856876e-21	1.2434717065115959e-27	1.0519872856617742e-05	1.3151277997157014e-21	6.115898280075578e-27	6.367881155787268e-08	1.1035385472161153e-11	1.1218398387299616e-10	5.796831490335706e-13	3.272179663357549e-08	7.088565243428765e-10	0.0002310760570268	1.4579684892361011e-06	1.4358126265681221e-16	1.2852476934503373e-15	5.937261458751871e-23	2.834040310748784e-21	4.695324369184531e-10	2.7210424402551133e-18	1.0019202410038369e-13	5.967130766379496e-19	4.175101117988376e-16	1.7548578636073765e-37	2.0864643494827364e-30	1.167636161562346e-28	9.670732307383e-24	6.393981239059934e-23	4.7244195761925066e-17	1.8356521144717663e-10	7.085119424141063e-15	1.4595219511224908e-14	2.4212847737024703e-25	3.7259039127617056e-21	3.5754387997749885e-22	9.775327790195448e-23	4.338999644182087e-07	8.12551019789214e-17	0.0002270199483214	1.5245610879356418e-27	5.815575855485418e-26	3.2358015420590493e-28	1.9237879023852243e-49	9.443483782190895e-49	0.0054869196652111	1.2361724731872736e-05	0.001729033598126	3.063853129710132e-16	1.280152870918844e-12	2.694861112758181e-21	1.614640723069629e-09	1.1587607483317691e-14	0.0068490129534146	1.0589163200052178e-14	9.32850604713018e-06	1.0672877395262672e-14	2.179470735635379e-15	2.790921229558008e-34	1.055586566312484e-42	4.604935728116219e-27	1.0613288752487568e-19	2.863111518133093e-18	2.145908995307779e-09	1.0744061900907804e-17	2.379306959965368e-33	0.0	0.0
