Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
703.619	1e-05	1120872.96	9314041650000.0	27.838363686034825	4.758785457827457e-11	1.00717124e-05	0.000303083309	7.22352733e-05	0.000451802174	5.14073182e-05	7.796386040000001e-15	1.05508829e-06	3.3339903499999997e-17	4.5742168000000005e-20	4.80603902e-19	1.6273301799999999e-18	5.05824321e-19	3.16693665e-19	1.0182569900000001e-25	0.0	0.0	0.0	9.20362136e-05	0.000110325049	3.65698729e-23	1.54071729e-16	1.6748997499999999e-19	4.20307026e-24	1.98918201e-23	1.4746349300000001e-27	1.41617592e-05	6.16728028e-24	1.42229939e-22	0.01113065	1.22911155e-11	2.37405829e-10	6.08756971e-10	6.28460083e-06	5.4767745e-13	0.987754139	3.85340347e-16	1.63290798e-19	1.77452236e-18	9.097018570000001e-26	7.94501809e-28	3.79339986e-13	2.88784394e-19	1.45095564e-11	5.534387390000001e-23	2.70003271e-12	8.49074598e-30	7.6083148200000005e-31	4.87357124e-24	1.2495190899999998e-28	3.82740113e-25	2.7167591300000002e-21	1.08621945e-09	1.9728475899999998e-17	2.21835727e-14	1.8144439600000003e-21	5.66304758e-23	1.52964536e-25	0.0	9.412941349999999e-17	2.3361326600000003e-15	3.21538202e-19	8.51858586e-24	1.11924315e-20	1.33759249e-23	2.80470835e-26	5.8257284e-31	1.9555314e-06	6.54992708e-23	3.09198634e-09	1.6102026600000001e-15	6.70689076e-14	1.21582781e-27	1.78487161e-12	1.59497205e-23	6.69234498e-10	0.0	0.0	8.01165357e-19	0.0	1.03387423e-31	0.0	7.71625908e-13	1.28710948e-30	7.37250018e-23	0.0
703.619	1.86041002e-05	1102856.74	7261912990000.0	27.84760549975682	8.856231275431947e-11	1.00179696e-05	0.00030291498	7.23178236e-05	0.000451174256	5.13509635e-05	7.798995970000001e-15	1.01682222e-06	3.36613447e-17	4.6157138100000003e-20	4.81161872e-19	1.6280738e-18	5.06586449e-19	3.16177729e-19	1.02097134e-25	0.0	0.0	0.0	9.20510082e-05	0.000110438141	3.6584078000000004e-23	1.56792844e-16	1.7056237e-19	4.18801709e-24	1.99217123e-23	1.4755933200000001e-27	1.41722363e-05	6.1703966899999995e-24	1.4230099e-22	0.0104726984	1.22669093e-11	2.36928037e-10	6.09632121e-10	6.29122929e-06	5.4774948e-13	0.988412865	3.89637971e-16	1.63349513e-19	1.7756362399999998e-18	9.09913082e-26	8.080198569999999e-28	3.7948111e-13	2.8886866e-19	1.45663843e-11	9.2334135e-23	2.7014736e-12	8.49678378e-30	7.611059980000001e-31	4.87526182e-24	1.24998577e-28	3.88016979e-25	3.4227261500000005e-21	1.0867496e-09	2.0925388599999997e-17	2.21927317e-14	1.81553767e-21	5.66585266e-23	1.53013948e-25	0.0	1.22851602e-16	2.33752058e-15	3.26925468e-19	8.52383225e-24	1.1197586500000001e-20	1.3382431000000002e-23	2.80701386e-26	6.0357905900000005e-31	1.95618418e-06	2.02357304e-22	3.1896929e-09	1.64388391e-15	6.75043155e-14	1.37948135e-27	1.78602728e-12	1.5962023800000002e-23	6.78836719e-10	4.9442604e-25	0.0	8.01615136e-19	0.0	1.03450684e-31	0.0	7.72341055e-13	1.31796252e-30	7.37670001e-23	0.0
703.619	3.46112543e-05	1084938.02	5660715160000.0	27.86386860306532	1.6485843518103124e-10	9.91633998e-06	0.000302938325	7.24879854e-05	0.00045073074	5.1250285e-05	7.808341030000001e-15	9.46648535e-07	3.43227821e-17	4.7001739200000004e-20	4.82323964e-19	1.6298187999999999e-18	5.08064698e-19	3.15161184e-19	1.02645907e-25	0.0	0.0	0.0	9.20743002e-05	0.000110619088	3.66081177e-23	1.62166248e-16	1.76629313e-19	4.15847353e-24	1.9976988400000002e-23	1.4771656e-27	1.41906906e-05	6.17470278e-24	1.42400858e-22	0.00931298734	1.22222096e-11	2.36109398e-10	6.1131091e-10	6.30275963e-06	5.47989191e-13	0.989572967	3.98171746e-16	1.63447663e-19	1.77820737e-18	9.102181880000001e-26	8.347009369999999e-28	3.79711674e-13	2.89002661e-19	1.46718965e-11	1.8732267299999999e-22	2.70342503e-12	8.50543522e-30	7.61566152e-31	4.87815614e-24	1.2507502299999999e-28	3.98322929e-25	5.0240325000000005e-21	1.08747081e-09	2.3359789299999998e-17	2.2206937e-14	1.8168914500000002e-21	5.66977622e-23	1.53050123e-25	0.0	1.83127098e-16	2.33931931e-15	3.37536432e-19	8.533153149999999e-24	1.12050676e-20	1.33916571e-23	2.8093791600000004e-26	6.45159718e-31	1.9571918e-06	3.73024134e-22	3.38354008e-09	1.7328714700000002e-15	6.83228532e-14	1.7268171300000002e-27	1.78781472e-12	1.5976288e-23	6.97412178e-10	0.0	0.0	8.02236669e-19	0.0	1.03530803e-31	0.0	7.73108388e-13	1.3787952900000001e-30	7.38221747e-23	0.0
703.619	6.43911242e-05	1067118.89	4411665390000.0	27.88468618069553	3.0693342826419154e-10	9.7672264e-06	0.000303092904	7.27394272e-05	0.000450375857	5.10981718e-05	7.82758716e-15	8.50952656e-07	3.53822779e-17	4.8333990900000004e-20	4.8402947e-19	1.6329450299999998e-18	5.10241793e-19	3.13586289e-19	1.0351496000000002e-25	0.0	0.0	0.0	9.20984902e-05	0.000110853216	3.66402807e-23	1.7043330000000001e-16	1.8604876199999999e-19	4.11420528e-24	2.00558993e-23	1.47959374e-27	1.42158742e-05	6.179771689999999e-24	1.42519694e-22	0.00782788611	1.21549593e-11	2.35125526e-10	6.13759353e-10	6.3173609e-06	5.48338656e-13	0.991058251	4.11216287e-16	1.63570986e-19	1.7833388699999997e-18	9.105328940000001e-26	8.75767306e-28	3.79998188e-13	2.89138859e-19	1.48246005e-11	4.20164936e-22	2.70569919e-12	8.516679510000001e-30	7.62148379e-31	4.88183046e-24	1.2517074e-28	4.140644970000001e-25	8.16997264e-21	1.08830572e-09	2.7313831699999997e-17	2.22244071e-14	1.8183579800000003e-21	5.67441344e-23	1.53022566e-25	0.0	2.90045716e-16	2.3413930100000002e-15	3.53837578e-19	8.54815036e-24	1.12139846e-20	1.3402622e-23	2.81176193e-26	7.10335147e-31	1.95837781e-06	7.01663909e-22	3.68628896e-09	1.9119822200000003e-15	6.95434884e-14	2.3377117e-27	1.7904101e-12	1.59918935e-23	7.25711567e-10	0.0	0.0	8.03004912e-19	0.0	1.03621631e-31	0.0	7.73903885e-13	1.47293339e-30	7.38856967e-23	0.0
703.619	0.000119793892	1049399.56	3437539020000.0	27.90714893529459	5.714820140864539e-10	9.56931596e-06	0.000303320577	7.30693366e-05	0.000450022897	5.088301e-05	7.862880790000001e-15	7.38261883e-07	3.6966189599999994e-17	5.0283463700000004e-20	4.86232716e-19	1.63823949e-18	5.13142709e-19	3.1134115e-19	1.04798623e-25	0.0	0.0	0.0	9.21146533e-05	0.000111121133	3.6680119e-23	1.82175729e-16	1.99658654e-19	4.0541664899999994e-24	2.01574196e-23	1.48353588e-27	1.4246477e-05	6.18505219e-24	1.42645252e-22	0.00622531322	1.20612695e-11	2.3424864e-10	6.16983404e-10	6.33239336e-06	5.4873547e-13	0.992660963	4.29503035e-16	1.63702118e-19	1.79378548e-18	9.10742468e-26	9.341467569999999e-28	3.80298818e-13	2.89206787e-19	1.50245131e-11	1.02552723e-21	2.70804703e-12	8.53052267e-30	7.62778444e-31	4.8857815199999994e-24	1.2527309099999999e-28	4.36243281e-25	1.44565924e-20	1.08915283e-09	3.34112899e-17	2.22429683e-14	1.81971469e-21	5.6792416e-23	1.5284579200000001e-25	0.0	4.75469286e-16	2.3435676000000004e-15	3.76959975e-19	8.572167949999999e-24	1.1223173200000001e-20	1.34140697e-23	2.81403748e-26	8.05798599e-31	1.95951443e-06	1.48887457e-21	4.12651536e-09	2.2304558200000003e-15	7.12194601e-14	3.39468573e-27	1.79419837e-12	1.60079292e-23	7.65551534e-10	0.0	0.0	8.03916701e-19	0.0	1.03714646e-31	0.0	7.74677513e-13	1.60803132e-30	7.39510502e-23	0.0
703.619	0.000222865758	1031778.44	2677996510000.0	27.928417140919336	1.0640011341117584e-09	9.32068232e-06	0.000303567615	7.34795996e-05	0.00044959674	5.05904863e-05	7.92470645e-15	6.19375099e-07	3.9300121799999994e-17	5.30766576e-20	4.88909575e-19	1.6471344e-18	5.16844361e-19	3.08265297e-19	1.06664302e-25	0.0	0.0	0.0	9.21150016e-05	0.00011140009	3.67316546e-23	1.98408461e-16	2.19005346e-19	3.9766954899999995e-24	2.02815792e-23	1.4906133e-27	1.42813569e-05	6.1899975499999996e-24	1.42766456e-22	0.00470817255	1.19355316e-11	2.33886512e-10	6.21040255e-10	6.34417072e-06	5.49123629e-13	0.994178342	4.54312541e-16	1.63823153e-19	1.81607607e-18	9.107185640000001e-26	1.0149568200000001e-27	3.80568372e-13	2.89109495e-19	1.52729019e-11	2.7000575600000002e-21	2.71021066e-12	8.54708458e-30	7.633883280000001e-31	4.88951675e-24	1.25369686e-28	4.66603438e-25	2.77221173e-20	1.08990821e-09	4.28408396e-17	2.22604986e-14	1.8206843700000002e-21	5.68373128e-23	1.5238846600000002e-25	0.0	7.98811747e-16	2.34570247e-15	4.08886587e-19	8.61157113e-24	1.1231358100000001e-20	1.34247344e-23	2.8160537e-26	9.43382586e-31	1.96035387e-06	3.2854473100000002e-21	4.75406124e-09	2.7576429200000002e-15	7.34438053e-14	5.28947968e-27	1.79994811e-12	1.6023767000000002e-23	8.20081525e-10	4.10682609e-25	0.0	8.05059458e-19	0.0	1.03801301e-31	0.0	7.75371781e-13	1.79739485e-30	7.401156540000001e-23	0.0
703.619	0.000414621688	1014252.72	2085895050000.0	27.94649859866869	1.980759921850045e-09	9.01930782e-06	0.000303792572	7.39797581e-05	0.000449037216	5.02075094e-05	8.02952301e-15	5.05240991e-07	4.2761492199999994e-17	5.70792127e-20	4.92078667e-19	1.66200821e-18	5.2149456299999995e-19	3.04154395e-19	1.09385159e-25	0.0	0.0	0.0	9.20953386e-05	0.000111669473	3.68102721e-23	2.20764379e-16	2.468844e-19	3.87953147e-24	2.04304176e-23	1.50448762e-27	1.43200269e-05	6.1942586799999994e-24	1.42879149e-22	0.00341880606	1.17698827e-11	2.34588516e-10	6.260629e-10	6.34790898e-06	5.49472327e-13	0.995468148	4.87670797e-16	1.63919131e-19	1.86501107e-18	9.10349413e-26	1.1264818400000001e-27	3.80764544e-13	2.88722721e-19	1.55736731e-11	7.57036536e-21	2.71199667e-12	8.56676288e-30	7.639439420000001e-31	4.8926911e-24	1.25451947e-28	5.07930527e-25	5.74933429e-20	1.09049604e-09	5.78315214e-17	2.22756055e-14	1.82096465e-21	5.68750718e-23	1.51464952e-25	0.0	1.3682943900000002e-15	2.3478138000000003e-15	4.5283280799999995e-19	8.6775888e-24	1.12373693e-20	1.34337272e-23	2.8177021700000004e-26	1.14284324e-30	1.96067321e-06	7.632647960000001e-21	5.65009801e-09	3.60065599e-15	7.63615856e-14	8.88696138e-27	1.80905264e-12	1.60400991e-23	8.94322461e-10	7.876465920000001e-26	0.0	8.0675481e-19	1.39159459e-28	1.03876524e-31	0.0	7.7594645e-13	2.06247754e-30	7.40626156e-23	0.0
703.619717	0.000771366341	996819.165	1624418870000.0	27.960629276078055	3.686885111187585e-09	8.66315365e-06	0.000303972069	7.45897921e-05	0.000448292778	4.97263124e-05	8.20213068e-15	4.03968707e-07	4.7970401299999996e-17	6.28657383e-20	4.95823135e-19	1.6865540199999998e-18	5.27327421e-19	2.98757877e-19	1.13389396e-25	0.0	0.0	0.0	9.20547871e-05	0.000111916944	3.69567625e-23	2.51818838e-16	2.8864055499999997e-19	3.75975948e-24	2.06089886e-23	1.5327918e-27	1.43630059e-05	6.197810759999999e-24	1.42991687e-22	0.00241186111	1.15526885e-11	2.37011596e-10	6.32283061e-10	6.33764295e-06	5.49792636e-13	0.996475803	5.32686906e-16	1.63977813e-19	1.97259237e-18	9.09567608e-26	1.2819494500000001e-27	3.80844321e-13	2.87892858e-19	1.59363365e-11	2.2260432e-20	2.71330251e-12	8.590362280000001e-30	7.644703510000001e-31	4.8951743799999994e-24	1.2551697499999999e-28	5.64581405e-25	1.2830558e-19	1.09088142e-09	8.266876719999999e-17	2.22880428e-14	1.8202183200000003e-21	5.69042489e-23	1.4982937200000002e-25	0.0	2.3810041300000003e-15	2.35023544e-15	5.1394083e-19	8.78897656e-24	1.12401013e-20	1.3440728000000002e-23	2.8189543700000004e-26	1.43687201e-30	1.96028359e-06	1.91135972e-20	6.94423085e-09	4.94170212e-15	8.0189143e-14	1.62104609e-26	1.82383595e-12	1.6060445e-23	9.9611584e-10	0.0	0.0	8.0984191e-19	1.76296951e-28	1.0394130500000001e-31	0.0	7.76391525e-13	2.43714835e-30	7.41027439e-23	0.0
703.675745	0.00143505767	979473.396	1264819390000.0	27.97105435625258	6.86112907657048e-09	8.25047349e-06	0.000304099264	7.53417541e-05	0.000447306611	4.91399102e-05	8.48023622e-15	3.19262706e-07	5.59559782e-17	7.13434995e-20	5.00304482e-19	1.7262960699999998e-18	5.34670254e-19	2.9176953e-19	1.1934435700000002e-25	0.0	0.0	0.0	9.19930628e-05	0.000112141202	3.72680749e-23	2.95647251e-16	3.55583366e-19	3.61411574e-24	2.08260528e-23	1.59023735e-27	1.44117439e-05	6.2009997199999995e-24	1.4313117e-22	0.0016699558	1.12668789e-11	2.41856643e-10	6.40046493e-10	6.3059191e-06	5.50154941e-13	0.997218744	5.94117014e-16	1.63982915e-19	2.20446045e-18	9.08383784e-26	1.50276275e-27	3.80744526e-13	2.86438302e-19	1.63790342e-11	6.761355540000001e-20	2.71406748e-12	8.6191382e-30	7.650800290000001e-31	4.89701468e-24	1.25566899e-28	6.43423754e-25	3.05229854e-19	1.09105726e-09	1.2591832500000001e-16	2.2298788e-14	1.8179996300000003e-21	5.69252042e-23	1.47178711e-25	0.0	4.19956284e-15	2.3538973400000003e-15	6.00549681e-19	8.9764737e-24	1.12380461e-20	1.3445888000000002e-23	2.81984829e-26	1.88008075e-30	1.9589852e-06	5.11115463e-20	8.8428415e-09	7.111075380000001e-15	8.52438603e-14	3.23403043e-26	1.84799718e-12	1.60940149e-23	1.13777932e-09	0.0	0.0	8.16272892e-19	2.3176827e-28	1.04004433e-31	0.0	7.76723544e-13	2.9748131300000002e-30	7.41332123e-23	0.0
703.939403	0.00266979566	962207.852	984656306000.0	27.978493324212447	1.276312581961358e-08	7.78093817e-06	0.000304176533	7.62809564e-05	0.000446001924	4.84246922e-05	8.922868130000001e-15	2.50969032e-07	6.84679951e-17	8.39859334e-20	5.05769756e-19	1.7893231699999997e-18	5.43944156e-19	2.82819285e-19	1.28313666e-25	0.0	0.0	0.0	9.19082161e-05	0.000112349834	3.7967230900000004e-23	3.58791635e-16	4.7476136e-19	3.4403688099999995e-24	2.10946102e-23	1.70280002e-27	1.44681279e-05	6.20464029e-24	1.4335354799999999e-22	0.00114189798	1.08894422e-11	2.49759745e-10	6.49825579e-10	6.24333935e-06	5.50727854e-13	0.997748235	6.79332922e-16	1.63899124e-19	2.68817793e-18	9.06975645e-26	1.82458687e-27	3.80347073e-13	2.84176325e-19	1.69302054e-11	2.09172718e-19	2.71415656e-12	8.65479551e-30	7.66035847e-31	4.89834829e-24	1.25607248e-28	7.55565356e-25	7.63971211e-19	1.09101396e-09	2.05399016e-16	2.23101844e-14	1.8136175000000003e-21	5.69388395e-23	1.43190242e-25	0.0	7.50358825e-15	2.3609715500000003e-15	7.26606788e-19	9.291000299999999e-24	1.12283234e-20	1.34495796e-23	2.82044814e-26	2.56532183e-30	1.95648025e-06	1.44426477e-19	1.16757048e-08	1.07278053e-14	9.19931227e-14	7.10687321e-26	1.88732771e-12	1.61624117e-23	1.33907093e-09	9.83997799e-27	0.0	8.303855269999999e-19	6.63954638e-29	1.04086344e-31	0.0	7.769739e-13	3.76022879e-30	7.415676820000001e-23	0.0
