specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
CO2,1_F_earth,1_M_earth,200,6049.011630633741,2.177421226927735,6.219822071456687e-19,4.3242118462717333e-13,650555637842.9908,234176050.8383141
CO2,1_F_earth,1_M_earth,300,5915.923162759448,2.129514283991602,1.472390909188964e-14,3.158795745965653e-08,634270687174.4468,228314068.84350625
CO2,1_F_earth,1_M_earth,500,5816.480974616219,2.09371876159276,1.1655972750716422e-10,0.0002405835046701,619759038270.9971,223090410.1221254
CO2,1_F_earth,1_M_earth,1000,5903.975171467373,2.125213447516638,4.922480303352656e-06,0.1472633382890086,619468736615.9899,222985912.22653136
CO2,1_F_earth,1_M_earth,2000,6609.257521840425,2.3790890976976717,0.0098046736751509,2.461046883692293,672674079092.3547,242137874.42599228
CO2,1_F_earth,1_M_earth,3000,7751.556077058238,2.790274473672813,0.1085806934077116,5.182635062708111,765625415558.0898,275596929.4667889
CO2,1_F_earth,1_M_earth,4000,9312.522599686246,3.3521648862620363,0.3305254276008354,6.8990235149211205,893022992505.3572,321455361.4293469
CO2,1_F_earth,1_M_earth,5000,11355.249938346476,4.087471435434333,0.611929357552385,7.815908132474658,1057661439771.5836,380719134.0480726
CO2,1_F_earth,1_M_earth,6000,13986.149939982002,5.03449846386232,0.8835042558864048,8.150457247013486,1265855938755.6514,455661479.8557296
CO2,1_F_earth,1_M_earth,7000,17351.83343611019,6.246020466973774,1.1288801842876293,8.478315200431206,1526665628398.1064,549543354.9607406
CO2,1_F_earth,10_M_earth,200,27500.366332694597,88.97766684898974,1.964249306687015e-08,1.2751244711138662e-05,7896114591.587257,25547945.25396624
CO2,1_F_earth,10_M_earth,300,27733.034828353248,89.73046772598599,5.822893566249703e-06,0.003796375847516,7801204673.571037,25240863.41499188
CO2,1_F_earth,10_M_earth,500,28738.67737667237,92.98423265955088,0.0007762569975451,0.2831462744602526,7763888925.495748,25120127.997859776
CO2,1_F_earth,10_M_earth,1000,34585.0492326931,111.90021803178465,0.2521180954140082,4.864127359834203,8401568538.39428,27183345.755269136
CO2,1_F_earth,10_M_earth,2000,48624.05932748981,157.32355341547822,4.21717920189085,13.44922111704341,9776927678.01861,31633331.833371505
CO2,1_F_earth,10_M_earth,3000,70719.08598824833,228.81219823775575,8.758974134534343,16.937987833845085,11963683517.063168,38708598.76518936
