Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
CO2,1_F_earth,1_M_earth,200,650555637842.9908,6049.011630633741,318.10844781559405,339.2448273039929,2.395026619987486e-11,2.92090371703225e-13,180.0,199.26601840803738
CO2,1_F_earth,1_M_earth,300,634270687174.4468,5915.923162759448,318.10844781559405,349.5706235873586,2.395026619987486e-11,2.92090371703225e-13,180.0,295.59611044822435
CO2,1_F_earth,1_M_earth,500,619759038270.9971,5816.480974616219,318.10844781559405,370.2222161540901,2.395026619987486e-11,2.92090371703225e-13,180.0,488.25629452859823
CO2,1_F_earth,1_M_earth,1000,619468736615.9899,5903.975171467373,318.10844781559405,421.85119757091877,2.395026619987486e-11,2.92090371703225e-13,180.0,969.906754729533
CO2,1_F_earth,1_M_earth,2000,672674079092.3547,6609.257521840425,318.10844781559405,525.1091604045761,2.395026619987486e-11,2.92090371703225e-13,180.0,1933.2076751314023
CO2,1_F_earth,1_M_earth,3000,765625415558.0898,7751.556077058238,318.10844781559405,628.3671232382334,2.395026619987486e-11,2.92090371703225e-13,180.0,2896.508595533272
CO2,1_F_earth,1_M_earth,4000,893022992505.3572,9312.522599686246,318.10844781559405,731.6250860718907,2.395026619987486e-11,2.92090371703225e-13,180.0,3859.809515935141
CO2,1_F_earth,1_M_earth,5000,1057661439771.5837,11355.249938346475,318.10844781559405,834.883048905548,2.395026619987486e-11,2.92090371703225e-13,180.0,4823.1104363370105
CO2,1_F_earth,1_M_earth,6000,1265855938755.6514,13986.149939982002,318.10844781559405,938.1410117392053,2.395026619987486e-11,2.92090371703225e-13,180.0,5786.41135673888
CO2,1_F_earth,1_M_earth,7000,1526665628398.1064,17351.83343611019,318.10844781559405,1041.3989745728627,2.395026619987486e-11,2.92090371703225e-13,180.0,6749.712277140749
CO2,1_F_earth,10_M_earth,200,7896114591.587257,27500.366332694593,7523.193949183557,10176.94647096631,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,199.99989585342982
CO2,1_F_earth,10_M_earth,300,7801204673.571037,27733.034828353248,7523.193949183557,11503.819238423377,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,299.99937392460674
CO2,1_F_earth,10_M_earth,500,7763888925.4957485,28738.677376672375,7523.193949183557,14157.564773337514,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,499.99833006696053
CO2,1_F_earth,10_M_earth,1000,8401568538.39428,34585.0492326931,7523.193949183557,21395.06753867186,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,999.9976019483073
CO2,1_F_earth,10_M_earth,2000,9776927678.01861,48624.05932748981,7523.193949183557,35266.937035125615,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,1999.99467733157
CO2,1_F_earth,10_M_earth,3000,11963683517.063168,70719.08598824833,7523.193949183557,49138.80653157936,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,2999.9917527148323
CO2,1_F_earth,10_M_earth,4000,15021525994.659431,104097.61207047707,7523.193949183557,63010.67602803309,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,3999.988828098095
