Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
CO2,1_F_earth,1_M_earth,200,234176050.83831412,2.177421226927735,318.10844781559405,339.2448273039929,2.395026619987486e-11,2.92090371703225e-13,180.0,199.26601840803738
CO2,1_F_earth,1_M_earth,300,228314068.84350622,2.129514283991602,318.10844781559405,349.5706235873586,2.395026619987486e-11,2.92090371703225e-13,180.0,295.59611044822435
CO2,1_F_earth,1_M_earth,500,223090410.1221254,2.09371876159276,318.10844781559405,370.2222161540901,2.395026619987486e-11,2.92090371703225e-13,180.0,488.25629452859823
CO2,1_F_earth,1_M_earth,1000,222985912.22653136,2.125213447516638,318.10844781559405,421.85119757091877,2.395026619987486e-11,2.92090371703225e-13,180.0,969.906754729533
CO2,1_F_earth,1_M_earth,2000,242137874.42599228,2.3790890976976713,318.10844781559405,525.1091604045761,2.395026619987486e-11,2.92090371703225e-13,180.0,1933.2076751314023
CO2,1_F_earth,1_M_earth,3000,275596929.4667889,2.790274473672813,318.10844781559405,628.3671232382334,2.395026619987486e-11,2.92090371703225e-13,180.0,2896.508595533272
CO2,1_F_earth,1_M_earth,4000,321455361.4293469,3.3521648862620363,318.10844781559405,731.6250860718907,2.395026619987486e-11,2.92090371703225e-13,180.0,3859.809515935141
CO2,1_F_earth,1_M_earth,5000,380719134.0480726,4.087471435434333,318.10844781559405,834.883048905548,2.395026619987486e-11,2.92090371703225e-13,180.0,4823.1104363370105
CO2,1_F_earth,1_M_earth,6000,455661479.8557296,5.03449846386232,318.10844781559405,938.1410117392053,2.395026619987486e-11,2.92090371703225e-13,180.0,5786.41135673888
CO2,1_F_earth,1_M_earth,7000,549543354.9607406,6.246020466973774,318.10844781559405,1041.3989745728627,2.395026619987486e-11,2.92090371703225e-13,180.0,6749.712277140749
CO2,1_F_earth,10_M_earth,200,25547945.25396624,88.97766684898974,7523.193949183557,10176.94647096631,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,199.99989585342982
CO2,1_F_earth,10_M_earth,300,25240863.414991878,89.73046772598599,7523.193949183557,11503.819238423377,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,299.99937392460674
CO2,1_F_earth,10_M_earth,500,25120127.997859776,92.98423265955087,7523.193949183557,14157.564773337514,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,499.99833006696053
CO2,1_F_earth,10_M_earth,1000,27183345.755269136,111.90021803178463,7523.193949183557,21395.06753867186,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,999.9976019483073
CO2,1_F_earth,10_M_earth,2000,31633331.833371505,157.32355341547822,7523.193949183557,35266.937035125615,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,1999.99467733157
CO2,1_F_earth,10_M_earth,3000,38708598.76518936,228.81219823775578,7523.193949183557,49138.80653157936,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,2999.9917527148323
CO2,1_F_earth,10_M_earth,4000,48602273.851429194,336.80870045612664,7523.193949183557,63010.67602803309,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,3999.988828098095
CO2,1_F_earth,10_M_earth,5000,61992994.36851214,497.77869186115896,7523.193949183557,76882.54552448682,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,4999.985903481357
CO2,1_F_earth,10_M_earth,6000,83393630.16832116,794.8714501551402,7523.193949183557,94373.22446121548,1.15263764099075e-07,2.2270415488086064e-15,180.0458289360655,5999.990462244042
CO2,1_F_earth,10_M_earth,7000,108336873.45995834,1177.826267338729,7523.193949183557,108848.22914768057,1.15263764099075e-07,2.2270415488086064e-15,180.0458289360655,6999.988823441453
CO2,1000_F_earth,1_M_earth,200,5824661597.343426,64.96367933788238,950.4451380127512,972.3157481354416,7.278953843983146e-12,3.1207061265801594e-13,682.843,245.49292601099143
CO2,1000_F_earth,1_M_earth,300,5594714635.380114,62.549522748316186,950.4451380127512,981.0914018455337,7.278953843983146e-12,3.1207061265801594e-13,682.843,336.071038148686
CO2,1000_F_earth,1_M_earth,500,5318934844.607835,59.752935958677604,950.4451380127512,998.6427092657182,7.278953843983146e-12,3.1207061265801594e-13,682.843,517.2272624240751
CO2,1000_F_earth,1_M_earth,1000,5000632708.949529,56.853730450002516,950.4451380127512,1042.5209778161789,7.278953843983146e-12,3.1207061265801594e-13,682.843,970.117823112548
CO2,1000_F_earth,1_M_earth,2000,4781831326.446314,55.67172404630327,950.4451380127512,1130.2775149171007,7.278953843983146e-12,3.1207061265801594e-13,682.843,1875.8989444894937
CO2,1000_F_earth,1_M_earth,3000,4724620671.462444,56.31095760166925,950.4451380127512,1218.0340520180223,7.278953843983146e-12,3.1207061265801594e-13,682.843,2781.6800658664392
CO2,1000_F_earth,1_M_earth,4000,4733822824.431612,57.7438128605775,950.4451380127512,1305.7905891189441,7.278953843983146e-12,3.1207061265801594e-13,682.843,3687.4611872433848
CO2,1000_F_earth,1_M_earth,5000,4782554779.921073,59.690545683886995,950.4451380127512,1393.547126219866,7.278953843983146e-12,3.1207061265801594e-13,682.843,4593.242308620331
CO2,1000_F_earth,1_M_earth,6000,4859608277.451203,62.042066928820006,950.4451380127512,1481.3036633207876,7.278953843983146e-12,3.1207061265801594e-13,682.843,5499.023429997276
CO2,1000_F_earth,1_M_earth,7000,4959275223.743761,64.7488994137359,950.4451380127512,1569.0602004217092,7.278953843983146e-12,3.1207061265801594e-13,682.843,6404.804551374222
CO2,1000_F_earth,10_M_earth,200,18419805.236770045,67.48395700773915,9866.575603845236,13476.325290623103,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,199.99917547266506
CO2,1000_F_earth,10_M_earth,300,18353619.595593628,69.09318169527565,9866.575603845236,15281.184954313376,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,299.9973133858683
CO2,1000_F_earth,10_M_earth,500,18565525.459833622,73.71340902692154,9866.575603845236,18890.90428169392,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,499.9935892122749
CO2,1000_F_earth,10_M_earth,1000,20086255.55364833,90.57208856449866,9866.575603845236,27915.202600145287,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,999.9842787782911
CO2,1000_F_earth,10_M_earth,2000,26984694.723663826,156.7518459232309,9866.575603845236,47682.87281959317,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,1999.9800782854043
CO2,1000_F_earth,10_M_earth,3000,36505887.60555467,263.0606462248786,9866.575603845236,66591.0122024638,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,2999.9692763912662
CO2,1000_F_earth,10_M_earth,4000,50719766.5356412,443.9724451019405,9866.575603845236,85499.15158533442,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,3999.958474497128
CO2,1000_F_earth,10_M_earth,5000,71609189.05486746,748.4092300326371,9866.575603845236,104407.29096820505,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,4999.94767260299
CO2,1000_F_earth,10_M_earth,6000,106843267.82672133,1370.7743330886778,9866.575603845236,128472.50045063635,2.8840325561413e-08,3.331706291587889e-15,155.72025233255675,5999.963378940165
CO2,1000_F_earth,10_M_earth,7000,153669072.2596346,2299.771606962347,9866.575603845236,148240.15272689017,2.8840325561413e-08,3.331706291587889e-15,155.72025233255675,6999.9571128027765
H2,1_F_earth,1_M_earth,200,21314810.753261797,0.4134428174763079,3135.2655049646314,3291.3798977880806,1.3738237958832637e-12,1.912534135876122e-13,180.0,195.4418499635468
H2,1_F_earth,1_M_earth,300,20898166.755011413,0.41094722602024464,3135.2655049646314,3357.320163591741,1.3738237958832637e-12,1.912534135876122e-13,180.0,272.6510997812807
