Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
1734.873283	825629962.489999	0.0	243491.09301633167	30.399264566450555	1740.0861217524612	2.3882958882444774e-06	0.0092504053665336	0.4988702285933988	6.809026049546788e-07	1.2020259462042728e-10	4.2237218386051083e-19	9.066507502236623e-21	1.6898367899399736e-15	1.863714022065917e-11	1.2409941422928884e-08	4.538367031268887e-26	2.9993644645198575e-14	1.4542846861629872e-20	3.4352908126499973e-18	8.677789905361537e-15	1.6388281542927757e-18	1.2400843935903235e-16	0.0293026018221819	0.4441325024986926	4.042476826771792e-12	9.53631162148743e-08	1.159338400876376e-08	2.719000299683489e-13	2.4005146245833477e-10	4.760563590873303e-15	2.894974154241455e-09	1.3420367032961022e-11	2.291821082157641e-15	5.594519686003766e-15	2.7742597661837413e-13	1.0598623244778853e-15	1.275618776664069e-09	6.394766542760394e-09	8.362672620308147e-11	0.0002141324673472	3.635939930409887e-07	6.93227360573942e-16	1.8171983183411238e-13	2.004066218895976e-18	1.4451116160800692e-17	5.653352250802061e-12	5.8421405298745015e-15	1.993152572982822e-08	6.28247466103444e-14	1.763748170708487e-13	1.6796874915774895e-26	1.2635114067949649e-17	6.073857516012951e-14	2.889717416166066e-16	4.4825926790866895e-14	7.599003782157968e-13	5.18174636531629e-13	1.2899213767353305e-11	5.268276279293885e-10	3.5400727766686595e-22	2.6925585110152816e-16	1.0551977479756717e-17	9.579379143560924e-23	3.801194223840597e-05	3.2638395943374035e-06	0.0047689438097427	3.7543441052635313e-22	8.2245256611545e-25	1.670609913858542e-21	0.0	0.0	1.888970252592429e-07	0.000161198121139	7.729860519338362e-05	1.420849868795881e-09	0.0006359553759106	1.3287543587176509e-07	6.864078991158247e-10	1.592677001881507e-05	0.0124847769679463	5.324299814790001e-10	4.451344841012154e-18	1.506991484144767e-11	6.686084523978427e-07	9.70035287590352e-31	9.93301390089888e-30	4.017706625643546e-05	3.351854859544973e-11	1.0264218239009222e-12	1.3638347151729726e-16	5.347637945734592e-17	1.1785810487309229e-17	0.0	0.0
1367.9713531084149	434960417.0534191	1074542.0673341786	735400.9286820522	30.639310232630116	1171.7681721013944	2.1501285120714222e-08	0.0052359417672828	0.4994089966647448	1.0759524845117308e-08	3.4001774571410604e-14	8.684055008060192e-24	3.390281428560901e-26	9.606374817305793e-19	5.781043236963185e-13	1.3907241859929751e-08	2.688879048371147e-32	4.1979075101597916e-16	6.59879073253044e-25	8.15240094394099e-21	1.1720087385698545e-15	3.731959262656421e-20	7.049705669879369e-17	0.0099830778965531	0.4668354564789092	4.5205526075476736e-14	1.0566050564399708e-08	1.3114149505135343e-10	1.5141677902283939e-15	5.0202217783531596e-11	5.541991214624936e-17	1.5586098854213019e-12	5.786413545211404e-13	2.504902865892521e-18	5.774483183238721e-18	1.501130751701094e-15	3.0554487295785228e-18	5.852384835233402e-10	1.4846811986816662e-10	6.190282058558058e-12	0.0002153743958753	1.2753104011839682e-06	8.104062719430357e-18	9.74929156046033e-16	2.1769497960873494e-20	7.743406273549088e-18	6.237442905878982e-14	2.265543115893765e-16	1.677929765796604e-08	7.067835947961508e-17	7.683010734020878e-16	4.6185945941453535e-30	8.28369718205978e-19	2.273735495899746e-14	2.624062515792262e-16	5.8938078999578415e-15	3.759643210868665e-15	6.984788639958493e-15	3.261155623052056e-15	1.180187075155541e-12	2.3380222569927995e-24	1.61314303869754e-16	3.34992630391213e-19	1.0152513849206985e-23	8.026444949332882e-06	2.531605868729606e-07	0.0123097203425754	3.7053205759062987e-25	1.117868018543184e-28	2.0128014545956816e-23	2.167945910145888e-37	3.0459066135292025e-32	5.351305535327307e-09	0.0002191601891809	6.356228502150255e-06	5.704937384938879e-11	0.0009958995833421	2.771711854675881e-07	9.882270304320915e-11	1.9609627317339914e-05	0.0047302364150235	4.392747597791091e-09	1.952842219263913e-15	3.264724959970396e-13	1.8521730194938288e-06	3.5601135152345456e-35	7.486845160541383e-33	2.8401773090489813e-05	3.834298065480132e-11	1.361271103559934e-13	1.1478476988562409e-21	1.531520293236924e-20	1.2618664661489431e-22	0.0	0.0
1127.622283812033	229146921.742894	1918058.945031405	671297.4019551369	30.743561133775298	751.4403810227312	2.037336034724356e-10	0.0025250215598996	0.5000380604246641	1.5602346730656095e-10	1.0878442400378504e-17	1.0284572674425674e-28	7.798827702097051e-32	3.2092276814489263e-22	1.038148395183031e-14	8.86754714562177e-09	7.935423772602831e-39	2.8069132140547695e-18	1.4722014397381284e-29	8.372504260276801e-24	6.674682669642477e-17	3.282812203883788e-22	1.4932464840500016e-17	0.0026685337028203	0.4760186466251809	3.140453026226516e-16	7.958996813386781e-10	1.0575006765292632e-12	5.467263409780455e-18	6.287040281531267e-12	3.135291266911555e-19	1.1217948137681225e-15	1.2928375261484192e-14	1.4389830672308586e-21	3.0558939812114003e-21	3.839896176861578e-18	2.9952332893377384e-21	8.981610107215261e-11	2.121372292249116e-12	2.0405776837881801e-13	0.000215801428412	1.9031183907077973e-06	1.9669032102940412e-19	4.656052302375935e-18	4.90177786528751e-22	8.927209179472941e-19	3.95446924921728e-16	2.6704990900927682e-18	5.664529165796411e-09	5.775625948148739e-20	3.043953224151435e-18	5.986815393262731e-34	1.616215221274917e-20	2.464907311459548e-15	6.787409943895529e-17	3.534293087330807e-16	1.2835829674444261e-17	3.978489845900997e-17	1.011324821536865e-18	3.0756156408391177e-15	7.205460242058653e-21	2.1558380737307586e-17	2.4885924326807857e-21	1.7650329793654417e-25	9.0961424625844e-07	1.2541940963167136e-08	0.0161592366866382	1.1914350321076469e-28	5.12471391111649e-33	7.539943109308549e-26	6.564879689243977e-35	5.886989102833217e-28	8.760360061567624e-11	0.0001038082111212	3.593283137139752e-07	8.773490757088969e-13	0.0007531769697221	1.3864898815742128e-07	4.4037204471094695e-12	7.818093656963163e-06	0.0014971838403709	4.5917180701493076e-09	1.6809764882654837e-14	2.4943801051797468e-15	1.0600488398245455e-06	5.586252896987752e-40	1.3475196189082444e-36	8.3086703499966e-06	1.4564951117020512e-11	6.432039525505037e-15	1.0625011386794198e-26	2.5644742789979363e-24	7.163827900579995e-28	0.0	0.0
959.4554327214342	120719747.55761562	2612865.090136148	379093.745104979	30.77828152127179	465.7875325290636	2.002364164962973e-12	0.0011936037413414	0.5004517609660937	2.31085396086532e-12	3.7554765657897694e-21	2.220936880696725e-33	1.9927652609749336e-37	3.138955235667025e-24	8.203744911307947e-15	2.455369486470798e-07	4.694662879578889e-42	3.626005500392411e-17	6.513772652033167e-31	1.7397490237363384e-23	7.581699721648788e-15	5.7107498055698006e-21	6.153825959692923e-15	0.0006869779435195	0.4788155285744543	4.0215148118696265e-18	5.7941125468819636e-11	8.206131856907935e-15	5.891367700330059e-20	1.93862640412379e-12	7.78992265591965e-20	9.123057305830245e-19	1.2667321536439062e-14	1.7048684698885726e-23	1.3586775243668615e-24	7.71959842216786e-21	2.1383995994245947e-24	2.4237628964259e-11	2.5195735009321976e-14	4.686949811632584e-15	0.0002160363493889	1.9272728498654744e-06	7.644812342621641e-21	2.2259452093762036e-20	9.906424018336265e-24	5.0560737822188936e-20	2.0506188035303736e-18	5.485311173134964e-20	1.3266234326372986e-09	4.212470462329069e-23	1.3693519426110338e-20	1.7819049076570556e-31	9.937732760214971e-21	4.961315233093458e-16	5.440374512682637e-16	9.05586641988913e-16	3.819174062169297e-20	1.6235185047247033e-19	3.480930534584906e-22	8.607794775808321e-18	1.179397011878422e-24	2.2962969291577057e-16	1.5093230553966388e-21	8.374744568681273e-24	8.772732616457193e-08	5.634754524675364e-10	0.0176654601669404	3.360167682728581e-27	1.8472620289312856e-32	2.4293535388453302e-23	3.847903631559335e-34	2.1601909034686025e-25	1.2565973354297537e-12	3.637718096874073e-05	1.8621493993825183e-08	1.0593221346255752e-14	0.0004791665670452	4.722194973794021e-08	1.403599236583602e-13	2.280219211829551e-06	0.000448202136267	2.6709194423489044e-09	5.043080736708521e-14	1.4740987852576166e-17	3.862450363890414e-07	1.983337241544905e-38	8.506206223931983e-34	1.8886719542741523e-06	2.0621606116238588e-10	1.1670301953175492e-14	1.0697176924956463e-31	1.455094011702662e-26	3.495277712479535e-33	0.0	0.0
835.9378568642411	63597875.71890598	3204682.493023924	152075.5721349977	30.71824187635453	281.0961852201195	6.127185118456286e-14	0.0007161593083228	0.5072334961439472	1.3580912423141126e-13	6.016150106446243e-23	1.6543155606594584e-35	4.860439667271325e-42	4.591670321239382e-26	7.696517857162498e-16	2.607660759712425e-07	2.1029270768600719e-47	3.732447701363209e-19	7.056120596477191e-35	3.41414741821128e-26	2.6341639419980283e-16	1.1640480484165598e-22	9.639702167821284e-16	0.0070187569586857	0.4662093972907888	4.582505909386768e-18	2.295192223717729e-10	9.742189863097596e-15	1.4487811601060234e-20	1.1910624805512615e-11	9.258140802849256e-20	1.1941860543310473e-18	1.4660709087891956e-14	6.394787654442547e-24	4.071741708753805e-26	1.0889086640586717e-22	2.8761645883908616e-24	4.033804495249232e-12	4.894322157111207e-16	3.299204252139736e-16	0.0002156147681954	1.920093113493569e-06	2.6322958720093457e-21	4.15467390079767e-22	5.381694379599271e-24	2.59823438965766e-20	6.026837399311566e-20	2.6423117948086457e-21	5.1858034674418455e-09	2.5770663148542133e-24	1.2710386547895067e-20	1.2144178352613888e-32	4.185173307665573e-21	4.1999464883381487e-17	9.753608800827625e-16	3.847962315733029e-15	5.650169396642761e-22	3.361052181052631e-20	4.198612026898754e-23	2.255260451681236e-19	3.118838609835671e-26	1.0335373647408379e-17	1.1667709715617513e-23	1.165272448797119e-24	1.3941218166747644e-08	4.471519686540685e-09	0.0103491577295562	3.715011850530851e-29	1.5141172076812218e-35	9.973669016260292e-25	7.321667431049277e-28	3.072641786042863e-23	9.131527442099913e-14	2.977693222742959e-05	4.438003457125443e-08	5.5431935471051654e-17	0.0058173568035861	3.274541014027015e-09	1.4678908068750933e-14	5.199649783130082e-07	0.0024035095079608	8.448809332663869e-09	4.735164541886383e-12	1.2734064499825039e-20	1.5802882397068558e-07	6.085429828526482e-40	5.144399166466849e-37	3.835697220842944e-06	5.4055298673974696e-11	1.2079706536536634e-15	3.4516471039351893e-35	7.948801238547697e-29	3.860629488452855e-37	0.0	0.0
737.4757155735028	33504790.04296303	3722275.0693576857	39493.17243986149	30.550634639782636	166.94345340127919	1.921539688869543e-15	0.0064945589337902	0.4997366867539956	1.3424299635361192e-13	1.5970009643762151e-24	9.385603086999231e-37	2.286673816505101e-45	1.7515732752998286e-26	7.387599512149852e-17	2.577852568788648e-07	5.813345095545506e-53	2.199539392894892e-21	4.426656791621998e-39	1.1448953547254773e-29	4.2574289746311153e-19	3.59603037309532e-25	2.0599065305335202e-17	0.0175927542994248	0.4574342456273057	3.238891633596852e-17	2.610333921946964e-09	4.9351832578258694e-14	2.0116047011651121e-19	1.6535225239598595e-10	2.892672991097431e-20	8.208671234722925e-16	3.4927024291354224e-16	6.0817645294817545e-25	2.4902185800222917e-29	2.1511408723882518e-24	1.8262106230675583e-26	5.910855700051455e-14	7.88470304264115e-19	2.531697767538304e-17	0.0002144382782629	1.9144364103628625e-06	8.753011179961842e-23	1.2547633060114057e-22	3.998614490275522e-24	1.9746432623957325e-20	1.625201480717864e-22	2.0066452738113943e-22	3.469951468584849e-10	2.140761872739736e-26	9.528263331383082e-21	1.766514460568765e-34	2.671834903424813e-23	8.33894988524796e-19	2.3210264510187362e-17	3.278658237391382e-15	8.264810160235172e-25	1.2943086287738877e-22	5.1357243951869706e-24	7.222530175936333e-21	4.1947745527505415e-28	1.0986637046994144e-19	2.4591808610055779e-26	8.279386360440272e-27	3.864350758167016e-09	6.665497077423267e-08	0.009239725558501	1.3527022230683735e-31	1.1524912235937847e-38	1.176012334416341e-26	1.010324359207736e-36	2.1397064680911485e-25	1.3437971278197334e-14	4.331517164934233e-06	2.0137692791981105e-08	5.808967332087686e-19	0.0014046394733386	4.0300295477164586e-11	5.009639880634227e-16	1.6725779053440572e-08	0.0078686638092174	9.282064952076068e-10	6.332231533006307e-13	1.959656821782973e-23	9.66585570574797e-10	7.231228316075018e-41	3.6456867085961213e-40	7.671084863754787e-06	1.004453951078194e-12	1.0315648537825165e-17	2.105581278186083e-38	1.0892143975485e-29	6.114993217739427e-41	0.0	0.0
651.5251282703966	17651076.284130063	4182163.533603165	126963.51697187302	30.54210431973754	99.52426008473394	5.671458979409441e-17	0.0061048964904351	0.4992788530290709	1.4318710062142156e-14	5.242873940972791e-23	6.281365103014381e-40	8.3614243599454e-51	5.544721186655426e-29	7.307457683344598e-18	2.5737782821153293e-07	5.872814142743391e-59	6.3784749490082365e-24	1.0946100232792828e-43	7.642133081160404e-33	9.820346332420172e-22	4.578133101642715e-28	1.7027170649384392e-19	0.0188131950158484	0.4570646069703966	1.6853735597221091e-18	7.166395353366513e-10	1.3318988655132612e-14	1.8955807175808886e-20	3.311261031808226e-12	4.471672432459002e-21	5.503402685004008e-12	6.236816760523434e-18	1.6650541002579828e-27	7.41601887600559e-33	1.5241164157334432e-26	2.1474310326192894e-29	1.7664971990129686e-16	1.885915425935981e-21	1.9289876229603828e-18	0.0002143784007527	1.914237885522171e-06	4.520314807905075e-24	3.785786816303355e-24	1.3636131788790643e-24	8.667001858897223e-21	1.5937304277412212e-24	4.323169174464324e-25	1.0947029778303744e-11	7.247421153441286e-31	2.47551642122797e-21	5.3848348298881024e-37	7.195215781160675e-26	2.389477719853294e-21	2.0093699455627398e-19	4.784135620700672e-16	2.7335086240737757e-27	2.3218209727853866e-25	1.594820314152583e-23	1.3382207807329056e-21	1.353337873807438e-30	2.696371507472043e-22	1.3715252511823417e-29	1.8724088076929526e-29	1.511185890301902e-09	2.145569264124628e-09	0.0099433302737057	1.3042536376521284e-34	4.4463417912133344e-42	3.1276186017901316e-29	3.501853186271452e-41	1.4609090171524607e-28	3.385529320951957e-15	4.540396591439477e-06	2.7800277542908022e-09	4.135083617210218e-22	0.0004208064387403	1.3219588746078796e-13	1.5479490976758134e-17	2.236919387051761e-09	0.0081476815160301	7.057661988871782e-09	6.147861291125895e-10	1.2955370594415274e-27	1.0705701148841764e-10	2.6388426682934736e-43	3.0002295203842082e-43	5.522662896773315e-06	4.5099533944457465e-14	2.612826294756472e-19	1.1266650283658725e-38	1.4541852236237523e-32	2.8028478470207565e-45	0.0	0.0
570.0988848049443	9298983.625585085	4589157.120749322	171549.4317304789	30.541145021625994	59.91845224274793	1.1899745527627062e-18	0.0059146646068035	0.4992548333189297	1.4887843191493874e-15	2.4089583571376018e-21	1.4758252021068473e-43	9.479564100047453e-57	8.07007126076003e-33	6.72003834870432e-19	2.573612665205671e-07	8.107702707809542e-65	6.368398923930818e-26	4.944827884366807e-48	2.4537233994844643e-35	8.961340405471456e-24	1.5533318481953608e-30	3.683668329912943e-21	0.0192167888150383	0.4570455955957131	2.02371681578578e-20	2.7213034771522872e-11	4.597701357702536e-15	2.7065208126880893e-22	5.810346771388604e-14	7.774129997884178e-22	5.298315001087004e-10	1.363277390916718e-19	1.9917038830189078e-29	7.595680033720326e-36	1.9470843531274915e-28	1.498177488035599e-32	1.6003432953137005e-18	2.608269182288062e-23	1.278820580346155e-19	0.0002143716672664	1.9141884118460832e-06	1.1284007566638055e-25	9.469453811016936e-26	4.504347789615909e-26	2.573790160233109e-22	2.930688915214384e-26	4.755987761000092e-27	2.9549780920002454e-13	1.0432870946472023e-34	1.5457892148079832e-22	4.923820447822878e-39	5.595932855986317e-28	2.0389958170346254e-23	4.255513495595606e-21	1.525917091253142e-17	5.693950594036378e-29	2.912579358448115e-28	3.167808496082118e-22	8.175615225538503e-20	1.3261733617899252e-32	2.0836638109492114e-24	2.715399361531856e-32	1.5454572079051986e-31	6.931343535143617e-10	1.3430079603211235e-10	0.0101413989456848	4.8437049140367045e-37	1.1734554951047553e-43	2.5742669988027656e-31	2.4955707356820864e-45	2.6002053237722634e-31	1.4249258923916393e-15	7.266430787355085e-06	7.505431621130792e-10	3.011441530697937e-24	2.126453206005039e-05	1.474525382207969e-15	4.580618934203699e-19	6.416755795391412e-11	0.0081564388860603	2.26664352300196e-07	2.4484914544191755e-05	6.950097046319956e-31	5.0640716359123876e-12	5.44315335124093e-45	1.0287814021049824e-45	4.918684641356772e-07	3.1799372431539006e-16	1.266644537881021e-21	3.513171325905682e-39	1.077776428465517e-36	1.1969213531605386e-49	0.0	0.0
503.1039281479969	4898913.532351845	4945753.564653481	222233.83683300333	30.541266054292777	35.77001167914728	1.960427778934871e-21	0.0059021146124889	0.4992563232989485	1.396983315849466e-17	2.3360086451115506e-23	2.1388884982188102e-48	1.2321285945104553e-63	4.971012519199297e-37	5.4165279023119125e-21	2.573621317319629e-07	9.25163454702354e-73	9.134523514529334e-28	2.262157760434542e-53	1.0415948299032325e-38	1.1923721165828786e-25	5.3724096695114625e-34	9.027451847662492e-23	0.0192376043791065	0.457047290722829	1.4417263353465885e-23	7.598787027651342e-13	1.5462582272796852e-16	1.8751761149907088e-25	1.1524745402057585e-15	1.2614127709448545e-23	7.04696189675455e-10	3.1921499310166036e-21	4.4031636261661305e-31	1.0466060470700697e-38	2.083501715081802e-31	7.570369340127639e-37	2.0052584256314566e-20	5.824705320052811e-25	7.217719088760176e-22	0.0002143725167965	1.9141962854317863e-06	2.767520519033621e-27	1.9845334231429182e-28	9.35479024245318e-28	6.997190617847893e-24	4.510250075627309e-29	8.29866526228584e-30	7.464948913234402e-15	1.3134781788699926e-37	4.944462445918575e-24	6.156949454012128e-41	5.931403080140478e-31	2.3930979455643817e-25	1.026788931636708e-22	4.065909878564894e-19	1.1422576085662498e-30	2.825846269421837e-32	1.2795063689969689e-23	3.052929634503061e-21	1.7614612465051176e-34	2.2680625958178434e-26	3.0006003051087e-35	1.932306173495101e-33	3.012229805030848e-11	5.375988941131133e-12	0.0101545014816921	2.438239656711222e-40	4.871318020250799e-41	2.949788202002512e-33	1.9496815078020985e-50	6.1649673112971285e-34	5.720750719458748e-18	6.977601319610484e-07	4.906916659146618e-11	4.1818158494603216e-26	6.413678163511221e-07	2.3968335666734777e-17	1.2762759398667591e-20	1.0683070107445131e-13	0.0081570112774764	3.264539802989856e-08	2.722076709075857e-05	1.720270577075462e-33	2.8215488143687287e-14	1.7274840975804243e-47	7.351356217950495e-48	1.682164001210776e-08	2.8518753637215525e-18	6.074048173143513e-25	1.6646266574453685e-43	1.8890313862615702e-41	3.045249228568304e-56	0.0	0.0
462.59187299741046	2580857.732820238	5260796.5991942	287845.3633122138	30.541278446508443	20.494779909654262	1.5627014529234822e-23	0.0059017240639268	0.4992565099755893	4.095266712764565e-19	5.325533735912508e-25	4.304954150503838e-52	7.183069600789701e-69	1.6369002147562144e-40	1.4274455755631737e-22	2.573622330369057e-07	4.5109709065102777e-79	1.7753394209296546e-29	1.0280243129793551e-57	1.3283888630986242e-41	2.186687084304077e-27	6.115901048732813e-37	2.582014522559668e-24	0.019238235422383	0.4570474733435815	2.6033492151418533e-26	2.3495087945671637e-14	9.824946584787536e-18	2.3371382484567277e-28	2.7563342715268638e-17	4.741444497106008e-25	7.11978493242147e-10	8.696501966298814e-23	1.149264444662698e-32	4.2601601287657916e-41	2.8578855106703963e-30	2.0157751838466987e-40	3.3695471045142543e-22	1.878208435572552e-26	1.4515278027480073e-23	0.0002143726037708	1.9141970691514458e-06	7.644319969496993e-29	1.595380458156905e-30	3.1595612094922275e-29	2.094569340084449e-25	8.115310595341344e-28	5.46761036584485e-32	2.160955055372407e-16	8.858803765256206e-40	1.6591314991580058e-25	1.0250800240443349e-42	2.6556982207319763e-33	3.7542919490511026e-27	2.9048253066045047e-24	1.2145554827936791e-20	2.79495531385339e-32	1.2278288517110205e-35	8.067030938240086e-25	1.1147328089737488e-22	3.071821062500791e-36	3.3486115432944103e-28	2.147825985979056e-37	3.4405843156013595e-35	2.770447161921834e-12	2.4115885914896613e-13	0.0101549144030208	3.5080767050313893e-43	1.516765862459853e-38	4.5467619874715734e-35	8.24789491779036e-55	1.9390974777225848e-36	8.389296583359165e-20	1.338826810458626e-07	2.816669591355609e-12	1.83133547644177e-27	2.0979227482559e-08	5.253879216361391e-19	3.9196561982141547e-22	3.8455464894787965e-16	0.0081570320589529	7.963147211700283e-09	2.740241585890703e-05	1.925994412450401e-35	8.640718957679759e-16	2.703101418586274e-46	9.996621270342752e-50	6.107260405077559e-10	1.672800674492327e-19	3.7405701850670326e-27	7.189441854930473e-47	2.9910169930230115e-45	7.954826389339822e-58	0.0	0.0
