Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
703.965	1e-05	1179823.34	13637230100000.0	29.167287460639397	4.983505644051033e-11	0.00614514498	0.0447106914	0.360529251	0.0318177475	0.0625086042	8.1740147e-13	9.39444275e-05	2.6978675300000002e-15	1.09193564e-18	1.4987908e-18	3.10597433e-17	1.1235956900000001e-20	3.9317546000000003e-20	1.9311937199999999e-28	1.16864326e-26	1.25231086e-29	1.5518895300000001e-27	0.0285703504	0.391871691	4.85141484e-22	2.56433954e-13	5.57739663e-16	6.8129334e-25	4.01583043e-25	4.2788200100000004e-29	0.00561335853	1.94616177e-27	4.0890678100000003e-23	4.78826976e-18	1.31607113e-23	2.68071574e-20	1.37038631e-21	1.30990067e-16	3.20558017e-24	1.48991302e-22	1.08557093e-23	3.09950793e-46	3.54053796e-39	1.40523813e-51	1.36157832e-51	1.61615604e-24	1.29350525e-33	6.05423126e-22	1.95230944e-29	5.46655296e-35	6.871130039999999e-35	3.58502034e-45	3.9644431999999994e-36	3.0296942200000002e-43	4.82448825e-28	8.65010848e-29	3.5445016200000004e-20	7.09942054e-15	1.2227246e-14	2.7666502000000003e-38	4.97594604e-41	1.70483363e-38	2.66856095e-43	2.9789042e-10	3.11492962e-14	5.68967759e-14	1.04982231e-26	1.3242630300000002e-23	9.03726191e-29	1.9328012e-28	3.98330171e-29	0.0288946889	5.8880948e-11	0.0107633977	2.08612482e-06	1.7277553e-07	5.19740297e-14	1.1885248300000001e-23	6.085689349999999e-17	0.0276957162	5.05524672e-35	5.55558017e-36	8.84720621e-16	3.7941500099999997e-22	1.0348941099999999e-36	7.63142159e-37	1.87149572e-09	2.0281118e-32	5.9208204300000004e-27	0.0
703.918047	1.74793191e-05	1164121.38	10902567700000.0	29.19265225503723	8.718985288690622e-11	0.00596843051	0.0447008437	0.360950843	0.0316155831	0.0621863373	8.10277428e-13	8.76503787e-05	2.7038780400000004e-15	1.09706434e-18	1.5005359399999999e-18	3.0786983299999995e-17	1.12464129e-20	3.92744336e-20	1.92376324e-28	1.15301377e-26	1.23571662e-29	1.54459253e-27	0.028495795	0.392321205	4.84765143e-22	2.58016417e-13	6.22396534e-16	6.81960717e-25	4.0214114300000003e-25	4.2182064400000004e-29	0.00556875137	1.94687002e-27	4.09137435e-23	4.7346902699999995e-18	1.26290198e-23	2.67378919e-20	1.37180444e-21	1.31148382e-16	3.1490564599999998e-24	1.49129554e-22	1.09258442e-23	3.0948965999999998e-46	3.5456270399999996e-39	1.3949528e-51	1.37424529e-51	1.6159922099999998e-24	1.29479415e-33	6.070481279999999e-22	2.43419138e-29	5.47151382e-35	6.87820941e-35	3.58578425e-45	3.9674853799999996e-36	3.03208246e-43	4.78702284e-28	9.3462897e-29	3.54645996e-20	7.31861718e-15	1.22368156e-14	2.76834237e-38	4.98029204e-41	1.70420108e-38	2.65162625e-43	3.42794124e-10	3.12221486e-14	5.74270331e-14	1.0507754e-26	1.32153341e-23	9.04498557e-29	1.92763288e-28	4.0628313700000003e-29	0.0286826075	7.00655686e-11	0.0108102177	2.07780212e-06	1.73122097e-07	5.5210824e-14	1.18895938e-23	6.093109529999999e-17	0.0279222561	2.14317933e-34	5.5754726199999994e-36	8.84527473e-16	3.80422858e-22	1.0354027799999999e-36	7.638300800000001e-37	1.87366484e-09	2.053598e-32	5.92493044e-27	0.0
703.70963	3.05526596e-05	1148511.67	8714753700000.0	29.23657788885066	1.5267644694350117e-10	0.00562215424	0.0447220018	0.36179062	0.0312651864	0.0615559734	7.90823336e-13	7.6306869e-05	2.70872839e-15	1.10555508e-18	1.5040377199999999e-18	3.0032457299999996e-17	1.1261680100000001e-20	3.91334402e-20	1.9057605199999998e-28	1.1226556500000001e-26	1.19684702e-29	1.5302312500000001e-27	0.0283613501	0.393081298	4.83344621e-22	2.60731346e-13	7.40712177e-16	6.83465185e-25	4.031677e-25	4.1002541700000004e-29	0.00547989698	1.94756461e-27	4.0937595e-23	4.63307966e-18	1.1630801100000001e-23	2.65315144e-20	1.3740681000000001e-21	1.31440182e-16	3.04022738e-24	1.49382934e-22	1.1064039600000001e-23	3.07995699e-46	3.55744287e-39	1.3747069000000002e-51	1.39892457e-51	1.6142830799999999e-24	1.29742906e-33	6.10017535e-22	3.51056163e-29	5.47976337e-35	6.88982039e-35	3.58517745e-45	3.9730173e-36	3.03636601e-43	4.7129456e-28	1.07676694e-28	3.54847031e-20	7.760622290000001e-15	1.22531183e-14	2.7698649e-38	4.98761842e-41	1.7008229e-38	2.61764603e-43	4.29955294e-10	3.13927468e-14	5.8460686e-14	1.0524758300000001e-26	1.31293229e-23	9.05804643e-29	1.9162969299999998e-28	4.2175999800000005e-29	0.028265748	9.2182956e-11	0.0108961121	2.05176853e-06	1.7344811e-07	6.13337944e-14	1.1889385100000001e-23	6.10572641e-17	0.0283532984	1.11471181e-33	5.6033407999999996e-36	8.83067412e-16	3.82560547e-22	1.03567489e-36	7.64907404e-37	1.8768333e-09	2.1033113499999999e-32	5.9301108e-27	0.0
702.998218	5.34039687e-05	1133013.44	6964799790000.0	29.298008731656964	2.676993967211892e-10	0.00510712649	0.0447722534	0.363034275	0.0307656707	0.0606015869	7.50510509e-13	6.14203186e-05	2.6980934300000002e-15	1.1142578e-18	1.50918904e-18	2.84647928e-17	1.12730008e-20	3.87832703e-20	1.87107697e-28	1.0779140700000001e-26	1.12872519e-29	1.50873222e-27	0.0281884616	0.394124994	4.79689841e-22	2.63900198e-13	9.25383687e-16	6.863723120000001e-25	4.04645498e-25	3.9272895600000003e-29	0.00534400596	1.94777767e-27	4.09374873e-23	4.48660455e-18	1.02274156e-23	2.6069717200000002e-20	1.3763447600000002e-21	1.31859874e-16	2.88042067e-24	1.49743405e-22	1.1272016800000001e-23	3.0451859699999996e-46	3.5805703899999996e-39	1.34428327e-51	1.43608858e-51	1.60887263e-24	1.30187184e-33	6.14247377e-22	5.55685163e-29	5.49125495e-35	6.90591704e-35	3.57975924e-45	3.9809647e-36	3.04250097e-43	4.602464889999999e-28	1.30820678e-28	3.5485284800000004e-20	8.46289604e-15	1.22744376e-14	2.76938281e-38	4.99787745e-41	1.69086977e-38	2.5664107000000002e-43	5.62994189e-10	3.17395248e-14	6.00209486e-14	1.05503202e-26	1.29352563e-23	9.076342270000001e-29	1.898307e-28	4.45288506e-29	0.027641911	1.2706167e-10	0.0110169752	1.99329456e-06	1.73232302e-07	7.01104097e-14	1.1874812800000001e-23	6.125097859999999e-17	0.0289946824	6.33354934e-33	5.6396037199999995e-36	8.78591297e-16	3.8676389199999998e-22	1.0349334699999999e-36	7.66370885e-37	1.88107201e-09	2.17888143e-32	5.93392527e-27	0.0
701.390298	9.3346501e-05	1117653.98	5565337170000.0	29.37614919527925	4.702438607517849e-10	0.00443098349	0.0448510315	0.364671936	0.0301133115	0.0592916986	6.78943045e-13	4.50453601e-05	2.6452819900000003e-15	1.11732461e-18	1.5158847699999999e-18	2.5680091699999997e-17	1.12640027e-20	3.8009077900000004e-20	1.80905567e-28	1.0187692400000001e-26	1.0274083000000001e-29	1.4795649700000001e-27	0.0280064854	0.395421117	4.71651999e-22	2.66232082e-13	1.1892708100000001e-15	6.918345110000001e-25	4.06564672e-25	3.70091682e-29	0.005154487	1.94655668e-27	4.08631312e-23	4.29813631e-18	8.505011209999999e-24	2.5164782300000002e-20	1.37700753e-21	1.32404077e-16	2.67036295e-24	1.50202763e-22	1.1555682600000001e-23	2.9755888099999996e-46	3.6247413599999996e-39	1.30291385e-51	1.48711451e-51	1.59607286e-24	1.30913619e-33	6.19636679e-22	9.43809468e-29	5.506002e-35	6.926526019999999e-35	3.5628763900000003e-45	3.9913082e-36	3.05049297e-43	4.45429895e-28	1.66365383e-28	3.54254891e-20	9.508892270000001e-15	1.2295898e-14	2.76306822e-38	5.01108031e-41	1.66613383e-38	2.49674261e-43	7.4867951e-10	3.24275407e-14	6.21716416e-14	1.05866953e-26	1.2559455800000001e-23	9.099867580000001e-29	1.87246821e-28	4.7813521e-29	0.0267989575	1.77625724e-10	0.0111666311	1.88149855e-06	1.71550854e-07	8.10080383e-14	1.1828904800000001e-23	6.15361505e-17	0.0298648895	3.7224111e-32	5.684728719999999e-36	8.6749722e-16	3.9495147e-22	1.0316439799999999e-36	7.68221255e-37	1.88651367e-09	2.28442956e-32	5.93122543e-27	0.0
698.690789	0.000163163328	1102464.01	4446369300000.0	29.47050003317553	8.277801760458962e-10	0.00362621441	0.0449581251	0.366683756	0.0293066184	0.0575895315	5.69427268e-13	2.96377659e-05	2.5066064e-15	1.1041071499999999e-18	1.5239711199999998e-18	2.1416907299999997e-17	1.12045863e-20	3.6444715300000004e-20	1.70385382e-28	9.45182972e-27	8.99033698e-30	1.44174152e-27	0.0278496592	0.396934663	4.55794631e-22	2.65333067e-13	1.5218081400000001e-15	7.020390610000001e-25	4.08914268e-25	3.4236316800000003e-29	0.00490134685	1.94204653e-27	4.06171451e-23	4.07074201e-18	6.6002604499999995e-24	2.35599152e-20	1.3729007100000002e-21	1.33070137e-16	2.41295883e-24	1.50751186e-22	1.19245163e-23	2.8509890799999997e-46	3.70975631e-39	1.24952705e-51	1.55430607e-51	1.57017163e-24	1.32129608e-33	6.26008197e-22	1.70396774e-28	5.52404124e-35	6.95167395e-35	3.52257507e-45	4.0040550599999995e-36	3.06038464e-43	4.26622303e-28	2.20286476e-28	3.5224526200000004e-20	1.1052998e-14	1.23041915e-14	2.74320889e-38	5.02726544e-41	1.61017854e-38	2.40659678e-43	9.93314298e-10	3.37939871e-14	6.50197029e-14	1.0637840000000001e-26	1.1912067000000001e-23	9.12865276e-29	1.8367906e-28	5.22383e-29	0.0257193178	2.45915097e-10	0.0113336256	1.69382572e-06	1.66934186e-07	9.25356886e-14	1.17253996e-23	6.19369733e-17	0.0309933099	2.15777662e-31	5.7390818599999995e-36	8.42823964e-16	4.10939465e-22	1.02302509e-36	7.704588160000001e-37	1.89340061e-09	2.42715759e-32	5.91152461e-27	0.0
695.400147	0.000285198387	1087462.74	3551836260000.0	29.58142393863865	1.4592219106330478e-09	0.00276093293	0.0450938414	0.369035661	0.0283498374	0.0554571022	4.28043924e-13	1.72581368e-05	2.2277968500000002e-15	1.05711881e-18	1.53325104e-18	1.5912546099999997e-17	1.10422641e-20	3.3581472600000003e-20	1.53713159e-28	8.574040610000001e-27	7.62347127e-30	1.39382339e-27	0.0277450631	0.398643377	4.27559978e-22	2.57335184e-13	1.8624898e-15	7.20763673e-25	4.1168512000000003e-25	3.1001335400000003e-29	0.00457217065	1.93086209e-27	4.00244956e-23	3.80638346e-18	4.70569095e-24	2.09705165e-20	1.3582734800000002e-21	1.33858551e-16	2.11643076e-24	1.51380694e-22	1.23919061e-23	2.65035169e-46	3.87485347e-39	1.1830696e-51	1.64112631e-51	1.5234774499999998e-24	1.34246962e-33	6.33070366e-22	3.24520378e-28	5.54548237e-35	6.98141022e-35	3.43973062e-45	4.0192756799999994e-36	3.07230026e-43	4.03543141e-28	3.02095275e-28	3.4731474100000004e-20	1.33621894e-14	1.22682034e-14	2.6952214e-38	5.04654523e-41	1.49387931e-38	2.29304336e-43	1.3006122e-09	3.65134246e-14	6.87260362e-14	1.0710104400000001e-26	1.0914418e-23	9.16284486e-29	1.7883190399999998e-28	5.81129061e-29	0.0243838511	3.29436146e-10	0.0114974788	1.41752176e-06	1.57460753e-07	1.01445431e-13	1.15299334e-23	6.24437209e-17	0.0324207328	1.14552584e-30	5.8028655399999994e-36	7.92528704e-16	4.42190106e-22	1.00469868e-36	7.73090332e-37	1.90222049e-09	2.6182942299999997e-32	5.8551143600000004e-27	0.0
692.759491	0.000498507361	1072642.81	2836843290000.0	29.710568732581752	2.5715207688066854e-09	0.00192610442	0.0452609347	0.371690122	0.0272533762	0.0528412246	2.77546706e-13	8.73541948e-06	1.7761503800000002e-15	9.52662612e-19	1.54355096e-18	1.00886334e-17	1.0691573400000001e-20	2.89338935e-20	1.2975117599999999e-28	7.56223338e-27	6.3863718e-30	1.33399634e-27	0.0277023729	0.400555785	3.8259413499999997e-22	2.37330128e-13	2.09831553e-15	7.53453392e-25	4.148810830000001e-25	2.7380011800000003e-29	0.00415428461	1.90735736e-27	3.87901814e-23	3.50384885e-18	3.0372484999999997e-24	1.71983957e-20	1.3235222800000002e-21	1.34777201e-16	1.79685837e-24	1.52091438e-22	1.2976920700000001e-23	2.3616919899999998e-46	4.19647222e-39	1.10294123e-51	1.7527720700000002e-51	1.44768294e-24	1.38057172e-33	6.40399884e-22	6.45111036e-28	5.57060235e-35	7.015869999999999e-35	3.28827533e-45	4.03717552e-36	3.08653472e-43	3.75862927e-28	4.26095024e-28	3.3686786000000004e-20	1.68671822e-14	1.21289096e-14	2.59420639e-38	5.069192060000001e-41	1.27702356e-38	2.1522218e-43	1.67134014e-09	4.19046543e-14	7.35264286e-14	1.0812628500000001e-26	9.541293539999999e-24	9.2028592e-29	1.72283827e-28	6.588245240000001e-29	0.022772887	4.16555818e-10	0.0116248195	1.06499863e-06	1.41368356e-07	1.02552747e-13	1.12061574e-23	6.29168178e-17	0.0342032787	5.54106341e-30	5.8760911799999996e-36	6.99808122e-16	5.02864168e-22	9.71147386e-37	7.7614097e-37	1.91397833e-09	2.87238042e-32	5.7290260200000005e-27	0.0
691.303901	0.000871356924	1057986.62	2265454530000.0	29.860472688224974	4.527033800012989e-09	0.00120755328	0.0454659266	0.374618242	0.0260355238	0.0496536745	1.47770504e-13	3.70214686e-06	1.19469764e-15	7.7034725e-19	1.55479727e-18	5.20139542e-18	1.00283532e-20	2.2427753e-20	9.97654741e-29	6.4353748100000005e-27	5.38033497e-30	1.26032853e-27	0.0277179462	0.402707647	3.19799677e-22	2.01597696e-13	2.1264332300000003e-15	8.047511650000001e-25	4.18526001e-25	2.3485706500000002e-29	0.00363982145	1.86353174e-27	3.64389596e-23	3.15889664e-18	1.76708861e-24	1.2377117900000001e-20	1.2547312200000001e-21	1.35841162e-16	1.4792608299999999e-24	1.52893584e-22	1.37054808e-23	1.99563644e-46	4.82049506e-39	1.0098583700000001e-51	1.89696115e-51	1.33781577e-24	1.44991317e-33	6.47387605e-22	1.3190046100000001e-27	5.59985799e-35	7.055216439999999e-35	3.04142455e-45	4.05811445e-36	3.10364049e-43	3.43271522e-28	6.12739763e-28	3.17072717e-20	2.21715068e-14	1.18053106e-14	2.40543512e-38	5.09565102e-41	9.34630489e-39	1.98012447e-43	2.09201563e-09	5.24518532e-14	7.97385559e-14	1.0956370400000001e-26	7.86529564e-24	9.24939683e-29	1.6346854099999999e-28	7.6145929e-29	0.0208664437	4.85528465e-10	0.0116658387	6.84408537e-07	1.18275583e-07	9.07997043e-14	1.07209088e-23	6.288061409999999e-17	0.0364158126	2.2767429400000002e-29	5.9582544499999995e-36	5.51423472e-16	6.18015027e-22	9.17951407e-37	7.79654616e-37	1.93067649e-09	3.1943152299999996e-32	5.48823764e-27	0.0
690.273355	0.00152307257	1043493.96	1808899670000.0	30.03382145218245	7.97076603417236e-09	0.000664289612	0.0457171548	0.377800392	0.024730733	0.0457728849	6.01074626e-14	1.22706598e-06	6.25905589e-16	5.18599163e-19	1.56709692e-18	2.0793837499999997e-18	8.913340310000001e-21	1.48821569e-20	6.8713178e-29	5.2340224e-27	4.58224589e-30	1.17129416e-27	0.027785215	0.405143193	2.4562016299999997e-22	1.517014e-13	2.0082683e-15	8.697019540000001e-25	4.22672254e-25	1.94802172e-29	0.00303498848	1.79128296e-27	3.2316644600000004e-23	2.76751345e-18	9.495075410000001e-25	7.271957780000001e-21	1.1373614600000002e-21	1.37066512e-16	1.19507867e-24	1.53802536e-22	1.46077061e-23	1.59282898e-46	6.01399398e-39	9.07432657e-52	2.08480889e-51	1.19938853e-24	1.57360654e-33	6.5310364499999995e-22	2.7226713e-27	5.633789609999999e-35	7.09945753e-35	2.69297611e-45	4.08256079e-36	3.12453979e-43	3.05682806e-28	8.919617249999999e-28	2.83899765e-20	2.98960258e-14	1.12431374e-14	2.09985917e-38	5.1264615e-41	5.20307191e-39	1.77533777e-43	2.51075384e-09	7.26452176e-14	8.76957066e-14	1.11505099e-26	6.07908159e-24	9.30328929e-29	1.51727071e-28	8.959580400000001e-29	0.0186484082	5.16425334e-10	0.0115526689	3.51995433e-07	9.04034082e-08	6.63198928e-14	1.0039434e-23	6.125340449999999e-17	0.0391481539	7.81963181e-29	6.04749828e-36	3.5874295e-16	8.27925663e-22	8.460546450000001e-37	7.836800650000001e-37	1.95618232e-09	3.52598559e-32	5.09731148e-27	0.0
