Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
1957.522465	302296737.38	0.0	170219.1765120899	28.002784296920794	520.1371815505709	9.616625156301581e-08	0.0003539173066839	0.0002487738188082	1.3109126829819353e-06	2.3133291892188383e-10	9.601334025169637e-19	4.62033307612028e-19	8.498454703730314e-17	1.5791945874868578e-14	2.1453493679974814e-13	3.488389718303605e-25	2.7397697563972682e-17	1.6456038735552813e-21	6.074302076860859e-22	2.5564661661503802e-20	9.424291802910514e-25	1.6903548482496635e-24	0.0001917253648733	3.0462104050408095e-05	8.731391010315272e-17	8.513188348027255e-12	2.9537831576105806e-11	8.02649938609038e-18	1.3938700773365523e-16	7.268982534131527e-21	7.042122635538689e-11	1.269921111879771e-16	1.1199157202490049e-18	2.7704778178774595e-11	6.189584333501184e-11	2.400930754570311e-13	3.1097646925281636e-09	1.401738930281247e-07	5.639588855164105e-10	0.999171594682866	4.380061672152424e-08	2.3943337156927053e-13	7.163577260030428e-10	8.740745843052624e-17	2.672884384608505e-17	1.5743400617605464e-11	3.721276121081037e-15	6.124804133628515e-10	8.350473413008708e-14	1.5537313619672172e-10	4.056936801729724e-31	5.432076241807232e-20	1.3625823192564614e-15	3.7303441199885015e-20	2.239630948729365e-21	4.965868613785499e-14	1.0376672071883481e-12	3.9592398140413324e-14	5.887087753803664e-14	2.310719238549579e-23	3.513359650540413e-19	5.197832903684271e-19	1.8124356265872662e-26	2.833174418812757e-07	6.224073736593158e-10	1.129041559211634e-06	6.843905960525628e-27	3.754320150350564e-28	9.720741968710844e-28	7.035859108378808e-47	0.0	3.6230589702239435e-08	7.020223732498748e-08	1.5691042390183708e-07	1.6222408748575695e-11	2.5951828284398043e-08	3.3805947333426764e-12	4.8894242424534794e-09	6.632954938905412e-10	2.218275432802603e-07	1.5062513867963368e-17	4.847415390745506e-34	2.0470166814955567e-14	2.524409027260225e-12	5.03571830893378e-36	1.2158103464201546e-37	3.84887679967054e-10	6.689817219235178e-18	5.595633697341682e-18	1.165106928431808e-15	3.5876951550891156e-18	4.174761200823809e-13	0.0	0.0
1522.9917499637463	162489308.60913318	1274977.966934867	601213.7644044443	28.00282243137511	359.35113948887596	8.14342511143835e-10	0.0003658431190881	0.0002368712288457	3.47166474092218e-08	5.6207871201453e-14	2.2606480383096653e-22	1.658784690532736e-23	6.115291928064801e-19	6.4774007963312546e-15	3.328193249027955e-12	1.0506205950326835e-29	1.8684737400021917e-17	3.8394441026183135e-24	1.0309209009844186e-22	2.5505164448015813e-19	2.3087613031392432e-24	1.1164841564969024e-22	0.000178998521944	4.3177960974436985e-05	7.370818356123972e-18	4.7276883316440216e-12	1.4603755515338365e-12	3.4313329199849143e-19	2.408575932486199e-16	2.8882349233899205e-21	1.6875102518762234e-14	1.334812206127654e-16	2.8100024951264645e-20	8.502380668058032e-15	1.2053966788028246e-13	9.044258933534417e-16	1.817545239459078e-09	4.3644314200924e-10	1.7029638905544252e-11	0.9991730180159136	6.612607623520374e-08	3.3712449339076693e-15	6.774875930332908e-12	7.852120305130276e-19	1.760966208348109e-18	3.1576108012516594e-14	2.78986386630293e-16	3.4614611682406777e-10	7.928426127647156e-18	3.8241119475775445e-13	1.472830823088406e-31	1.1497951761859303e-20	1.1333830593185347e-15	1.2387387555708686e-19	1.1555430650513298e-20	2.4918500454167057e-17	8.731492736761138e-15	6.136255039929339e-18	9.373990360669626e-17	6.915390273662956e-24	2.0985998192438143e-18	1.4861216029925708e-19	9.992018612144604e-26	3.4001714607572886e-08	1.5459568148164252e-11	1.8859294841048208e-06	2.3355371745111768e-27	1.521190191813958e-29	4.5854200547376735e-27	1.2974333088412897e-33	2.9292568924126144e-30	4.926847069301512e-10	1.4273393764134218e-08	3.1266775412552292e-09	1.4624503142750386e-12	3.884121332618233e-08	4.811912862725048e-12	6.16424996431231e-11	1.6166844612371478e-10	9.928889080941471e-09	2.4804050260782183e-18	6.786883114947615e-35	1.3601096487198665e-15	3.9013197245032623e-13	3.6170511932993612e-37	4.400716117652196e-37	2.258183424195388e-11	4.147057054794337e-17	3.434836139513224e-18	1.0300959259634764e-20	1.357368540572861e-20	1.6572321105598309e-18	0.0	0.0
1205.006469160461	87340590.04773432	2270946.616730065	748409.036804999	28.002824122972154	244.1285410248744	2.5761626151102388e-12	0.000386310037938	0.0002163616116108	4.5667328890088367e-10	2.523249503683401e-18	9.224643963919558e-27	6.684996923342894e-29	1.4605584563542193e-21	2.027291111119403e-15	8.798672003966425e-11	2.7060461095261844e-35	8.611600486303503e-18	1.934976184055905e-27	9.58919952565962e-24	3.2963264547064222e-18	6.0436871542404104e-24	1.6099121412585332e-20	0.0001584712727441	6.371047140746414e-05	4.658200882411624e-19	2.638902481102337e-12	4.2505966208104436e-14	1.0222635998492703e-20	5.721222159506907e-16	1.026990317585237e-21	7.591699847460502e-19	1.363184249348426e-16	3.1423908735932986e-22	3.3182089910529207e-19	4.401252901219513e-17	6.877483447178268e-19	6.095594071506473e-10	2.5435201319406125e-13	1.5155597678774504e-13	0.9991730787636218	6.585764190573458e-08	2.59280415579542e-17	2.8648021134156714e-14	3.644437370254881e-21	2.6912387749797608e-20	1.19959135516563e-17	8.72414457432576e-18	1.0518282940405492e-10	7.030938452297418e-23	3.111927595975826e-16	9.975178732205762e-30	1.0591461844684765e-21	6.702626064411356e-16	3.204549073965023e-19	9.128135214714264e-20	1.7985884497470367e-21	1.7501291247441643e-17	1.7278972062333617e-22	4.3239931671917996e-20	7.5739988946921335e-25	1.10355582455776e-17	1.9474970137573967e-20	3.928165089390317e-25	1.4417385628144506e-09	1.0378453633964981e-13	1.963564732694989e-06	5.517141479263365e-28	2.556375664861618e-31	2.5769390173252606e-26	8.045376188978049e-29	2.9614089767908725e-23	1.498959987640367e-12	5.939794369080777e-10	1.5046448365647726e-11	4.548614237692413e-14	3.4964455761250715e-08	2.3019960796990065e-12	1.0408544692001327e-13	8.964075878327255e-12	1.26734727511808e-10	2.5759582988544254e-20	7.375017735029173e-38	3.145990180272472e-17	6.4872807167198105e-15	3.807304706901505e-36	6.401703116731277e-33	2.245749970921938e-13	2.007214485236646e-16	1.0085276539546581e-18	8.997450188597733e-27	1.494302936560151e-23	4.052124195360564e-25	0.0	0.0
963.050614242706	46946957.527134165	3061450.90044837	666338.2954942883	28.002824114793103	164.1913040793541	5.64572203701052e-15	0.0004043515576826	0.0001983230336269	5.5146449253371375e-12	1.917646712245704e-21	1.286022722243687e-32	6.779782125004115e-36	1.1705676541929255e-25	2.0805115944140157e-17	8.817828304812007e-11	4.896356571017013e-43	6.789741293206456e-20	9.422426609111394e-33	2.473656505308669e-26	1.318374933600796e-18	8.555028973629326e-25	1.3095786081965412e-19	0.0001404317043262	8.174917196779075e-05	1.448094232393461e-20	4.659533460728839e-13	1.5053274509511249e-15	1.3445380481398973e-22	7.263483389160864e-16	1.5373008178343968e-23	6.398061252370557e-22	2.9592788854590397e-18	8.273642975442783e-26	9.66604352962508e-21	2.3764798220816428e-17	8.028973868265838e-22	5.69749189173947e-10	1.0778189834125961e-13	1.0970434618560013e-15	0.9991730790380152	6.351684978580073e-08	1.392942702937153e-19	9.674735269770733e-17	2.4546419384291057e-23	9.445263503009298e-22	7.348472248897638e-18	1.1306468263672781e-18	2.188827224437572e-11	1.2234712492182528e-24	2.4063797803838173e-14	5.460047179509796e-29	1.409795904233644e-23	1.406354261847131e-15	1.0828779932813877e-19	8.35093110232518e-21	1.6242151344996245e-22	2.376177058743636e-20	4.97934481784979e-26	2.407103191611986e-23	7.702855370271999e-22	5.769195240799872e-18	2.4163906492490946e-22	1.389215529749547e-25	6.699756037337513e-11	1.9972002333094947e-14	1.9651365361574537e-06	7.390978644910563e-27	5.438110214778965e-32	8.727331825787318e-24	1.4756742648570231e-30	1.1561449126406406e-22	6.623081894577471e-15	3.1824461798648364e-11	7.989283288727024e-13	8.392191643167533e-16	3.5957530117281035e-08	1.2921417904755856e-12	4.170853200226032e-11	6.365596411170993e-13	5.417772159965715e-11	7.522795995156192e-22	1.4689848427527514e-39	8.523973779927465e-19	1.2702379457627783e-16	5.2695966879303924e-36	5.626792951720739e-35	6.265491110887745e-14	7.998991369097857e-17	1.238175173717242e-20	5.922777571969487e-32	4.039907272264112e-28	5.255571548225451e-29	0.0	0.0
775.4497472732588	25234737.020324413	3694805.945571405	537461.0943419193	28.002823898748307	109.60665737952294	5.8171817502629495e-16	0.0004076561533562	0.0001951921712321	4.034498757619723e-12	1.3149176526525977e-20	8.42707348800716e-35	1.34895738370379e-38	1.6661261313328215e-26	1.267937978684358e-17	8.814521290347731e-11	1.1638872182643756e-43	2.9885050434577016e-20	1.2703317689069166e-32	7.938709943302761e-26	4.005273751226736e-18	1.2064907186436355e-22	1.6233629805058952e-17	0.000137140172942	8.487998390672181e-05	3.9496897472473804e-20	6.277623617678916e-14	4.9639387956273465e-15	1.3543051189835804e-22	1.0814035335104302e-15	2.0004704815846754e-23	4.692698600575529e-19	3.86084775195719e-20	3.9288074864114684e-28	4.829626806621564e-21	7.820026688201333e-17	3.684034488216353e-23	5.674868635413548e-10	7.766201958480509e-15	4.276592781550585e-16	0.9991730727882436	5.8459679560818055e-08	2.0892851586198457e-19	1.659204554216695e-17	1.2602320650529012e-20	3.821167444302341e-19	3.344934827114685e-17	1.6815425354277302e-17	2.750875733790566e-12	4.315887485395622e-25	5.828248822221139e-11	8.954371815366209e-27	5.433485800116306e-21	4.042495044065923e-15	1.5005861779292288e-17	6.444298551626425e-22	2.5744548597440413e-22	1.5335882097934636e-21	6.917912979814309e-25	8.940217873843924e-23	6.558975211550757e-19	3.2954788358820633e-18	1.7289227736545613e-22	1.6437723339380332e-24	2.331146930707569e-10	4.614793772631816e-12	1.7989345219301292e-06	3.776999411798351e-24	1.2816679812956188e-33	1.7405156061884204e-21	3.350316848406777e-31	1.1019783478855164e-22	2.073676840242265e-13	1.7572141359628942e-09	2.3651639389031614e-13	3.2018206834545125e-18	1.966956094433479e-07	1.4014685484081293e-12	1.8593080984622703e-09	1.6843637106910195e-11	4.673602658823057e-11	4.4375383465189035e-17	3.13259147329519e-28	4.653071867741825e-21	1.1599316032496496e-14	2.6484795058088743e-32	5.482301260172247e-36	3.7746715010276625e-14	1.929712991042754e-16	5.901814184900259e-20	1.3408595475908397e-33	2.3002991509514007e-29	1.3877561515148236e-30	0.0	0.0
625.5942530502275	13564072.860672235	4205803.394132871	424452.275575868	28.00282324075095	73.02795888536872	2.155685835332347e-17	0.0004115122686211	0.0001927594176895	1.6885409119277648e-12	5.664009479865081e-23	1.7222192437782335e-36	1.176910162244931e-40	6.333206085836265e-28	4.222576023001997e-18	8.806039682895065e-11	3.375083407711259e-45	8.502646483188438e-20	5.1950570911405825e-33	3.81864387489757e-25	8.362665135510612e-20	1.4583679387480076e-22	2.725477917800194e-17	0.0001333278011975	8.731233088076453e-05	1.2105931106969802e-19	4.04269890020619e-15	1.4523081117787616e-14	7.297672505701997e-23	2.9251272961989837e-15	2.025598065392768e-23	5.746168421862055e-21	4.920934723047026e-22	4.352956039738722e-31	2.6318069060303417e-21	1.1187993814528235e-16	4.554389281042521e-25	5.65772333844748e-10	2.2859404011210823e-15	7.886211261921608e-17	0.9991730512594148	5.0717976057032426e-08	1.5852849738120366e-17	1.2766598353761136e-18	3.97768236359637e-18	1.9699055931351186e-17	7.382032692669195e-17	3.091818841466503e-16	1.174501811418976e-13	6.152106889688437e-27	4.666407402054399e-10	7.126044608281932e-25	7.652305802872411e-20	1.4434062410891855e-14	1.0813331815752968e-16	1.9981362576812692e-23	6.152628792339419e-24	4.308816537869662e-23	1.4128536998762062e-26	1.69599260190899e-21	2.5508682723758624e-17	2.6478673858079093e-18	7.216245397476127e-23	5.15548606357052e-23	1.5850016809036384e-10	1.6003820948007648e-11	3.871985976738979e-07	3.1684376079513263e-23	1.3052242513651623e-37	2.5494354339964966e-20	3.101907659086292e-32	9.847622666129662e-23	1.579170388043144e-12	1.6104239287113335e-08	4.68639100471221e-14	6.1678664326380026e-21	1.5767174552731374e-06	1.3271545252424357e-12	4.711769068886749e-09	1.3330633718338594e-10	3.6885381332079874e-11	1.7095424920093446e-13	9.598279062140733e-19	5.7185133899537056e-24	1.9833670146369825e-12	9.343904429753819e-29	4.681036825541602e-33	3.7175034784604303e-14	1.452911316700339e-16	9.995096034396261e-20	5.1286234608721204e-39	2.6690048682014406e-31	5.213991476155464e-33	0.0	0.0
503.9037586305212	7290905.089339404	4618714.5950477375	332782.4752141998	28.002823266854257	48.733280411232194	9.436042834713374e-19	0.0004155961068924	0.0001890737178863	1.6137542044347552e-12	2.5056770260973447e-22	7.492601189985408e-34	5.828999702189513e-41	5.551516754869338e-29	3.0912206743877293e-18	8.792622230820688e-11	1.8033308983774416e-41	1.3357309923963524e-20	1.2626614871102055e-34	3.2910103724772367e-25	2.827617609393309e-21	2.1175405425924803e-22	2.6411622094273085e-17	0.0001292370270619	9.09973750828126e-05	1.252552963098502e-18	2.5296366350494734e-15	1.6861514464234327e-13	1.9063168327394783e-21	1.3028588399514558e-14	7.068612488003902e-23	6.768611351767782e-19	1.7630415356739598e-23	1.583342781705116e-33	1.4107804868393449e-21	5.249026150071901e-17	5.35148596319146e-27	5.631283045241287e-10	4.223047798137941e-15	2.2897453683967057e-17	0.999173055135388	3.884304714809261e-08	4.506177323009447e-15	1.6089912278861263e-19	8.214324075844233e-16	2.377244852884704e-15	6.619751693169636e-17	2.5173475819852796e-14	5.328673472777861e-15	5.2135881886741635e-28	1.139058656028861e-09	2.3337947935378174e-23	7.696044352828875e-19	3.2845806434135764e-14	7.137710046497065e-16	9.630348470927861e-25	2.956028473298781e-25	2.7018818048792238e-24	9.024246983445085e-23	5.348793831353861e-19	7.65459464877082e-17	2.523189916083436e-18	1.7003222838381505e-23	1.4191677310368162e-22	2.6943318319015492e-11	2.667399214175162e-11	7.062004256292675e-09	2.0213067537349404e-24	6.442041440488362e-35	6.925594992786005e-20	6.375875906635619e-33	8.045372983610619e-23	1.1505823880583e-11	1.2744084990862567e-09	6.591274961399138e-14	8.223968247700077e-21	1.982446597871392e-06	1.1759339777606189e-12	9.085487918660321e-09	4.3831654503100765e-11	2.312523135900625e-11	1.5462037141623125e-13	2.590873479841148e-13	4.109707271231923e-23	3.862807934659842e-13	1.061869157403994e-24	5.444652000460248e-33	3.3214457678328003e-14	1.6610479692644628e-16	7.181490041348216e-20	3.4792541576043976e-42	1.0136574363791736e-32	4.301579288325805e-36	0.0	0.0
404.8218115155976	3918977.549573613	4951738.793065135	257448.73184677365	28.00282162356572	32.606234335871314	1.6582220196274812e-17	0.0004212979495455	0.0001834062278131	4.619790732775151e-12	1.1484452389163263e-17	2.4092108157858378e-29	7.104078794360873e-36	5.286097474502922e-25	1.1606195282804969e-17	8.770461124859833e-11	2.2154840302384367e-37	8.638700543099502e-22	4.8280608222578895e-33	3.70565266476704e-25	4.076559232602017e-22	1.700618334160841e-22	2.5093393229134426e-17	0.0001238704581356	9.666383507996966e-05	2.4872936294703442e-18	3.379000822988611e-13	3.729232205769637e-12	2.121826684835357e-17	4.011968095487698e-14	2.1836897602380002e-21	2.378644385269857e-16	1.031183511689445e-24	4.638108987698615e-31	3.1483394382624923e-19	4.095521428011377e-15	6.998916193517055e-24	5.59161751713172e-10	1.0607213103156108e-12	1.944189483412083e-13	0.9991730010262062	2.0580359700909293e-08	3.418902874737064e-13	3.910562324496394e-20	8.778053461577005e-14	2.409411055195194e-13	4.693743924113684e-13	1.52718481190957e-14	4.478704360238141e-13	7.604029825719736e-22	2.1763617588521116e-09	4.329684416352892e-25	1.173687058806979e-18	8.661611321864234e-15	3.330326699956236e-15	1.6910410966108492e-25	8.220354622339404e-22	3.7264106161000483e-20	3.1886139056932e-18	1.9188723766982208e-17	1.5560462419988186e-16	2.489404458831585e-18	2.1366399653124354e-24	2.0992107489067977e-22	1.1491133056258433e-11	3.998543788521396e-11	2.0921140558980568e-10	4.8557416202280125e-26	2.527105070743508e-31	1.3704381217469417e-19	2.114697852968384e-28	5.380074651999772e-23	1.8439822961943799e-10	6.014956015484665e-10	1.3768725498998617e-12	6.7130167100746945e-19	1.6825360572392534e-06	9.43110099959353e-13	1.5809222187375792e-08	2.5590921846702625e-11	2.8893579693942097e-12	1.041387580140268e-11	3.7653504352038594e-08	1.5820119352119578e-20	1.4227058059636005e-12	8.851779509115484e-23	5.4568769344262544e-33	2.71234326478426e-14	1.069797558437754e-16	2.9689368916531165e-19	2.5235973417146908e-42	1.0063510116523624e-28	7.486211743741804e-35	0.0	0.0
324.61117956915865	2106512.819172297	5219561.234260226	313234.5901791343	28.002818588101864	21.857090994216264	1.3242503752745296e-15	0.0004301141292504	0.0001746208332406	5.973656862043019e-12	9.173899741635537e-16	1.5290840792743129e-27	6.674811622050018e-34	1.8026441693376402e-23	4.2109553052408025e-19	8.669614527984947e-11	6.378341893929536e-38	8.38950263467899e-23	6.322646757431274e-32	6.988551776634582e-26	7.06804222229258e-23	2.307653661145869e-23	2.3877141070015054e-17	0.0001157730653145	0.0001054461551709	1.2123066007336654e-19	1.716922647061949e-13	1.9334364659451518e-12	3.726403008054852e-18	1.3742583554191261e-14	1.236910961941657e-21	1.906186941865585e-16	2.448921441351882e-25	6.911771372184797e-31	4.0546553360579713e-19	3.2971718698311344e-15	4.864125119406829e-24	5.529640190643016e-10	7.940178610532197e-10	8.514158042182106e-14	0.9991728996582776	9.915957721866236e-11	1.299778586608124e-13	4.484964866446607e-21	1.8740645110774333e-14	6.273052564934899e-15	6.816490922658936e-10	1.7948893568657026e-15	1.0184414240108846e-14	1.68571179169515e-17	3.782748589355121e-09	2.460326423977907e-27	1.8908972884667977e-19	2.4964281186782116e-15	3.0128767501304184e-15	1.4753040659316908e-27	2.6207144628034245e-17	1.4857553294730052e-19	4.966371606870303e-19	4.72384803186832e-16	2.7824962311517893e-16	2.4776676108587798e-18	3.2151382012211926e-25	2.1653788643910763e-22	9.600729533948858e-13	5.9887570503246295e-12	1.0727084239188373e-12	7.533343764248019e-27	2.1184714172710045e-29	2.4223077505059203e-19	4.0614501738042003e-26	3.689654337516309e-23	2.159296249520558e-09	3.2870303202989726e-10	2.2140899065600135e-12	2.7269338727207574e-17	9.97583459385839e-07	5.821504559519194e-13	1.7089854419896476e-08	9.63564073041545e-13	1.619973862680637e-14	4.417409709284247e-12	1.2297511420982466e-07	1.605318882787433e-18	4.940290934569118e-13	1.9066116660745369e-22	5.4570997506328026e-33	1.7686010554733508e-14	1.0945208380068774e-19	1.1121420936101867e-20	1.8609130065614483e-46	4.060793537828967e-27	3.5479155348448966e-35	0.0	0.0
273.450160398567	1132284.1739218486	5434498.736562364	402409.0159822084	28.002816362518864	13.94661932477832	1.6155104658509414e-14	0.0004389750355165	0.0001657587945519	1.2826106669987554e-11	9.041132221851056e-14	1.3393461248588075e-26	1.9965940672567024e-33	9.08652058435835e-23	3.0108807134228857e-19	8.565981870280923e-11	4.2406869253255135e-39	1.6138507161177518e-23	2.08041266028263e-31	7.640645958773221e-27	8.115985794321212e-23	2.0070637130626705e-23	2.2694239662261446e-17	0.0001074395464521	0.0001142959871076	2.5108688370912104e-20	1.4251345711949069e-13	1.0714395559987613e-12	2.3704289810408663e-19	2.7548669201761817e-15	9.889271031589277e-21	1.3599855913954428e-16	2.429596803910084e-25	1.6395187618180997e-30	8.154318635428344e-19	1.7737428541831234e-17	3.1411111345089123e-23	5.46588301946498e-10	8.995349651147536e-09	1.0918404485563645e-16	0.9991728210248012	1.3776932217824209e-13	1.5228976339323422e-14	4.2533425090415275e-22	1.5510092977228852e-16	3.2761075782153674e-18	3.6546898528287905e-09	1.9869179569795746e-16	1.3631638365366026e-16	8.550823474515912e-15	4.774589806677271e-09	3.5762966361448586e-29	3.071312756762633e-20	7.899427380323833e-16	2.8108358752493058e-15	6.825013761770405e-26	1.9430754103480964e-15	1.2231429533303724e-19	3.477995379256257e-20	2.596321213063983e-15	4.040680790791987e-16	2.467699306068209e-18	4.6597524873603675e-25	2.1475394419022715e-22	9.031848310156997e-14	1.5606791287144311e-13	1.571964414355613e-14	5.283745091237545e-27	0.0	3.5008775185804215e-19	3.361346444848861e-25	8.043009850240983e-24	2.0828383618709604e-08	5.639554554707428e-10	2.176104286876545e-11	1.275498137547785e-16	4.81248402485006e-07	2.214059578560919e-13	1.8405846131571595e-09	1.84809454251156e-13	1.620683555633867e-13	8.641241080913206e-12	1.8702703849994617e-07	7.582788927431787e-18	7.671660416668824e-13	2.9504387839694414e-22	5.4572772029074676e-33	8.203924687089688e-15	1.0800618543582796e-21	4.49488295724021e-21	3.724191617917118e-50	3.5477973751414114e-26	2.3476806456823982e-38	0.0	0.0
