Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
791.482	1e-05	2414977.74	22340906500.0	9.996430598036044	1.5191263346879276e-11	5.182842120000001e-15	1.05564473e-10	0.0	0.309016948	0.0116771178	4.16566922e-14	0.00879731388	8.78202098e-20	0.0	0.0	3.44128716e-16	0.0	0.0	0.0	0.0	0.0	0.0	8.13327721e-14	6.05938153e-22	0.0	0.0	0.0	1.15342408e-30	4.35284859e-30	0.0	1.6596080100000001e-15	0.0	0.0	0.67047315	1.05192263e-13	2.12541722e-14	0.0	1.2974418e-14	0.0	1.97226461e-11	0.0	0.0	0.0	5.6094443000000005e-21	0.0	0.0	2.85212778e-19	7.89311273e-28	2.12395683e-25	3.69831077e-19	0.0	6.349533429999999e-36	0.0	7.20149062e-34	0.0	0.0	1.5404362000000001e-15	0.0	0.0	0.0	0.0	0.0	9.18151223e-22	2.06473665e-21	4.05068766e-31	7.27585488e-32	0.0	0.0	0.0	0.0	0.0	3.54703551e-05	2.41794259e-24	1.53088814e-19	2.48630961e-20	1.4988095e-32	3.80534495e-37	1.5851846e-17	0.0	3.35945716e-33	0.0	0.0	0.0	8.448772830000001e-29	0.0	5.96436368e-29	4.6305536e-45	0.0	0.0	0.0
791.486785	1.86011996e-05	2344475.2	17419698800.0	10.91236958408476	3.0846531052856e-11	7.0663085100000005e-15	1.24293977e-10	7.155224e-18	0.238730098	0.0132681991	6.25028779e-14	0.00937978281	0.0	0.0	0.0	5.66723195e-16	0.0	0.0	0.0	0.0	0.0	0.0	2.28741588e-13	2.7889932800000002e-21	0.0	0.0	0.0	0.0	0.0	0.0	3.5940960200000005e-15	0.0	0.0	0.738571308	1.59790411e-13	3.18948718e-14	0.0	2.09001648e-14	1.68878472e-19	5.35165559e-11	1.30806321e-30	0.0	0.0	6.411205920000001e-20	0.0	1.0533222e-20	0.0	2.79722572e-27	1.3864721400000002e-21	6.03543516e-19	0.0	0.0	0.0	0.0	0.0	7.03286881e-40	2.5253196300000002e-15	0.0	0.0	0.0	0.0	0.0	2.03898722e-21	6.6718162000000004e-21	1.52122367e-30	1.6298126400000002e-30	0.0	0.0	0.0	0.0	0.0	5.06110604e-05	1.75381904e-23	5.66641342e-19	4.84083841e-20	1.7452903800000001e-31	3.60255251e-36	3.12240877e-17	2.05033046e-28	4.4860422699999997e-32	5.29202989e-27	2.8814664499999997e-24	0.0	3.73838453e-27	0.0	1.13346756e-28	1.44486989e-44	0.0	0.0	0.0
791.504384	3.46004626e-05	2278754.54	13579632700.0	11.529244657065428	6.062048625447426e-11	1.10652839e-14	1.890445e-10	0.0	0.191412519	0.0144010921	9.54318939e-14	0.00973383237	0.0	1.29030745e-19	5.50777939e-20	9.54904738e-16	0.0	0.0	0.0	1.46915219e-20	0.0	0.0	6.80423233e-13	1.2924294e-20	3.67054683e-19	4.1773578400000005e-21	1.56292123e-22	2.75242815e-30	1.9817798600000001e-29	5.134996190000001e-21	7.92625196e-15	0.0	2.2536577e-23	0.784388444	2.46723539e-13	4.87175785e-14	9.69154002e-19	3.52617223e-14	0.0	1.55068541e-10	0.0	0.0	0.0	0.0	0.0	0.0	2.47290673e-19	1.0782918600000001e-26	0.0	8.33882684e-19	0.0	0.0	0.0	0.0	4.83286357e-20	0.0	3.5021847800000004e-15	0.0	0.0	0.0	0.0	0.0	4.17110046e-21	2.11130651e-20	6.768414540000001e-30	3.90527553e-30	1.49330833e-27	2.65270082e-19	0.0	0.0	0.0	6.41124263e-05	9.43884576e-23	2.11034455e-18	8.83845712e-20	1.89381554e-30	2.84639066e-35	5.75478317e-17	1.22611978e-28	5.82904979e-31	1.59879457e-26	0.0	0.0	1.60500446e-26	0.0	1.72169965e-28	3.12982937e-44	1.49201242e-46	8.736401449999999e-46	0.0
791.575899	6.4361011e-05	2216232.82	10583925200.0	11.944152578553618	1.168088147134425e-10	1.87666524e-14	3.28778634e-10	3.1503122599999998e-18	0.159598359	0.0151978479	1.49842424e-13	0.00995071041	0.0	0.0	0.0	1.6455179600000001e-15	0.0	0.0	1.17583602e-23	3.7739142800000004e-20	3.6246558200000003e-20	0.0	2.03186982e-12	5.753152110000001e-20	0.0	0.0	0.0	0.0	0.0	0.0	1.70498726e-14	0.0	0.0	0.815177817	3.90835243e-13	7.65322065e-14	0.0	6.13402845e-14	0.0	4.52892047e-10	8.09834662e-29	0.0	0.0	0.0	0.0	0.0	0.0	4.2519650700000003e-26	0.0	1.45998717e-18	0.0	0.0	0.0	0.0	0.0	0.0	4.36961026e-15	0.0	0.0	0.0	0.0	0.0	9.04925761e-21	6.270053010000001e-20	3.32008075e-29	0.0	0.0	0.0	0.0	0.0	0.0	7.52654064e-05	4.35587713e-22	7.62891827e-18	1.57387927e-19	1.82463959e-29	2.03486661e-34	1.03085265e-16	0.0	7.04516984e-30	3.748714e-27	0.0	0.0	2.1274842600000002e-27	0.0	2.2775478e-28	6.02942893e-44	0.0	0.0	0.0
791.806836	0.000119719201	2155984.93	8247441450.0	12.223697508189616	2.222988094749471e-10	3.39173893e-14	6.23892806e-10	6.3106877299999995e-18	0.138169918	0.0157538229	2.42441844e-13	0.0100852628	0.0	0.0	0.0	2.8891304700000004e-15	0.0	0.0	0.0	0.0	0.0	0.0	6.14776871e-12	2.49840748e-19	1.45805579e-19	1.1228374600000001e-20	0.0	0.0	0.0	0.0	3.59815125e-14	1.70172906e-22	0.0	0.835906997	6.37214851e-13	1.23893281e-13	6.76848928e-18	1.09790689e-13	0.0	1.34422275e-09	9.40737808e-27	0.0	0.0	0.0	0.0	0.0	3.62725658e-19	1.697797e-25	1.0188878400000002e-21	2.54792806e-18	0.0	0.0	0.0	0.0	0.0	0.0	5.0836677400000004e-15	0.0	0.0	0.0	0.0	0.0	2.3938136300000002e-20	1.73030179e-19	1.71621161e-28	0.0	0.0	0.0	0.0	0.0	0.0	8.39975266e-05	1.8572679000000003e-21	2.6421015199999996e-17	2.79029478e-19	1.58119229e-28	1.37519314e-33	1.83163825e-16	0.0	7.77127996e-29	0.0	0.0	1.7284399e-27	0.0	0.0	2.7525084e-28	1.27155774e-43	1.07230953e-45	1.39886224e-45	0.0
792.421724	0.000222692075	2097428.22	6425529410.0	12.412743225274518	4.1957165435153187e-10	6.49975451e-14	1.26589442e-09	0.0	0.123682136	0.0161400776	4.02450612e-13	0.0101700978	3.9215360200000004e-23	0.0	0.0	5.13962509e-15	0.0	0.0	1.08081572e-23	0.0	0.0	0.0	1.89367516e-11	1.05778216e-18	0.0	0.0	0.0	0.0	0.0	0.0	7.56525209e-14	4.2639768600000004e-23	0.0	0.8499171	1.06651905e-12	2.05766561e-13	0.0	2.02122412e-13	0.0	4.07498776e-09	1.35080693e-24	0.0	0.0	0.0	0.0	0.0	0.0	6.86263952e-25	1.6695303199999999e-22	1.44717293e-18	0.0	0.0	0.0	0.0	0.0	0.0	5.642016180000001e-15	8.83294409e-22	7.10846887e-19	0.0	7.24691769e-33	2.96522026e-22	1.8201056000000002e-20	4.46723676e-19	8.98285788e-28	0.0	0.0	0.0	0.0	0.0	0.0	9.05831596e-05	7.39433694e-21	8.664218479999999e-17	4.97198472e-19	1.2454304800000001e-27	8.98004541e-33	3.2568766e-16	0.0	7.62277721e-28	6.097022e-27	0.0	2.17623179e-26	2.0436199100000001e-29	0.0	3.13085266e-28	3.55665035e-43	0.0	0.0	0.0
793.705541	0.000414233973	2040166.5	5005168450.0	12.541206111878415	7.872552895363523e-10	1.3113202e-13	2.69474918e-09	2.19349143e-18	0.113839038	0.0164079337	6.80191351e-13	0.0102245308	2.99500769e-22	7.59758616e-23	2.50706757e-21	9.212102690000001e-15	0.0	0.0	4.110168e-23	2.21523888e-21	1.3992103e-22	0.0	5.94640991e-11	4.31860994e-18	0.0	4.85207317e-23	4.23917925e-23	0.0	0.0	7.03309646e-22	1.60252985e-13	2.8042434e-22	0.0	0.859433058	1.82231539e-12	3.47935836e-13	1.20669729e-18	3.82119312e-13	0.0	1.26413389e-08	1.35891915e-20	0.0	0.0	0.0	0.0	0.0	8.9641792e-22	2.7800598e-24	0.0	8.39994912e-19	0.0	0.0	0.0	0.0	7.42873479e-21	6.56072062e-23	6.064831930000001e-15	1.6525315600000002e-23	1.0985871600000001e-20	0.0	1.63470881e-32	1.03351776e-21	7.01395711e-20	1.09759999e-18	4.59826311e-27	0.0	0.0	0.0	0.0	0.0	0.0	9.54244867e-05	2.7912248700000003e-20	2.65132436e-16	8.93146715e-19	9.0586239e-27	5.711452169999999e-32	5.80898491e-16	0.0	6.43673682e-27	0.0	0.0	2.32280694e-25	0.0	0.0	3.41877562e-28	1.4419403299999998e-42	0.0	3.77045763e-45	0.0
795.722469	0.000770524881	1983924.41	3898083930.0	12.62895337354354	1.4708974166774281e-09	2.74459247e-13	5.8790625e-09	2.92821412e-18	0.107116622	0.016593662	1.16377841e-12	0.010260062	1.3314380100000002e-21	0.0	0.0	1.65796189e-14	0.0	6.477812430000001e-20	5.01452381e-22	3.05192888e-20	0.0	0.0	1.91307144e-10	1.6824953599999997e-17	0.0	2.61579807e-22	2.73461303e-22	0.0	0.0	1.26639652e-24	3.4215994e-13	3.46681513e-21	0.0	0.865930685	3.16265725e-12	5.95566761e-13	1.1286107099999999e-17	7.3885698e-13	0.0	4.03638216e-08	0.0	0.0	1.88912651e-20	0.0	0.0	0.0	0.0	1.10134048e-23	0.0	6.35975419e-19	0.0	0.0	0.0	0.0	2.03696746e-24	2.58340611e-22	6.38131535e-15	0.0	0.0	0.0	3.85852545e-32	1.26542215e-20	9.20201901e-19	2.60671201e-18	2.2415245900000002e-26	5.18532495e-28	0.0	0.0	0.0	0.0	0.0	9.89228964e-05	1.00963151e-19	7.47634664e-16	1.6181343599999998e-18	6.251701030000001e-26	3.5391410900000002e-31	1.0397535300000001e-15	8.56274032e-27	4.56643639e-26	2.15698126e-27	6.02816609e-22	1.14781594e-24	2.75952252e-27	0.0	3.63574507e-28	7.768395459999999e-42	0.0	0.0	0.0
798.23914	0.00143326871	1928520.68	3035344900.0	12.689169145340594	2.7404240324105692e-09	5.82516911e-13	1.28024117e-08	1.21743295e-18	0.10250398	0.0167225119	2.01192826e-12	0.0102836142	5.51674736e-21	0.0	0.0	2.99381878e-14	0.0	3.24756381e-19	0.0	0.0	0.0	0.0	6.46718494e-10	6.29585294e-17	0.0	0.0	0.0	0.0	0.0	0.0	7.28381387e-13	0.0	0.0	0.870388323	5.55823464e-12	1.03004147e-12	6.585321059999999e-17	1.44889647e-12	0.0	1.36087623e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11152533e-23	1.63724368e-21	4.82242972e-18	0.0	0.0	0.0	0.0	0.0	2.6882519200000003e-26	6.624016020000001e-15	0.0	0.0	0.0	0.0	0.0	0.0	6.0040626199999995e-18	1.02388696e-25	1.2241834300000001e-27	0.0	0.0	3.86756804e-18	0.0	0.0	0.000101421447	3.5089336499999997e-19	1.93068595e-15	2.95470508e-18	4.29761531e-25	2.12416325e-30	1.86892221e-15	1.31752292e-26	2.71101613e-25	6.19739746e-27	8.88258113e-22	5.12051647e-24	5.6080817000000004e-27	0.0	3.8142266099999997e-28	4.62981921e-41	0.0	0.0	0.0
801.036576	0.00266605173	1873837.85	2363162070.0	12.730642132219838	5.096317948531195e-09	1.22162296e-12	2.71164029e-08	5.975743969999999e-18	0.0993276578	0.016811945	3.50962431e-12	0.0102994234	2.16307345e-20	0.0	0.0	5.42175265e-14	4.48746174e-20	1.08438582e-18	0.0	0.0	0.0	0.0	2.56336938e-09	2.41056825e-16	3.27484902e-23	0.0	1.56106975e-22	6.583994290000001e-23	9.44445737e-21	0.0	1.51816156e-12	0.0	2.6663183000000004e-23	0.873457219	9.8671438e-12	1.79750935e-12	4.51231743e-16	2.84378162e-12	1.1596206900000001e-20	5.33692975e-07	0.0	2.6749413000000002e-20	3.93971554e-21	2.06604503e-20	5.860648300000001e-20	6.979216610000001e-21	0.0	1.38818271e-22	1.1232941899999999e-22	2.25933105e-18	0.0	0.0	0.0	0.0	0.0	4.66143686e-27	6.83152811e-15	2.2458626e-23	0.0	1.42479195e-17	1.29172217e-32	1.1810185700000001e-21	0.0	1.3313369299999998e-17	4.35071349e-25	3.03744221e-27	3.06605917e-26	1.78047025e-19	0.0	0.0	0.0	0.000103191217	1.16569465e-18	4.56420432e-15	5.42339664e-18	3.3470862299999996e-24	1.21634061e-29	3.3732678800000005e-15	0.0	1.3661529899999999e-24	0.0	0.0	2.0984681200000002e-23	0.0	0.0	4.01497083e-28	2.63851359e-40	0.0	0.0	0.0
