SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 4.0)        0.0 
     2  9999    2S2 2P2             (1)2( 2.0)    10205.6 
     3  9999    2S2 2P2             (1)0( 0.0)    21618.3 
     4  9999    2S1 2P3             (5)0( 2.0)    33689.4 
     5     1    2S2 2P1 3S1         (3)1( 4.0)    52844.2 
     6     1    2S2 2P1 3S1         (1)1( 1.0)    54763.6 
     7     1    2S2 2P1 3P1         (1)1( 1.0)    58500.8 
     8     1    2S2 2P1 3P1         (3)2( 7.0)    58931.7 
     9     1    2S2 2P1 3P1         (3)0( 1.0)    59576.9 
    10  9999    2S1 2P3             (3)2( 7.0)    64086.6 
    11     1    2S2 2P1 3P1         (3)1( 4.0)    68023.4 
    12     1    2S2 2P1 3P1         (1)2( 2.0)    69955.9 
    13     1    2S2 2P1 4S1         (3)1( 4.0)    70141.9 
    14     1    2S2 2P1 3D1         (1)2( 2.0)    70306.4 
    15     1    2S2 2P1 3D1         (3)2( 7.0)    70413.0 
    16     1    2S2 2P1 3D1         (3)3(10.0)    70593.6 
    17     1    2S2 2P1 4S1         (1)1( 1.0)    70678.4 
    18     1    2S2 2P1 3D1         (3)1( 4.0)    70871.5 
    19     1    2S2 2P1 3D1         (1)3( 3.0)    70881.0 
    20     1    2S2 2P1 3D1         (1)1( 1.0)    71030.4 
    21     1    2S2 2P1 4P1         (1)1( 1.0)    71909.0 
    22     1    2S2 2P1 4P1         (3)2( 7.0)    72050.6 
    23     1    2S2 2P1 4P1         (3)0( 1.0)    72262.8 
    24     1    2S2 2P1 3P1         (1)0( 0.0)    73486.6 
    25     1    2S2 2P1 4P1         (3)1( 4.0)    74805.5 
    26  9999    2S1 2P3             (3)1( 4.0)    75279.9 
    27     1    2S2 2P1 4P1         (1)2( 2.0)    75428.0 
    28     1    2S2 2P1 5S1         (3)1( 4.0)    75842.9 
    29     1    2S2 2P1 4D1         (1)2( 2.0)    75869.9 
    30     1    2S2 2P1 4D1         (3)2( 7.0)    75929.2 
    31     1    2S2 2P1 4D1         (3)3(10.0)    75978.4 
    32     1    2S2 2P1 4F1         (1)3( 3.0)    76026.3 
    33     1    2S2 2P1 4F1         (3)3(10.0)    76026.6 
    34     1    2S2 2P1 5S1         (1)1( 1.0)    76066.8 
    35     1    2S2 2P1 4F1         (3)4(13.0)    76084.3 
    36     1    2S2 2P1 4F1         (1)4( 4.0)    76085.5 
    37     1    2S2 2P1 4D1         (3)1( 4.0)    76104.5 
    38     1    2S2 2P1 4F1         (3)2( 7.0)    76105.0 
    39     1    2S2 2P1 4F1         (1)2( 2.0)    76105.7 
    40     1    2S2 2P1 4D1         (1)3( 3.0)    76138.5 
    41     1    2S2 2P1 4D1         (1)1( 1.0)    76193.2 
    42     1    2S2 2P1 4P1         (1)0( 0.0)    76552.6 
    43     1    2S2 2P1 5P1         (1)1( 1.0)    76608.1 
    44     1    2S2 2P1 5P1         (3)2( 7.0)    76671.6 
    45     1    2S2 2P1 5P1         (3)0( 1.0)    76766.9 
    46     1    2S2 2P1 5P1         (3)1( 4.0)    77884.1 
    47     1    2S2 2P1 5P1         (1)2( 2.0)    78163.8 
    48     1    2S2 2P1 6S1         (3)1( 4.0)    78427.8 
    49     1    2S2 2P1 5D1         (1)2( 2.0)    78432.5 
    50     1    2S2 2P1 5D1         (3)2( 7.0)    78466.1 
    51     1    2S2 2P1 5D1         (3)3(10.0)    78485.1 
    52     1    2S2 2P1 5G1         (3)3(10.0)    78511.5 
    53     1    2S2 2P1 5G1         (1)3( 3.0)    78511.5 
    54     1    2S2 2P1 5G1         (3)4(13.0)    78511.5 
    55     1    2S2 2P1 5G1         (1)4( 4.0)    78511.5 
    56     1    2S2 2P1 5G1         (3)5(16.0)    78511.5 
    57     1    2S2 2P1 5G1         (1)5( 5.0)    78511.5 
    58     1    2S2 2P1 5F1         (1)3( 3.0)    78516.9 
    59     1    2S2 2P1 5F1         (3)3(10.0)    78517.1 
    60     1    2S2 2P1 6S1         (1)1( 1.0)    78542.3 
    61     1    2S2 2P1 5F1         (3)4(13.0)    78546.4 
    62     1    2S2 2P1 5F1         (1)4( 4.0)    78547.4 
    63     1    2S2 2P1 5D1         (3)1( 4.0)    78551.6 
