SEQ='N '     NUCCHG= 7                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  11835491.1   NPRNTI= 4   NPRNTF= 4
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    17957.0 
     3          2S2 2P2             (1)0( 0.0)    32477.5 
     4          2S1 2P3             (5)0( 2.0)    39696.0 

   LS RESOLVED TERM INDEXING            BWNR=  11943486.1   NTRM= 406
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 4.5)    19204.0 
     3  9999    2S2 2P3             (2)1( 2.5)    28860.9 
     4     1    2S2 2P2 3S1         (4)1( 5.5)    75192.4 
     5     1    2S2 2P2 3S1         (2)1( 2.5)    77914.0 
     6     1    2S2 2P2 3P1         (2)0( 0.5)    82977.7 
     7  9999    2S1 2P4             (4)1( 5.5)    83290.7 
     8     1    2S2 2P2 3P1         (4)2( 9.5)    83638.8 
     9     1    2S2 2P2 3P1         (4)1( 5.5)    84079.0 
    10     1    2S2 2P2 3P1         (2)2( 4.5)    88785.1 
    11     1    2S2 2P2 3P1         (2)1( 2.5)    90268.4 
    12     2    2S2 2P2 3S1         (2)2( 4.5)    94056.6 
    13     1    2S2 2P2 4S1         (4)1( 5.5)    94449.7 
    14     1    2S2 2P2 3P1         (4)0( 1.5)    94863.8 
    15     1    2S2 2P2 4S1         (2)1( 2.5)    95183.6 
    16     1    2S2 2P2 3D1         (2)1( 2.5)    95542.6 
    17     1    2S2 2P2 3D1         (4)1( 5.5)    95572.9 
    18     1    2S2 2P2 3D1         (4)3(13.5)    95621.8 
    19     1    2S2 2P2 3D1         (2)3( 6.5)    95736.3 
    20     1    2S2 2P2 3D1         (4)2( 9.5)    95867.3 
    21     1    2S2 2P2 3D1         (2)2( 4.5)    96011.4 
    22     1    2S2 2P2 4P1         (2)0( 0.5)    96759.3 
    23     1    2S2 2P2 4P1         (4)2( 9.5)    96964.1 
    24     1    2S2 2P2 4P1         (4)1( 5.5)    97100.5 
    25     1    2S2 2P2 4P1         (2)2( 4.5)    99004.4 
    26     1    2S2 2P2 4P1         (2)1( 2.5)    99507.7 
    27     1    2S2 2P2 4P1         (4)0( 1.5)   100362.5 
    28     1    2S2 2P2 5S1         (4)1( 5.5)   100596.6 
    29     1    2S2 2P2 5S1         (2)1( 2.5)   100896.9 
    30     1    2S2 2P2 4D1         (2)1( 2.5)   101018.3 
    31     1    2S2 2P2 4D1         (4)1( 5.5)   101035.5 
    32     1    2S2 2P2 4D1         (4)3(13.5)   101042.0 
    33     1    2S2 2P2 4D1         (2)3( 6.5)   101107.2 
    34     1    2S2 2P2 4F1         (4)2( 9.5)   101111.9 
    35     1    2S2 2P2 4F1         (2)2( 4.5)   101111.9 
    36     1    2S2 2P2 4F1         (4)4(17.5)   101125.8 
    37     1    2S2 2P2 4F1         (2)4( 8.5)   101126.2 
    38     1    2S2 2P2 4D1         (4)2( 9.5)   101143.1 
    39     1    2S2 2P2 4F1         (4)3(13.5)   101166.4 
    40     1    2S2 2P2 4F1         (2)3( 6.5)   101166.8 
    41     1    2S2 2P2 4D1         (2)2( 4.5)   101225.1 
    42     1    2S2 2P2 5P1         (2)0( 0.5)   101576.0 
    43     1    2S2 2P2 5P1         (4)2( 9.5)   101665.7 
    44     1    2S2 2P2 5P1         (4)1( 5.5)   101725.6 
    45     2    2S2 2P2 3P1         (2)3( 6.5)   102454.6 
    46     1    2S2 2P2 5P1         (2)2( 4.5)   102616.7 
    47     1    2S2 2P2 5P1         (2)1( 2.5)   102841.0 
    48     1    2S2 2P2 5P1         (4)0( 1.5)   103154.8 
    49     1    2S2 2P2 6S1         (4)1( 5.5)   103336.1 
    50     1    2S2 2P2 6S1         (2)1( 2.5)   103487.8 
    51     1    2S2 2P2 5D1         (2)1( 2.5)   103543.0 
    52     1    2S2 2P2 5D1         (4)3(13.5)   103552.8 
    53     1    2S2 2P2 5D1         (4)1( 5.5)   103552.8 
    54     1    2S2 2P2 5G1         (4)3(13.5)   103572.2 
    55     1    2S2 2P2 5G1         (2)3( 6.5)   103572.2 
    56     1    2S2 2P2 5G1         (4)4(17.5)   103572.2 
    57     1    2S2 2P2 5G1         (2)4( 8.5)   103572.2 
    58     1    2S2 2P2 5G1         (4)5(21.5)   103572.2 
    59     1    2S2 2P2 5G1         (2)5(10.5)   103572.2 
    60     1    2S2 2P2 5D1         (2)3( 6.5)   103590.1 
    61     1    2S2 2P2 5F1         (4)2( 9.5)   103592.9 
