SEQ='O '     NUCCHG= 8                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  16323956.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    31713.4 
     3          2S2 2P3             (2)1( 2.5)    43680.5 

   LS RESOLVED TERM INDEXING            BWNR=  16421397.0   NTRM= 501
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P4             (3)1( 4.0)        0.0 
     2  9999    2S2 2P4             (1)2( 2.0)    16021.7 
     3  9999    2S2 2P4             (1)0( 0.0)    33908.9 
     4     1    2S2 2P3 3S1         (5)0( 2.0)    62309.5 
     5     1    2S2 2P3 3S1         (3)0( 1.0)    65727.1 
     6     1    2S2 2P3 3P1         (5)1( 7.0)    73230.8 
     7     1    2S2 2P3 3P1         (3)1( 4.0)    78088.6 
     8     1    2S2 2P3 4S1         (5)0( 2.0)    83271.6 
     9     1    2S2 2P3 4S1         (3)0( 1.0)    84164.0 
    10     1    2S2 2P3 3D1         (5)2(12.0)    85173.1 
    11     1    2S2 2P3 3D1         (3)2( 7.0)    85238.9 
    12     1    2S2 2P3 4P1         (5)1( 7.0)    86416.5 
    13     1    2S2 2P3 4P1         (3)1( 4.0)    88161.3 
    14     1    2S2 2P3 5S1         (5)0( 2.0)    89790.5 
    15     1    2S2 2P3 5S1         (3)0( 1.0)    90149.5 
    16     1    2S2 2P3 4D1         (5)2(12.0)    90538.8 
    17     1    2S2 2P3 4D1         (3)2( 7.0)    90576.7 
    18     1    2S2 2P3 4F1         (5)3(17.0)    90581.6 
    19     1    2S2 2P3 4F1         (3)3(10.0)    90581.8 
    20     1    2S2 2P3 5P1         (5)1( 7.0)    91109.9 
    21     1    2S2 2P3 5P1         (3)1( 4.0)    91904.9 
    22     1    2S2 2P3 6S1         (5)0( 2.0)    92656.2 
    23     1    2S2 2P3 6S1         (3)0( 1.0)    92835.5 
    24     1    2S2 2P3 5G1         (5)4(22.0)    93012.6 
    25     1    2S2 2P3 5G1         (3)4(13.0)    93012.6 
    26     1    2S2 2P3 5D1         (5)2(12.0)    93026.1 
    27     1    2S2 2P3 5D1         (3)2( 7.0)    93047.9 
    28     1    2S2 2P3 5F1         (5)3(17.0)    93050.8 
    29     1    2S2 2P3 5F1         (3)3(10.0)    93050.9 
    30     1    2S2 2P3 6P1         (5)1( 7.0)    93330.4 
    31     1    2S2 2P3 6P1         (3)1( 4.0)    93755.3 
    32     1    2S2 2P3 7S1         (5)0( 2.0)    94167.2 
    33     1    2S2 2P3 7S1         (3)0( 1.0)    94269.4 
    34     1    2S2 2P3 6G1         (5)4(22.0)    94370.0 
    35     1    2S2 2P3 6G1         (3)4(13.0)    94370.0 
    36     1    2S2 2P3 6D1         (5)2(12.0)    94376.9 
    37     1    2S2 2P3 6H1         (5)5(27.0)    94380.7 
    38     1    2S2 2P3 6H1         (3)5(16.0)    94380.7 
    39     1    2S2 2P3 6D1         (3)2( 7.0)    94390.3 
    40     1    2S2 2P3 6F1         (5)3(17.0)    94392.0 
    41     1    2S2 2P3 6F1         (3)3(10.0)    94392.1 
    42     1    2S2 2P3 7P1         (5)1( 7.0)    94556.9 
    43     1    2S2 2P3 7P1         (3)1( 4.0)    94809.9 
    44     2    2S2 2P3 3S1         (3)2( 7.0)    94877.3 
    45     1    2S2 2P3 8S1         (5)0( 2.0)    95060.7 
    46     1    2S2 2P3 8S1         (3)0( 1.0)    95124.3 
    47     1    2S2 2P3 7G1         (5)4(22.0)    95186.9 
    48     1    2S2 2P3 7G1         (3)4(13.0)    95186.9 
    49     1    2S2 2P3 7D1         (5)2(12.0)    95190.9 
    50     1    2S2 2P3 7H1         (5)5(27.0)    95193.7 
    51     1    2S2 2P3 7H1         (3)5(16.0)    95193.7 
    52     1    2S2 2P3 7I1         (5)6(32.0)    95196.7 
    53     1    2S2 2P3 7I1         (3)6(19.0)    95196.7 
    54     1    2S2 2P3 7D1         (3)2( 7.0)    95199.7 
    55     1    2S2 2P3 7F1         (5)3(17.0)    95200.8 
    56     1    2S2 2P3 7F1         (3)3(10.0)    95200.9 
    57     1    2S2 2P3 8P1         (5)1( 7.0)    95305.9 
    58     1    2S2 2P3 8P1         (3)1( 4.0)    95468.4 
    59     1    2S2 2P3 8G1         (5)4(22.0)    95716.4 
    60     1    2S2 2P3 8G1         (3)4(13.0)    95716.4 
    61     1    2S2 2P3 8D1         (5)2(12.0)    95719.0 
    62     1    2S2 2P3 8H1         (5)5(27.0)    95720.9 
    63     1    2S2 2P3 8H1         (3)5(16.0)    95720.9 
