minor_const,major_const,A,s
H2,air,2.67e17,0.75
CH4,air,7.56e16,0.747
H2O,air,0.137e17,1.072
H,air,6.5e17,0.7
H2,N2,2.8e17,0.740
CH4,N2,7.34e16,0.75
H,N2,4.87e17,0.698
H2,O2,3.06e17,0.732
CH4,O2,7.51e16,0.759
H,O2,4.75e17,0.711
H,O,5.7e17,0.708
H,He,8.84e17,0.706
H,CO2,8.4e17,0.6
H2,CO2,2.23e17,0.75
H2,CH4,2.3e17,0.765
He,air,2.78e17,0.729
He,O,3.44e17,0.749
Ar,O,5.51e16,0.841
CO,O2,8.3e16,0.724
Ar,O2,7.17e16,0.736
CO2,O2,5.77e16,0.749
O,O2,9.69e16,0.774
He,O2,3.21e17,0.71
CO,N2,9.28e16,0.71
Ar,N2,6.64e16,0.752
CO2,N2,6.58e16,0.752
O,N2,9.69e16,0.774
He,N2,2.94e17,0.718\
CO,air,8.22e16,0.730
Ar,air,6.73e16,0.749
CO2,air,6.42e16,0.735
