species,n_const_start_m3,n_diss_start_m3,ratio_start_diss_const,n_const_end_m3,n_diss_end_m3,ratio_end_diss_const
C,196.74981323820427,3949534.674135728,20073.892875080095,1.696354211483279e-06,0.03405243271950631,20073.892875080095
CH4,1.4334067696178341e-07,0.0,0.0,1.23586679468202e-15,0.0,0.0
CO,3915038.9221983002,0.0,0.0,0.033755014322435245,0.0,0.0
CO2,34299.00212404606,0.0,0.0,0.0002957220428583443,0.0,0.0
H,8292484557766503.0,8507075331185154.0,1.0258777416977727,71496846.02849616,73347022.94222702,1.025877741697773
H2,107295386527506.75,0.0,0.0,925088.4552978069,0.0,0.0
H2O,181819.13576870103,0.0,0.0,0.0015676236313173597,0.0,0.0
H2S,0.0,0.0,,0.0,0.0,
N,639828361085.5771,640126555483.7041,1.0004660537360692,5516.5263798238175,5519.097377553258,1.0004660537360692
N2,147834125.5797467,0.0,0.0,1.2746087907312726,0.0,0.0
N2O,15.07582815339038,0.0,0.0,1.2998205263168245e-07,0.0,0.0
NH3,0.0,0.0,,0.0,0.0,
NO,2526116.8157853573,0.0,0.0,0.021779888014267945,0.0,0.0
NO2,4.1797074207191303e-13,0.0,0.0,3.6036955609816284e-21,0.0,0.0
O,118812152579.82227,118818844167.77608,1.0000563207366293,1024.3846847273123,1024.442378827348,1.0000563207366293
O2,0.0,0.0,,0.0,0.0,
OH,0.0,0.0,,0.0,0.0,
S,168589093856.30655,168589093856.30655,1.0,1453.5557349020314,1453.5557349020314,1.0
S2,4.349695080605481e-09,0.0,0.0,3.750256961982443e-17,0.0,0.0
SO2,0.0,0.0,,0.0,0.0,
