file,T_inf,atmosphere_type,mass_case,flux_case,dominant_species,second_species,dominant_Mdot,second_Mdot,dominant_to_second_ratio,log10_ratio
CO2_atmosphere_10_M_earth_1000_F_earth.csv,200,CO2,10_M_earth,1000_F_earth,H,H2,4.24180396938043e-08,4.424947044382067e-12,9586.11239148239,3.9816425165308447
CO2_atmosphere_10_M_earth_1000_F_earth.csv,300,CO2,10_M_earth,1000_F_earth,H,H2,1.1467037669703822e-05,5.682510118787638e-07,20.179528817364094,1.3049110214446105
CO2_atmosphere_10_M_earth_1000_F_earth.csv,500,CO2,10_M_earth,1000_F_earth,H2,H,0.0054439547179658,0.0007851909161555,6.933287950681886,0.8409392375268102
CO2_atmosphere_10_M_earth_1000_F_earth.csv,1000,CO2,10_M_earth,1000_F_earth,H2,H,3.5496060171958126,0.0128885227387753,275.40829070478134,2.4399770098248337
CO2_atmosphere_10_M_earth_1000_F_earth.csv,2000,CO2,10_M_earth,1000_F_earth,H2,H,57.91610044675934,0.0353103206458079,1640.203186703014,3.2148976513391436
CO2_atmosphere_10_M_earth_1000_F_earth.csv,3000,CO2,10_M_earth,1000_F_earth,H2,C,119.1380999423329,0.0441400402006114,2699.093598484821,3.4312179451718006
CO2_atmosphere_10_M_earth_1000_F_earth.csv,5000,CO2,10_M_earth,1000_F_earth,H2,O,173.6023971876708,9.394844486541867,18.478474809919053,1.2666661222427822
CO2_atmosphere_10_M_earth_1000_F_earth.csv,6000,CO2,10_M_earth,1000_F_earth,H2,O,180.8010641367716,50.6698376929586,3.5682187346318823,0.5524514691154998
CO2_atmosphere_10_M_earth_1000_F_earth.csv,7000,CO2,10_M_earth,1000_F_earth,H2,O,182.1192177462268,161.19795581929483,1.1297861490897876,0.052996246085608524
CO2_atmosphere_10_M_earth_1_F_earth.csv,200,CO2,10_M_earth,1_F_earth,H,H2,7.432870075599819e-05,3.075468747641076e-11,2416825.1039133226,6.383245223368504
CO2_atmosphere_10_M_earth_1_F_earth.csv,300,CO2,10_M_earth,1_F_earth,H,H2,0.0215830831223964,4.6973647468577055e-06,4594.721569542661,3.662259199187872
CO2_atmosphere_10_M_earth_1_F_earth.csv,500,CO2,10_M_earth,1_F_earth,H,H2,1.6505018674842038,0.0545221808066753,30.27211756874788,1.4810428014077222
CO2_atmosphere_10_M_earth_1_F_earth.csv,1000,CO2,10_M_earth,1_F_earth,H2,H,40.40503174592833,28.836729810749688,1.401165527821613,0.14648944404601585
CO2_atmosphere_10_M_earth_1_F_earth.csv,2000,CO2,10_M_earth,1_F_earth,H2,H,702.1140165412365,81.29294147730978,8.63683862069634,0.9363548048824673
CO2_atmosphere_10_M_earth_1_F_earth.csv,3000,CO2,10_M_earth,1_F_earth,H2,H,1472.1833192399802,96.58993038760352,15.241581739755786,1.183030039523389
CO2_atmosphere_10_M_earth_1_F_earth.csv,5000,CO2,10_M_earth,1_F_earth,H2,H,2170.849817362955,94.60120065739513,22.947381241225887,1.360733130946147
CO2_atmosphere_10_M_earth_1_F_earth.csv,6000,CO2,10_M_earth,1_F_earth,H2,H,2264.5897811614063,90.23705939379806,25.09600596888522,1.3996046089831857
CO2_atmosphere_10_M_earth_1_F_earth.csv,7000,CO2,10_M_earth,1_F_earth,H2,H,2345.6677851788068,88.16059849505808,26.606758860765847,1.4249919735887469
CO2_atmosphere_1_M_earth_1000_F_earth.csv,200,CO2,1_M_earth,1000_F_earth,H,H2,4.759306392013765e-06,6.174298485688457e-15,770825447.3031174,8.886956043607828
CO2_atmosphere_1_M_earth_1000_F_earth.csv,300,CO2,1_M_earth,1000_F_earth,H,H2,0.0001989570222677,1.4641897472553275e-11,13588199.387453135,7.133161910897088
CO2_atmosphere_1_M_earth_1000_F_earth.csv,500,CO2,1_M_earth,1000_F_earth,H,H2,0.0138128154014118,1.1150021008789223e-07,123881.51906192442,5.093006522130072
CO2_atmosphere_1_M_earth_1000_F_earth.csv,1000,CO2,1_M_earth,1000_F_earth,H,H2,0.9839600264634808,0.0011565493922544,850.7721616155969,2.929813270776377
CO2_atmosphere_1_M_earth_1000_F_earth.csv,2000,CO2,1_M_earth,1000_F_earth,H,H2,11.098445576525917,0.3243425498266085,34.218284287581376,1.5342582301286354
CO2_atmosphere_1_M_earth_1000_F_earth.csv,3000,CO2,1_M_earth,1000_F_earth,H,H2,23.64654789152367,2.260637243168309,10.460124888671993,1.019536869821629
CO2_atmosphere_1_M_earth_1000_F_earth.csv,5000,CO2,1_M_earth,1000_F_earth,H,H2,38.118026019894536,9.65754530189102,3.946968388792413,0.5962636481517867
CO2_atmosphere_1_M_earth_1000_F_earth.csv,6000,CO2,1_M_earth,1000_F_earth,H,H2,41.2838200738882,13.318498711790845,3.099735260501974,0.4913246035720685
CO2_atmosphere_1_M_earth_1000_F_earth.csv,7000,CO2,1_M_earth,1000_F_earth,H,H2,41.80842189626473,16.092515246395955,2.5980041812064187,0.4146398456875149
CO2_atmosphere_1_M_earth_1_F_earth.csv,200,CO2,1_M_earth,1_F_earth,H,H2,1.6969265567890568e-14,9.597139991105202e-28,17681585955417.95,13.24752121660442
CO2_atmosphere_1_M_earth_1_F_earth.csv,300,CO2,1_M_earth,1_F_earth,H,H2,2.563429001118708e-10,3.467426902149796e-19,739288548.3842179,8.868813979006848
CO2_atmosphere_1_M_earth_1_F_earth.csv,500,CO2,1_M_earth,1_F_earth,H,H2,1.892136518632873e-06,3.5143602133347266e-11,53840.141697866864,4.73110619420479
CO2_atmosphere_1_M_earth_1_F_earth.csv,1000,CO2,1_M_earth,1_F_earth,H,H2,0.0028885701358048,0.0001966955736954,14.68548621372639,1.1668883299151873
CO2_atmosphere_1_M_earth_1_F_earth.csv,2000,CO2,1_M_earth,1_F_earth,H2,H,0.6548416404265678,0.1083804594324224,6.042063706464318,0.781185300086559
CO2_atmosphere_1_M_earth_1_F_earth.csv,3000,CO2,1_M_earth,1_F_earth,H2,H,8.892888620855297,0.3152855745798554,28.2058214452273,1.450338752312946
CO2_atmosphere_1_M_earth_1_F_earth.csv,5000,CO2,1_M_earth,1_F_earth,H2,H,60.07279819489239,0.6245933851612758,96.17904963783924,1.983080481418581
CO2_atmosphere_1_M_earth_1_F_earth.csv,6000,CO2,1_M_earth,1_F_earth,H2,H,90.60537464698749,0.6893260874317619,131.44051313153983,2.1187292458755844
