Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	He [VMR]
682.843	1e-05	901787.837	19427431500000.0	42.06312880641267	7.40918932035015e-11	0.000139118933	0.00123282884	0.00779851639	0.00216348957	0.00419117565	3.67920389e-14	9.87956392e-05	1.64214427e-16	9.770385360000001e-20	8.47815236e-18	7.27997565e-18	7.92839863e-22	4.7773180900000005e-21	4.23954938e-25	0.0	0.0	0.0	0.0887538044	0.890597784	9.72447664e-23	7.227598850000001e-15	3.1400337999999995e-17	8.66091369e-25	1.4256514900000002e-23	1.53963686e-25	0.000168981079	3.1789860799999997e-24	0.0	3.54367253e-06	9.67062236e-13	1.00359172e-09	3.60784898e-11	1.92553071e-06	7.7853289e-14	0.00155239661	1.36326783e-13	1.25761249e-23	5.64426842e-20	2.50938656e-28	2.3484809499999997e-28	6.21388841e-14	8.76098382e-22	4.50621865e-11	1.96349433e-18	5.49738385e-13	1.82340253e-33	8.36976237e-24	3.0359158900000003e-21	2.73534996e-28	1.31765662e-23	6.978959309999999e-18	8.36351358e-09	4.1051864400000006e-15	1.8798202000000002e-15	1.9686847200000002e-26	7.004233600000001e-27	3.3494568099999997e-28	3.77775181e-30	3.09022754e-12	2.66867076e-14	7.00837908e-16	7.418834430000001e-23	5.2469641900000004e-23	0.0	2.55148579e-39	1.91416738e-40	0.00163458847	2.07797992e-12	0.000349410659	2.91332583e-07	1.20886053e-08	7.27081686e-15	2.87896064e-13	3.14706632e-18	0.00074826557	6.704852370000001e-30	4.27657496e-23	1.25600591e-16	3.98903306e-22	6.09160104e-33	0.0	8.52778371e-11	4.4632000499999996e-32	5.5511285099999995e-28	0.0
682.598996	1.87643425e-05	890727.589	15094888500000.0	42.06819586014539	1.3909501744109076e-10	0.000137813523	0.00123217008	0.00779955642	0.00216053176	0.0041749095	3.67393599e-14	9.22773737e-05	1.6446057400000001e-16	9.740120000000001e-20	8.479202029999999e-18	7.27467075e-18	7.92972022e-22	4.77706079e-21	4.239387490000001e-25	0.0	0.0	0.0	0.0886863136	0.890762191	9.72494657e-23	7.24465017e-15	3.94740934e-17	8.64007192e-25	1.42599831e-23	1.53980567e-25	0.000168557394	3.17925507e-24	0.0	3.35372437e-06	9.53215332e-13	1.00201374e-09	3.60862047e-11	1.92586641e-06	7.7595975e-14	0.00155252661	1.36583609e-13	1.25761246e-23	5.64449641e-20	2.5028587899999998e-28	2.3552174899999997e-28	6.21407874e-14	8.76121958e-22	4.5093594e-11	2.14098093e-18	5.49792985e-13	1.82371291e-33	8.37016923e-24	3.0360183100000004e-21	2.7354736e-28	1.32056647e-23	7.172446579999999e-18	8.36400201e-09	4.1450588100000006e-15	1.87992208e-15	1.96886994e-26	7.00483984e-27	3.34931241e-28	3.77825861e-30	3.28295626e-12	2.6690798e-14	7.02847112e-16	7.4193978e-23	5.24727012e-23	0.0	2.55094069e-39	1.92665605e-40	0.00163219138	2.2430974e-12	0.000350140158	2.91289389e-07	1.21020262e-08	7.44158753e-15	2.87898373e-13	3.1476483499999997e-18	0.000750179144	4.5319528e-29	4.27052364e-23	1.25613822e-16	3.99027121e-22	6.09232288e-33	0.0	8.52978547e-11	4.48091861e-32	5.55173727e-28	0.0
682.073972	3.52100549e-05	879711.411	11725992000000.0	42.07684367146031	2.6125725495012257e-10	0.000135235986	0.00123177435	0.00780278874	0.00215700269	0.00413995674	3.65983543e-14	8.06623757e-05	1.6498024e-16	9.68146672e-20	8.48268129e-18	7.2597932e-18	7.93250277e-22	4.7768604800000006e-21	4.23913857e-25	0.0	0.0	0.0	0.0885732448	0.891043295	9.72642613e-23	7.278380940000001e-15	5.627818799999999e-17	8.60047488e-25	1.42672539e-23	1.54010529e-25	0.000167731365	3.17970845e-24	0.0	3.00752072e-06	9.26767707e-13	9.97465133e-10	3.61037698e-11	1.92661042e-06	7.71041301e-14	0.00155287355	1.37110806e-13	1.25763367e-23	5.6453647e-20	2.4901456399999997e-28	2.36855855e-28	6.21468768e-14	8.76231453e-22	4.51530714e-11	2.5098005599999998e-18	5.49883451e-13	1.82420943e-33	8.371459249999999e-24	3.0363985400000002e-21	2.73583991e-28	1.3262433e-23	7.558568979999999e-18	8.36451059e-09	4.22407852e-15	1.88017403e-15	1.96903997e-26	7.00593124e-27	3.34854161e-28	3.77896383e-30	3.67179326e-12	2.66982906e-14	7.06815466e-16	7.420491490000001e-23	5.24778878e-23	0.0	2.54936845e-39	1.95089211e-40	0.00162754682	2.57855946e-12	0.00035155503	2.91046085e-07	1.21266597e-08	7.77860945e-15	2.87862057e-13	3.14837778e-18	0.000753841526	4.0789565e-28	4.25678501e-23	1.25635349e-16	3.99172547e-22	6.09328271e-33	0.0	8.53198654e-11	4.5155659e-32	5.55265754e-28	0.0
681.019981	6.60693528e-05	868748.018	9107038960000.0	42.0876274282222	4.911166098794145e-10	0.000131283975	0.001231552	0.00780797222	0.00215265818	0.0040807871	3.6285979e-14	6.57300914e-05	1.65785557e-16	9.59161471e-20	8.48820593e-18	7.22514678e-18	7.93568707e-22	4.7762619200000006e-21	4.23810223e-25	0.0	0.0	0.0	0.0884323491	0.89139867	9.72888997e-23	7.329094060000001e-15	8.6305129e-17	8.54262973e-25	1.42778577e-23	1.54051913e-25	0.000166474801	3.18024019e-24	0.0	2.54490327e-06	8.88122351e-13	9.86969204e-10	3.61298441e-11	1.92768581e-06	7.63624522e-14	0.00155337047	1.37917077e-13	1.25753543e-23	5.64690846e-20	2.47082126e-28	2.38880892e-28	6.2154125e-14	8.76411216e-22	4.52387974e-11	3.1316897e-18	5.49997301e-13	1.82485948e-33	8.37351553e-24	3.0369622700000003e-21	2.73636652e-28	1.33480336e-23	8.16292146e-18	8.36415784e-09	4.34551192e-15	1.8805255200000002e-15	1.96903171e-26	7.00734014e-27	3.3460004599999997e-28	3.77979898e-30	4.29337411e-12	2.67109699e-14	7.12831419e-16	7.421946e-23	5.2482030400000003e-23	0.0	2.54665472e-39	1.98765491e-40	0.00162048126	3.12275011e-12	0.000353682412	2.90314819e-07	1.21619657e-08	8.29785114e-15	2.87721738e-13	3.1492380999999997e-18	0.00075933482	4.52383326e-27	4.2379810200000004e-23	1.25662736e-16	3.99364005e-22	6.09424295e-33	0.0	8.53431379e-11	4.56809812e-32	5.553731749999999e-28	0.0
679.660648	0.000123974796	857842.107	7071592970000.0	42.098713350678736	9.236343580842888e-10	0.000125803436	0.00123142163	0.00781491092	0.0021472254	0.00399262377	3.56741511e-14	4.98665618e-05	1.66912564e-16	9.466816180000001e-20	8.49539798e-18	7.152836789999999e-18	7.93759356e-22	4.7743736800000005e-21	4.23482408e-25	0.0	0.0	0.0	0.0882868813	0.891773034	9.73263767e-23	7.3979868e-15	1.38644247e-16	8.46663756e-25	1.4291340100000002e-23	1.54104569e-25	0.000164720605	3.1806777799999997e-24	0.0	2.02321144e-06	8.3748796e-13	9.65283465e-10	3.61629136e-11	1.92900587e-06	7.53368266e-14	0.0015539343	1.39032289e-13	1.25704102e-23	5.64943843e-20	2.44388622e-28	2.41684412e-28	6.21576632e-14	8.76658634e-22	4.53491351e-11	4.14402498e-18	5.50118134e-13	1.8256221e-33	8.37637642e-24	3.03759897e-21	2.73695565e-28	1.3465905e-23	9.04303861e-18	8.36106006e-09	4.5173687700000005e-15	1.88091476e-15	1.96855414e-26	7.00885195e-27	3.33914428e-28	3.7806672400000004e-30	5.22539384e-12	2.673363e-14	7.21152382e-16	7.42355896e-23	5.24802194e-23	0.0	2.5425404599999998e-39	2.03888266e-40	0.001610606	3.95551384e-12	0.000356601935	2.88593877e-07	1.22069156e-08	9.03467202e-15	2.87354653e-13	3.1502224699999998e-18	0.00076688537	6.20482962e-26	4.21733078e-23	1.25693059e-16	3.9965642699999997e-22	6.09475141e-33	0.0	8.53660731e-11	4.64104744e-32	5.55469998e-28	0.0
678.78887	0.000232630554	846985.364	5490007070000.0	42.10850076647786	1.7357684938852444e-09	0.000118671839	0.00123130213	0.00782349013	0.00214039521	0.00387730312	3.45970351e-14	3.54923866e-05	1.68420162e-16	9.304592290000001e-20	8.5039566e-18	7.0147628e-18	7.93562847e-22	4.769375270000001e-21	4.2262591e-25	0.0	0.0	0.0	0.088158496	0.892114838	9.73892991e-23	7.48676993e-15	2.29235083e-16	8.37245857e-25	1.43074168e-23	1.54174365e-25	0.000162356817	3.1807510299999998e-24	0.0	1.51255284e-06	7.75068009e-13	9.2441486e-10	3.62011383e-11	1.9304931e-06	7.39761696e-14	0.00155448129	1.40510654e-13	1.2556012e-23	5.65405311e-20	2.40772417e-28	2.45422568e-28	6.21497008e-14	8.77018038e-22	4.54828387e-11	5.8256922399999994e-18	5.50230672e-13	1.82646369e-33	8.38059425e-24	3.0382092500000004e-21	2.73751965e-28	1.3622255e-23	1.0302991199999999e-17	8.35118684e-09	4.7542580400000004e-15	1.8812807600000003e-15	1.96714034e-26	7.01026876e-27	3.32242952e-28	3.7814816100000004e-30	6.60298876e-12	2.67785811e-14	7.32243197e-16	7.425176860000001e-23	5.24657299e-23	0.0	2.5366278499999998e-39	2.10795173e-40	0.00159730516	5.21504622e-12	0.000360451954	2.85090628e-07	1.22585337e-08	1.00455289e-14	2.86543977e-13	3.1514168999999998e-18	0.000776894458	1.0589557399999999e-24	4.19777459e-23	1.25724419e-16	4.0018730299999997e-22	6.09397661e-33	0.0	8.53872232e-11	4.73890855e-32	5.55516132e-28	0.0
678.627263	0.000436515938	836165.914	4261339510000.0	42.116474227342685	3.2584479596300162e-09	0.00010985158	0.00123111509	0.00783377935	0.0021318011	0.00374713777	3.28627356e-14	2.40259675e-05	1.70374188e-16	9.10463443e-20	8.51382146e-18	6.770977889999999e-18	7.92581711e-22	4.7573352e-21	4.2060472500000005e-25	0.0	0.0	0.0	0.0880570223	0.892400881	9.751449640000001e-23	7.59666941e-15	3.8506454600000003e-16	8.26027225e-25	1.43262617e-23	1.54282863e-25	0.00015921658	3.17999957e-24	0.0	1.07342253e-06	7.00951006e-13	8.54638852e-10	3.62418324e-11	1.93211295e-06	7.22159713e-14	0.00155495874	1.42437195e-13	1.2521186e-23	5.66408626e-20	2.3600440999999997e-28	2.50339215e-28	6.21173527e-14	8.7765749e-22	4.56402018e-11	8.74640803e-18	5.50328264e-13	1.82737932e-33	8.38802939e-24	3.03874735e-21	2.73802066e-28	1.38268641e-23	1.21209327e-17	8.32588545e-09	5.08110969e-15	1.8815683100000002e-15	1.9640901900000002e-26	7.011505e-27	3.28416413e-28	3.78222261e-30	8.64126602e-12	2.68756481e-14	7.46843455e-16	7.426829470000001e-23	5.2430130800000003e-23	0.0	2.52838092e-39	2.20014732e-40	0.00157971739	7.12225528e-12	0.000365436263	2.78651762e-07	1.23088185e-08	1.14061728e-14	2.8491166e-13	3.1531601e-18	0.000789987209	1.1759051e-22	4.18063362e-23	1.2575785500000001e-16	4.01476945e-22	6.09029927e-33	0.0	8.54068129e-11	4.86883058e-32	5.55442607e-28	0.0
678.206886	0.000819093457	825387.426	3307041950000.0	42.1231242218702	6.119019207445531e-09	9.93242951e-05	0.00123079554	0.00784607333	0.00212096952	0.00361807881	3.02878659e-14	1.56331489e-05	1.7277845e-16	8.86525565e-20	8.5252211e-18	6.37060852e-18	7.90170515e-22	4.729507490000001e-21	4.16123008e-25	0.0	0.0	0.0	0.0879805198	0.892637032	9.77938321e-23	7.725614120000001e-15	6.52133022e-16	8.132236130000001e-25	1.43485655e-23	1.54484296e-25	0.000155069161	3.1774732799999997e-24	0.0	7.35618991e-07	6.14998508e-13	7.48248121e-10	3.62792824e-11	1.93387226e-06	6.99880782e-14	0.00155535591	1.44931964e-13	1.24442119e-23	5.68884731e-20	2.29791427e-28	2.56777983e-28	6.2037719e-14	8.79023415e-22	4.58237896e-11	1.41037891e-17	5.50413162e-13	1.82838344e-33	8.40343902e-24	3.03922184e-21	2.7384735799999997e-28	1.40935086e-23	1.47944951e-17	8.26704216e-09	5.5396865000000005e-15	1.88164838e-15	1.9583638500000002e-26	7.012591930000001e-27	3.2012825399999997e-28	3.7829532e-30	1.16513945e-11	2.70937272e-14	7.66024742e-16	7.42880807e-23	5.2362586200000003e-23	0.0	2.5170840799999998e-39	2.3231282999999997e-40	0.00155673248	1.00008269e-11	0.000371807889	2.67708245e-07	1.23382856e-08	1.31930311e-14	2.81802371e-13	3.15628641e-18	0.000807033625	0.0	4.1655650900000004e-23	1.25795227e-16	4.0793520599999997e-22	6.08029689e-33	0.0	8.54274811e-11	5.04140886e-32	5.55098901e-28	0.0
677.037258	0.00153697501	814661.384	2566008070000.0	42.129169130927515	1.15034235665148e-08	8.69794716e-05	0.00123030549	0.00786086468	0.00210724122	0.00349672419	2.68342562e-14	9.8083532e-06	1.7539375e-16	8.577179700000001e-20	8.53860097e-18	5.75920028e-18	7.85209293e-22	4.6672014600000006e-21	4.0668803600000004e-25	0.0	0.0	0.0	0.0879230961	0.892840227	9.84419601e-23	7.862651580000001e-15	1.1163099800000002e-15	7.997041050000001e-25	1.43754034e-23	1.5488956300000002e-25	0.000149603699	3.17102772e-24	0.0	4.9527034e-07	5.171904e-13	6.05018895e-10	3.6301027e-11	1.93578833e-06	6.72395107e-14	0.00155568987	1.48156999e-13	1.22839551e-23	5.75179936e-20	2.21783095e-28	2.65204436e-28	6.18703652e-14	8.82192488e-22	4.60379879e-11	2.4515478199999998e-17	5.5049109e-13	1.82947139e-33	8.438106649999999e-24	3.03966297e-21	2.7389215199999997e-28	1.4440738e-23	1.88218667e-17	8.13944841e-09	6.202343670000001e-15	1.8810073500000003e-15	1.94837463e-26	7.01361064e-27	3.0333164599999997e-28	3.78380397e-30	1.6052515e-11	2.75900589e-14	7.91300669e-16	7.43174132e-23	5.2248473900000004e-23	0.0	2.5017333799999998e-39	2.48774269e-40	0.00152696885	1.42653268e-11	0.000379833685	2.50271997e-07	1.23042365e-08	1.54289771e-14	2.76127642e-13	3.1625597399999998e-18	0.000829179733	0.0	4.1515482e-23	1.25822924e-16	3.9020520799999997e-22	6.0567039e-33	0.0	8.54549858e-11	5.272359e-32	5.54131707e-28	0.0
676.10047	0.00288403256	803983.793	1990679200000.0	42.13519598143191	2.1618418477069632e-08	7.27064374e-05	0.00122963502	0.00787877336	0.00208968962	0.00337838408	2.27532944e-14	5.88165516e-06	1.77316487e-16	8.220950140000001e-20	8.55451901e-18	4.89494284e-18	7.75660741e-22	4.533411040000001e-21	3.8793492600000004e-25	0.0	0.0	0.0	0.0878792819	0.893028048	9.993839960000001e-23	7.97838161e-15	1.9735861e-15	7.87975444e-25	1.44081658e-23	1.55692774e-25	0.000142392748	3.15583075e-24	0.0	3.29777153e-07	4.09033481e-13	4.3708251e-10	3.62844212e-11	1.93786172e-06	6.39665137e-14	0.00155598901	1.52336104e-13	1.19684606e-23	5.90790775e-20	2.11573384e-28	2.76276966e-28	6.15512681e-14	8.8971135e-22	4.62865425e-11	4.5943485599999995e-17	5.50568039e-13	1.83056815e-33	8.518719049999999e-24	3.0401026700000004e-21	2.73942972e-28	1.48947309e-23	2.5049247299999998e-17	7.88258617e-09	7.202143660000001e-15	1.87778322e-15	1.93160822e-26	7.01465608e-27	2.72225933e-28	3.78498161e-30	2.23890722e-11	2.872442e-14	8.249328350000001e-16	7.43682796e-23	5.2068252700000003e-23	0.0	2.48083091e-39	2.70998253e-40	0.00148867364	2.03117713e-11	0.000389750592	2.24076773e-07	1.21227276e-08	1.79623975e-14	2.66168764e-13	3.17545034e-18	0.000857975645	0.0	4.13745808e-23	1.25740886e-16	4.68683449e-22	6.00474107e-33	0.0	8.55013013e-11	5.5869101e-32	5.51732973e-28	0.0
