Temperature [K]	Pressure [Pa]	Height [m]	Kzz [cm2/s]	MMW [g/mol]	Density [kg/m3]	OH [VMR]	H2 [VMR]	H2O [VMR]	H [VMR]	O [VMR]	CH [VMR]	C [VMR]	CH2 [VMR]	CH3 [VMR]	CH4 [VMR]	C2 [VMR]	C2H2 [VMR]	C2H [VMR]	C2H3 [VMR]	C2H4 [VMR]	C2H5 [VMR]	C2H6 [VMR]	CO [VMR]	CO2 [VMR]	CH2OH [VMR]	H2CO [VMR]	HCO [VMR]	CH3O [VMR]	CH3OH [VMR]	CH3CO [VMR]	O2 [VMR]	H2CCO [VMR]	HCCO [VMR]	N [VMR]	NH [VMR]	CN [VMR]	HCN [VMR]	NO [VMR]	NH2 [VMR]	N2 [VMR]	NH3 [VMR]	N2H2 [VMR]	N2H [VMR]	N2H3 [VMR]	N2H4 [VMR]	HNO [VMR]	H2CN [VMR]	HNCO [VMR]	NO2 [VMR]	N2O [VMR]	C4H2 [VMR]	CH2NH2 [VMR]	CH2NH [VMR]	CH3NH2 [VMR]	CH3CHO [VMR]	HNO2 [VMR]	NCO [VMR]	HO2 [VMR]	H2O2 [VMR]	HC3N [VMR]	CH3CN [VMR]	CH2CN [VMR]	C2H3CN [VMR]	SH [VMR]	HSO [VMR]	H2S [VMR]	C3H3 [VMR]	C3H2 [VMR]	C3H4 [VMR]	C6H5 [VMR]	C6H6 [VMR]	S [VMR]	S2 [VMR]	SO [VMR]	CS [VMR]	COS [VMR]	CS2 [VMR]	NS [VMR]	HS2 [VMR]	SO2 [VMR]	S4 [VMR]	S8 [VMR]	HCS [VMR]	S3 [VMR]	C4H3 [VMR]	C4H5 [VMR]	S2O [VMR]	CH3SH [VMR]	CH3S [VMR]	O_1 [VMR]	CH2_1 [VMR]	N_2D [VMR]	He [VMR]	S8_l_s [VMR]
129.37266738497283	1.860722462893415e-05	10522256.881745497	4575592457.231399	21.21785482737411	3.67054473589953e-10	1.2153321306153211e-05	0.2402203566674543	0.0406264128892837	0.0068395179100788	1.1170894630410856e-05	1.120245575788951e-08	6.713804211929239e-15	1.004277881355321e-15	8.310824716094583e-10	8.633213914886339e-07	5.071222507324624e-23	1.6245671986080022e-14	3.452892124390796e-17	8.11953480370755e-17	2.357342622839568e-12	6.521770098850068e-21	8.956597575525663e-17	0.0001390963329972	1.4846232716668223e-05	1.3386053450295149e-18	3.957429890103543e-08	3.277366340607012e-11	5.0758553549256426e-17	7.839084477989007e-14	7.038279253159066e-25	2.084630430771723e-08	1.4925991803060573e-18	2.601170930238057e-25	0.0005708681946959	1.2514632671515489e-07	8.055828623413833e-09	1.0035156584923274e-08	4.855482861948126e-07	3.667452305084595e-07	0.6993327440752182	0.0010146961995536	1.7443840401719408e-12	4.643263542751253e-13	1.6761755177245385e-20	5.19625732539295e-19	1.7134645151865784e-10	6.192529228173806e-11	2.3809247236912302e-14	1.932712527949068e-20	2.6771855172563904e-12	7.303105883275485e-27	8.967497800503354e-26	1.0519559625265624e-16	3.8525232020730055e-17	4.5330499443999035e-21	8.20929353800869e-17	3.1584473605094386e-11	1.541866081896593e-17	2.4957556040569565e-16	2.993107660199864e-19	3.748667876196798e-16	8.135547359322073e-17	4.675927924353995e-17	1.5701840203040647e-05	2.4412888101207135e-18	0.0025488005341622	1.8711654968722296e-22	1.5691568110367844e-19	8.741090329819795e-22	2.758858758834388e-26	4.7287445779160125e-26	0.0083372358108032	0.0002201956102953	8.695873840081272e-05	4.369131816805605e-21	6.577125033641289e-09	1.5262128530023492e-14	2.762691590742088e-06	4.39697440401656e-14	4.465587797110228e-06	1.3927123856349553e-13	0.0	5.2698714728273015e-14	1.4690885817506625e-13	4.620842213650881e-27	4.277010404192143e-32	7.907997499842468e-12	5.116304980195279e-13	1.891845288617715e-12	7.824434831874448e-08	2.526731420952385e-11	2.1821320894732698e-34	0.0	0.0
131.0969079538929	3.4622880839161215e-05	10413724.834930643	3567222897.39591	22.77001783661605	7.233093899801589e-10	1.1434041939806148e-05	0.18313004903143	0.0402423815259945	0.0049033197685426	1.079693254181923e-05	9.918861755320445e-09	5.808783548505696e-15	1.5790908413888812e-15	7.925592565359593e-10	8.386030170616422e-07	5.108009198365818e-23	1.7213049045283882e-14	3.6175411820285776e-17	8.558374685689285e-17	2.547791767977933e-12	7.121669882861215e-21	9.867031629650807e-17	0.000150622497631	1.830337827203737e-05	1.4879101155925233e-18	4.34885071478492e-08	3.527792644781137e-11	5.5442274090224416e-17	8.77773796515687e-14	8.6155282768137e-25	2.312550267632431e-08	1.811023479644468e-18	3.1430152185304477e-25	0.0005366942940605	1.1465270997635285e-07	8.547482214401178e-09	1.0775400098096632e-08	5.337557718379207e-07	2.8001910958505777e-07	0.7573015606614744	0.00099553413913	1.889850721109949e-12	5.035424061594125e-13	1.849531892170118e-20	5.819404809076362e-19	1.8928908869981663e-10	6.704957762219073e-11	2.8937851350661164e-14	2.4542731168573422e-20	3.2987387612968773e-12	9.44748739485529e-27	9.852356363655572e-26	1.149045006321103e-16	4.278889079236928e-17	5.5913250081822684e-21	1.0396546449899828e-16	3.830445383997071e-11	1.740722920587822e-17	2.839792480036462e-16	3.901826253904762e-19	4.513581237217735e-16	9.700378664542952e-17	6.194028281608402e-17	1.7183648454510277e-05	3.176673397373533e-18	0.0029022973829165	2.216825185979461e-22	1.8393589727855064e-19	1.0442593180663245e-21	4.44948324322451e-26	7.699802860718614e-26	0.009333693365638	0.0003206207775486	0.0001107429702776	7.166710315156138e-21	9.227833364946764e-09	2.4482345247089364e-14	3.4594212737673075e-06	6.42770655418296e-14	6.465994778822477e-06	4.231992651571898e-13	2.905700331001006e-06	6.574229884213361e-14	2.808291653434426e-13	6.0229896181082606e-27	5.668135163310276e-32	1.3094273442211592e-11	6.5183011562945e-13	2.390196009140228e-12	6.118544250595054e-08	2.026799825709774e-11	2.082049086455485e-34	0.0	0.0
132.82268970334562	6.442357210750902e-05	10308494.03837368	2780487740.611785	23.78570179627459	1.387645336886117e-09	1.04354513041379e-05	0.1460506234959149	0.039612918237958	0.0036880656079847	1.0380312328523332e-05	8.433809618488734e-09	4.560594300140233e-15	2.6595528631684802e-15	7.522742810308797e-10	8.13682122652078e-07	4.838933643928421e-23	1.7716347736767365e-14	3.6852869307451904e-17	8.671770562851471e-17	2.663393631921004e-12	7.516206522139179e-21	1.0488869619635592e-16	0.000158154309441	2.1071502873983888e-05	1.5919223445477367e-18	4.60102250607254e-08	3.638084670822833e-11	5.775439205211314e-17	9.44023869954294e-14	9.87483373530388e-25	2.4434184706810777e-08	2.060923276857503e-18	3.5812360408761784e-25	0.0005023727512601	1.0194545627265796e-07	8.793523067497755e-09	1.1243613501037932e-08	5.65283175287694e-07	1.900261148351269e-07	0.7951841793180536	0.0009731140484905	1.950351137708445e-12	5.244816622182795e-13	1.957737920025749e-20	6.259876766096248e-19	2.0045903447265407e-10	7.034734527336583e-11	3.277734190448289e-14	2.9186933688264253e-20	3.792937273870624e-12	1.1248409855341323e-26	1.0417057808744083e-25	1.214052979122339e-16	4.575087305690197e-17	6.439829829908981e-21	1.2226103412606974e-16	4.3554885918607286e-11	1.8825733232053386e-17	3.089000176926409e-16	4.66921119440109e-19	5.109903810318139e-16	1.0879860408107535e-16	7.494641451594476e-17	1.7666443371194813e-05	3.8741596642956e-18	0.0031593923552287	2.480658292725405e-22	2.0357794849576961e-19	1.1758200161488977e-21	6.160282986992116e-26	1.0738080751217005e-25	0.0100328498708683	0.0004160481097286	0.0001304335921816	1.0799743754861231e-20	1.1624835762793268e-08	3.3830046941864716e-14	4.021845865815413e-06	8.338097897953605e-14	8.32317388719454e-06	9.805689244214953e-13	1.812427514367523e-05	7.653237257574039e-14	4.363896726167674e-13	7.204196247574882e-27	6.863436599413511e-32	1.8461772899795925e-11	7.680629427228848e-13	2.799201923558793e-12	4.267050077088664e-08	1.4812409457946816e-11	2.0050540361068784e-34	0.0	0.0
134.71664586773863	0.0001198743877602	10204749.201130228	2166819614.7344646	24.46250579202234	2.6181592680627404e-09	9.203371879007834e-06	0.1216628694647888	0.0389816146390201	0.0029119781760224	9.94955193108036e-06	6.770584874624861e-09	3.493342525351025e-15	4.776291178510212e-15	7.11437043740583e-10	7.922536994120056e-07	4.245113276404291e-23	1.790481534517811e-14	3.6861564924391656e-17	8.522217679778787e-17	2.722625882794716e-12	7.770385649445356e-21	1.0915831634704467e-16	0.0001631310789424	2.322049897772639e-05	1.6622059005159865e-18	4.744522731306263e-08	3.6292257721905726e-11	5.808301758600281e-17	9.907675925138152e-14	1.0858769632532066e-24	2.4861484032343416e-08	2.2508176234144505e-18	3.9421280132163103e-25	0.0004680819349717	8.735186468832639e-08	8.82708176016722e-09	1.1539598952042769e-08	5.84213467151462e-07	1.1723391473869285e-07	0.820217259206373	0.0009526730340184	1.936442564343665e-12	5.300565449689594e-13	2.0162241331306764e-20	6.571304264834536e-19	2.0616815248961127e-10	7.239130374401041e-11	3.549607774670245e-14	3.3470638940164516e-20	4.1689189553449e-12	1.2695067426846863e-26	1.0739089600185545e-25	1.2579647808000403e-16	4.7812810957909736e-17	7.099911613931919e-21	1.3723576342852598e-16	4.7493196819249655e-11	1.9809765204049656e-17	3.268112028090545e-16	5.285335975870548e-19	5.562685890491097e-16	1.17063797761486e-16	8.548492157832602e-17	1.7222525305551247e-05	4.62618638157277e-18	0.0033456475095591	2.67740827759102e-22	2.16538632603815e-19	1.2753403256813094e-21	7.726812595561377e-26	1.3552703208887496e-25	0.0105192294297546	0.0005018909698708	0.0001460837976395	1.5584677470117102e-20	1.3657722634109989e-08	4.2475180891612653e-14	4.4531820777254304e-06	1.002311541926105e-13	9.925617572797908e-06	2.0126594672382058e-12	5.384406684091638e-05	8.543341620881172e-14	5.971483943141191e-13	8.146641087173902e-27	7.840135725229042e-32	2.3468037403055184e-11	8.608103965695999e-13	3.122361799572501e-12	2.666643456981745e-08	9.78204456009834e-12	1.964160207565598e-34	0.0	0.0
136.55812708175387	0.0002230529660311	10101563.81417107	1688257281.0008562	24.92331881194893	4.896506142058693e-09	7.751924942201898e-06	0.1053949992423404	0.0384394320191294	0.0024062348244357	9.490856568331132e-06	5.000856882091497e-09	2.410755484054308e-15	8.207956014438735e-15	6.685291905806423e-10	7.751672313056591e-07	3.311372610263633e-23	1.7856482455350035e-14	3.634375168173633e-17	8.134995920766323e-17	2.7307413387354242e-12	7.930436185914352e-21	1.121091619574925e-16	0.0001664616266561	2.4850085179938072e-05	1.7024069267372006e-18	4.7883868689675545e-08	3.5056248160854626e-11	5.66188532654242e-17	1.0238009549296852e-13	1.1622590762839926e-24	2.4398193653597816e-08	2.389784141770489e-18	4.257792908193631e-25	0.0004322298979104	7.101328061151734e-08	8.612149352250828e-09	1.1720129087947714e-08	5.920756230397659e-07	6.859523067302644e-08	0.8369706078922577	0.0009358590821888	1.8568753663331293e-12	5.217634883526002e-13	2.034310247425434e-20	6.79198664532812e-19	2.0708737650906917e-10	7.343564767655881e-11	3.7536585229833205e-14	3.776227310802195e-20	4.437647827013784e-12	1.3817386286270682e-26	1.0867058887897037e-25	1.2879424722768146e-16	4.925273074424994e-17	7.602118917959729e-21	1.4947633010681547e-16	5.0264794458661676e-11	2.0423256662881056e-17	3.3955480873949024e-16	5.756512386800648e-19	5.897380123622375e-16	1.2182684247843412e-16	9.356472124201035e-17	1.5907228852144092e-05	5.641327821903448e-18	0.0034806633955462	2.821207577421694e-22	2.229268387598126e-19	1.3493769473898517e-21	9.05755946572553e-26	1.5982488975599588e-25	0.0108522552106701	0.0005772907018743	0.0001580937731778	2.027669357772009e-20	1.530199054798543e-08	4.998871702064397e-14	4.760797889865965e-06	1.147064528869757e-13	1.1231929171382562e-05	3.9787281680478544e-12	0.0001102433201768	9.306872846877497e-14	7.577651986249669e-13	8.85727719978866e-27	8.608512228107723e-32	2.7797962634543376e-11	9.328296863960342e-13	3.370333438182221e-12	1.5335430913920806e-08	5.861093269198497e-12	1.967138297071676e-34	0.0	0.0
138.535466968495	0.0004150396643091	9998244.153453162	1315138612.1838238	25.243214210141375	9.096268321804536e-09	6.119964235669513e-06	0.094404848853598	0.0380067623796967	0.0020693276279976	8.969952154229698e-06	3.297025328470418e-09	1.6042933446022956e-15	1.2822180513643388e-14	6.213189801468708e-10	7.620951234862861e-07	2.1737923184551466e-23	1.7604568677400268e-14	3.534255905478562e-17	7.514472894630992e-17	2.6823293352043734e-12	8.039974120348191e-21	1.1416194842215415e-16	0.000168717598359	2.6064088884794124e-05	1.7057273523991366e-18	4.723055477582508e-08	3.2606636262131036e-11	5.34175879484438e-17	1.047211027036032e-13	1.2221903962771383e-24	2.29616987863804e-08	2.4846084535888774e-18	4.564316849006737e-25	0.0003926490771912	5.3501205748134856e-08	8.056010317474663e-09	1.1810139714371697e-08	5.879218545918033e-07	4.021045451996487e-08	0.848318780817237	0.0009227455624227	1.7217376956351026e-12	5.004352266577828e-13	2.0166451925530963e-20	6.948915485300624e-19	2.03409472826154e-10	7.342481566667035e-11	3.9787837469213474e-14	4.263342389416674e-20	4.6048770802075785e-12	1.466253508108414e-26	1.0834019873373853e-25	1.30863875352707e-16	5.0260940853618946e-17	7.978236005814736e-21	1.5970605847573203e-16	5.192988395956616e-11	2.063729339666111e-17	3.483771087551852e-16	6.092190150972467e-19	6.13364446119579e-16	1.2251377994354562e-16	9.925291411581798e-17	1.3807581403779426e-05	7.3741125453272e-18	0.003579121048176	2.9250044619658336e-22	2.221549735919447e-19	1.4037595971034409e-21	1.0123042373860042e-25	1.7979326545255995e-25	0.0110725371249464	0.0006440206641655	0.0001669503396304	2.4624589220681923e-20	1.6586745903867958e-08	5.6281521600192266e-14	4.946960350703767e-06	1.27632412832659e-13	1.2245541622931123e-05	7.986429423332285e-12	0.0001798216408751	1.0018978766625597e-13	9.354722628517726e-13	9.35132446940127e-27	9.195903228167816e-32	3.134206017030358e-11	9.877994262681622e-13	3.556315054493297e-12	8.465484686415726e-09	3.284061498066537e-12	2.006204961463848e-34	0.0	0.0
140.55571277340152	0.0007722736263717	9894381.057046512	1024293094.9575903	25.469079631139373	1.6831620589197673e-08	4.419007154523801e-06	0.086882646367762	0.0376762380953994	0.0018383628521829	8.343007960248794e-06	1.893151507418739e-09	9.86158125131231e-16	1.7211821704725895e-14	5.680232256407768e-10	7.523548564534693e-07	1.101933251891354e-23	1.7155831973925054e-14	3.383966921835701e-17	6.661446929167844e-17	2.5664499653659395e-12	8.158903927664699e-21	1.156025307139261e-16	0.0001702668119624	2.695774104463996e-05	1.6517643189149933e-18	4.528885037404611e-08	2.8857249532770737e-11	4.8481176364803456e-17	1.0639069117280469e-13	1.2697970108365196e-24	2.045265322820656e-08	2.5373652572344697e-18	4.893032008013164e-25	0.0003474994712111	3.626971895922112e-08	7.059704137052037e-09	1.1805557562533563e-08	5.686486843206922e-07	2.3945276073071592e-08	0.8561113068279482	0.0009128485499344	1.542869721670602e-12	4.661758004771724e-13	1.964415058470237e-20	7.061113093146095e-19	1.9497874266034401e-10	7.194494567845525e-11	4.377270903255458e-14	4.896973955740345e-20	4.667209660904429e-12	1.5278738803420813e-26	1.0665112745413482e-25	1.3231456024986574e-16	5.096879813173361e-17	8.257192233188884e-21	1.6866320591340075e-16	5.2415870762458536e-11	2.0300086360599625e-17	3.539302517926086e-16	6.292825077892255e-19	6.27917247604246e-16	1.1767960538399902e-16	1.0243797323707507e-16	1.1110225323323954e-05	1.0818661731693197e-17	0.0036520538746324	3.0013438356768275e-22	2.1331988212269568e-19	1.4433770644752576e-21	1.0934084979207992e-25	1.9570861184929707e-25	0.0112073260843228	0.0007054643942777	0.0001730548025153	2.737460147820337e-20	1.7567423352482792e-08	6.149136684532916e-14	5.003067626430757e-06	1.4111914821065361e-13	1.2990338572364254e-05	1.6823556325558127e-11	0.0002526176219121	1.0726186836722537e-13	1.1933786239302522e-12	9.644515104715111e-27	9.635567626778971e-32	3.413129368610943e-11	1.0295181176285173e-12	3.693393084812249e-12	4.587771986368459e-09	1.7785259380561277e-12	2.0057574445258355e-34	0.0	0.0
142.57758102466397	0.00143698688409	9789721.898217868	797626275.5609375	25.63057022005693	3.1070612177889806e-08	2.849617636496848e-06	0.0816753488482346	0.0374312659653958	0.0016736504456477	7.563106369379598e-06	9.424213641843856e-10	5.42255731645254e-16	1.9750362179668923e-14	5.0785551981863e-10	7.452346228970035e-07	3.8901507331564716e-24	1.6503313017670442e-14	3.1778478972961734e-17	5.594247212709278e-17	2.3752038288377255e-12	8.39120929430879e-21	1.1662384755700083e-16	0.0001713456392751	2.7610190549973205e-05	1.50965894782131e-18	4.1916995102437695e-08	2.3856209122581954e-11	4.1874247966947067e-17	1.07593168728377e-13	1.304818381849969e-24	1.687549287337744e-08	2.542684107620476e-18	5.2472314391722575e-25	0.0002962258157831	2.1563821219217463e-08	5.620456366480178e-09	1.1668025897741285e-08	5.304094997531697e-07	1.4382340226596448e-08	0.8615364640968383	0.0009055458490619	1.3357139922183449e-12	4.184231094023052e-13	1.876241493780405e-20	7.141446671743714e-19	1.81563876813563e-10	6.818429576756641e-11	5.2141792778387033e-14	5.805349335505152e-20	4.6141955929293346e-12	1.570207182739655e-26	1.038885220849979e-25	1.333523438970208e-16	5.146454866437975e-17	8.462327277107435e-21	1.769914601896157e-16	5.151946379220943e-11	1.9131133822386528e-17	3.5624729603622433e-16	6.338095727052465e-19	6.32039313719195e-16	1.0512892391444407e-16	1.026192434205476e-16	8.165108121477292e-06	1.831498399241335e-17	0.0037076588991739	3.063977745694241e-22	1.9606324305100009e-19	1.4720770687520778e-21	1.1519484716972109e-25	2.0821364203736047e-25	0.0112734830879677	0.0007658598687286	0.0001766217093094	2.824478030803206e-20	1.8305046997488808e-08	6.586998698825133e-14	4.9107485787535045e-06	1.596526904655992e-13	1.3492178569280563e-05	3.78605072706967e-11	0.0003205285380085	1.1352122220058293e-13	1.7021172015509754e-12	9.7538695553965e-27	9.958908607386128e-32	3.626535721890066e-11	1.0613941465945384e-12	3.79287642212952e-12	2.444143313225509e-09	9.4081102625916e-13	1.7957408503374995e-34	0.0	0.0
144.66537389370504	0.0026738337741096	9684046.349597428	621011591.0072141	25.74726995061172	5.7238860215970785e-08	1.6321940654840209e-06	0.0780328799805628	0.0372540426353333	0.0015490597806342	6.588464383037284e-06	4.0980365470933004e-10	2.64892404558319e-16	1.9740490819652702e-14	4.41583971912272e-10	7.401083894139689e-07	8.918853433765856e-25	1.5636977051985866e-14	2.908219049855324e-17	4.3711826776021095e-17	2.111938322510058e-12	8.928314093422639e-21	1.1735786952397943e-16	0.0001721086723862	2.808455806734462e-05	1.2595166620730913e-18	3.718143906497017e-08	1.7979637669306743e-11	3.388350237458267e-17	1.084734758591717e-13	1.3190491299761179e-24	1.2528854645015904e-08	2.485953656572878e-18	5.5621346149358465e-25	0.000240454582709	1.1274495628743264e-08	3.91894105436939e-09	1.1319961703122662e-08	4.7182005361368853e-07	8.701105742195757e-09	0.8653710214900375	0.0009002462315897	1.1197715737223199e-12	3.568131690905487e-13	1.7492026832213303e-20	7.198143068243634e-19	1.6317336407446574e-10	6.111528429092875e-11	6.975856004563399e-14	7.121946727510661e-20	4.440440667314881e-12	1.594632461083922e-26	1.0059473154888264e-25	1.341192191901879e-16	5.18049837922838e-17	8.610432343492757e-21	1.851643722797073e-16	4.9003205614094377e-11	1.6840931515753358e-17	3.549923999073613e-16	6.18202318698572e-19	6.211632738997492e-16	8.332669374875775e-17	9.889909172487715e-17	5.4615308977573625e-06	3.5943690676407445e-17	0.0037521907242215	3.131245851820832e-22	1.7137668832418314e-19	1.4928168694354956e-21	1.1912261880537788e-25	2.1808215855257924e-25	0.0112795431900941	0.000830228493648	0.0001777104706623	2.803683356382018e-20	1.8856829988086832e-08	6.97206792281655e-14	4.656835763216548e-06	1.9280771313574962e-13	1.377394933526416e-05	9.165398782475283e-11	0.0003789979384792	1.1587419322817324e-13	2.920809318506114e-12	9.703906370103916e-27	1.01922970452962e-31	3.786783824602676e-11	1.086332157586664e-12	3.863956248851631e-12	1.277897588160323e-09	4.857400331209738e-13	1.3141216192727684e-34	0.0	0.0
146.84758242166814	0.0049752625655288	9577166.75764381	483423161.3034508	25.832610056906415	1.0527069067873801e-07	8.604936717365632e-07	0.0754588744349161	0.0371290150264879	0.001446729091971	5.399596813271626e-06	1.5346440785437079e-10	1.117394208939429e-16	1.70311979195504e-14	3.720203818017778e-10	7.364737249888259e-07	1.3294723277765008e-25	1.4553296170294302e-14	2.5678109976416322e-17	3.105289853668828e-17	1.7941134656327265e-12	1.0093296655130187e-20	1.1789537539909146e-16	0.0001726584412421	2.842937023704305e-05	9.250907141777984e-19	3.1411932457283345e-08	1.2030434501035276e-11	2.5185865163839425e-17	1.0913518446770876e-13	1.2980618547564116e-24	8.131500472133206e-09	2.3454475780497067e-18	5.654860871587417e-25	0.0001841971946435	5.477277093929883e-09	2.286302494667737e-09	1.0657445638636321e-08	3.9710651476447873e-07	5.2938896856858915e-09	0.8681300247308295	0.000896456862791	9.138165849212997e-13	2.8284208469898053e-13	1.580461624010123e-20	7.235403311993498e-19	1.4008145975445592e-10	5.0196372858198236e-11	1.0532490984344093e-13	8.809719781205578e-20	4.15874124591861e-12	1.5989492572602122e-26	9.783162029265728e-26	1.347191430923987e-16	5.202021459515312e-17	8.709938328906235e-21	1.9344843479501344e-16	4.473733550724343e-11	1.346872123296922e-17	3.50040787129449e-16	5.767158743115039e-19	5.873727534513776e-16	5.453282258641488e-17	9.043155561957891e-17	3.4232924940940647e-06	8.123660783874862e-17	0.003790670744418	3.231239636892685e-22	1.4172940641163384e-19	1.507812037826114e-21	1.2141059084875308e-25	2.260808949653121e-25	0.0112261108956034	0.0009048773011486	0.0001763322247167	2.646209475108196e-20	1.9271707151507653e-08	7.336744856410918e-14	4.2584489280090685e-06	2.611430670593757e-13	1.38588710247162e-05	2.385380593511698e-10	0.0004266051420164	1.08652464504098e-13	6.167995983827753e-12	9.529203491185156e-27	1.0354962694507896e-31	3.905871127039521e-11	1.1067422640389268e-12	3.913697213170971e-12	6.563501409450361e-10	2.453439868098503e-13	7.949286990863164e-35	0.0	0.0
