Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
CO2,1_F_earth,1_M_earth,200,595074697622.1622,5529.584256204122,318.10844781559405,337.109678424388,2.395026619987486e-11,4.766075519335846e-13,180.0,198.94033661874326
CO2,1_F_earth,1_M_earth,300,579515808192.577,5399.9016312436315,318.10844781559405,346.2953404255921,2.395026619987486e-11,4.766075519335846e-13,180.0,293.64201971245956
CO2,1_F_earth,1_M_earth,500,565727068621.7244,5300.559249914163,318.10844781559405,364.6666644280002,2.395026619987486e-11,4.766075519335846e-13,180.0,483.04538589989215
CO2,1_F_earth,1_M_earth,1000,565150973065.5813,5368.289558929554,318.10844781559405,410.5949744340206,2.395026619987486e-11,4.766075519335846e-13,180.0,956.5538013684736
CO2,1_F_earth,1_M_earth,2000,613704065358.8448,5989.943456864049,318.10844781559405,502.4515944460614,2.395026619987486e-11,4.766075519335846e-13,180.0,1903.5706323056365
CO2,1_F_earth,1_M_earth,3000,698621996475.5552,7003.905752272063,318.10844781559405,594.3082144581024,2.395026619987486e-11,4.766075519335846e-13,180.0,2850.5874632427995
CO2,1_F_earth,1_M_earth,5000,965369697063.8331,10200.066609373707,318.10844781559405,778.0214544821838,2.395026619987486e-11,4.766075519335846e-13,180.0,4744.621125117125
CO2,1_F_earth,1_M_earth,6000,1155520573906.9185,12527.715725698466,318.10844781559405,869.8780744942246,2.395026619987486e-11,4.766075519335846e-13,180.0,5691.637956054288
CO2,1_F_earth,1_M_earth,7000,1393723800641.8374,15499.353629427624,318.10844781559405,961.7346945062654,2.395026619987486e-11,4.766075519335846e-13,180.0,6638.654786991451
CO2,1_F_earth,10_M_earth,200,7896114591.587257,27500.366332694593,7523.193949183557,10176.94647096631,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,199.99989585342982
CO2,1_F_earth,10_M_earth,300,7801204673.571037,27733.034828353248,7523.193949183557,11503.819238423377,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,299.99937392460674
CO2,1_F_earth,10_M_earth,500,7763888925.4957485,28738.677376672375,7523.193949183557,14157.564773337514,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,499.99833006696053
CO2,1_F_earth,10_M_earth,1000,8036283992.556064,32796.720155710944,7523.193949183557,20791.928610622854,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,999.9957204228451
CO2,1_F_earth,10_M_earth,2000,9351845121.056652,45783.112272652856,7523.193949183557,34060.65628519353,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,1999.9905011346145
