Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
CO2,1_F_earth,1_M_earth,200,214204957.32694578,1.9904465176706623,318.10844781559405,337.109678424388,2.395026619987486e-11,4.766075519335846e-13,180.0,198.94033661874326
CO2,1_F_earth,1_M_earth,300,208604330.61632222,1.9437655526477713,318.10844781559405,346.2953404255921,2.395026619987486e-11,4.766075519335846e-13,180.0,293.64201971245956
CO2,1_F_earth,1_M_earth,500,203640892.6090113,1.9080059570231094,318.10844781559405,364.6666644280002,2.395026619987486e-11,4.766075519335846e-13,180.0,483.04538589989215
CO2,1_F_earth,1_M_earth,1000,203433519.443066,1.932386371801885,318.10844781559405,410.5949744340206,2.395026619987486e-11,4.766075519335846e-13,180.0,956.5538013684736
CO2,1_F_earth,1_M_earth,2000,220910843.05357748,2.1561588615603693,318.10844781559405,502.4515944460614,2.395026619987486e-11,4.766075519335846e-13,180.0,1903.5706323056365
CO2,1_F_earth,1_M_earth,3000,251478168.27145615,2.5211479143412894,318.10844781559405,594.3082144581024,2.395026619987486e-11,4.766075519335846e-13,180.0,2850.5874632427995
CO2,1_F_earth,1_M_earth,5000,347497508.44822973,3.671648015826389,318.10844781559405,778.0214544821838,2.395026619987486e-11,4.766075519335846e-13,180.0,4744.621125117125
CO2,1_F_earth,1_M_earth,6000,415944815.3537508,4.509515903045862,318.10844781559405,869.8780744942246,2.395026619987486e-11,4.766075519335846e-13,180.0,5691.637956054288
CO2,1_F_earth,1_M_earth,7000,501689197.0620984,5.579196016992841,318.10844781559405,961.7346945062654,2.395026619987486e-11,4.766075519335846e-13,180.0,6638.654786991451
CO2,1_F_earth,10_M_earth,200,25547945.25396624,88.97766684898974,7523.193949183557,10176.94647096631,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,199.99989585342982
CO2,1_F_earth,10_M_earth,300,25240863.414991878,89.73046772598599,7523.193949183557,11503.819238423377,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,299.99937392460674
CO2,1_F_earth,10_M_earth,500,25120127.997859776,92.98423265955087,7523.193949183557,14157.564773337514,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,499.99833006696053
CO2,1_F_earth,10_M_earth,1000,26001464.531162083,106.11406424375656,7523.193949183557,20791.928610622854,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,999.9957204228451
CO2,1_F_earth,10_M_earth,2000,30257973.640716784,148.13164529604438,7523.193949183557,34060.65628519353,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,1999.9905011346145
CO2,1_F_earth,10_M_earth,3000,37025621.31353587,214.16473797404038,7523.193949183557,47329.383959764215,1.15263764099075e-07,1.0435369693029212e-14,180.0458289360655,2999.9852818463837
CO2,1_F_earth,10_M_earth,5000,61992994.36851214,497.77869186115896,7523.193949183557,76882.54552448682,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,4999.985903481357
CO2,1_F_earth,10_M_earth,6000,79918901.00588745,736.0727618775826,7523.193949183557,90754.41502094059,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,5999.98297886462
CO2,1_F_earth,10_M_earth,7000,103822844.18573457,1087.2169605963445,7523.193949183557,104626.28451739434,1.15263764099075e-07,4.8207885126350615e-15,180.0458289360655,6999.980054247882
CO2,1000_F_earth,1_M_earth,200,5404745039.533949,60.252761085334384,950.4451380127512,970.6545467542659,7.278953843983146e-12,4.893900918477489e-13,682.843,263.75226143735546
CO2,1000_F_earth,1_M_earth,300,5184825636.181102,57.919536206636266,950.4451380127512,978.1110959957031,7.278953843983146e-12,4.893900918477489e-13,682.843,350.5487436401925
CO2,1000_F_earth,1_M_earth,500,4912615349.265807,55.103515980672206,950.4451380127512,993.0241944785772,7.278953843983146e-12,4.893900918477489e-13,682.843,524.1417080458666
CO2,1000_F_earth,1_M_earth,1000,4594312698.804975,52.060742755714685,950.4451380127512,1030.3069406857628,7.278953843983146e-12,4.893900918477489e-13,682.843,958.124119060052
CO2,1000_F_earth,1_M_earth,2000,4376587364.844414,50.60633918459996,950.4451380127512,1104.872433100134,7.278953843983146e-12,4.893900918477489e-13,682.843,1826.0889410884224
CO2,1000_F_earth,1_M_earth,3000,4318832652.798399,50.948024920312626,950.4451380127512,1179.437925514505,7.278953843983146e-12,4.893900918477489e-13,682.843,2694.053763116793
CO2,1000_F_earth,1_M_earth,5000,4368993125.706845,53.61286310951933,950.4451380127512,1328.5689103432471,7.278953843983146e-12,4.893900918477489e-13,682.843,4429.983407173534
CO2,1000_F_earth,1_M_earth,6000,4859608277.451203,62.042066928820006,950.4451380127512,1481.3036633207876,7.278953843983146e-12,3.1207061265801594e-13,682.843,5499.023429997276
CO2,1000_F_earth,1_M_earth,7000,4959275223.743761,64.7488994137359,950.4451380127512,1569.0602004217092,7.278953843983146e-12,3.1207061265801594e-13,682.843,6404.804551374222
CO2,1000_F_earth,10_M_earth,200,18419805.236770045,67.48395700773915,9866.575603845236,13476.325290623103,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,199.99917547266506
CO2,1000_F_earth,10_M_earth,300,18353619.595593628,69.09318169527565,9866.575603845236,15281.184954313376,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,299.9973133858683
CO2,1000_F_earth,10_M_earth,500,18565525.459833622,73.71340902692154,9866.575603845236,18890.90428169392,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,499.9935892122749
CO2,1000_F_earth,10_M_earth,1000,20086255.55364833,90.57208856449866,9866.575603845236,27915.202600145287,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,999.9842787782911
CO2,1000_F_earth,10_M_earth,2000,25758136.51562748,146.54727263256817,9866.575603845236,45963.79923704802,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,1999.9656579103241
CO2,1000_F_earth,10_M_earth,3000,34846555.379440114,244.15573821507925,9866.575603845236,64012.39587395076,2.8840325561413e-08,1.4234210571036583e-14,155.72025233255675,2999.947037042357
CO2,1000_F_earth,10_M_earth,5000,71609189.05486746,748.4092300326371,9866.575603845236,104407.29096820505,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,4999.94767260299
CO2,1000_F_earth,10_M_earth,6000,102197948.64309938,1256.9900714248336,9866.575603845236,123315.43035107564,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,5999.9368707088515
CO2,1000_F_earth,10_M_earth,7000,146987866.79669037,2101.665364698968,9866.575603845236,142223.56973394626,2.8840325561413e-08,6.886523717762775e-15,155.72025233255675,6999.926068814713
