file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index
H2_atmosphere_1_M_earth_1_F_earth.csv,200,H2,1_M_earth,1_F_earth,3.208783220084817e-06,H,25.07713021352359,3.543057492657206e-06,True,199.77270369451278,3257.679190437926,9569306.136637926,420
H2_atmosphere_1_M_earth_1_F_earth.csv,300,H2,1_M_earth,1_F_earth,0.009237659650272685,H,16.511894221887843,0.010199990773340759,True,298.66883112826645,3409.2989133702927,9720925.859570293,422
H2_atmosphere_1_M_earth_1_F_earth.csv,500,H2,1_M_earth,1_F_earth,4.252354103423225,H,9.624072985635047,4.695342138808313,True,496.61794287755237,3718.654432187764,10030281.378387764,426
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,H2,1_M_earth,1_F_earth,272.93720129722806,H,4.459471450796313,301.3703730523343,True,992.2277335400906,4522.6437228900395,10834270.66909004,435
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,H2,1_M_earth,1_F_earth,1302.2084931589707,H,1.9169452952975414,1437.86577078871,True,1986.2925800749954,6278.8299701945425,12590456.916394543,454
H2_atmosphere_1_M_earth_1_F_earth.csv,3000,H2,1_M_earth,1_F_earth,1718.2540042333292,H,1.1063956920682596,1897.251094536954,False,2982.9179819937585,8214.259425921682,14525886.372121682,472
H2_atmosphere_1_M_earth_1_F_earth.csv,5000,H2,1_M_earth,1_F_earth,1739.225523437416,H,0.5107096283419571,1919.5957595191683,False,4980.176993316986,12536.821567678435,18848448.513878435,504
H2_atmosphere_1_M_earth_1_F_earth.csv,6000,H2,1_M_earth,1_F_earth,1647.8844238642153,H,0.37768561045565213,1816.7081886331455,False,5980.037408412508,14913.978708829736,21225605.655029736,519
H2_atmosphere_1_M_earth_1_F_earth.csv,7000,H2,1_M_earth,1_F_earth,1577.1909837528742,H,0.2899760009998017,1735.2966913153807,False,6980.012419164133,17373.525223349476,23685152.169549473,532
H2O_atmosphere_1_M_earth_1_F_earth.csv,200,H2O,1_M_earth,1_F_earth,69.42871546244393,H,7.378360444333399,88.45015345979216,True,199.852257559129,26198.611954219403,32510637.327619404,543
H2O_atmosphere_1_M_earth_1_F_earth.csv,300,H2O,1_M_earth,1_F_earth,553.024666161567,H,4.718833394022835,704.5372546968779,True,299.67170034428375,27589.09358396553,33901118.95736553,548
H2O_atmosphere_1_M_earth_1_F_earth.csv,500,H2O,1_M_earth,1_F_earth,2217.645421769116,H,2.610155592959694,2825.2154251793377,True,499.3761045608065,30467.003285166564,36779028.658566564,558
H2O_atmosphere_1_M_earth_1_F_earth.csv,1000,H2O,1_M_earth,1_F_earth,4152.925417205421,H,1.0790830313438315,5290.704249936865,False,998.9065234463287,38162.845574124236,44474870.94752424,581
H2O_atmosphere_1_M_earth_1_F_earth.csv,2000,H2O,1_M_earth,1_F_earth,3985.1080430030574,H,0.3895250875317578,5054.006038823738,False,1998.5446315818533,55268.74590096992,61580771.274369925,619
H2O_atmosphere_1_M_earth_1_F_earth.csv,3000,H2O,1_M_earth,1_F_earth,3516.714408333589,H,0.19821018759863757,4252.883897787216,False,2998.525228664902,74348.44112330998,80660466.49670999,652
H2O_atmosphere_1_M_earth_1_F_earth.csv,5000,H2O,1_M_earth,1_F_earth,3133.7484944410344,H,0.0782007322312388,3343.7735106814534,False,4998.665248896594,116327.23869464934,122639264.06804934,702
H2O_atmosphere_1_M_earth_1_F_earth.csv,6000,H2O,1_M_earth,1_F_earth,2965.0220804713945,H,0.05508205750307202,3060.3401518997916,False,5998.74872802845,138773.33208148583,145085357.45488584,722
H2O_atmosphere_1_M_earth_1_F_earth.csv,7000,H2O,1_M_earth,1_F_earth,2829.9341678006963,H,0.04073631941108511,2864.4693998644193,False,6998.8172494827995,161834.5275023673,168146552.8757673,739
H2O_atmosphere_1_M_earth_1000_F_earth.csv,200,H2O,1_M_earth,1000_F_earth,2.1263089097450176e-07,H,27.780499465214014,4.4495870916499165e-07,True,220.31526407882558,1520.9131549832168,7832671.239383217,309
H2O_atmosphere_1_M_earth_1000_F_earth.csv,300,H2O,1_M_earth,1000_F_earth,0.0005732131346793908,H,19.34231155182748,0.0011995255031591156,True,315.74752835870163,1537.8179643052313,7849576.048705231,310
H2O_atmosphere_1_M_earth_1000_F_earth.csv,500,H2O,1_M_earth,1000_F_earth,0.45330762699649196,H,11.992524061455462,0.9486071174258137,True,507.0999579612619,1571.220782150805,7882978.866550805,310
H2O_atmosphere_1_M_earth_1000_F_earth.csv,1000,H2O,1_M_earth,1000_F_earth,63.535855551297864,H,6.102776939027397,132.9573146320919,True,985.8276328053805,1656.548795898214,7968306.880298214,312
H2O_atmosphere_1_M_earth_1000_F_earth.csv,2000,H2O,1_M_earth,1000_F_earth,561.2546935804227,H,3.0277592856413547,1174.5008583832036,True,1944.9678388983657,1828.9234650915619,8140681.549491562,314
H2O_atmosphere_1_M_earth_1000_F_earth.csv,3000,H2O,1_M_earth,1000_F_earth,962.3083491417118,H,1.9821399339703614,2013.7595195242827,True,2907.1949246659833,2007.5282511016064,8319286.335501607,317
H2O_atmosphere_1_M_earth_1000_F_earth.csv,5000,H2O,1_M_earth,1000_F_earth,1249.9988390720525,H,1.1405717006833436,2615.787397476297,False,4837.829247314864,2376.2738323313015,8688031.916731302,322
H2O_atmosphere_1_M_earth_1000_F_earth.csv,6000,H2O,1_M_earth,1000_F_earth,1264.7987286714047,H,0.9294020124256213,2646.696585998969,False,5807.530048894498,2570.010660080848,8881768.744480848,325
H2O_atmosphere_1_M_earth_1000_F_earth.csv,7000,H2O,1_M_earth,1000_F_earth,1249.9616199401225,H,0.7786881499978304,2615.1607495992453,False,6779.593238552982,2769.1092659758665,9080867.350375867,328
CO2_atmosphere_1_M_earth_1_F_earth.csv,200,CO2,1_M_earth,1_F_earth,4.324211846271733e-13,H,36.27502079483728,1.0928800525527547e-11,True,199.07486462140767,329.00450560871604,6638513.308408716,304
CO2_atmosphere_1_M_earth_1_F_earth.csv,300,CO2,1_M_earth,1_F_earth,3.1587957459656525e-08,H,24.50272268899189,7.983385142961441e-07,True,294.44918772844596,335.1123415221144,6644621.144322114,304
CO2_atmosphere_1_M_earth_1_F_earth.csv,500,CO2,1_M_earth,1_F_earth,0.0002405835046701734,H,14.842537849188846,0.006080389272647643,True,485.19783394252266,347.32801334891,6656836.81614891,304
